Date,Open,High,Low,Close,Adj Close,Volume
1989-10-04,2.46875,2.54688,2.43750,2.50000,1.89130,20636000
1989-10-05,2.51562,2.62500,2.50000,2.57812,1.95040,6453600
1989-10-06,2.59375,2.62500,2.54688,2.54688,1.92676,2755200
1989-10-09,2.54688,2.54688,2.50000,2.54688,1.92676,1084000
1989-10-10,2.56250,2.56250,2.50000,2.53125,1.91494,1493600
1989-10-11,2.50000,2.51562,2.46875,2.51562,1.90312,1260000
1989-10-12,2.51562,2.54688,2.51562,2.53125,1.91494,602400
1989-10-13,2.53125,2.53125,2.46875,2.48438,1.87948,3970400
1989-10-16,2.37500,2.46875,2.37500,2.46875,1.86766,3924800
1989-10-17,2.43750,2.50000,2.43750,2.50000,1.89130,1843200
1989-10-18,2.50000,2.56250,2.48438,2.54688,1.92676,1128000
1989-10-19,2.53125,2.54688,2.53125,2.54688,1.92676,1040000
1989-10-20,2.53125,2.53125,2.51562,2.53125,1.91494,237600
1989-10-23,2.54688,2.56250,2.54688,2.54688,1.92676,87200
1989-10-24,2.54688,2.56250,2.53125,2.56250,1.93858,689600
1989-10-25,2.54688,2.57812,2.51562,2.54688,1.92676,608000
1989-10-26,2.54688,2.56250,2.54688,2.54688,1.92676,228800
1989-10-27,2.54688,2.54688,2.50000,2.51562,1.90312,456000
1989-10-30,2.51562,2.51562,2.50000,2.50000,1.89130,250400
1989-10-31,2.50000,2.51562,2.50000,2.50000,1.89130,424800
1989-11-01,2.51562,2.56250,2.51562,2.56250,1.93858,715200
1989-11-02,2.59375,2.64062,2.59375,2.64062,1.99769,130400
1989-11-03,2.62500,2.75000,2.62500,2.73438,2.06861,1118400
1989-11-06,2.71875,2.71875,2.57812,2.57812,1.95040,264800
1989-11-07,2.54688,2.68750,2.50000,2.68750,2.03315,727200
1989-11-08,2.68750,2.71875,2.67188,2.71875,2.05679,236800
1989-11-09,2.71875,2.71875,2.68750,2.68750,2.03315,60800
1989-11-10,2.68750,2.68750,2.54688,2.56250,1.93858,210400
1989-11-13,2.56250,2.56250,2.51562,2.54688,1.92676,92800
1989-11-14,2.57812,2.57812,2.48438,2.53125,1.91494,428000
1989-11-15,2.54688,2.57812,2.53125,2.56250,1.93858,176000
1989-11-16,2.54688,2.59375,2.54688,2.59375,1.96222,301600
1989-11-17,2.59375,2.64062,2.59375,2.64062,1.99769,249600
1989-11-20,2.65625,2.65625,2.60938,2.60938,1.97405,43200
1989-11-21,2.59375,2.67188,2.59375,2.67188,2.02133,108800
1989-11-22,2.68750,2.75000,2.68750,2.75000,2.08043,255200
1989-11-24,2.78125,2.95312,2.78125,2.92188,2.21046,572000
1989-11-27,2.90625,2.93750,2.85938,2.87500,2.17500,253600
