Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.00000,448.00000,384.00000,420.00000,343.66156,792500
2000-08-14,419.00000,420.00000,384.00000,384.00000,314.20486,80200
2000-08-15,389.00000,396.00000,384.00000,388.00000,317.47781,48400
2000-08-16,386.00000,418.00000,386.00000,396.00000,324.02377,42100
2000-08-17,392.00000,400.00000,382.00000,384.00000,314.20486,47200
2000-08-18,401.00000,460.00000,396.00000,458.00000,374.75476,60400
2000-08-21,482.00000,520.00000,446.00000,486.00000,397.66556,66500
2000-08-22,492.00000,502.00000,432.00000,432.00000,353.48053,33800
2000-08-23,434.00000,440.00000,408.00000,416.00000,340.38861,17900
2000-08-24,414.00000,418.00000,386.00000,386.00000,315.84128,18400
2000-08-25,402.00000,414.00000,388.00000,412.00000,337.11560,20100
2000-08-28,429.00000,433.50000,400.00000,420.00000,343.66156,19400
2000-08-29,430.00000,432.00000,404.00000,428.00000,350.20761,22700
2000-08-30,427.00000,470.00000,424.00000,454.00000,371.48184,19800
2000-08-31,482.00000,528.00000,476.00000,518.00000,423.84930,87300
2000-09-01,516.00000,520.00000,480.00000,504.00000,412.39392,27700
2000-09-05,506.00000,520.00000,496.00000,498.00000,407.48447,23000
2000-09-06,516.00000,520.00000,488.00000,496.00000,405.84790,20500
2000-09-07,512.00000,512.00000,428.00000,460.00000,376.39127,23900
2000-09-08,456.50000,464.00000,440.00000,448.00000,366.57242,15900
2000-09-11,442.00000,448.00000,432.00000,444.00000,363.29947,34500
2000-09-12,435.00000,442.00000,412.00000,416.00000,340.38861,33800
2000-09-13,408.00000,420.00000,396.00000,400.00000,327.29678,10300
2000-09-14,444.00000,444.00000,400.00000,406.00000,332.20624,8100
2000-09-15,402.00000,416.00000,400.00000,402.00000,328.93323,3600
2000-09-18,420.00000,424.00000,382.00000,386.00000,315.84128,18600
2000-09-19,419.00000,420.00000,344.00000,360.00000,294.56705,48000
2000-09-20,368.00000,370.00000,312.00000,332.00000,271.65631,24100
2000-09-21,330.00000,344.00000,326.00000,340.00000,278.20224,25200
2000-09-22,307.00000,346.00000,302.00000,338.00000,276.56570,8400
2000-09-25,340.00000,346.00000,300.00000,302.00000,247.10908,21000
2000-09-26,316.00000,318.00000,288.00000,296.00000,242.19958,19600
2000-09-27,301.00000,302.00000,276.00000,299.00000,244.65434,16700
2000-09-28,296.00000,344.00000,292.00000,320.00000,261.83743,22000
2000-09-29,323.00000,324.00000,279.00000,284.00000,232.38077,19100
2000-10-02,300.00000,301.00000,268.00000,272.00000,222.56180,6800
2000-10-03,275.00000,284.00000,248.00000,254.00000,207.83347,10100
