Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,2.28374,2.25361,2.27169,0.01059,82800
1972-06-02,2.26566,2.26566,2.24156,2.24758,0.01048,119600
1972-06-05,2.23553,2.23553,2.19938,2.20540,0.01028,107600
1972-06-06,2.20540,2.21746,2.18130,2.19335,0.01023,327200
1972-06-07,2.18733,2.18733,2.17528,2.17528,0.01014,42400
1972-06-08,2.17528,2.18733,2.17528,2.17528,0.01014,86400
1972-06-09,2.17528,2.17528,2.15720,2.15720,0.01006,497600
1972-06-12,2.15720,2.16322,2.13310,2.13310,0.00994,108400
1972-06-13,2.13310,2.16925,2.10899,2.16925,0.01011,103200
1972-06-14,2.16925,2.18130,2.15720,2.18130,0.01017,34000
1972-06-15,2.19335,2.20540,2.19335,2.20540,0.01028,61600
1972-06-16,2.21746,2.25361,2.21746,2.24758,0.01048,50400
1972-06-19,2.23553,2.23553,2.22951,2.22951,0.01040,46800
1972-06-20,2.22951,2.26566,2.21746,2.25361,0.01051,190800
1972-06-21,2.27771,2.31387,2.27771,2.28374,0.01065,136400
1972-06-22,2.28374,2.28374,2.28374,2.28374,0.01065,53200
1972-06-23,2.28374,2.30182,2.28374,2.28374,0.01065,94800
1972-06-26,2.28374,2.28374,2.22348,2.22348,0.01037,700400
1972-06-27,2.22951,2.25964,2.22951,2.23553,0.01042,349200
1972-06-28,2.22348,2.22348,2.19938,2.19938,0.01025,83600
1972-06-29,2.19938,2.20540,2.15720,2.16925,0.01011,104800
1972-06-30,2.16925,2.19938,2.15720,2.18733,0.01020,108400
1972-07-03,2.18733,2.19938,2.18130,2.19335,0.01023,46800
1972-07-05,2.19335,2.21746,2.19335,2.19938,0.01025,42400
1972-07-06,2.21746,2.25361,2.21746,2.24758,0.01048,140800
1972-07-07,2.23553,2.23553,2.19335,2.21143,0.01031,133600
1972-07-10,2.21143,2.21746,2.19335,2.21143,0.01031,83600
1972-07-11,2.19335,2.19335,2.17528,2.17528,0.01014,20000
1972-07-12,2.17528,2.20540,2.16322,2.20540,0.01028,46800
1972-07-13,2.19335,2.19335,2.16925,2.16925,0.01011,514400
1972-07-14,2.16925,2.19335,2.16925,2.19335,0.01023,49600
1972-07-17,2.19335,2.20540,2.18733,2.18733,0.01020,138000
1972-07-18,2.18733,2.18733,2.16925,2.16925,0.01011,132400
1972-07-19,2.16925,2.20540,2.16925,2.20540,0.01028,99200
1972-07-20,2.19938,2.19938,2.17528,2.17528,0.01014,91200
1972-07-21,2.16925,2.16925,2.15720,2.16925,0.01011,61600
1972-07-24,2.18130,2.21143,2.18130,2.19335,0.01023,368400
1972-07-25,2.19335,2.20540,2.16925,2.16925,0.01011,399200
1972-07-26,2.17528,2.19938,2.17528,2.17528,0.01014,162800
1972-07-27,2.17528,2.18130,2.12707,2.15117,0.01003,212800
1972-07-28,2.13310,2.13310,2.09694,2.09694,0.00978,162800
1972-07-31,2.08489,2.08489,2.04271,2.05476,0.00958,182400
1972-08-01,2.03066,2.03066,1.97643,2.03066,0.00955,368400
1972-08-02,2.03668,2.07886,2.03668,2.07886,0.00977,204400
1972-08-03,2.09092,2.11502,2.09092,2.09694,0.00986,116000
1972-08-04,2.08489,2.08489,2.05476,2.07284,0.00974,88400
1972-08-07,2.08489,2.11502,2.08489,2.09092,0.00983,86400
1972-08-08,2.09092,2.10899,2.07886,2.10899,0.00991,182400
1972-08-09,2.10899,2.10899,2.07284,2.08489,0.00980,141600
1972-08-10,2.08489,2.10297,2.03066,2.03066,0.00955,78000
1972-08-11,2.03066,2.04874,2.00053,2.04874,0.00963,356800
1972-08-14,2.04874,2.06681,2.03668,2.06681,0.00972,138000
1972-08-15,2.06681,2.07886,2.05476,2.05476,0.00966,1568000
1972-08-16,2.05476,2.06681,2.04874,2.05476,0.00966,121600
1972-08-17,2.05476,2.06681,2.02463,2.02463,0.00952,49600
1972-08-18,2.02463,2.06681,2.01258,2.06079,0.00969,179600
1972-08-21,2.06079,2.10297,2.06079,2.08489,0.00980,270800
1972-08-22,2.08489,2.10899,2.08489,2.10899,0.00991,74400
1972-08-23,2.10899,2.13310,2.09694,2.13310,0.01003,121600
1972-08-24,2.13310,2.16925,2.12707,2.15720,0.01014,207200
1972-08-25,2.15720,2.16925,2.15117,2.15117,0.01011,78000
1972-08-28,2.15117,2.16322,2.15117,2.15117,0.01011,74400
1972-08-29,2.15117,2.18130,2.15117,2.16925,0.01020,262400
1972-08-30,2.16925,2.19335,2.16925,2.16925,0.01020,207200
1972-08-31,2.16925,2.18130,2.16322,2.16925,0.01020,265200
1972-09-01,2.16925,2.16925,2.15720,2.16925,0.01020,66000
1972-09-05,2.16925,2.18130,2.16925,2.16925,0.01020,104800
1972-09-06,2.16925,2.18733,2.16925,2.16925,0.01020,254400
1972-09-07,2.16925,2.18733,2.16925,2.17528,0.01023,67200
1972-09-08,2.17528,2.19335,2.16925,2.18130,0.01025,352000
1972-09-11,2.18130,2.18733,2.17528,2.17528,0.01023,58000
1972-09-12,2.17528,2.18130,2.16322,2.16925,0.01020,149200
1972-09-13,2.16925,2.16925,2.14515,2.14515,0.01008,328800
1972-09-14,2.14515,2.15720,2.13912,2.14515,0.01008,111200
1972-09-15,2.14515,2.15117,2.13912,2.15117,0.01011,34000
1972-09-18,2.15117,2.15117,2.14515,2.14515,0.01008,13600
1972-09-19,2.14515,2.16322,2.13310,2.16322,0.01017,96800
1972-09-20,2.16322,2.16322,2.13310,2.15117,0.01011,116800
1972-09-21,2.15117,2.15117,2.13912,2.15117,0.01011,24800
1972-09-22,2.15117,2.15720,2.14515,2.14515,0.01008,55200
1972-09-25,2.14515,2.14515,2.12707,2.12707,0.01000,556800
1972-09-26,2.11502,2.11502,2.04874,2.06079,0.00969,387200
1972-09-27,2.06079,2.09694,2.06079,2.09092,0.00983,174800
1972-09-28,2.09092,2.11502,2.07886,2.09694,0.00986,108400
1972-09-29,2.09694,2.10899,2.07886,2.09092,0.00983,306800
1972-10-02,2.09092,2.09092,2.06079,2.07886,0.00977,186000
1972-10-03,2.07886,2.09092,2.04874,2.05476,0.00966,439600
1972-10-04,2.05476,2.06079,2.04874,2.05476,0.00966,165600
1972-10-05,2.05476,2.06079,2.03668,2.03668,0.00957,88400
1972-10-06,2.03668,2.05476,2.00053,2.01861,0.00949,484800
1972-10-09,2.01861,2.01861,2.00656,2.00656,0.00943,25600
1972-10-10,2.00656,2.01258,1.98848,2.00053,0.00940,174000
1972-10-11,2.01861,2.04271,2.01861,2.02463,0.00952,266400
1972-10-12,2.02463,2.03066,2.00053,2.00656,0.00943,58800
1972-10-13,2.00656,2.01861,2.00053,2.00053,0.00940,34000
1972-10-16,2.00053,2.01258,1.98245,2.00053,0.00940,61600
1972-10-17,2.00053,2.00053,1.96438,1.96438,0.00923,75600
1972-10-18,1.97040,1.98245,1.97040,1.98245,0.00932,141600
1972-10-19,1.98245,1.98245,1.96438,1.96438,0.00923,74400
1972-10-20,1.96438,1.97643,1.94630,1.97040,0.00926,108400
1972-10-23,1.97643,2.00656,1.97643,2.00053,0.00940,138000
1972-10-24,2.00053,2.02463,1.99450,1.99450,0.00938,318800
1972-10-25,1.98848,1.98848,1.97643,1.97643,0.00929,254400
1972-10-26,1.97643,1.97643,1.90412,1.90412,0.00895,2415200
1972-10-27,1.91617,1.92822,1.91617,1.91617,0.00901,258000
1972-10-30,1.91617,1.95232,1.91617,1.95232,0.00918,337200
1972-10-31,1.95835,2.01258,1.95835,1.98848,0.00935,468000
1972-11-01,1.98848,1.98848,1.97643,1.97643,0.00938,194400
1972-11-02,1.97643,2.00053,1.97643,1.97643,0.00938,356800
1972-11-03,1.97643,2.00053,1.97040,2.00053,0.00950,200000
1972-11-06,2.00053,2.01258,2.00053,2.01258,0.00955,340000
1972-11-08,2.01258,2.03668,2.01258,2.01258,0.00955,349200
1972-11-09,2.00656,2.00656,1.98848,1.98848,0.00944,254400
1972-11-10,1.98848,2.00656,1.98245,1.99450,0.00947,418400
1972-11-13,1.99450,2.00656,1.98245,1.98848,0.00944,295600
1972-11-14,1.98848,1.98848,1.96438,1.96438,0.00932,158400
1972-11-15,1.96438,1.97040,1.92822,1.92822,0.00915,138000
1972-11-16,1.92220,1.92220,1.90412,1.91617,0.00910,370400
1972-11-17,1.91617,1.95835,1.90412,1.95232,0.00927,274400
1972-11-20,1.95232,1.97643,1.95232,1.97643,0.00938,125200
1972-11-21,1.97643,1.97643,1.95232,1.97643,0.00938,177600
1972-11-22,1.97643,1.97643,1.95232,1.97040,0.00935,636000
1972-11-24,1.97643,2.00053,1.97643,2.00053,0.00950,224000
1972-11-27,2.00053,2.01861,1.99450,2.00656,0.00952,158400
1972-11-28,2.00656,2.00656,1.97643,1.98848,0.00944,182400
1972-11-29,1.98848,2.00656,1.98245,1.99450,0.00947,125200
1972-11-30,1.99450,1.99450,1.95835,1.99450,0.00947,161200
1972-12-01,1.99450,1.99450,1.94027,1.95835,0.00930,2747200
1972-12-04,1.95835,1.97643,1.94027,1.97643,0.00938,656400
1972-12-05,1.97643,1.99450,1.97643,1.98848,0.00944,511600
1972-12-06,1.98848,2.03668,1.97643,2.03668,0.00967,456000
1972-12-07,2.05476,2.08489,2.05476,2.08489,0.00990,833200
1972-12-08,2.08489,2.11502,2.08489,2.11502,0.01004,241200
1972-12-11,2.11502,2.13912,2.10297,2.13310,0.01013,227600
1972-12-12,2.12707,2.12707,2.10899,2.12104,0.01007,141600
1972-12-13,2.12104,2.12104,2.07284,2.09694,0.00995,116000
1972-12-14,2.09092,2.09092,2.07284,2.07284,0.00984,851600
1972-12-15,2.06079,2.06079,2.00656,2.00656,0.00952,850000
1972-12-18,2.00656,2.01861,1.98245,2.01861,0.00958,177600
1972-12-19,2.01258,2.01258,1.99450,2.01258,0.00955,1009200
1972-12-20,2.01258,2.01258,1.95835,1.96438,0.00932,129600
1972-12-21,1.96438,1.96438,1.91617,1.94027,0.00921,282000
1972-12-22,1.94027,1.95232,1.92220,1.94027,0.00921,80000
1972-12-26,1.94027,1.95232,1.94027,1.94027,0.00921,119600
1972-12-27,1.94027,1.95835,1.92220,1.92220,0.00912,331600
1972-12-29,1.92220,1.95232,1.92220,1.94630,0.00924,246000
1973-01-02,1.94630,1.99450,1.92822,1.94630,0.00924,1411200
1973-01-03,1.94630,1.96438,1.94630,1.96438,0.00932,179600
1973-01-04,1.96438,1.97040,1.94630,1.95232,0.00927,183200
1973-01-05,1.95232,1.97643,1.94630,1.97643,0.00938,158400
1973-01-08,1.97643,1.98848,1.95232,1.96438,0.00932,179600
1973-01-09,1.96438,1.97643,1.96438,1.97643,0.00938,282000
1973-01-10,1.96438,1.96438,1.92822,1.93425,0.00918,494800
1973-01-11,1.94630,1.97040,1.94630,1.97040,0.00935,149200
1973-01-12,1.97040,2.00053,1.94630,1.95232,0.00927,113200
1973-01-15,1.95232,1.97040,1.94027,1.94027,0.00921,91200
1973-01-16,1.94630,1.96438,1.94630,1.95835,0.00930,111200
1973-01-17,1.95835,1.95835,1.91617,1.92822,0.00915,171200
1973-01-18,1.92822,1.92822,1.92220,1.92822,0.00915,74400
1973-01-19,1.92822,1.92822,1.84386,1.91014,0.00907,494800
1973-01-22,1.91014,1.91014,1.88002,1.89207,0.00898,136400
1973-01-23,1.89207,1.89207,1.84989,1.89207,0.00898,274400
1973-01-24,1.88002,1.88002,1.80771,1.80771,0.00858,354000
1973-01-26,1.80771,1.82578,1.76553,1.80771,0.00858,942800
1973-01-29,1.81976,1.87399,1.81976,1.87399,0.00890,150000
1973-01-30,1.87399,1.90412,1.86194,1.90412,0.00904,183200
1973-01-31,1.90412,1.91617,1.89207,1.90412,0.00912,586000
1973-02-01,1.90412,1.90412,1.87399,1.87399,0.00898,1360800
1973-02-02,1.87399,1.88604,1.86194,1.86194,0.00892,100400
1973-02-05,1.86194,1.87399,1.83784,1.86194,0.00892,111200
1973-02-06,1.86194,1.86194,1.84386,1.84386,0.00884,70000
1973-02-07,1.84386,1.86194,1.83784,1.84989,0.00887,100400
1973-02-08,1.84989,1.85591,1.83181,1.83181,0.00878,2194000
1973-02-09,1.83181,1.87399,1.82578,1.84989,0.00887,161200
1973-02-12,1.83784,1.83784,1.80771,1.82578,0.00875,146400
1973-02-13,1.82578,1.84386,1.80771,1.80771,0.00866,648000
1973-02-14,1.80771,1.82578,1.76553,1.78361,0.00855,240400
1973-02-15,1.77758,1.77758,1.74143,1.75348,0.00840,128000
1973-02-16,1.75950,1.79566,1.75950,1.79566,0.00861,113200
1973-02-20,1.79566,1.80771,1.73540,1.75950,0.00843,273600
1973-02-21,1.75348,1.75348,1.72335,1.72335,0.00826,340800
1973-02-22,1.71130,1.71130,1.65104,1.65707,0.00794,174800
1973-02-23,1.65707,1.68719,1.65104,1.66309,0.00797,182400
1973-02-26,1.68117,1.69925,1.68117,1.68117,0.00806,169600
1973-02-27,1.68117,1.69925,1.63296,1.63296,0.00783,1004000
1973-02-28,1.63296,1.71732,1.62694,1.71732,0.00823,304000
1973-03-01,1.71732,1.74745,1.70527,1.71732,0.00823,730800
1973-03-02,1.74745,1.77758,1.74745,1.77155,0.00849,780800
1973-03-05,1.77155,1.78361,1.75950,1.75950,0.00843,534400
1973-03-06,1.75950,1.77758,1.74143,1.75348,0.00840,157600
1973-03-07,1.75348,1.78361,1.75348,1.76553,0.00846,194400
1973-03-08,1.76553,1.77155,1.75348,1.76553,0.00846,113200
1973-03-09,1.76553,1.80771,1.76553,1.79566,0.00861,141600
1973-03-12,1.79566,1.82578,1.78361,1.80168,0.00864,315200
1973-03-13,1.80168,1.80771,1.78361,1.78361,0.00855,88400
1973-03-14,1.78361,1.80771,1.78361,1.78361,0.00855,74400
1973-03-15,1.78361,1.79566,1.75950,1.77155,0.00849,58800
1973-03-16,1.77155,1.78963,1.75348,1.75950,0.00843,791600
1973-03-19,1.75950,1.76553,1.74143,1.74143,0.00835,50400
1973-03-20,1.72937,1.72937,1.69322,1.72937,0.00829,119600
1973-03-21,1.72937,1.72937,1.69925,1.69925,0.00814,564000
1973-03-22,1.69925,1.75950,1.69925,1.71130,0.00820,157600
1973-03-23,1.71130,1.71130,1.69925,1.69925,0.00814,240400
1973-03-26,1.69925,1.71130,1.69322,1.71130,0.00820,103200
1973-03-27,1.71130,1.71732,1.69925,1.71732,0.00823,58800
1973-03-28,1.71732,1.73540,1.69925,1.72335,0.00826,80000
1973-03-29,1.72335,1.74745,1.71732,1.74745,0.00838,86400
1973-03-30,1.74745,1.75950,1.71130,1.72335,0.00826,360400
1973-04-02,1.72335,1.73540,1.69925,1.69925,0.00814,94800
1973-04-03,1.69322,1.69322,1.67514,1.68117,0.00806,381600
1973-04-04,1.68117,1.72937,1.67514,1.69925,0.00814,83600
1973-04-05,1.69925,1.69925,1.67514,1.67514,0.00803,100400
1973-04-06,1.66912,1.66912,1.64502,1.65104,0.00791,154800
1973-04-09,1.65104,1.69322,1.65104,1.68117,0.00806,58000
1973-04-10,1.68117,1.70527,1.67514,1.68719,0.00809,349200
1973-04-11,1.70527,1.75950,1.70527,1.75950,0.00843,96800
1973-04-12,1.75950,1.77155,1.74143,1.74143,0.00835,631200
1973-04-13,1.74143,1.74745,1.72937,1.73540,0.00832,103200
1973-04-16,1.73540,1.74143,1.71130,1.72335,0.00826,78000
1973-04-17,1.72335,1.75348,1.72335,1.75348,0.00840,55200
1973-04-18,1.75348,1.77758,1.74143,1.74143,0.00835,71600
1973-04-19,1.74143,1.76553,1.74143,1.75348,0.00840,50400
1973-04-23,1.75348,1.77758,1.75348,1.75348,0.00840,94800
1973-04-24,1.75348,1.75950,1.72335,1.72335,0.00826,162800
1973-04-25,1.71130,1.71130,1.67514,1.67514,0.00803,320800
1973-04-26,1.67514,1.71130,1.66912,1.67514,0.00803,124400
1973-04-27,1.67514,1.70527,1.64502,1.64502,0.00788,88400
1973-04-30,1.64502,1.66309,1.64502,1.64502,0.00788,67200
1973-05-01,1.64502,1.67514,1.64502,1.66912,0.00800,53200
1973-05-02,1.66912,1.67514,1.65104,1.65104,0.00800,119600
