Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,21.12500,20.75000,20.87500,1.26304,42000
1972-06-02,20.87500,21.12500,20.75000,21.00000,1.27061,17600
1972-06-05,21.00000,21.25000,20.87500,20.87500,1.26304,13200
1972-06-06,20.75000,20.75000,20.50000,20.62500,1.26396,15700
1972-06-07,20.62500,20.75000,20.62500,20.62500,1.26396,5000
1972-06-08,20.62500,20.87500,20.37500,20.37500,1.24864,32900
1972-06-09,20.37500,20.50000,20.25000,20.25000,1.24098,18500
1972-06-12,20.25000,20.62500,20.25000,20.50000,1.25630,10600
1972-06-13,20.50000,20.50000,20.00000,20.25000,1.24098,38400
1972-06-14,20.12500,20.12500,19.75000,19.75000,1.21034,126800
1972-06-15,19.75000,19.87500,19.75000,19.87500,1.21800,14100
1972-06-16,19.87500,19.87500,19.62500,19.87500,1.21800,9000
1972-06-19,19.87500,20.00000,19.75000,19.87500,1.21800,8500
1972-06-20,19.87500,19.87500,19.62500,19.62500,1.20268,40600
1972-06-21,19.62500,19.87500,19.37500,19.37500,1.18736,57000
1972-06-22,19.37500,19.62500,19.37500,19.62500,1.20268,23700
1972-06-23,19.62500,19.62500,19.37500,19.62500,1.20268,53000
1972-06-26,19.62500,19.75000,19.37500,19.50000,1.19502,14400
1972-06-27,19.50000,19.50000,19.37500,19.50000,1.19502,14200
1972-06-28,19.50000,19.87500,19.37500,19.87500,1.21800,21000
1972-06-29,19.87500,20.00000,19.62500,19.87500,1.21800,13300
1972-06-30,19.87500,20.37500,19.87500,20.25000,1.24098,47100
1972-07-03,20.25000,20.50000,20.00000,20.25000,1.24098,7300
1972-07-05,20.50000,21.00000,20.50000,20.87500,1.27928,22400
1972-07-06,20.87500,21.37500,20.87500,21.37500,1.30992,15300
1972-07-07,21.37500,21.62500,21.25000,21.62500,1.32525,23900
1972-07-10,21.62500,21.87500,21.37500,21.75000,1.33291,25600
1972-07-11,21.50000,21.50000,21.12500,21.12500,1.29460,14400
1972-07-12,21.12500,21.62500,21.12500,21.37500,1.30992,4800
1972-07-13,21.37500,21.62500,21.12500,21.12500,1.29460,6000
1972-07-14,21.12500,21.50000,21.00000,21.25000,1.30227,10600
1972-07-17,21.25000,21.37500,21.00000,21.12500,1.29460,12300
1972-07-18,20.87500,20.87500,20.62500,20.62500,1.26396,4400
1972-07-19,20.62500,20.75000,20.50000,20.50000,1.25630,9300
1972-07-20,20.50000,20.75000,20.50000,20.62500,1.26396,7500
1972-07-21,20.62500,20.87500,20.50000,20.87500,1.27928,5500
1972-07-24,20.87500,21.00000,20.62500,20.87500,1.27928,12600
1972-07-25,20.87500,21.12500,20.50000,20.75000,1.27162,67600
1972-07-26,20.75000,21.00000,20.62500,20.62500,1.26396,13800
1972-07-27,20.62500,20.75000,20.37500,20.37500,1.24864,9900
1972-07-28,20.62500,20.75000,20.62500,20.62500,1.26396,14300
1972-07-31,20.62500,20.62500,20.25000,20.37500,1.24864,2800
1972-08-01,20.37500,20.37500,20.25000,20.37500,1.24864,9000
1972-08-02,20.37500,20.75000,20.25000,20.25000,1.24098,32100
1972-08-03,20.25000,20.37500,20.00000,20.00000,1.22566,10700
1972-08-04,20.00000,20.12500,20.00000,20.00000,1.22566,10500
1972-08-07,20.00000,20.12500,19.62500,19.62500,1.20268,87100
1972-08-08,19.62500,19.75000,19.50000,19.75000,1.21034,40600
1972-08-09,19.75000,19.87500,19.50000,19.62500,1.20268,17100
1972-08-10,19.62500,19.75000,19.37500,19.62500,1.20268,17200
1972-08-11,19.62500,19.87500,19.62500,19.75000,1.21034,19600
1972-08-14,19.75000,19.87500,19.62500,19.87500,1.21800,11200
1972-08-15,19.87500,20.00000,19.87500,19.87500,1.21800,25100
