Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,2.14916,2.17350,2.14916,2.15322,0.26865,1089200
1972-06-02,2.15322,2.17350,2.14106,2.14916,0.26815,1173500
1972-06-05,2.14916,2.16944,2.14106,2.14916,0.26815,5208100
1972-06-06,2.14916,2.15728,2.11672,2.12484,0.26511,1421400
1972-06-07,2.12484,2.13700,2.11267,2.11267,0.26359,671800
1972-06-08,2.11267,2.12889,2.09645,2.09645,0.26157,1036599
1972-06-09,2.09645,2.10050,2.04373,2.08428,0.26005,6589200
1972-06-12,2.08428,2.10861,2.06806,2.08428,0.26005,1430100
1972-06-13,2.08428,2.10456,2.08428,2.10050,0.26208,931400
1972-06-14,2.10861,2.15322,2.10861,2.13294,0.26612,2939300
1972-06-15,2.13294,2.15322,2.12078,2.12484,0.26511,1460700
1972-06-16,2.12484,2.13294,2.10050,2.13294,0.26612,750400
1972-06-19,2.13294,2.14511,2.11267,2.12078,0.26460,529300
1972-06-20,2.12078,2.14106,2.12078,2.12889,0.26562,894100
1972-06-21,2.12889,2.13294,2.10861,2.10861,0.26309,1608800
1972-06-22,2.10456,2.10456,2.07617,2.09645,0.26157,1282200
1972-06-23,2.09239,2.09239,2.07212,2.09239,0.26106,1273300
1972-06-26,2.09239,2.09239,2.07617,2.08428,0.26005,621300
1972-06-27,2.08428,2.10050,2.08428,2.10050,0.26208,877700
1972-06-28,2.10050,2.11267,2.09239,2.09645,0.26157,904100
1972-06-29,2.09645,2.10456,2.08834,2.08834,0.26056,448000
1972-06-30,2.07617,2.07617,2.05184,2.07212,0.25853,825100
1972-07-03,2.07212,2.07212,2.05184,2.06401,0.25752,438200
1972-07-05,2.06401,2.06806,2.03157,2.05184,0.25600,1395000
1972-07-06,2.05995,2.09645,2.05995,2.07617,0.25904,1173500
1972-07-07,2.07617,2.08834,2.05184,2.06806,0.25803,1351100
1972-07-10,2.06806,2.07212,2.04373,2.04373,0.25499,523700
1972-07-11,2.04373,2.05995,2.03157,2.03157,0.25347,546600
1972-07-12,2.03157,2.05995,2.01535,2.01535,0.25145,1801800
1972-07-13,2.01535,2.01940,1.99102,2.01535,0.25145,680300
1972-07-14,2.01535,2.02751,2.00724,2.01129,0.25094,941200
1972-07-17,2.01129,2.02751,2.00318,2.01129,0.25094,583000
