Date,Open,High,Low,Close,Adj Close,Volume
1987-09-28,13.24998,13.37502,13.00002,13.12500,1.36157,414600
1987-09-29,13.12500,13.12500,12.37500,12.49998,1.29673,263400
1987-09-30,12.37500,12.37500,12.25002,12.37500,1.28377,1165800
1987-10-01,12.49998,12.87498,12.49998,12.87498,1.33563,1795800
1987-10-02,12.87498,13.00002,12.62502,12.75000,1.32267,291600
1987-10-05,12.75000,12.87498,12.25002,12.62502,1.30970,348000
1987-10-06,12.62502,12.87498,12.62502,12.75000,1.32267,1685400
1987-10-07,12.75000,12.75000,12.25002,12.37500,1.28377,327000
1987-10-08,12.37500,12.49998,12.37500,12.49998,1.29673,648600
1987-10-09,12.49998,12.75000,12.37500,12.49998,1.29673,343200
1987-10-12,12.49998,12.49998,12.25002,12.25002,1.27080,205200
1987-10-13,12.25002,12.37500,12.25002,12.37500,1.28377,396600
1987-10-14,12.37500,12.37500,12.12498,12.37500,1.28377,266400
1987-10-15,12.25002,12.25002,12.12498,12.12498,1.25783,340800
1987-10-16,12.12498,12.12498,12.00000,12.00000,1.24486,835200
1987-10-19,11.87502,11.87502,10.00002,10.00002,1.03739,808800
1987-10-20,10.00002,10.37502,7.00002,8.74998,0.90771,1486200
1987-10-21,9.12498,10.37502,9.12498,10.24998,1.06332,961200
1987-10-22,10.24998,10.37502,9.25002,10.12500,1.05035,1008000
1987-10-23,10.00002,10.00002,9.37500,9.87498,1.02442,255000
1987-10-26,9.37500,9.37500,8.50002,8.87502,0.92068,510000
1987-10-27,8.87502,9.49998,8.25000,8.25000,0.85584,1181400
1987-10-28,8.25000,8.25000,7.62498,7.99998,0.82991,1220400
1987-10-29,7.99998,8.50002,7.00002,7.75002,0.80398,4878000
1987-10-30,8.25000,8.74998,8.25000,8.74998,0.90771,8591400
1987-11-02,8.74998,9.75000,8.50002,9.75000,1.01145,1595400
1987-11-03,9.75000,9.87498,9.49998,9.87498,1.02442,534000
1987-11-04,9.87498,10.00002,9.49998,9.75000,1.01145,361200
1987-11-05,9.75000,9.75000,9.37500,9.62502,0.99849,441000
1987-11-06,9.49998,10.12500,9.49998,9.62502,0.99849,388800
1987-11-09,9.75000,9.75000,9.37500,9.49998,0.98552,156600
1987-11-10,9.37500,9.37500,8.74998,8.74998,0.90771,327000
1987-11-11,9.00000,9.12498,8.74998,8.87502,0.92068,138600
1987-11-12,8.87502,9.00000,8.74998,8.87502,0.92068,247800
1987-11-13,8.74998,9.00000,8.74998,8.74998,0.90771,165000
1987-11-16,8.87502,9.25002,8.74998,9.25002,0.95958,634200
1987-11-17,9.00000,9.12498,8.74998,9.00000,0.93365,213600
1987-11-18,8.87502,9.00000,8.74998,8.87502,0.92068,181200
1987-11-19,8.87502,9.25002,8.62500,9.12498,0.94661,273000
1987-11-20,9.25002,9.62502,9.12498,9.25002,0.95958,394200
