Date,Open,High,Low,Close,Adj Close,Volume
2000-12-01,10.50000,14.06250,10.50000,13.50000,10.25924,23200
2000-12-04,13.87500,15.00000,13.62500,15.00000,11.39915,31000
2000-12-05,15.50000,15.50000,15.00000,15.12500,11.49414,12800
2000-12-06,15.00000,15.18750,15.00000,15.00000,11.39915,10400
2000-12-07,15.00000,15.00000,14.81250,14.81250,11.25666,2600
2000-12-08,14.93750,15.00000,14.93750,15.00000,11.39915,4200
2000-12-11,14.93750,15.18750,14.81250,15.18750,11.54164,32600
2000-12-12,14.87500,15.12500,14.87500,15.12500,11.49414,3600
2000-12-13,15.25000,15.37500,15.25000,15.37500,11.68413,2400
2000-12-14,15.31250,15.31250,15.25000,15.25000,11.58914,2800
2000-12-15,15.06250,15.12500,14.75000,14.75000,11.20917,83000
2000-12-18,14.75000,15.12500,14.75000,15.12500,11.49414,23200
2000-12-19,15.00000,15.25000,15.00000,15.12500,11.49414,3600
2000-12-20,15.00000,15.00000,14.62500,14.75000,11.20917,42400
2000-12-21,14.68750,14.68750,14.37500,14.43750,10.97168,243400
2000-12-22,14.75000,16.56250,14.75000,16.31250,12.39658,585200
2000-12-26,16.28125,16.43750,16.06250,16.15625,12.27784,278600
2000-12-27,16.21875,16.53125,16.21875,16.53125,12.56281,421000
2000-12-28,16.34375,16.62500,16.31250,16.59375,12.61032,316200
2000-12-29,16.53125,16.65625,15.87500,16.53125,12.56281,539800
2001-01-02,16.50000,17.31250,16.50000,17.12500,13.01403,570400
2001-01-03,17.43750,17.56250,17.15625,17.37500,13.20402,824200
2001-01-04,17.31250,17.37500,17.12500,17.31250,13.15652,525200
2001-01-05,17.21875,17.34375,16.75000,16.81250,12.77655,1357600
2001-01-08,17.00000,17.03125,16.75000,16.84375,12.80029,1843600
2001-01-09,16.71875,16.81250,16.65625,16.78125,12.75280,422200
2001-01-10,16.65625,16.81250,16.62500,16.78125,12.75280,414200
2001-01-11,16.78125,16.84375,16.59375,16.71875,12.70530,523400
2001-01-12,16.65625,16.71875,16.62500,16.62500,12.63406,802600
2001-01-16,16.37500,16.56250,16.37500,16.50000,12.53907,541000
2001-01-17,16.50000,16.87500,16.43750,16.71875,12.70530,410600
2001-01-18,16.62500,16.78125,16.53125,16.71875,12.70530,798200
2001-01-19,16.59375,16.68750,16.40625,16.46875,12.51532,511200
2001-01-22,16.21875,16.43750,16.09375,16.21875,12.32534,368400
2001-01-23,16.12500,16.31250,16.00000,16.31250,12.39658,583000
2001-01-24,16.25000,16.34375,16.00000,16.28125,12.37283,479800
2001-01-25,16.25000,16.62500,16.25000,16.59375,12.61032,408200
2001-01-26,16.59375,16.71875,16.53125,16.59375,12.61032,645400
2001-01-29,16.51000,16.59000,16.37500,16.41000,12.47068,772400
2001-01-30,16.28500,16.28500,15.85000,15.91000,12.09070,377200
2001-01-31,15.60000,16.27000,15.60000,16.22000,12.32628,633200
2001-02-01,15.80000,18.00000,15.80000,17.25500,13.11282,1433400
2001-02-02,17.20000,17.62500,17.05000,17.06000,12.96464,1039599
2001-02-05,16.96000,17.67500,16.85000,16.85000,12.80505,665000
2001-02-06,16.59500,17.59500,16.59500,17.50500,13.30282,726600
2001-02-07,17.50500,18.22500,17.50500,18.11000,13.76258,829800
2001-02-08,18.00000,19.00500,17.94500,19.00500,14.44272,1198400
2001-02-09,18.81500,19.26000,18.65000,19.26000,14.63652,755000
2001-02-12,19.26000,19.73500,19.13000,19.70000,14.97088,781600
2001-02-13,19.30000,19.95000,19.23000,19.59500,14.89109,968800
2001-02-14,19.35000,19.55000,19.22500,19.35000,14.70490,559000
2001-02-15,19.45000,19.71500,19.43000,19.59000,14.88730,502200
2001-02-16,19.00000,19.15000,18.62000,18.77000,14.26414,446000
2001-02-20,18.75500,18.94500,18.10000,18.10000,13.75498,402600
2001-02-21,18.10000,18.28000,18.03500,18.05000,13.71699,363600
2001-02-22,18.05000,18.37500,17.83500,18.35500,13.94876,635600
2001-02-23,18.35500,18.57500,18.35000,18.52500,14.07795,913000
2001-02-26,18.75000,20.00000,18.75000,19.75000,15.00889,2160800
2001-02-27,19.25000,19.49000,19.16500,19.24000,14.62131,835800
2001-02-28,19.00000,19.60000,18.98500,19.06000,14.48452,804800
2001-03-01,19.37500,19.50000,18.68500,19.12500,14.53392,734800
2001-03-02,19.07500,20.25000,19.02500,20.20500,15.35466,1102600
2001-03-05,20.50000,23.50000,20.10000,23.17500,17.61169,2998800
2001-03-06,22.25000,22.89000,21.00000,21.53000,16.36159,3856400
2001-03-07,21.25000,22.65000,21.25000,22.40000,17.02274,2447200
2001-03-08,22.35000,23.75000,22.35000,23.37500,17.76368,2596400
2001-03-09,23.00000,23.49500,22.90500,23.42000,17.79787,2293600
2001-03-12,23.12500,23.50000,23.02500,23.10500,17.55850,1365600
2001-03-13,23.12500,23.22500,22.05000,22.50000,17.15813,1012200
2001-03-14,22.25000,22.67500,21.25000,21.48500,16.38411,1622000
2001-03-15,21.60000,22.53500,21.55000,22.48000,17.14288,1240600
2001-03-16,22.17500,22.17500,21.79000,22.05000,16.81498,1990600
2001-03-19,22.10000,22.42500,21.75000,21.82000,16.63958,776200
2001-03-20,21.85000,22.05000,21.72500,21.73000,16.57095,533000
2001-03-21,21.87500,21.87500,21.07500,21.19000,16.15916,597000
2001-03-22,21.06500,21.29500,19.70000,20.16000,15.37369,853000
2001-03-23,20.45000,20.87500,20.35000,20.70500,15.78930,881000
2001-03-26,20.60000,21.07500,20.55000,20.77000,15.83887,558000
2001-03-27,20.80000,20.94500,20.70000,20.94000,15.96851,676000
2001-03-28,21.19000,21.35000,21.02000,21.04000,16.04476,758400
2001-03-29,21.04000,22.74500,21.04000,22.63500,17.26108,3210400
2001-03-30,22.87500,23.00000,22.20000,22.25000,16.96750,3574000
2001-04-02,21.85000,22.29000,21.35000,21.61500,16.48325,1173400
2001-04-03,21.65000,21.75000,20.52500,20.71500,15.79693,673800
2001-04-04,20.71500,21.25000,20.70000,21.11000,16.09815,965400
2001-04-05,21.32500,21.49500,21.07000,21.16000,16.13627,302600
2001-04-06,21.12500,21.16000,20.30500,20.48500,15.62153,361800
2001-04-09,20.50000,21.07500,20.50000,20.98500,16.00282,563600
2001-04-10,21.05500,21.50000,21.02500,21.34500,16.27735,798800
2001-04-11,21.24500,21.32500,20.94500,21.02500,16.03333,447000
2001-04-12,20.95000,21.30000,20.81000,21.08000,16.07527,370000
2001-04-16,21.32500,22.05000,21.32500,22.00000,16.77685,641800
2001-04-17,21.87500,22.27000,21.80000,22.25000,16.96750,950400
2001-04-18,22.17500,22.72500,22.17500,22.62000,17.24964,1656400
2001-04-19,22.62500,22.66500,22.32000,22.50000,17.15813,452000
2001-04-20,22.62500,22.74500,22.45000,22.56500,17.20771,642800
2001-04-23,21.87500,22.77500,21.87500,22.77500,17.36785,825600
2001-04-24,22.90000,24.47000,22.90000,24.10000,18.37828,2779800
2001-04-25,23.75000,25.85000,23.75000,25.85000,19.71280,3340000
2001-04-26,26.00000,27.25000,25.98000,27.12500,20.68509,3440400
2001-04-27,27.10000,27.61500,26.50000,27.57500,21.02826,1261600
2001-04-30,27.45000,27.45500,26.13000,26.35500,20.09790,2507000
2001-05-01,26.40000,27.40000,25.75000,27.32500,20.83760,1268800
2001-05-02,27.00000,27.25000,25.73000,25.85000,19.71280,2498000
2001-05-03,25.80000,25.80000,25.15000,25.50000,19.44588,1657200
2001-05-04,24.97500,26.20000,24.50000,26.20000,19.97970,1734200
2001-05-07,26.20000,26.62500,25.90500,25.99000,19.81955,1192000
2001-05-08,26.10000,26.37500,25.90000,26.04500,19.86150,1081600
2001-05-09,26.10000,26.22500,25.60500,25.84000,19.70517,718600
2001-05-10,25.96500,27.44500,25.94000,27.17500,20.72323,1858000
2001-05-11,27.17500,27.40000,26.67500,26.88000,20.49826,817400
2001-05-14,26.75500,27.05000,26.75000,26.99000,20.58214,635200
2001-05-15,26.70000,26.95000,26.69000,26.85500,20.47918,573800
2001-05-16,26.97000,28.50000,26.83000,28.45000,21.69552,3878000
2001-05-17,28.50000,29.92500,28.50000,29.50000,22.49622,3601800
2001-05-18,29.40000,29.52000,28.85500,29.25000,22.30557,1690000
2001-05-21,29.10000,29.44500,28.95000,29.40500,22.42378,1559600
2001-05-22,29.40500,31.60000,29.40000,31.32500,23.88794,2849200
2001-05-23,31.32000,31.32000,30.13500,30.27000,23.08342,1443000
2001-05-24,30.32500,30.53000,28.85500,30.27500,23.08722,1561200
2001-05-25,30.25000,30.35000,29.07500,29.12500,22.21026,792400
2001-05-29,29.12500,29.50000,28.70000,29.10500,22.19501,711600
2001-05-30,28.98000,29.36500,28.25000,29.13500,22.21788,1076400
2001-05-31,29.20000,29.75000,29.09500,29.16000,22.23695,1059800
2001-06-01,29.27000,29.40000,28.47500,28.85500,22.00435,929400
2001-06-04,28.98000,29.27500,28.65500,28.70000,21.88616,777400
2001-06-05,28.75000,28.83500,27.25000,27.38000,20.87955,1387800
2001-06-06,27.38000,27.38000,26.25000,26.40000,20.13222,1088600
2001-06-07,26.12500,26.60500,26.00000,26.37500,20.11315,1584200
2001-06-08,26.50000,26.92500,26.29000,26.57500,20.26568,851200
2001-06-11,26.65000,26.74500,25.88000,26.05500,19.86913,686600
2001-06-12,25.93000,26.24500,25.72500,26.07000,19.88057,923000
2001-06-13,26.15000,27.36000,26.15000,27.06000,20.63552,1151000
2001-06-14,27.18500,27.18500,26.55000,26.86000,20.48300,1173000
2001-06-15,26.30000,26.87500,26.03000,26.50000,20.20848,1994800
2001-06-18,26.32500,26.87000,26.25500,26.59000,20.33851,855000
2001-06-19,26.80000,27.42500,26.03500,26.03500,19.91399,832600
2001-06-20,26.10000,26.54500,22.48000,22.50000,17.21009,3978400
2001-06-21,22.50000,24.42000,22.43000,24.39000,18.65574,4742000
2001-06-22,22.00000,22.75000,21.64000,22.52000,17.22539,7063200
2001-06-25,22.64500,23.10000,21.74000,21.85000,16.71291,1358800
2001-06-26,21.25000,22.25000,21.25000,21.92500,16.77028,1171600
2001-06-27,21.80000,22.20000,21.53000,21.84000,16.70527,697400
2001-06-28,21.84000,22.55000,21.52500,22.03000,16.85060,1080400
2001-06-29,22.00000,23.07500,22.00000,22.57500,17.26746,1578200
2001-07-02,22.70000,22.77500,22.64500,22.72500,17.38220,1079000
2001-07-03,22.70000,22.80000,22.54500,22.74500,17.39750,753200
2001-07-05,22.50000,22.50000,19.85000,19.98000,15.28256,2851400
2001-07-06,20.50000,21.35000,20.12500,21.14500,16.17366,2830800
2001-07-09,21.11500,21.14500,20.12500,20.50500,15.68413,1673400
2001-07-10,20.75000,20.90000,20.40000,20.52000,15.69560,544200
2001-07-11,20.45000,20.53000,19.56000,19.65500,15.03397,1098400
2001-07-12,20.20000,20.64000,19.85000,20.00000,15.29786,1530600
