Date,Open,High,Low,Close,Adj Close,Volume
1993-04-08,1.65432,1.65432,1.50617,1.62963,1.62963,5215200
1993-04-12,1.62963,1.62963,1.53086,1.58025,1.58025,924300
1993-04-13,1.62963,1.62963,1.53086,1.60494,1.60494,891000
1993-04-14,1.55556,1.60494,1.53086,1.55556,1.55556,912100
1993-04-15,1.60494,1.62963,1.53086,1.58025,1.58025,1076500
1993-04-16,1.62963,1.62963,1.53086,1.53086,1.53086,452800
1993-04-19,1.60494,1.60494,1.48148,1.53086,1.53086,110200
1993-04-20,1.58025,1.58025,1.50617,1.50617,1.50617,362400
1993-04-21,1.55556,1.58025,1.53086,1.58025,1.58025,402900
1993-04-22,1.62963,1.62963,1.55556,1.62963,1.62963,701500
1993-04-23,1.62963,1.62963,1.58025,1.62963,1.62963,297000
1993-04-26,1.58025,1.62963,1.48148,1.53086,1.53086,376800
1993-04-27,1.60494,1.60494,1.50617,1.58025,1.58025,77100
1993-04-28,1.53086,1.62963,1.53086,1.62963,1.62963,173400
1993-04-29,1.58025,1.62963,1.48148,1.55556,1.55556,358600
1993-04-30,1.50617,1.72840,1.48148,1.65432,1.65432,1379800
1993-05-03,1.72840,1.72840,1.62963,1.65432,1.65432,352300
1993-05-04,1.67901,1.85185,1.67901,1.80247,1.80247,963900
1993-05-05,1.80247,1.85185,1.75309,1.75309,1.75309,480100
1993-05-06,1.82716,1.82716,1.72840,1.75309,1.75309,309100
1993-05-07,1.75309,1.95062,1.75309,1.87654,1.87654,2161500
1993-05-10,1.97531,1.97531,1.77778,1.87654,1.87654,517600
1993-05-11,1.75309,1.85185,1.75309,1.85185,1.85185,330900
1993-05-12,1.87654,1.87654,1.80247,1.80247,1.80247,332200
1993-05-13,1.85185,1.85185,1.70370,1.80247,1.80247,232800
1993-05-14,1.80247,1.80247,1.70370,1.72840,1.72840,307900
1993-05-17,1.77778,1.77778,1.70370,1.72840,1.72840,373900
1993-05-18,1.70370,1.77778,1.70370,1.70370,1.70370,62700
1993-05-19,1.75309,1.80247,1.70370,1.80247,1.80247,362400
1993-05-20,1.80247,1.80247,1.72840,1.77778,1.77778,401800
1993-05-21,1.80247,1.85185,1.77778,1.85185,1.85185,685800
1993-05-24,1.87654,1.95062,1.82716,1.95062,1.95062,193200
1993-05-25,1.95062,2.04938,1.85185,1.95062,1.95062,719100
1993-05-26,1.87654,1.97531,1.87654,1.92593,1.92593,182200
1993-05-27,1.97531,2.02469,1.92593,1.97531,1.97531,345100
1993-05-28,1.97531,2.02469,1.92593,2.00000,2.00000,342100
1993-06-01,2.04938,2.17284,1.97531,2.17284,2.17284,832200
1993-06-02,2.17284,2.27160,2.07407,2.17284,2.17284,520299
1993-06-03,2.17284,2.19753,2.09876,2.17284,2.17284,98500
1993-06-04,2.14815,2.22222,2.12346,2.19753,2.19753,157200
