Date,Open,High,Low,Close,Adj Close,Volume
1999-11-22,30.50000,30.68750,30.43751,30.62499,11.88414,422400
1999-11-23,30.12501,30.37500,29.68749,29.87500,11.59310,1031400
1999-11-24,29.93751,29.93751,29.18751,29.43750,11.42333,1114500
1999-11-26,30.87501,31.31250,30.81250,31.31250,12.15093,366300
1999-11-29,31.31250,31.50001,31.24999,31.43750,12.19944,820000
1999-11-30,31.18751,31.24999,30.81250,30.93749,12.00541,858500
1999-12-01,32.49999,32.81249,31.87499,31.87499,12.36921,1884100
1999-12-02,31.93750,33.62500,31.93750,33.00000,12.80577,1315800
1999-12-03,33.87501,33.93750,33.62500,33.81250,13.12107,899900
1999-12-06,35.62499,35.68750,34.75000,35.06250,13.60613,3440100
1999-12-07,34.68749,34.81251,34.37499,34.43750,13.36360,1547800
1999-12-08,34.75000,36.00000,34.75000,35.18750,13.65464,3438300
1999-12-09,36.75000,36.75000,36.37501,36.50000,14.16396,2510300
1999-12-10,36.43749,36.50000,35.18750,35.43751,13.75166,1615100
1999-12-13,34.75000,35.06250,34.31250,34.62500,13.43636,1283900
1999-12-14,34.37499,35.31249,34.37499,34.99999,13.58188,2292300
1999-12-15,34.99999,36.87499,34.99999,35.68750,13.84867,1287500
1999-12-16,35.68750,36.24999,35.68750,35.87500,13.92143,1611000
1999-12-17,35.37500,35.62499,34.50001,34.50001,13.38786,1183100
1999-12-20,33.87501,33.93750,32.62501,33.25001,12.90279,1212500
1999-12-21,33.00000,33.00000,32.68749,32.93751,12.78152,805000
1999-12-22,33.37500,33.87501,33.37500,33.43749,12.97554,1118600
1999-12-23,33.50000,33.93750,33.31250,33.50000,12.99980,602600
1999-12-27,33.68750,34.18751,33.56251,33.87501,13.14532,1118800
1999-12-28,33.87501,34.00000,33.62500,33.87501,13.14532,988900
1999-12-29,34.00000,34.31250,33.87501,34.00000,13.19383,364000
1999-12-30,33.87501,34.00000,33.56251,33.68750,13.07256,132200
1999-12-31,33.62500,33.68750,33.31250,33.43749,12.97554,188500
2000-01-03,33.62500,33.93750,33.18750,33.37500,12.95130,1911000
2000-01-04,33.12499,34.00000,32.00001,32.25000,12.51473,2203300
2000-01-05,32.49999,33.37500,32.49999,32.75001,12.70876,1832200
2000-01-06,33.50000,33.62500,32.87500,33.06251,12.83003,949900
2000-01-07,32.87500,33.31250,32.75001,32.87500,12.75727,1620300
2000-01-10,34.87500,39.00000,34.87500,38.87501,15.08559,5344800
2000-01-11,39.00000,39.37499,37.62501,38.12499,14.79455,6526600
2000-01-12,37.68749,37.75000,36.24999,37.18749,14.43074,2438100
2000-01-13,39.25000,39.50001,38.31249,39.37499,15.27961,4149600
2000-01-14,39.99999,40.75001,38.25001,38.74999,15.03708,4153700
2000-01-18,38.93749,38.93749,37.87500,38.12499,14.79455,1218700
2000-01-19,38.00000,38.00000,37.25000,37.43750,14.52776,1335300
2000-01-20,38.87501,38.87501,37.75000,38.18750,14.81880,2427600
2000-01-21,37.75000,37.81249,37.31251,37.43750,14.52776,1340900
2000-01-24,37.75000,37.75000,35.56250,35.68750,13.84867,863000
2000-01-25,35.93749,36.24999,35.43751,36.12500,14.01844,635000
2000-01-26,36.06251,36.37501,36.00000,36.37501,14.11546,753400
2000-01-27,37.87500,38.00000,37.49999,37.75000,14.64903,1582000
2000-01-28,38.25001,40.25000,38.25001,39.06249,15.15835,3360400
2000-01-31,40.87500,41.00000,39.68749,41.00000,15.91020,2654900
2000-02-01,40.87500,41.43749,40.12501,41.43749,16.07998,2966000
2000-02-02,44.75000,45.00001,42.87500,44.87499,17.41391,7945200
2000-02-03,47.99999,47.99999,46.06251,47.43750,18.40830,6867600
2000-02-04,45.75000,45.81249,44.50000,45.25000,17.55943,2681900
2000-02-07,46.50000,46.50000,45.62501,46.37500,17.99599,2377400
2000-02-08,46.81250,48.12501,46.81250,47.43750,18.40830,1657900
2000-02-09,51.25001,52.50001,49.56249,49.56249,19.23291,9120700
2000-02-10,50.75001,50.75001,49.50001,50.12501,19.45120,3840800
2000-02-11,50.37500,50.37500,48.87501,49.06251,19.03889,2224600
2000-02-14,47.99999,49.56249,47.75000,48.75001,18.91762,2910100
