Date,Open,High,Low,Close,Adj Close,Volume
2006-11-17,24.50000,25.18000,23.50000,24.74000,24.74000,18358000
2006-11-20,24.69000,25.67000,24.29000,25.00000,25.00000,1689000
2006-11-21,25.00000,25.19000,24.31000,24.60000,24.60000,1179900
2006-11-22,24.57000,26.88000,24.50000,26.88000,26.88000,1260800
2006-11-24,27.00000,27.96000,26.88000,27.75000,27.75000,350300
2006-11-27,28.39000,28.50000,27.92000,28.35000,28.35000,910500
2006-11-28,28.53000,28.90000,27.75000,28.17000,28.17000,587500
2006-11-29,28.50000,28.95000,28.00000,28.27000,28.27000,414700
2006-11-30,28.80000,28.80000,28.00000,28.30000,28.30000,245700
2006-12-01,28.30000,28.30000,27.56000,27.89000,27.89000,257300
2006-12-04,28.00000,28.40000,27.56000,27.88000,27.88000,483000
2006-12-05,27.62000,27.89000,26.40000,27.08000,27.08000,782400
2006-12-06,26.80000,27.63000,26.77000,27.20000,27.20000,138300
2006-12-07,27.70000,27.74000,27.32000,27.32000,27.32000,155100
2006-12-08,27.50000,27.57000,27.20000,27.53000,27.53000,55300
2006-12-11,27.32000,28.40000,27.32000,27.95000,27.95000,232600
2006-12-12,28.20000,28.20000,26.91000,27.20000,27.20000,371700
2006-12-13,27.30000,28.11000,26.50000,27.64000,27.64000,547700
2006-12-14,27.62000,28.62000,27.32000,27.93000,27.93000,837700
2006-12-15,28.36000,29.28000,27.77000,29.05000,29.05000,2069199
2006-12-18,29.32000,29.87000,28.42000,28.59000,28.59000,738900
2006-12-19,28.00000,28.20000,26.54000,27.79000,27.79000,470800
2006-12-20,27.88000,28.92000,27.01000,27.78000,27.78000,284200
2006-12-21,27.50000,27.85000,26.66000,26.69000,26.69000,616700
2006-12-22,26.99000,27.70000,26.86000,27.53000,27.53000,151200
2006-12-26,27.63000,28.34000,27.04000,27.10000,27.10000,87500
2006-12-27,28.24000,28.81000,27.74000,28.81000,28.81000,788300
2006-12-28,28.72000,29.98000,28.00000,29.86000,29.86000,1396200
2006-12-29,29.99000,30.00000,29.02000,29.84000,29.84000,355500
2007-01-03,30.17000,30.29000,28.20000,28.50000,28.50000,487000
2007-01-04,28.11000,28.84000,28.00000,28.75000,28.75000,325500
