Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,1.35000,1.36875,1.35000,1.36250,0.39220,1715200
1977-01-04,1.36250,1.36875,1.34062,1.34375,0.38680,411200
1977-01-05,1.34375,1.34688,1.32500,1.32500,0.38140,320000
1977-01-06,1.32500,1.33750,1.32500,1.32812,0.38230,592000
1977-01-07,1.32500,1.32500,1.30000,1.31562,0.37870,387200
1977-01-10,1.30938,1.30938,1.30000,1.30312,0.37510,168000
1977-01-11,1.30000,1.30000,1.26875,1.26875,0.36521,387200
1977-01-12,1.26875,1.26875,1.23125,1.24375,0.35801,1211200
1977-01-13,1.24375,1.24375,1.22500,1.23438,0.35532,624000
1977-01-14,1.23438,1.30625,1.23125,1.30625,0.37600,1104000
1977-01-17,1.30312,1.30312,1.29375,1.30000,0.37420,280000
1977-01-18,1.30000,1.34375,1.29375,1.34375,0.38680,592000
1977-01-19,1.35625,1.41250,1.35625,1.41250,0.40659,2563200
1977-01-20,1.41250,1.44688,1.40625,1.42500,0.41019,3819200
1977-01-21,1.42500,1.45000,1.41250,1.41250,0.40659,2304000
1977-01-24,1.41250,1.41250,1.39375,1.40000,0.40299,896000
1977-01-25,1.40625,1.43125,1.40625,1.40625,0.40479,1067200
1977-01-26,1.40625,1.41250,1.39375,1.40000,0.40299,1872000
1977-01-27,1.40000,1.40625,1.38750,1.39375,0.40119,619200
1977-01-28,1.39375,1.40625,1.39375,1.40000,0.40299,435200
1977-01-31,1.41250,1.44688,1.41250,1.44688,0.41648,1632000
1977-02-01,1.44688,1.47812,1.44688,1.46562,0.42188,1139200
1977-02-02,1.46875,1.50625,1.46875,1.49062,0.42908,1755200
1977-02-03,1.49062,1.49062,1.46875,1.49062,0.42908,771200
1977-02-04,1.49688,1.52500,1.49688,1.50625,0.43357,1448000
1977-02-07,1.50625,1.51875,1.48125,1.49688,0.43088,715200
1977-02-08,1.49688,1.49688,1.46250,1.48750,0.42818,664000
1977-02-09,1.47812,1.47812,1.41875,1.45312,0.41828,1328000
1977-02-10,1.45312,1.45625,1.43125,1.44375,0.41558,1576000
1977-02-11,1.44375,1.44375,1.40938,1.41562,0.40749,1248000
1977-02-14,1.41562,1.43438,1.40000,1.42812,0.41109,691200
1977-02-15,1.43125,1.44688,1.43125,1.43125,0.41199,411200
1977-02-16,1.43750,1.47500,1.43750,1.46250,0.42098,992000
1977-02-17,1.46562,1.47500,1.46562,1.46562,0.42188,1283200
1977-02-18,1.46250,1.46250,1.45000,1.46250,0.42098,899200
1977-02-22,1.46250,1.46250,1.45000,1.46250,0.42098,979200
1977-02-23,1.45938,1.45938,1.43125,1.43125,0.41199,464000
1977-02-24,1.43125,1.43125,1.39688,1.39688,0.40209,1000000
1977-02-25,1.39688,1.40000,1.37500,1.39375,0.40119,1848000
1977-02-28,1.39375,1.41250,1.39375,1.41250,0.40659,328000
1977-03-01,1.41875,1.45625,1.41875,1.45000,0.41738,1152000
1977-03-02,1.45000,1.45625,1.44688,1.45000,0.41738,379200
1977-03-03,1.45000,1.48750,1.45000,1.45000,0.41738,987200
1977-03-04,1.44375,1.44375,1.43125,1.43125,0.41199,448000
1977-03-07,1.43125,1.43750,1.42188,1.42500,0.41019,632000
1977-03-08,1.42500,1.43125,1.41875,1.41875,0.40839,744000
1977-03-09,1.40625,1.40625,1.39375,1.40312,0.40389,579200
1977-03-10,1.40312,1.41250,1.39375,1.40625,0.40479,928000
1977-03-11,1.40625,1.41875,1.40625,1.41875,0.40839,163200
1977-03-14,1.42500,1.45312,1.42500,1.45000,0.41738,808000
1977-03-15,1.45000,1.45000,1.44062,1.45000,0.41738,264000
1977-03-16,1.45000,1.45000,1.44375,1.45000,0.41738,792000
1977-03-17,1.45000,1.45000,1.43750,1.43750,0.41378,200000
1977-03-18,1.43750,1.44375,1.43438,1.44375,0.41558,499200
1977-03-21,1.44375,1.44375,1.43125,1.44375,0.41558,499200
1977-03-22,1.44375,1.47500,1.43750,1.47500,0.42458,923200
1977-03-23,1.47500,1.47500,1.43750,1.44688,0.41648,435200
1977-03-24,1.44375,1.44375,1.43125,1.43750,0.41378,707200
1977-03-25,1.43750,1.44375,1.41562,1.41562,0.40749,320000
1977-03-28,1.40938,1.40938,1.40000,1.40938,0.40569,504000
1977-03-29,1.40938,1.41562,1.40625,1.41562,0.40749,392000
1977-03-30,1.41562,1.41562,1.39375,1.39688,0.40209,496000
1977-03-31,1.39688,1.43125,1.39688,1.41875,0.40839,800000
1977-04-01,1.41875,1.43750,1.41250,1.43750,0.41378,651200
1977-04-04,1.43750,1.44375,1.43125,1.43750,0.41378,1352000
1977-04-05,1.43438,1.43438,1.34375,1.36250,0.39220,6443200
1977-04-06,1.36250,1.36562,1.28125,1.31250,0.37780,1776000
1977-04-07,1.31250,1.36250,1.30000,1.35625,0.39040,2059199
1977-04-11,1.35625,1.35625,1.35000,1.35625,0.39040,779200
1977-04-12,1.35625,1.40938,1.35000,1.40312,0.40389,2011200
1977-04-13,1.40000,1.40000,1.31875,1.36250,0.39220,1675200
1977-04-14,1.36250,1.37500,1.32500,1.33125,0.38320,2067199
1977-04-15,1.33125,1.35625,1.32812,1.35625,0.39040,531200
1977-04-18,1.35000,1.35000,1.33750,1.33750,0.38500,499200
1977-04-19,1.33750,1.34688,1.33125,1.33125,0.38320,168000
1977-04-20,1.33125,1.33438,1.31875,1.31875,0.37960,424000
1977-04-21,1.31250,1.31250,1.30000,1.30000,0.37420,515200
1977-04-22,1.30000,1.30312,1.26875,1.27812,0.36791,347200
1977-04-25,1.26875,1.26875,1.25625,1.25938,0.36251,624000
1977-04-26,1.26250,1.28125,1.26250,1.26562,0.36431,696000
1977-04-27,1.27188,1.30625,1.27188,1.29375,0.37241,1091200
1977-04-28,1.29375,1.30625,1.28125,1.29062,0.37151,915200
1977-04-29,1.29062,1.30000,1.28125,1.30000,0.37420,283200
1977-05-02,1.30000,1.30938,1.28438,1.29375,0.37241,984000
1977-05-03,1.30000,1.33125,1.30000,1.33125,0.38320,1451200
1977-05-04,1.34062,1.38125,1.34062,1.37500,0.39579,1195200
1977-05-05,1.37500,1.40625,1.36562,1.37812,0.39669,1211200
1977-05-06,1.37812,1.39375,1.37188,1.38750,0.39939,779200
1977-05-09,1.38750,1.38750,1.38125,1.38125,0.39759,259200
1977-05-10,1.38125,1.39688,1.37500,1.38438,0.39849,1299200
1977-05-11,1.38438,1.38750,1.36250,1.36250,0.39220,459200
1977-05-12,1.35625,1.35625,1.34375,1.35000,0.38860,395200
1977-05-13,1.35000,1.35625,1.33750,1.35625,0.39040,203200
1977-05-16,1.36562,1.38125,1.36562,1.38125,0.39759,704000
1977-05-17,1.38125,1.38750,1.35625,1.36250,0.39220,336000
1977-05-18,1.36250,1.38750,1.36250,1.37188,0.39489,683200
1977-05-19,1.37188,1.38750,1.36562,1.36875,0.39400,568000
1977-05-20,1.36875,1.37188,1.34688,1.35625,0.39040,504000
1977-05-23,1.35000,1.35000,1.32812,1.32812,0.38230,432000
1977-05-24,1.32500,1.32500,1.31250,1.31875,0.37960,515200
1977-05-25,1.31875,1.33750,1.31250,1.32500,0.38140,443200
1977-05-26,1.32500,1.35000,1.32500,1.35000,0.38860,371200
1977-05-27,1.35000,1.35938,1.33125,1.33125,0.38320,731200
1977-05-31,1.32500,1.32500,1.31250,1.31875,0.37960,648000
1977-06-01,1.31875,1.34375,1.31562,1.34062,0.38590,275200
1977-06-02,1.34375,1.35625,1.34375,1.34375,0.38680,752000
1977-06-03,1.34375,1.36250,1.34375,1.34375,0.38680,643200
1977-06-06,1.35000,1.35938,1.35000,1.35312,0.38950,656000
1977-06-07,1.35312,1.37500,1.35000,1.37188,0.39489,416000
1977-06-08,1.37188,1.38438,1.36250,1.36250,0.39220,1915200
1977-06-09,1.36562,1.37812,1.36562,1.37500,0.39579,1320000
1977-06-10,1.37500,1.40000,1.37188,1.40000,0.40299,792000
1977-06-13,1.40000,1.45000,1.40000,1.40938,0.40569,2960000
1977-06-14,1.40938,1.42500,1.40625,1.40625,0.40479,1576000
1977-06-15,1.40312,1.40312,1.37500,1.37812,0.39669,1056000
1977-06-16,1.37812,1.41250,1.37812,1.40625,0.40479,2448000
1977-06-17,1.40625,1.40625,1.39375,1.40000,0.40299,1136000
1977-06-20,1.40000,1.42188,1.39688,1.41250,0.40659,675200
1977-06-21,1.41875,1.42500,1.41875,1.42188,0.40929,1163200
1977-06-22,1.42188,1.42500,1.41562,1.41875,0.40839,512000
1977-06-23,1.41875,1.46875,1.41875,1.46875,0.42278,1728000
1977-06-24,1.46875,1.48438,1.46562,1.47188,0.42368,2595200
1977-06-27,1.47188,1.49062,1.46875,1.49062,0.42908,1771200
1977-06-28,1.48438,1.48438,1.46250,1.46250,0.42098,712000
1977-06-29,1.46250,1.47500,1.44375,1.47500,0.42458,395200
1977-06-30,1.47500,1.51250,1.45000,1.49688,0.43088,2696000
1977-07-01,1.49688,1.50000,1.46875,1.48125,0.42638,1624000
1977-07-05,1.48125,1.50625,1.46875,1.49375,0.42998,1739200
1977-07-06,1.49375,1.50938,1.49062,1.49062,0.42908,1448000
1977-07-07,1.49062,1.51562,1.48750,1.51562,0.43627,1475200
1977-07-08,1.51562,1.54375,1.50000,1.50000,0.43178,2640000
1977-07-11,1.50000,1.51562,1.50000,1.50625,0.43357,819200
1977-07-12,1.50312,1.50312,1.48750,1.49688,0.43088,675200
1977-07-13,1.50000,1.50938,1.50000,1.50000,0.43178,459200
1977-07-15,1.50000,1.52500,1.49375,1.52500,0.43897,2747200
1977-07-18,1.52188,1.52188,1.50000,1.51250,0.43537,1995200
1977-07-19,1.51250,1.51562,1.50938,1.51250,0.43537,1408000
1977-07-20,1.51250,1.51562,1.50625,1.50625,0.43357,715200
1977-07-21,1.50625,1.50625,1.49375,1.49375,0.42998,483200
1977-07-22,1.49375,1.50000,1.46875,1.46875,0.42278,584000
1977-07-25,1.46875,1.47500,1.44375,1.45000,0.41738,451200
1977-07-26,1.45000,1.45625,1.44375,1.45625,0.41918,984000
1977-07-27,1.45625,1.45625,1.44375,1.45000,0.41738,1387200
1977-07-28,1.45000,1.46250,1.44688,1.46250,0.42098,419200
1977-07-29,1.46250,1.46875,1.46250,1.46875,0.42278,648000
1977-08-01,1.47500,1.49062,1.47500,1.48750,0.42818,691200
1977-08-02,1.48125,1.48125,1.46250,1.46250,0.42098,728000
1977-08-03,1.46250,1.47188,1.44375,1.46562,0.42188,872000
1977-08-04,1.48125,1.50312,1.48125,1.50312,0.43268,984000
1977-08-05,1.50312,1.51875,1.49688,1.49688,0.43088,899200
1977-08-08,1.49688,1.50938,1.49375,1.50000,0.43178,691200
1977-08-09,1.50000,1.51250,1.49062,1.50000,0.43178,568000
1977-08-10,1.50000,1.52188,1.50000,1.52188,0.43807,363200
1977-08-11,1.52500,1.54375,1.52500,1.53125,0.44077,2184000
1977-08-12,1.53125,1.53750,1.51875,1.53125,0.44077,963200
1977-08-15,1.52812,1.52812,1.45938,1.46250,0.42098,5915200
1977-08-16,1.45938,1.45938,1.43125,1.45938,0.42008,3824000
1977-08-17,1.46250,1.49688,1.46250,1.47500,0.42458,1520000
1977-08-18,1.47500,1.47500,1.45625,1.46875,0.42278,683200
1977-08-19,1.46875,1.46875,1.45312,1.45625,0.41918,928000
1977-08-22,1.45312,1.45312,1.43125,1.45000,0.41738,1227200
1977-08-23,1.45000,1.45312,1.44375,1.44688,0.41648,1123200
1977-08-24,1.44688,1.44688,1.42188,1.42188,0.40929,1896000
