Date,Open,High,Low,Close,Adj Close,Volume
1964-02-26,85.24992,85.99968,85.12512,85.75008,0.17802,1200000
1964-02-27,85.75008,86.37504,85.62528,85.87488,0.17828,1046400
1964-02-28,85.87488,85.87488,85.37472,85.62528,0.17776,1065600
1964-03-02,85.87488,86.49984,85.87488,86.12544,0.17880,1161600
1964-03-03,86.37504,87.12480,86.37504,86.75040,0.18010,1430400
1964-03-04,86.87520,87.62496,86.87520,87.24960,0.18114,1257600
1964-03-05,87.24960,87.24960,86.62464,86.87520,0.18036,1142400
1964-03-06,86.87520,87.50016,86.37504,87.00000,0.18062,2246400
1964-03-09,87.00000,87.62496,86.49984,87.50016,0.18166,2188800
1964-03-10,87.50016,88.87488,87.12480,88.87488,0.18568,4435200
1964-03-11,89.37504,90.62496,89.37504,90.24960,0.18855,6566400
1964-03-12,90.24960,90.62496,90.00000,90.00000,0.18803,2457600
1964-03-13,90.00000,91.12512,89.62464,89.62464,0.18724,1497600
1964-03-16,89.62464,90.12480,89.62464,89.62464,0.18724,1324800
1964-03-17,89.75040,90.50016,89.75040,90.24960,0.18855,2284800
1964-03-18,90.24960,90.24960,88.87488,89.12544,0.18620,1478400
1964-03-19,89.12544,89.12544,88.12512,88.50048,0.18490,1689600
1964-03-20,88.50048,88.87488,87.24960,87.50016,0.18281,1536000
1964-03-23,87.50016,87.87456,85.99968,86.62464,0.18098,1881600
1964-03-24,86.62464,86.62464,85.75008,85.87488,0.17941,1622400
1964-03-25,85.87488,85.99968,84.74976,85.24992,0.17811,1785600
1964-03-26,85.49952,87.00000,85.49952,86.62464,0.18098,1468800
1964-03-30,86.62464,87.12480,86.62464,86.75040,0.18124,1248000
1964-03-31,86.75040,87.50016,86.75040,87.24960,0.18228,1382400
1964-04-01,87.37536,89.12544,87.37536,88.62528,0.18516,1334400
1964-04-02,88.62528,88.87488,87.74976,88.00032,0.18385,864000
1964-04-03,88.00032,88.75008,87.87456,88.62528,0.18516,1046400
1964-04-06,88.62528,88.75008,88.00032,88.24992,0.18437,825600
1964-04-07,88.24992,88.37472,87.24960,87.24960,0.18228,1084800
1964-04-08,87.24960,87.74976,87.00000,87.37536,0.18255,864000
1964-04-09,87.37536,87.50016,87.00000,87.00000,0.18176,988800
1964-04-10,87.00000,87.24960,86.49984,86.49984,0.18072,998400
1964-04-13,86.49984,87.00000,85.99968,85.99968,0.17967,1315200
1964-04-14,85.99968,86.25024,85.49952,85.75008,0.17915,796800
1964-04-15,85.75008,85.99968,85.24992,85.75008,0.17915,1420800
1964-04-16,85.75008,86.12544,85.49952,85.62528,0.17889,1411200
1964-04-17,85.75008,86.49984,85.75008,86.12544,0.17993,1766400
1964-04-20,86.25024,86.62464,86.25024,86.37504,0.18046,1430400
1964-04-21,86.37504,86.75040,86.25024,86.25024,0.18020,2160000
1964-04-22,85.99968,85.99968,85.62528,85.99968,0.17967,960000
1964-04-23,85.99968,86.25024,85.62528,85.75008,0.17915,940800
1964-04-24,85.62528,85.62528,84.62496,84.87456,0.17732,1507200
1964-04-27,84.74976,84.74976,82.99968,83.12544,0.17367,2832000
1964-04-28,83.12544,84.37536,83.12544,84.12480,0.17575,1766400
1964-04-29,84.12480,84.37536,83.12544,83.37504,0.17419,2438400
1964-04-30,83.25024,83.25024,82.24992,82.37472,0.17210,3091200
1964-05-01,82.50048,83.37504,82.50048,83.25024,0.17393,1670400
1964-05-04,83.25024,83.37504,82.75008,83.25024,0.17393,1747200
1964-05-05,83.12544,83.12544,81.87456,82.50048,0.17236,1555200
1964-05-06,82.50048,82.99968,82.24992,82.62528,0.17262,1315200
1964-05-07,82.62528,83.25024,82.12512,83.12544,0.17367,1353600
1964-05-08,83.12544,83.12544,82.50048,82.87488,0.17314,1344000
1964-05-11,82.87488,82.99968,82.37472,82.62528,0.17262,1718400
