Date,Open,High,Low,Close,Adj Close,Volume
1992-01-22,0.53906,0.67969,0.53906,0.63281,0.53270,168022400
1992-01-23,0.65625,0.71094,0.63281,0.68750,0.57873,38368000
1992-01-24,0.69531,0.72656,0.67188,0.69531,0.58531,12044800
1992-01-27,0.72656,0.75000,0.69531,0.75000,0.63134,10716800
1992-01-28,0.74219,0.75781,0.71094,0.73438,0.61819,19913600
1992-01-29,0.71094,0.73438,0.67969,0.67969,0.57215,13238400
1992-01-30,0.68750,0.69531,0.60938,0.60938,0.51297,10848000
1992-01-31,0.62500,0.64844,0.60938,0.64844,0.54585,2496000
1992-02-03,0.65625,0.65625,0.63281,0.64062,0.53927,2320000
1992-02-04,0.64844,0.67969,0.64844,0.67969,0.57215,2499200
1992-02-05,0.67969,0.67969,0.66406,0.66406,0.55900,1148800
1992-02-06,0.67969,0.68750,0.66406,0.68750,0.57873,5504000
1992-02-07,0.67188,0.68750,0.64844,0.64844,0.54585,4560000
1992-02-10,0.64844,0.67188,0.60938,0.61719,0.51954,14140800
1992-02-11,0.61719,0.61719,0.56250,0.56250,0.47351,9868800
1992-02-12,0.57031,0.57031,0.54688,0.57031,0.48008,3942400
1992-02-13,0.57031,0.57031,0.53906,0.55469,0.46693,3241600
1992-02-14,0.56250,0.56250,0.53125,0.53516,0.45049,13753600
1992-02-18,0.54688,0.54688,0.47656,0.49219,0.41432,3046400
1992-02-19,0.47656,0.52344,0.47656,0.50781,0.42747,4284800
1992-02-20,0.56250,0.60156,0.54688,0.57031,0.48008,4784000
1992-02-21,0.57031,0.59375,0.55469,0.59375,0.49981,1865600
1992-02-24,0.59375,0.64062,0.58594,0.60156,0.50639,3129600
1992-02-25,0.61719,0.61719,0.54688,0.54688,0.46035,3129600
1992-02-26,0.53906,0.56250,0.53906,0.54688,0.46035,1657600
1992-02-27,0.56250,0.56250,0.53906,0.55469,0.46693,204800
1992-02-28,0.54688,0.56250,0.53906,0.55469,0.46693,227200
1992-03-02,0.56250,0.56250,0.50000,0.50781,0.42747,5177600
1992-03-03,0.51562,0.53906,0.50000,0.53906,0.45378,531200
1992-03-04,0.53906,0.56250,0.51562,0.54688,0.46035,464000
1992-03-05,0.53906,0.56250,0.53125,0.53125,0.44720,454400
1992-03-06,0.52344,0.54688,0.50000,0.51562,0.43405,1744000
1992-03-09,0.51562,0.55469,0.50000,0.54688,0.46035,1078400
1992-03-10,0.53125,0.60938,0.53125,0.58594,0.49324,1542400
1992-03-11,0.60156,0.60156,0.55469,0.55469,0.46693,1020800
1992-03-12,0.54297,0.54297,0.51562,0.53906,0.45378,5561600
1992-03-13,0.52344,0.53906,0.52344,0.53125,0.44720,1744000
1992-03-16,0.54688,0.54688,0.52344,0.52344,0.44062,835200
1992-03-17,0.52344,0.54688,0.52344,0.52344,0.44062,396800
1992-03-18,0.54688,0.54688,0.51953,0.52734,0.44391,630400
1992-03-19,0.57031,0.60156,0.53906,0.60156,0.50639,3443200
1992-03-20,0.60156,0.60156,0.52734,0.53125,0.44720,2876800
1992-03-23,0.54688,0.54688,0.52344,0.53906,0.45378,608000
1992-03-24,0.56250,0.57812,0.51562,0.53125,0.44720,2704000
1992-03-25,0.53906,0.53906,0.50781,0.53125,0.44720,960000
1992-03-26,0.53125,0.53125,0.50781,0.53125,0.44720,150400
1992-03-27,0.50781,0.52344,0.45312,0.47656,0.40116,3897600
1992-03-30,0.46875,0.50781,0.46875,0.50781,0.42747,3225600
1992-03-31,0.50781,0.55469,0.49219,0.51562,0.43405,9430400
1992-04-01,0.50000,0.51562,0.48438,0.48828,0.41103,3820800
1992-04-02,0.48438,0.50781,0.46875,0.46875,0.39459,3200000
1992-04-03,0.45312,0.47656,0.45312,0.47656,0.40116,6723200
1992-04-06,0.47656,0.48438,0.46094,0.48438,0.40774,3872000
1992-04-07,0.46875,0.48438,0.40625,0.40625,0.34198,2460800
1992-04-08,0.40625,0.41406,0.35156,0.41406,0.34855,4124800
1992-04-09,0.42969,0.43750,0.39844,0.42969,0.36171,1187200
1992-04-10,0.43750,0.43750,0.40625,0.42188,0.35513,3033600
1992-04-13,0.42188,0.42188,0.39062,0.39062,0.32882,483200
1992-04-14,0.42188,0.42188,0.39062,0.39062,0.32882,534400
1992-04-15,0.42188,0.42188,0.39062,0.39062,0.32882,1961600
1992-04-16,0.42188,0.42188,0.34375,0.36719,0.30910,2217600
1992-04-20,0.36719,0.36719,0.32812,0.34375,0.28936,3571200
1992-04-21,0.32812,0.35156,0.32422,0.35156,0.29594,19568000
1992-04-22,0.34375,0.37500,0.33594,0.34375,0.28936,3036800
1992-04-23,0.37500,0.37500,0.34375,0.36719,0.30910,2550400
1992-04-24,0.34375,0.36719,0.34375,0.36719,0.30910,790400
1992-04-27,0.36719,0.37500,0.34375,0.35156,0.29594,4931200
1992-04-28,0.38281,0.38281,0.35156,0.37109,0.31238,2198400
1992-04-29,0.37891,0.38281,0.35938,0.35938,0.30252,1875200
1992-04-30,0.35938,0.41406,0.35938,0.40625,0.34198,1107200
1992-05-01,0.41406,0.42188,0.39062,0.39062,0.32882,1324800
1992-05-04,0.42188,0.42188,0.39062,0.41797,0.35184,64000
1992-05-05,0.42188,0.44531,0.40625,0.43750,0.36828,2246400
1992-05-06,0.44531,0.47656,0.44531,0.45312,0.38144,4201600
1992-05-07,0.46875,0.46875,0.42969,0.45312,0.38144,643200
1992-05-08,0.45312,0.45312,0.39844,0.42188,0.35513,2067199
1992-05-11,0.42969,0.42969,0.42969,0.42969,0.36171,44800
1992-05-12,0.41406,0.41406,0.37500,0.39844,0.33540,896000
1992-05-13,0.40625,0.40625,0.37500,0.37500,0.31567,256000
1992-05-14,0.37500,0.37891,0.34375,0.34375,0.28936,1110400
1992-05-15,0.32812,0.35938,0.32812,0.35938,0.30252,931200
1992-05-18,0.35938,0.37500,0.34766,0.35156,0.29594,3686400
1992-05-19,0.36719,0.36719,0.35156,0.35156,0.29594,972800
1992-05-20,0.36719,0.37891,0.35156,0.37500,0.31567,2460800
1992-05-21,0.38281,0.41406,0.37500,0.40625,0.34198,1446400
1992-05-22,0.39062,0.41406,0.38281,0.40625,0.34198,278400
1992-05-26,0.37500,0.38281,0.35938,0.38281,0.32225,646400
1992-05-27,0.35938,0.38281,0.35938,0.37500,0.31567,457600
1992-05-28,0.35938,0.38281,0.35938,0.37500,0.31567,1276800
1992-05-29,0.38281,0.38281,0.35938,0.38281,0.32225,560000
1992-06-01,0.35938,0.35938,0.35938,0.35938,0.30252,3200
1992-06-02,0.35938,0.37891,0.35938,0.37500,0.31567,2166400
1992-06-03,0.35938,0.38281,0.35938,0.38281,0.32225,76800
1992-06-04,0.38281,0.38281,0.38281,0.38281,0.32225,3200
1992-06-05,0.37500,0.37500,0.37500,0.37500,0.31567,3200
1992-06-08,0.35938,0.37500,0.35938,0.37500,0.31567,2156800
1992-06-09,0.38281,0.38281,0.35938,0.35938,0.30252,76800
1992-06-10,0.37500,0.37500,0.35938,0.35938,0.30252,118400
1992-06-11,0.35938,0.36719,0.34375,0.36719,0.30910,316800
1992-06-12,0.36719,0.36719,0.31250,0.31250,0.26306,6361600
1992-06-15,0.31250,0.34375,0.31250,0.33594,0.28279,2012800
1992-06-16,0.33594,0.34375,0.32031,0.32422,0.27292,604800
1992-06-17,0.33594,0.33594,0.32031,0.32031,0.26964,1196800
1992-06-18,0.33594,0.33594,0.32031,0.33594,0.28279,1094400
1992-06-19,0.33594,0.33594,0.32031,0.33594,0.28279,256000
1992-06-22,0.32031,0.32031,0.29688,0.31250,0.26306,2060800
1992-06-23,0.32031,0.32031,0.29688,0.32031,0.26964,115200
1992-06-24,0.29688,0.32031,0.29688,0.31250,0.26306,672000
1992-06-25,0.31250,0.33594,0.31250,0.33594,0.28279,1609600
1992-06-26,0.33594,0.34375,0.32031,0.34375,0.28936,396800
1992-06-29,0.34375,0.34375,0.32031,0.32031,0.26964,412800
1992-06-30,0.34375,0.39062,0.32031,0.38281,0.32225,1926400
1992-07-01,0.38281,0.43750,0.35938,0.37500,0.31567,2486400
1992-07-02,0.39062,0.39062,0.35938,0.37500,0.31567,774400
1992-07-06,0.36719,0.36719,0.36328,0.36719,0.30910,3392000
1992-07-07,0.37109,0.40625,0.36719,0.39062,0.32882,2416000
1992-07-08,0.38281,0.38281,0.38281,0.38281,0.32225,182400
1992-07-09,0.40625,0.40625,0.39062,0.40625,0.34198,156800
1992-07-10,0.39844,0.40625,0.39844,0.40625,0.34198,1980800
1992-07-13,0.40625,0.40625,0.39062,0.39062,0.32882,112000
1992-07-14,0.40625,0.40625,0.39062,0.39062,0.32882,51200
1992-07-15,0.40625,0.40625,0.39062,0.39844,0.33540,64000
1992-07-16,0.40625,0.40625,0.39062,0.39062,0.32882,102400
1992-07-17,0.39062,0.40625,0.39062,0.40625,0.34198,83200
1992-07-20,0.39062,0.40625,0.39062,0.40625,0.34198,556800
1992-07-21,0.40625,0.40625,0.39062,0.40625,0.34198,57600
1992-07-22,0.39062,0.39844,0.39062,0.39844,0.33540,166400
1992-07-23,0.38281,0.38281,0.38281,0.38281,0.32225,12800
1992-07-24,0.38281,0.40625,0.38281,0.39062,0.32882,188800
1992-07-27,0.40625,0.40625,0.37500,0.37500,0.31567,22400
1992-07-28,0.37500,0.37891,0.37500,0.37500,0.31567,643200
1992-07-29,0.40625,0.40625,0.37500,0.37500,0.31567,38400
1992-07-30,0.37500,0.40625,0.37500,0.37500,0.31567,3142400
1992-07-31,0.37500,0.39062,0.37500,0.37500,0.31567,134400
1992-08-03,0.40625,0.40625,0.37500,0.38672,0.32554,620800
1992-08-04,0.38672,0.39844,0.37500,0.37500,0.31567,2240000
1992-08-05,0.38281,0.39062,0.34375,0.35938,0.30252,2313600
1992-08-06,0.35156,0.35547,0.33594,0.34766,0.29265,4748800
1992-08-07,0.35156,0.35156,0.34375,0.34766,0.29265,1497600
1992-08-10,0.35156,0.35156,0.32031,0.32031,0.26964,2764800
1992-08-11,0.33594,0.33594,0.32031,0.32031,0.26964,9344000
1992-08-12,0.34375,0.34375,0.32031,0.32031,0.26964,2896000
1992-08-13,0.33594,0.33594,0.32031,0.33594,0.28279,860800
1992-08-14,0.33594,0.33594,0.32031,0.33594,0.28279,163200
1992-08-17,0.33594,0.33594,0.32031,0.33594,0.28279,300800
1992-08-18,0.32031,0.33594,0.32031,0.33594,0.28279,2224000
1992-08-19,0.32031,0.33594,0.32031,0.32031,0.26964,348800
1992-08-20,0.33594,0.33594,0.32031,0.32422,0.27292,3353600
1992-08-21,0.33594,0.33594,0.32031,0.32812,0.27621,2649600
1992-08-24,0.33594,0.33594,0.32031,0.33594,0.28279,16000
1992-08-25,0.33594,0.33594,0.32031,0.32031,0.26964,1254400
1992-08-26,0.33594,0.33594,0.30469,0.31250,0.26306,1417600
1992-08-27,0.30469,0.32812,0.30469,0.31250,0.26306,1619200
1992-08-28,0.32812,0.32812,0.30469,0.31250,0.26306,4230400
1992-08-31,0.30469,0.32031,0.30469,0.31250,0.26306,3750400
1992-09-01,0.32031,0.32031,0.31250,0.31641,0.26635,3494400
1992-09-02,0.32031,0.32812,0.31641,0.32812,0.27621,4768000
1992-09-03,0.32812,0.32812,0.31250,0.32812,0.27621,51200
1992-09-04,0.32031,0.32812,0.31250,0.32031,0.26964,1491200
1992-09-08,0.32812,0.32812,0.31250,0.32422,0.27292,608000
1992-09-09,0.32812,0.32812,0.31250,0.32422,0.27292,1852800
1992-09-10,0.32812,0.32812,0.31250,0.32422,0.27292,3068800
1992-09-11,0.32031,0.32812,0.31250,0.32812,0.27621,294400
1992-09-14,0.32812,0.32812,0.31250,0.32812,0.27621,160000
1992-09-15,0.31250,0.32812,0.31250,0.32812,0.27621,105600
1992-09-16,0.31250,0.33203,0.31250,0.33203,0.27950,5753600
1992-09-17,0.34375,0.34375,0.32031,0.34375,0.28936,121600
1992-09-18,0.32031,0.32812,0.32031,0.32812,0.27621,48000
1992-09-21,0.34375,0.34375,0.32812,0.32812,0.27621,940800
1992-09-22,0.34375,0.34375,0.32812,0.32812,0.27621,1686400
1992-09-23,0.34375,0.34375,0.33594,0.33594,0.28279,457600
1992-09-24,0.32812,0.35156,0.32812,0.34375,0.28936,227200
1992-09-25,0.35156,0.35156,0.33594,0.35156,0.29594,1334400
1992-09-28,0.35156,0.35156,0.33594,0.35156,0.29594,332800
1992-09-29,0.35156,0.35156,0.33594,0.33594,0.28279,19200
1992-09-30,0.35156,0.35156,0.33594,0.35156,0.29594,841600
1992-10-01,0.33594,0.35156,0.33594,0.34375,0.28936,937600
1992-10-02,0.35156,0.35156,0.33594,0.34375,0.28936,825600
1992-10-05,0.32812,0.35156,0.32812,0.34375,0.28936,153600
1992-10-06,0.35156,0.35156,0.32812,0.32812,0.27621,28800
1992-10-07,0.35156,0.35156,0.32812,0.35156,0.29594,9472000
1992-10-08,0.32812,0.35156,0.32812,0.35156,0.29594,6633600
1992-10-09,0.33594,0.35938,0.33594,0.35156,0.29594,1011200
1992-10-12,0.35156,0.35938,0.35156,0.35156,0.29594,160000
1992-10-13,0.35156,0.36719,0.35156,0.35938,0.30252,6048000
1992-10-14,0.35156,0.35156,0.35156,0.35156,0.29594,19200
1992-10-15,0.37500,0.37500,0.35156,0.35156,0.29594,115200
1992-10-16,0.35156,0.37500,0.35156,0.35156,0.29594,406400
1992-10-19,0.37500,0.37500,0.35156,0.37500,0.31567,4793600
1992-10-20,0.35938,0.37500,0.35938,0.36719,0.30910,1056000
1992-10-21,0.38281,0.38281,0.36719,0.37891,0.31896,1830400
1992-10-22,0.37500,0.39062,0.37500,0.39062,0.32882,688000
1992-10-23,0.38281,0.39062,0.37500,0.39062,0.32882,1190400
1992-10-26,0.38672,0.42578,0.38672,0.41797,0.35184,627200
1992-10-27,0.42969,0.45312,0.42188,0.43359,0.36500,1724800
1992-10-28,0.43750,0.43750,0.42188,0.43750,0.36828,486400
1992-10-29,0.43750,0.44531,0.42969,0.43750,0.36828,579200
1992-10-30,0.44531,0.44531,0.42969,0.42969,0.36171,486400
1992-11-02,0.45312,0.45312,0.42969,0.42969,0.36171,105600
1992-11-03,0.42969,0.44531,0.42969,0.44531,0.37486,22400
1992-11-04,0.44531,0.44531,0.42969,0.42969,0.36171,150400
1992-11-05,0.42969,0.44531,0.41016,0.41406,0.34855,822400
1992-11-06,0.42969,0.42969,0.39844,0.40625,0.34198,944000
1992-11-09,0.42969,0.42969,0.40625,0.42969,0.36171,1222400
1992-11-10,0.40625,0.43750,0.40625,0.43750,0.36828,2892800
1992-11-11,0.43750,0.46094,0.42969,0.44531,0.37486,3548800
1992-11-12,0.45312,0.46875,0.44531,0.46094,0.38801,1113600
1992-11-13,0.46094,0.46094,0.44531,0.45312,0.38144,1619200
1992-11-16,0.46094,0.46094,0.45312,0.45312,0.38144,2252800
1992-11-17,0.46094,0.46875,0.42969,0.45312,0.38144,1212800
1992-11-18,0.44141,0.45312,0.42188,0.42969,0.36171,54400
1992-11-19,0.43359,0.45312,0.42969,0.42969,0.36171,1558400
1992-11-20,0.45312,0.45312,0.42188,0.42188,0.35513,1072000
