Date,Open,High,Low,Close,Adj Close,Volume
1995-12-06,5.74992,6.49998,5.74992,5.74992,0.20814,464400
1995-12-07,5.99994,6.49998,5.74992,5.99994,0.21719,618300
1995-12-08,6.75000,6.75000,6.24996,6.24996,0.22624,56700
1995-12-11,5.74992,6.62499,5.74992,5.74992,0.20814,229500
1995-12-12,5.74992,6.62499,5.74992,5.74992,0.20814,51300
1995-12-13,5.99994,6.62499,5.74992,5.99994,0.21719,307800
1995-12-14,5.74992,6.62499,5.74992,5.74992,0.20814,40500
1995-12-15,5.74992,6.12495,5.74992,5.74992,0.20814,89100
1995-12-18,5.74992,6.37497,5.74992,5.74992,0.20814,113400
1995-12-19,6.75000,6.75000,5.74992,5.74992,0.20814,224100
1995-12-20,5.74992,6.75000,5.74992,6.24996,0.22624,450900
1995-12-21,6.75000,7.00002,6.12495,6.87501,0.24887,253800
1995-12-22,7.00002,7.00002,6.49998,6.75000,0.24434,35100
1995-12-26,6.24996,6.75000,6.24996,6.37497,0.23077,1155600
1995-12-27,7.25004,7.25004,6.24996,7.25004,0.26245,210600
1995-12-28,6.24996,7.25004,6.24996,6.75000,0.24434,124200
1995-12-29,6.24996,6.24996,6.24996,6.24996,0.22624,164700
1996-01-02,6.49998,7.25004,6.49998,6.62499,0.23982,24300
1996-01-03,6.62499,6.75000,6.49998,6.49998,0.23529,742500
1996-01-04,6.49998,7.25004,6.49998,6.62499,0.23982,110700
1996-01-05,7.25004,7.25004,6.75000,6.75000,0.24434,21600
1996-01-08,6.49998,6.49998,6.49998,6.49998,0.23529,2700
1996-01-09,6.49998,6.49998,6.49998,6.49998,0.23529,35100
1996-01-10,6.37497,7.00002,6.37497,6.37497,0.23077,162000
1996-01-11,6.37497,7.00002,6.37497,6.37497,0.23077,43200
1996-01-12,6.37497,7.00002,6.37497,6.37497,0.23077,955800
1996-01-15,6.37497,7.25004,6.37497,7.25004,0.26245,91800
1996-01-16,7.25004,7.25004,6.37497,6.37497,0.23077,43200
1996-01-17,6.37497,6.37497,6.37497,6.37497,0.23077,70200
1996-01-18,6.37497,7.09371,6.37497,7.00002,0.25340,621000
1996-01-19,6.62499,6.62499,6.49998,6.49998,0.23529,124200
1996-01-22,6.37497,6.37497,6.37497,6.37497,0.23077,145800
1996-01-23,6.37497,7.25004,6.37497,7.25004,0.26245,64800
1996-01-24,7.25004,7.25004,6.37497,6.37497,0.23077,10800
1996-01-25,6.37497,7.25004,6.37497,6.37497,0.23077,140400
1996-01-26,6.24996,6.75000,6.24996,6.75000,0.24434,113400
1996-01-29,7.25004,7.25004,6.24996,6.24996,0.22624,43200
1996-01-30,6.24996,7.25004,6.24996,7.25004,0.26245,21600
1996-01-31,7.25004,7.25004,7.25004,7.25004,0.26245,5400
1996-02-01,7.25004,7.25004,7.25004,7.25004,0.26245,0
1996-02-02,6.24996,7.00002,6.24996,6.78132,0.24548,680400
1996-02-05,7.25004,7.25004,7.25004,7.25004,0.26245,2700
1996-02-06,7.25004,7.25004,6.37497,6.37497,0.23077,291600
1996-02-07,6.37497,6.37497,6.37497,6.37497,0.23077,5400
1996-02-08,6.37497,6.37497,6.37497,6.37497,0.23077,0
1996-02-09,6.37497,6.37497,6.37497,6.37497,0.23077,0
1996-02-12,6.24996,7.00002,5.87493,5.99994,0.21719,591300
1996-02-13,5.87493,6.75000,5.87493,6.75000,0.24434,35100
1996-02-14,6.75000,6.75000,5.87493,6.24996,0.22624,232200
1996-02-15,6.75000,6.75000,5.87493,5.87493,0.21267,194400
