Date,Open,High,Low,Close,Adj Close,Volume
2002-02-13,9.62500,10.06000,9.52500,10.05000,6.76667,19054000
2002-02-14,10.17500,10.19500,9.92500,10.00000,6.73300,2755400
2002-02-15,10.00000,10.02500,9.85000,9.95000,6.69934,2097400
2002-02-19,9.90000,9.90000,9.37500,9.55000,6.43002,1852600
2002-02-20,9.60000,9.87500,9.52500,9.87500,6.64884,1723200
2002-02-21,9.84000,9.92500,9.75000,9.85000,6.63201,1744200
2002-02-22,9.92500,9.92500,9.60000,9.67500,6.51418,881400
2002-02-25,9.65000,9.82500,9.54000,9.75000,6.56468,863400
2002-02-26,9.70000,9.85000,9.54500,9.75000,6.56468,690400
2002-02-27,9.67500,9.68000,9.50000,9.57500,6.44685,1022800
2002-02-28,9.60000,9.72500,9.55000,9.55000,6.43002,687800
2002-03-01,9.52500,9.77500,9.49000,9.68500,6.52091,478400
2002-03-04,9.72500,9.90500,9.71000,9.85000,6.63201,795200
2002-03-05,9.80000,9.82500,9.58000,9.62500,6.48051,861200
2002-03-06,9.62000,9.71500,9.60000,9.67500,6.51418,329200
2002-03-07,9.67500,10.30000,9.67500,10.21000,6.87439,675200
2002-03-08,10.15000,10.50000,10.15000,10.45000,7.03599,400200
2002-03-11,10.40000,10.70000,10.37500,10.58500,7.12688,1365600
2002-03-12,10.50000,10.95000,10.50000,10.60000,7.13698,1454800
2002-03-13,10.60000,10.75000,10.32500,10.51000,7.07638,1265800
2002-03-14,10.51000,10.60000,10.42000,10.50000,7.06965,424200
2002-03-15,10.50000,10.55000,9.95000,10.17500,6.85083,427000
2002-03-18,10.20000,10.20000,9.52500,9.65000,6.49735,551800
2002-03-19,9.72500,9.75000,9.30000,9.35000,6.29536,807400
2002-03-20,9.27500,9.27500,8.50000,9.01000,6.06643,2309000
2002-03-21,9.01000,9.62500,9.01000,9.37500,6.31219,1106800
2002-03-22,9.37500,9.79500,9.25500,9.65000,6.49735,623600
2002-03-25,9.75000,9.90500,9.59000,9.86000,6.63874,1892800
2002-03-26,10.00000,10.05000,9.89000,9.99000,6.72627,454200
2002-03-27,9.99000,10.50000,9.95000,10.30000,6.93499,342400
2002-03-28,10.25000,10.30000,10.05000,10.10000,6.80033,428600
2002-04-01,10.02500,10.02500,9.50000,9.52500,6.41318,470000
2002-04-02,9.50000,9.50000,9.17500,9.32000,6.27516,524600
2002-04-03,9.32500,9.40000,9.22000,9.30000,6.26169,141800
2002-04-04,9.27500,9.52500,9.27500,9.47500,6.37952,190800
2002-04-05,9.47500,9.70000,9.24500,9.24500,6.22466,209400
2002-04-08,9.30000,9.30000,8.88500,9.15000,6.16070,389600
2002-04-09,9.10000,9.60000,9.10000,9.47500,6.37952,890600
2002-04-10,9.45000,9.52500,9.37500,9.46000,6.36942,325600
2002-04-11,9.45500,9.45500,9.25000,9.25000,6.22803,361000
2002-04-12,9.32500,9.32500,9.03000,9.12500,6.14386,309000
