Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.54688,4.54688,4.54688,4.54688,2.51213,20000
1973-02-22,4.57812,4.57812,4.57812,4.57812,2.52940,6400
1973-02-23,4.73438,4.73438,4.73438,4.73438,2.61572,43200
1973-02-26,4.73438,4.73438,4.73438,4.73438,2.61572,4800
1973-02-27,4.67188,4.67188,4.67188,4.67188,2.58119,1600
1973-02-28,4.62500,4.62500,4.62500,4.62500,2.55529,65600
1973-03-01,4.64062,4.64062,4.64062,4.64062,2.56393,3200
1973-03-02,4.62500,4.62500,4.62500,4.62500,2.55529,1600
1973-03-05,4.59375,4.59375,4.59375,4.59375,2.53803,14400
1973-03-06,4.60938,4.60938,4.60938,4.60938,2.54666,108000
1973-03-07,4.50000,4.50000,4.50000,4.50000,2.48623,36000
1973-03-08,4.50000,4.50000,4.50000,4.50000,2.48623,8000
1973-03-09,4.37500,4.37500,4.37500,4.37500,2.41717,16800
1973-03-12,4.25000,4.25000,4.25000,4.25000,2.34811,17600
1973-03-13,4.31250,4.31250,4.31250,4.31250,2.38264,14400
1973-03-14,4.26562,4.26562,4.26562,4.26562,2.35674,13600
1973-03-15,4.25000,4.25000,4.25000,4.25000,2.34811,28000
1973-03-16,4.25000,4.25000,4.25000,4.25000,2.34811,121600
1973-03-19,4.26562,4.26562,4.26562,4.26562,2.35674,16800
1973-03-20,4.21875,4.21875,4.21875,4.21875,2.33084,20000
1973-03-21,4.15625,4.15625,4.15625,4.15625,2.29631,16800
1973-03-22,3.89062,3.89062,3.89062,3.89062,2.14955,16000
1973-03-23,3.81250,3.81250,3.81250,3.81250,2.10639,44000
1973-03-26,3.78125,3.78125,3.78125,3.78125,2.08912,25600
1973-03-27,4.00000,4.00000,4.00000,4.00000,2.20998,25600
1973-03-28,4.23438,4.23438,4.23438,4.23438,2.33948,12800
1973-03-29,4.37500,4.37500,4.37500,4.37500,2.41717,25600
1973-03-30,4.37500,4.37500,4.37500,4.37500,2.41717,35200
1973-04-02,4.34375,4.34375,4.34375,4.34375,2.39990,16000
1973-04-03,4.20312,4.20312,4.20312,4.20312,2.32221,127200
1973-04-04,4.09375,4.09375,4.09375,4.09375,2.26178,32800
1973-04-05,4.00000,4.00000,4.00000,4.00000,2.20998,29600
