Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,3.94606,3.89146,3.94606,1.26450,158400
1972-06-02,3.94606,4.02051,3.92124,3.97584,1.27404,704800
1972-06-05,3.95102,3.95102,3.81204,3.82197,1.22796,284400
1972-06-06,3.82197,3.85175,3.80211,3.81204,1.22477,203600
1972-06-07,3.81204,3.82197,3.79219,3.79715,1.21998,85600
1972-06-08,3.79715,3.82197,3.78226,3.78226,1.21520,191200
1972-06-09,3.77233,3.77233,3.70284,3.76240,1.20882,292000
1972-06-12,3.76240,3.80708,3.76240,3.76240,1.20882,128400
1972-06-13,3.76240,3.78226,3.72270,3.74255,1.20244,720000
1972-06-14,3.74255,3.78226,3.73759,3.77233,1.21201,594000
1972-06-15,3.77233,3.80708,3.77233,3.79715,1.21998,251600
1972-06-16,3.79715,3.82693,3.79219,3.81700,1.22636,279200
1972-06-19,3.82197,3.86168,3.82197,3.85671,1.23912,516000
1972-06-20,3.85671,3.86664,3.82197,3.84678,1.23593,375200
1972-06-21,3.84678,3.87657,3.84182,3.86168,1.24071,246400
1972-06-22,3.86168,3.88153,3.81700,3.88153,1.24709,208800
1972-06-23,3.88153,3.98080,3.88153,3.94109,1.26623,498400
1972-06-26,3.94109,3.96095,3.91628,3.94109,1.26623,251600
1972-06-27,3.94109,3.97088,3.93117,3.97088,1.27580,271600
1972-06-28,3.97088,3.98577,3.96095,3.97088,1.27580,110800
1972-06-29,3.97088,4.00066,3.96095,3.99073,1.28218,211200
1972-06-30,3.98577,3.98577,3.96095,3.96095,1.27261,120800
1972-07-03,3.96095,3.97088,3.91131,3.93117,1.26304,128400
1972-07-05,3.93117,3.95102,3.91131,3.93117,1.26304,118000
1972-07-06,3.93117,3.99073,3.92124,3.92124,1.25985,236400
1972-07-07,3.92124,3.92620,3.85175,3.87160,1.24390,226400
1972-07-10,3.87160,3.93117,3.87160,3.91131,1.25666,370000
1972-07-11,3.91131,3.91131,3.88153,3.88153,1.24709,148400
1972-07-12,3.87160,3.87160,3.80708,3.81204,1.22477,271600
1972-07-13,3.81204,3.81204,3.77233,3.80708,1.22317,269200
1972-07-14,3.81204,3.89146,3.81204,3.88153,1.24709,742800
1972-07-17,3.88153,3.88649,3.85175,3.87160,1.24390,536400
1972-07-18,3.87160,3.87160,3.83686,3.87160,1.24390,186000
1972-07-19,3.88153,3.95102,3.88153,3.89146,1.25028,339600
1972-07-20,3.87657,3.87657,3.84182,3.85175,1.23752,312000
1972-07-21,3.85175,3.88153,3.83686,3.88153,1.24709,360000
1972-07-24,3.88153,3.89146,3.83686,3.88153,1.24709,543600
1972-07-25,3.89642,3.97584,3.89642,3.93117,1.26304,941600
1972-07-26,3.93117,3.94109,3.91131,3.91628,1.25826,203600
1972-07-27,3.93117,3.97088,3.93117,3.97088,1.27580,360000
1972-07-28,3.97088,3.99073,3.97088,3.99073,1.28218,395200
1972-07-31,3.99073,4.01058,3.97088,3.99073,1.28218,138400
1972-08-01,3.99073,4.03044,3.97584,4.03044,1.29494,193600
1972-08-02,4.05029,4.20913,4.05029,4.19920,1.34916,904000
1972-08-03,4.20913,4.35804,4.20913,4.30840,1.38424,523600
1972-08-04,4.32825,4.36796,4.32825,4.34811,1.39700,496000
1972-08-07,4.34811,4.35307,4.31833,4.31833,1.38743,188800
1972-08-08,4.31833,4.43249,4.31833,4.43249,1.42411,307200
1972-08-09,4.43249,4.52680,4.43249,4.44738,1.42889,448000
1972-08-10,4.46724,4.52680,4.46724,4.50198,1.44644,246400
