Date,Open,High,Low,Close,Adj Close,Volume
2006-09-06,4.95000,5.33500,4.88750,5.27750,4.31234,30584000
2006-09-07,5.28000,5.71000,5.13750,5.52500,4.51458,21539200
2006-09-08,5.47750,5.68000,5.40250,5.51500,4.50640,15618000
2006-09-11,5.37750,5.49250,5.37500,5.43500,4.44104,20751600
2006-09-12,5.42250,5.51250,5.36250,5.48250,4.47985,9154000
2006-09-13,5.50250,5.80000,5.50250,5.63750,4.60650,12278800
2006-09-14,5.56250,5.62500,5.41750,5.45250,4.45533,5515200
2006-09-15,5.42750,5.46000,5.30000,5.31750,4.34502,8064000
2006-09-18,5.37500,5.43750,5.31750,5.41500,4.42469,3601600
2006-09-19,5.38750,5.62500,5.30750,5.35000,4.37158,3788800
2006-09-20,5.34500,5.56500,5.34000,5.55000,4.53500,2536800
2006-09-21,5.42500,5.50000,5.41750,5.43750,4.44308,2767600
2006-09-22,5.44250,5.55500,5.41500,5.53500,4.52274,1448800
2006-09-25,5.48000,5.62750,5.46250,5.56750,4.54930,3204000
2006-09-26,5.60000,5.62500,5.57500,5.59250,4.56973,1690000
2006-09-27,5.46500,5.67250,5.45000,5.65000,4.61671,4552400
2006-09-28,5.58750,5.73250,5.57250,5.61250,4.58607,2999600
2006-09-29,5.63750,5.66000,5.55250,5.62750,4.59833,3173200
2006-10-02,5.59500,5.65250,5.57500,5.62250,4.59424,2194000
2006-10-03,5.64500,5.68250,5.58000,5.62750,4.59833,2680400
2006-10-04,5.60000,5.77250,5.56250,5.67500,4.63714,2998800
2006-10-05,5.65000,5.81750,5.65000,5.78750,4.72907,4523200
2006-10-06,5.75500,5.78500,5.69000,5.73000,4.68208,1599200
2006-10-09,5.70000,5.78250,5.66250,5.74500,4.69434,993600
2006-10-10,5.63250,5.71250,5.59750,5.67000,4.63306,3932000
2006-10-11,5.67500,5.69000,5.58750,5.66250,4.62693,3731200
2006-10-12,5.83500,5.87250,5.72000,5.75000,4.69843,6095200
2006-10-13,5.77000,5.85750,5.77000,5.83750,4.76992,4036400
2006-10-16,5.83500,5.83500,5.75000,5.75000,4.69843,1898400
2006-10-17,5.75000,5.76250,5.69750,5.70000,4.65757,2042800
2006-10-18,5.72250,5.76250,5.68250,5.74750,4.69638,2838800
2006-10-19,5.75000,5.77500,5.68750,5.75000,4.69843,1372800
2006-10-20,5.75250,5.84500,5.75250,5.81000,4.74745,722400
2006-10-23,5.81000,5.92000,5.81000,5.88750,4.81078,2190800
2006-10-24,5.82500,5.95250,5.77750,5.95250,4.86389,1939200
2006-10-25,5.92500,6.03750,5.91500,5.95000,4.86185,2170400
2006-10-26,5.94750,6.12500,5.93000,6.06750,4.95786,2729600
2006-10-27,6.06250,6.12500,6.04250,6.11250,4.99463,2366000
2006-10-30,6.06250,6.15000,5.99750,6.06250,4.95378,2126800
2006-10-31,5.87500,5.97750,5.75500,5.90000,4.82099,5304000
2006-11-01,5.84250,5.85750,5.72250,5.75500,4.70251,2341200
2006-11-02,5.75000,5.90500,5.62500,5.88750,4.81078,2562000
2006-11-03,5.82500,5.87500,5.71250,5.74250,4.69230,2596800
2006-11-06,5.70000,5.75000,5.67750,5.70000,4.65757,3257200
2006-11-07,5.66750,5.73000,5.55250,5.58250,4.56156,2862000
2006-11-08,5.50000,5.59000,5.42500,5.53250,4.52070,3322800
2006-11-09,5.52000,5.55750,5.49750,5.53500,4.52274,2870800
2006-11-10,5.58750,5.63750,5.50000,5.63250,4.60242,2338400
2006-11-13,5.63250,5.71000,5.60250,5.64000,4.60854,1491600
2006-11-14,5.62500,5.90250,5.62500,5.87000,4.79648,2555200
2006-11-15,6.00000,6.00500,5.86250,5.94500,4.85776,2912000
2006-11-16,5.96250,6.03750,5.92500,6.01000,4.91088,2921600
2006-11-17,6.01500,6.01500,5.94500,6.00000,4.90270,2610800
2006-11-20,6.00000,6.09250,5.96250,6.07000,4.95990,2311600
2006-11-21,6.04000,6.08500,5.99750,6.03750,4.93335,1254400
2006-11-22,6.06000,6.16250,6.03500,6.12000,5.00076,2896400
2006-11-24,6.08750,6.11250,6.01750,6.11250,4.99463,581200
2006-11-27,6.08750,6.08750,5.94500,6.01000,4.91088,1120800
2006-11-28,5.99500,6.03500,5.92500,6.00500,4.90679,2980800
2006-11-29,5.96750,6.03500,5.96500,6.00000,4.90270,1025200
2006-11-30,6.04750,6.14000,6.00250,6.09750,4.98237,5052000
2006-12-01,6.10500,6.19250,6.03750,6.17750,5.04774,2306000
2006-12-04,6.00250,6.01750,5.89500,5.97000,4.87819,4436000
2006-12-05,5.98750,6.05500,5.97500,6.02000,4.91905,955200
2006-12-06,6.04250,6.04500,5.94000,5.98250,4.88841,1823200
2006-12-07,5.98250,6.06500,5.93750,5.96250,4.87206,1774400
2006-12-08,5.95000,6.02500,5.87250,5.92750,4.84346,1918400
