Date,Open,High,Low,Close,Adj Close,Volume
2011-03-10,31.20000,31.50000,30.70000,31.02000,24.16988,64599900
2011-03-11,30.50000,31.29000,30.50000,31.12000,24.24780,9531600
2011-03-14,30.96000,31.05000,30.57000,30.91000,24.08417,8663800
2011-03-15,30.39000,31.50000,30.36000,31.34000,24.41922,7121200
2011-03-16,31.25000,31.95000,31.12000,31.25000,24.34909,6157900
2011-03-17,31.54000,31.93000,31.40000,31.91000,24.86335,3332400
2011-03-18,32.11000,33.08000,31.90000,33.06000,25.75939,5463200
2011-03-21,33.39000,33.39000,32.00000,32.25000,25.12826,3823500
2011-03-22,32.37000,32.39000,31.39000,31.87000,24.83218,3943900
2011-03-23,31.70000,32.68000,31.50000,32.68000,25.46331,4216300
2011-03-24,32.53000,32.95000,32.50000,32.69000,25.47109,2125600
2011-03-25,32.71000,33.10000,32.58000,32.95000,25.67368,3026600
2011-03-28,32.87000,33.11000,32.75000,33.04000,25.74381,2098300
2011-03-29,33.44000,34.01000,33.05000,33.89000,26.40610,5137300
2011-03-30,34.57000,34.57000,33.93000,34.24000,26.67881,3049500
2011-03-31,34.00000,34.11000,33.67000,33.87000,26.39052,1960600
2011-04-01,33.89000,34.10000,33.66000,33.74000,26.28922,1822100
2011-04-04,33.87000,33.87000,33.31000,33.67000,26.23468,2648000
2011-04-05,33.70000,34.05000,33.25000,34.02000,26.50739,3607100
2011-04-06,33.75000,34.20000,33.24000,33.30000,25.94639,2718500
2011-04-07,33.28000,33.85000,32.85000,33.66000,26.22689,1946900
2011-04-08,33.52000,33.99000,32.99000,33.17000,25.84510,2339800
2011-04-11,33.34000,33.34000,30.79000,32.12000,25.02697,15028000
2011-04-12,32.11000,32.59000,31.33000,31.53000,24.56726,3848800
2011-04-13,32.00000,32.45000,31.70000,32.06000,24.98022,3969800
2011-04-14,31.89000,32.50000,31.79000,32.14000,25.04255,1565900
2011-04-15,32.30000,32.38000,31.89000,31.98000,24.91788,3072800
2011-04-18,31.82000,32.54000,30.75000,32.08000,24.99580,2911100
2011-04-19,33.08000,33.10000,31.66000,31.74000,24.73088,3838100
2011-04-20,32.00000,32.19000,31.15000,31.65000,24.66076,3866100
2011-04-21,31.81000,31.98000,31.27000,31.40000,24.46597,1462000
2011-04-25,31.56000,31.60000,31.10000,31.40000,24.46597,732700
2011-04-26,31.35000,32.07000,31.16000,32.00000,24.93347,1800000
2011-04-27,32.26000,33.00000,32.25000,32.65000,25.43993,3354500
2011-04-28,32.51000,32.99000,32.25000,32.57000,25.37759,1600000
2011-04-29,32.50000,32.86000,32.03000,32.80000,25.55680,1233900
2011-05-02,32.80000,33.79000,32.80000,33.44000,26.05547,2786200
2011-05-03,33.59000,33.88000,31.94000,32.61000,25.40876,3429400
2011-05-04,33.10000,33.96000,32.79000,33.55000,26.14118,4518300
2011-05-05,33.45000,34.74000,33.15000,34.34000,26.75673,2613000
2011-05-06,34.06000,34.50000,33.89000,34.25000,26.68660,1601300
2011-05-09,34.35000,34.75000,34.14000,34.49000,26.87361,1996100
2011-05-10,34.03000,34.86000,34.00000,34.59000,26.95152,1475100
2011-05-11,34.20000,34.79000,34.06000,34.54000,26.91256,1431700
2011-05-12,34.30000,34.59000,34.12000,34.51000,26.88918,814000
2011-05-13,34.43000,34.77000,34.23000,34.60000,26.95931,1694000
2011-05-16,34.30000,34.60000,34.05000,34.25000,26.68660,1719900
2011-05-17,34.21000,34.95000,34.00000,34.54000,26.91256,3131000
2011-05-18,34.40000,35.24000,34.15000,35.07000,27.32552,2070300
2011-05-19,35.02000,35.23000,34.50000,35.05000,27.30994,1183900
2011-05-20,34.90000,35.04000,34.15000,34.63000,26.98269,2012400
2011-05-23,34.40000,34.55000,34.00000,34.41000,26.81127,2200000
2011-05-24,34.53000,34.64000,34.07000,34.49000,26.87361,3000000
2011-05-25,34.57000,35.00000,34.24000,34.68000,27.02165,2539100
2011-05-26,34.90000,34.91000,34.05000,34.83000,27.13852,1796500
2011-05-27,34.92000,35.10000,34.41000,34.74000,27.06840,1474700
2011-05-31,34.99000,35.31000,34.56000,34.89000,27.18527,8113400
2011-06-01,35.00000,35.27000,34.42000,34.77000,27.09177,3049800
2011-06-02,34.84000,35.05000,34.25000,34.36000,26.77231,2160100
2011-06-03,34.00000,34.15000,33.72000,34.14000,26.60090,2519100
2011-06-06,33.98000,34.28000,33.06000,33.74000,26.28922,2361000
2011-06-07,33.79000,34.90000,33.73000,34.52000,26.89698,1896300
2011-06-08,34.57000,34.99000,34.25000,34.76000,27.08398,1458400
2011-06-09,35.03000,35.37000,34.58000,35.24000,27.45798,1634100
2011-06-10,35.00000,35.00000,33.86000,33.90000,26.41389,2222700
2011-06-13,34.15000,34.15000,33.25000,33.65000,26.21910,1671700
2011-06-14,33.80000,34.07000,33.26000,33.54000,26.13339,1846300
2011-06-15,33.25000,33.52000,32.62000,33.15000,25.82952,2544700
2011-06-16,34.05000,34.80000,33.50000,33.87000,26.39052,5779300
2011-06-17,34.00000,34.99000,33.95000,34.59000,26.95152,3872600
2011-06-20,34.72000,34.72000,34.05000,34.23000,26.67102,1461700
2011-06-21,34.20000,34.36000,33.50000,33.90000,26.41389,2728100
2011-06-22,33.90000,33.99000,33.36000,33.42000,26.03989,2487500
2011-06-23,33.30000,33.44000,32.28000,33.21000,25.87626,3222100
2011-06-24,33.31000,33.31000,32.16000,32.25000,25.12826,11475100
2011-06-27,32.40000,32.71000,31.49000,32.48000,25.30747,3136700
2011-06-28,32.59000,33.08000,32.58000,32.75000,25.51784,2536500
2011-06-29,32.98000,33.30000,32.59000,32.76000,25.52564,1405800
2011-06-30,32.78000,33.39000,32.63000,33.00000,25.71264,1479200
2011-07-01,33.14000,33.50000,32.54000,33.06000,25.75939,1663200
2011-07-05,33.07000,33.47000,32.98000,33.17000,25.84510,957900
2011-07-06,33.26000,34.17000,33.12000,33.99000,26.48402,2467500
2011-07-07,34.25000,34.74000,34.00000,34.29000,26.71777,1928600
2011-07-08,33.96000,34.01000,33.29000,33.83000,26.35935,874800
2011-07-11,33.54000,33.67000,32.99000,33.06000,25.75939,777900
2011-07-12,33.05000,33.73000,32.65000,32.80000,25.55680,1075800
2011-07-13,32.98000,33.67000,32.81000,33.24000,25.89964,1120100
2011-07-14,33.30000,33.54000,32.98000,33.22000,25.88406,1107800
2011-07-15,33.27000,33.28000,32.74000,33.22000,25.88406,1116700
