Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,8.04167,7.68750,7.77083,4.31853,747600
1980-03-18,0.00000,8.10417,7.56250,8.04167,4.46904,1204800
1980-03-19,0.00000,8.25000,8.06250,8.06250,4.48062,745200
1980-03-20,0.00000,8.16667,7.83333,7.87500,4.37642,430800
1980-03-21,0.00000,7.95833,7.72917,7.72917,4.29537,453000
1980-03-24,0.00000,7.68750,7.20833,7.27083,4.04066,810000
1980-03-25,0.00000,7.43750,7.00000,7.08333,3.93646,2117400
1980-03-26,0.00000,7.20833,6.93750,6.97917,3.87857,816600
1980-03-27,0.00000,6.89583,6.27083,6.83333,3.79752,1286400
1980-03-28,0.00000,7.33333,6.93750,7.20833,4.00592,837600
1980-03-31,0.00000,7.35417,7.08333,7.25000,4.02908,399600
1980-04-01,0.00000,7.31250,7.06250,7.14583,3.97119,631200
1980-04-02,0.00000,7.31250,7.16667,7.25000,4.02908,486000
1980-04-03,0.00000,7.31250,7.14583,7.16667,3.98277,483600
1980-04-07,0.00000,7.12500,7.00000,7.00000,3.89015,315000
1980-04-08,0.00000,7.20833,6.95833,7.16667,3.98277,348000
1980-04-09,0.00000,7.39583,7.16667,7.37500,4.09855,824400
1980-04-10,0.00000,7.43750,7.31250,7.43750,4.13328,516000
1980-04-11,0.00000,7.70833,7.47917,7.70833,4.28379,829200
1980-04-14,0.00000,7.79167,7.60417,7.79167,4.33010,594600
1980-04-15,0.00000,7.89583,7.66667,7.68750,4.27222,346200
1980-04-16,0.00000,7.72917,7.37500,7.39583,4.11012,456600
1980-04-17,0.00000,7.41667,7.25000,7.39583,4.11012,353400
1980-04-18,0.00000,7.52083,7.31250,7.39583,4.11012,268800
1980-04-21,0.00000,7.43750,7.16667,7.27083,4.04066,346800
1980-04-22,0.00000,7.95833,7.27083,7.95833,4.42273,852000
1980-04-23,0.00000,7.95833,7.72917,7.81250,4.34168,838800
1980-04-24,0.00000,7.83333,7.60417,7.75000,4.30695,589200
1980-04-25,0.00000,7.75000,7.54167,7.75000,4.30695,379800
1980-04-28,0.00000,8.00000,7.79167,7.83333,4.35326,469200
1980-04-29,0.00000,8.06250,7.87500,8.04167,4.46904,319800
1980-04-30,0.00000,8.04167,7.87500,7.95833,4.42273,215400
1980-05-01,0.00000,8.10417,7.85417,7.85417,4.36484,627000
1980-05-02,0.00000,7.87500,7.72917,7.72917,4.29537,1040400
1980-05-05,0.00000,7.77083,7.66667,7.66667,4.26064,316200
1980-05-06,0.00000,7.66667,7.50000,7.50000,4.16802,381000
1980-05-07,0.00000,7.47917,7.29167,7.31250,4.06381,545400
1980-05-08,0.00000,7.31250,7.20833,7.25000,4.02908,782400
1980-05-09,0.00000,7.18750,7.08333,7.12500,3.95961,482400
1980-05-12,0.00000,7.14583,7.06250,7.12500,3.95961,250800
1980-05-13,0.00000,7.39583,7.16667,7.39583,4.11012,430200
1980-05-14,0.00000,7.47917,7.29167,7.29167,4.05224,750600
1980-05-15,0.00000,7.37500,7.25000,7.31250,4.06381,247200
1980-05-16,0.00000,7.33333,7.16667,7.22917,4.01750,600600
1980-05-19,0.00000,7.22917,7.10417,7.16667,3.98277,844200
1980-05-20,0.00000,7.22917,7.16667,7.16667,3.98277,499800
1980-05-21,0.00000,7.20833,7.12500,7.18750,3.99434,622800
1980-05-22,0.00000,7.45833,7.20833,7.41667,4.12170,743400
1980-05-23,0.00000,7.72917,7.54167,7.60417,4.22590,793200
1980-05-27,0.00000,7.70833,7.56250,7.60417,4.22590,682800
1980-05-28,0.00000,8.14583,7.66667,8.08333,4.49219,759000
1980-05-29,0.00000,8.18750,7.85417,7.89583,4.38799,606000
1980-05-30,0.00000,8.10417,7.72917,8.08333,4.49219,487800
1980-06-02,0.00000,8.20833,8.06250,8.14583,4.52693,300000
1980-06-03,0.00000,8.47917,8.12500,8.41667,4.67744,714000
1980-06-04,0.00000,8.66667,8.41667,8.60417,4.78164,619800
1980-06-05,0.00000,8.70833,8.50000,8.52083,4.73533,558600
1980-06-06,0.00000,8.70833,8.54167,8.68750,4.82795,792000
1980-06-09,0.00000,9.08333,8.85417,9.08333,5.04793,964200
1980-06-10,0.00000,9.31250,9.08333,9.29167,5.16371,1206000
1980-06-11,0.00000,9.62500,9.22917,9.37500,5.21002,2180400
1980-06-12,0.00000,9.33333,8.91667,9.12500,5.07108,1104000
1980-06-13,0.00000,9.18750,9.04167,9.10417,5.05951,1853400
1980-06-16,0.00000,9.12500,8.93750,8.93750,4.96689,370800
1980-06-17,0.00000,9.14583,8.95833,9.14583,5.08266,527400
1980-06-18,0.00000,9.14583,9.04167,9.10417,5.05951,519600
1980-06-19,0.00000,9.16667,9.00000,9.02083,5.01320,598200
1980-06-20,0.00000,9.02083,8.87500,8.87500,4.93215,367800
1980-06-23,0.00000,9.00000,8.83333,8.95833,4.97846,748800
1980-06-24,0.00000,9.02083,8.87500,8.95833,4.97846,554400
1980-06-25,0.00000,9.25000,9.04167,9.16667,5.09424,857400
1980-06-26,0.00000,9.39583,9.22917,9.22917,5.12897,629400
1980-06-27,0.00000,9.37500,9.25000,9.31250,5.17528,432600
1980-06-30,0.00000,9.29167,8.79167,8.83333,4.90900,423600
1980-07-01,0.00000,9.00000,8.83333,8.95833,4.97846,327000
1980-07-02,0.00000,9.16667,9.00000,9.08333,5.04793,337200
1980-07-03,0.00000,9.60417,9.22917,9.58333,5.32580,1262400
1980-07-07,0.00000,9.85417,9.72917,9.83333,5.46473,921600
1980-07-08,0.00000,9.89583,9.62500,9.66667,5.37211,1087800
1980-07-09,0.00000,9.60417,9.39583,9.39583,5.22159,1456200
1980-07-10,0.00000,9.39583,9.25000,9.27083,5.15213,687000
1980-07-11,0.00000,9.52083,9.25000,9.50000,5.27949,1108800
1980-07-14,0.00000,9.93750,9.54167,9.93750,5.52262,786600
1980-07-15,0.00000,10.00000,9.50000,9.60417,5.33737,1125600
1980-07-16,0.00000,9.70833,9.50000,9.60417,5.33737,569400
1980-07-17,0.00000,9.77083,9.58333,9.77083,5.43000,366000
1980-07-18,0.00000,9.83333,9.58333,9.66667,5.37211,496800
1980-07-21,0.00000,9.85417,9.52083,9.83333,5.46473,448200
1980-07-22,0.00000,10.10417,9.93750,9.95833,5.53420,1582200
1980-07-23,0.00000,10.20833,9.95833,10.06250,5.59208,540000
1980-07-24,0.00000,10.22917,10.00000,10.12500,5.62682,717600
1980-07-25,0.00000,10.27083,10.14583,10.27083,5.70787,922200
1980-07-28,0.00000,10.58333,10.16667,10.58333,5.88153,934200
1980-07-29,0.00000,10.75000,10.54167,10.70833,5.95100,829800
1980-07-30,0.00000,10.75000,10.12500,10.12500,5.62682,1433400
1980-07-31,0.00000,10.06250,9.75000,9.95833,5.53420,1350600
1980-08-01,0.00000,10.00000,9.79167,9.91667,5.51104,613200
1980-08-04,0.00000,9.81250,9.66667,9.79167,5.44158,383400
1980-08-05,0.00000,9.95833,9.77083,9.89583,5.49946,391800
1980-08-06,0.00000,10.00000,9.83333,10.00000,5.55735,251400
1980-08-07,0.00000,10.29167,9.97917,10.29167,5.71944,758400
1980-08-08,0.00000,10.54167,10.20833,10.31250,5.73102,770400
1980-08-11,0.00000,10.29167,10.14583,10.20833,5.67313,304800
1980-08-12,0.00000,10.22917,10.00000,10.00000,5.55735,216000
1980-08-13,0.00000,10.08333,9.91667,9.97917,5.54578,259200
1980-08-14,0.00000,10.31250,10.02083,10.31250,5.73102,443400
1980-08-15,0.00000,10.37500,10.22917,10.35417,5.75418,720600
1980-08-18,0.00000,10.33333,10.16667,10.25000,5.69628,475800
1980-08-19,0.00000,10.29167,10.16667,10.20833,5.67313,505800
1980-08-20,0.00000,10.29167,10.20833,10.25000,5.69628,406800
1980-08-21,0.00000,10.83333,10.27083,10.79167,5.99731,1105200
1980-08-22,0.00000,10.89583,10.77083,10.83333,6.02046,1016400
1980-08-25,0.00000,10.93750,10.77083,10.89583,6.05520,302400
1980-08-26,0.00000,10.93750,10.75000,10.77083,5.98573,477000
1980-08-27,0.00000,10.75000,10.39583,10.43750,5.80049,701400
1980-08-28,0.00000,10.52083,10.25000,10.37500,5.76575,894000
1980-08-29,0.00000,10.33333,10.12500,10.16667,5.64998,327900
1980-09-02,0.00000,10.45833,9.95833,10.41667,5.78891,400800
1980-09-03,0.00000,10.95833,10.58333,10.95833,6.08993,533100
1980-09-04,0.00000,11.16667,10.66667,10.75000,5.97416,1027500
1980-09-05,0.00000,10.87500,10.50000,10.66667,5.92784,654600
1980-09-08,0.00000,10.58333,10.29167,10.41667,5.78891,342300
1980-09-09,0.00000,10.41667,10.16667,10.33333,5.74260,392100
1980-09-10,0.00000,10.54167,10.16667,10.33333,5.74260,541500
1980-09-11,0.00000,10.58333,10.33333,10.54167,5.85838,244500
1980-09-12,0.00000,10.75000,10.54167,10.70833,5.95100,262200
1980-09-15,0.00000,11.00000,10.58333,10.95833,6.08993,316200
1980-09-16,0.00000,11.20833,10.91667,11.12500,6.18256,479100
1980-09-17,0.00000,11.41667,11.20833,11.41667,6.34465,585600
1980-09-18,0.00000,11.62500,10.91667,11.16667,6.20571,617400
1980-09-19,0.00000,11.16667,10.79167,10.87500,6.04362,296100
1980-09-22,0.00000,11.08333,10.83333,11.04167,6.13624,384600
1980-09-23,0.00000,11.70833,11.29167,11.66667,6.48358,1159200
1980-09-24,0.00000,12.29167,12.00000,12.08333,6.71514,1357200
1980-09-25,0.00000,12.08333,11.54167,11.70833,6.50673,601200
1980-09-26,0.00000,11.54167,11.16667,11.33333,6.29833,414600
1980-09-29,0.00000,11.04167,10.58333,10.62500,5.90469,650400
