Date,Open,High,Low,Close,Adj Close,Volume
1995-12-15,24.00000,24.87500,24.00000,24.87500,14.45603,1283000
1995-12-18,24.87500,25.06250,24.25000,24.43750,14.20177,2710200
1995-12-19,24.43750,24.43750,23.75000,23.93750,13.91120,1096600
1995-12-20,23.93750,24.68750,23.93750,24.56250,14.27442,3904000
1995-12-21,24.50000,24.68750,24.06250,24.25000,14.09281,3891400
1995-12-22,24.37500,24.56250,24.25000,24.37500,14.16545,2170200
1995-12-26,24.37500,24.37500,24.18750,24.31250,14.12913,935600
1995-12-27,24.25000,24.31250,24.06250,24.06250,13.98385,1391400
1995-12-28,23.93750,24.25000,23.87500,24.06250,13.98385,1983000
1995-12-29,23.93750,24.18750,23.68750,24.18750,14.05649,1028000
1996-01-02,24.06250,24.37500,23.87500,24.25000,14.09281,1641200
1996-01-03,24.18750,24.37500,24.12500,24.18750,14.05649,2544000
1996-01-04,24.00000,24.50000,24.00000,24.43750,14.20177,2348200
1996-01-05,24.43750,24.50000,24.18750,24.37500,14.16545,3229000
1996-01-08,24.62500,24.93750,24.50000,24.93750,14.49235,1086400
1996-01-09,24.93750,24.93750,24.62500,24.82031,14.42424,4461400
1996-01-10,24.56250,24.68750,23.93750,24.12500,14.02017,1805000
1996-01-11,24.37500,24.43750,24.12500,24.37500,14.16545,2521600
1996-01-12,24.87500,24.87500,24.31250,24.81250,14.41970,1359200
1996-01-15,24.93750,25.25000,24.87500,25.25000,14.67396,945600
1996-01-16,25.68750,25.68750,25.31250,25.37500,14.74660,1892000
1996-01-17,25.12500,25.31250,25.06250,25.06250,14.56500,1104800
1996-01-18,24.93750,25.25000,24.68750,25.12500,14.60132,1987200
1996-01-19,24.93750,25.12500,24.87500,25.00000,14.52867,1019200
1996-01-22,24.87500,25.00000,24.75000,25.00000,14.52867,1224000
1996-01-23,25.25000,25.50000,25.18750,25.43750,14.78292,2034400
1996-01-24,25.37500,25.43750,25.18750,25.25000,14.67396,2159600
1996-01-25,25.12500,25.43750,24.75000,24.87500,14.45603,2170000
1996-01-26,24.75000,25.18750,24.56250,25.18750,14.63764,1425600
1996-01-29,25.00000,25.12500,24.81250,25.00000,14.52867,412800
1996-01-30,24.87500,25.00000,24.68750,24.81250,14.41970,635200
1996-01-31,24.75000,25.06250,24.62500,25.06250,14.56500,1502800
1996-02-01,25.31250,25.31250,25.12500,25.18750,14.63764,1231400
1996-02-02,25.06250,25.06250,24.68750,25.00000,14.52867,917200
1996-02-05,24.75000,25.06250,24.75000,25.00000,14.52867,702000
1996-02-06,25.00000,25.18750,24.93750,25.12500,14.60132,726800
1996-02-07,25.12500,25.25000,24.93750,25.18750,14.63764,1627800
1996-02-08,25.18750,25.62500,25.12500,25.62500,14.89189,1513200
1996-02-09,25.62500,25.81250,25.31250,25.37500,14.74660,1344800
1996-02-12,25.37500,25.81250,25.37500,25.75000,14.96452,904400
1996-02-13,25.43750,26.12500,25.43750,25.93750,15.07350,1055600
1996-02-14,25.81250,26.18750,25.81250,26.00000,15.10982,717000
1996-02-15,25.81250,26.12500,25.81250,25.87500,15.03717,691800
1996-02-16,25.75000,25.81250,25.31250,25.43750,14.78292,1504200
1996-02-20,25.00000,25.62500,24.93750,25.43750,14.78292,1628200
1996-02-21,25.25000,26.06250,25.25000,25.68750,14.92821,997800
1996-02-22,25.50000,26.25000,25.50000,26.18750,15.21878,1141000
1996-02-23,26.25000,26.56250,26.18750,26.37500,15.32774,1193800
1996-02-26,26.37500,26.50000,26.12500,26.50000,15.40038,748200
1996-02-27,26.43750,26.43750,26.18750,26.31250,15.29143,782200
1996-02-28,26.12500,26.43750,25.87500,25.87500,15.15235,732000
1996-02-29,25.75000,26.25000,25.68750,25.75000,15.07914,1416000
1996-03-01,25.75000,26.37500,25.62500,26.18750,15.33534,714600
1996-03-04,26.56250,26.87500,26.25000,26.37500,15.44515,1050600
1996-03-05,26.37500,26.43750,26.00000,26.25000,15.37195,1455600
1996-03-06,26.25000,26.31250,26.00000,26.25000,15.37195,613400
1996-03-07,26.18750,26.25000,26.00000,26.06250,15.26214,1108000
1996-03-08,25.12500,25.50000,24.50000,25.12500,14.71315,1946400
1996-03-11,24.93750,25.18750,24.43750,24.75000,14.49355,850600
1996-03-12,24.37500,24.50000,23.93750,24.25000,14.20075,1167800
1996-03-13,24.18750,24.43750,24.18750,24.25000,14.20075,925400
1996-03-14,24.18750,24.50000,24.18750,24.25000,14.20075,1018600
1996-03-15,24.25000,24.31250,23.43750,23.56250,13.79815,1836000
1996-03-18,23.81250,24.37500,23.81250,24.31250,14.23734,1970200
1996-03-19,24.43750,25.12500,24.43750,25.00000,14.63994,1821600
1996-03-20,25.00000,25.25000,24.87500,25.12500,14.71315,976800
1996-03-21,25.12500,25.25000,24.93750,25.18750,14.74974,842000
1996-03-22,25.31250,25.37500,25.00000,25.00000,14.63994,622800
1996-03-25,25.06250,25.50000,24.93750,25.06250,14.67655,839400
1996-03-26,24.87500,25.12500,24.87500,25.00000,14.63994,997600
1996-03-27,24.81250,25.06250,24.81250,24.93750,14.60335,788600
1996-03-28,24.81250,24.87500,24.31250,24.31250,14.23734,899600
1996-03-29,24.31250,24.56250,24.00000,24.50000,14.34715,1288000
1996-04-01,24.68750,24.75000,24.56250,24.75000,14.49355,643600
1996-04-02,24.81250,24.81250,24.37500,24.62500,14.42034,1291000
1996-04-03,24.62500,24.75000,24.43750,24.56250,14.38375,894000
1996-04-04,24.43750,24.43750,24.12500,24.43750,14.31055,633800
1996-04-08,23.87500,24.25000,23.81250,24.06250,14.09095,635600
1996-04-09,24.06250,24.12500,23.25000,23.56250,13.79815,1143800
1996-04-10,23.50000,23.50000,23.06250,23.12500,13.54195,727200
1996-04-11,23.06250,23.06250,22.25000,22.75000,13.32236,1861000
1996-04-12,22.81250,23.25000,22.75000,23.25000,13.61515,1644200
1996-04-15,23.25000,23.56250,23.25000,23.37500,13.68835,502000
1996-04-16,23.37500,23.37500,22.81250,22.81250,13.35895,999200
1996-04-17,22.81250,23.56250,22.75000,23.37500,13.68835,1801800
1996-04-18,23.31250,24.25000,23.31250,24.06250,14.09095,1567800
1996-04-19,23.93750,24.31250,23.87500,24.00000,14.05435,1171600
1996-04-22,24.00000,24.18750,24.00000,24.12500,14.12755,831600
1996-04-23,24.00000,24.06250,23.62500,23.75000,13.90795,614200
1996-04-24,23.81250,23.87500,23.62500,23.68750,13.87135,796200
1996-04-25,23.56250,23.56250,23.31250,23.43750,13.72496,1177400
1996-04-26,23.43750,23.50000,23.18750,23.25000,13.61515,355400
1996-04-29,23.12500,23.68750,23.06250,23.56250,13.79815,1096200
1996-04-30,24.00000,24.62500,23.93750,24.18750,14.16415,1286400
1996-05-01,24.37500,24.43750,24.12500,24.25000,14.20075,320000
1996-05-02,24.37500,24.37500,23.93750,24.00000,14.05435,593800
1996-05-03,24.00000,24.12500,23.75000,23.75000,13.90795,848400
1996-05-06,23.75000,23.93750,23.56250,23.62500,13.83475,720400
1996-05-07,23.68750,23.68750,23.25000,23.25000,13.61515,768200
1996-05-08,23.12500,23.62500,23.12500,23.31250,13.65175,898200
1996-05-09,23.37500,23.50000,23.12500,23.37500,13.68835,676600
1996-05-10,23.50000,23.68750,23.43750,23.68750,13.87135,1130800
1996-05-13,23.62500,24.50000,23.56250,24.50000,14.34715,427800
1996-05-14,24.43750,24.50000,24.00000,24.25000,14.20075,844200
1996-05-15,24.25000,24.87500,24.18750,24.68750,14.45695,574400
1996-05-16,24.68750,24.87500,24.56250,24.62500,14.42034,376800
1996-05-17,24.75000,25.25000,24.75000,25.25000,14.78634,777200
1996-05-20,25.37500,25.68750,25.12500,25.18750,14.74974,395400
1996-05-21,25.12500,25.68750,25.12500,25.62500,15.00595,317200
1996-05-22,25.56250,25.81250,25.18750,25.81250,15.11574,1730800
1996-05-23,25.81250,25.87500,25.56250,25.81250,15.11574,1167400
1996-05-24,25.81250,26.00000,25.75000,25.93750,15.18895,428200
1996-05-28,25.87500,26.00000,25.75000,25.87500,15.15235,488800
1996-05-29,25.56250,25.81250,25.56250,25.75000,15.19661,1513000
1996-05-30,25.75000,26.00000,25.75000,25.87500,15.27038,472400
1996-05-31,25.93750,25.93750,25.75000,25.87500,15.27038,557400
1996-06-03,25.81250,25.93750,25.75000,25.87500,15.27038,437800
1996-06-04,25.87500,25.87500,25.75000,25.81250,15.23349,323800
1996-06-05,25.75000,26.50000,25.75000,26.43750,15.60234,855400
1996-06-06,26.56250,26.68750,26.37500,26.50000,15.63923,378000
1996-06-07,26.12500,26.31250,25.93750,26.31250,15.52857,1567200
1996-06-10,26.43750,26.81250,26.25000,26.56250,15.67611,337600
1996-06-11,26.18750,26.31250,26.06250,26.31250,15.52857,445200
1996-06-12,26.37500,26.56250,26.12500,26.50000,15.63923,556800
1996-06-13,26.43750,26.75000,26.43750,26.50000,15.63923,364600
1996-06-14,26.50000,26.68750,26.50000,26.56250,15.67611,409400
1996-06-17,26.62500,26.68750,26.50000,26.56250,15.67611,507000
1996-06-18,26.75000,27.18750,26.68750,26.68750,15.74989,1038599
1996-06-19,26.68750,26.75000,26.50000,26.56250,15.67611,341800
1996-06-20,26.62500,26.75000,26.50000,26.62500,15.71300,243800
1996-06-21,26.25000,26.68750,26.12500,26.68750,15.74989,859600
1996-06-24,26.75000,27.06250,26.62500,27.06250,15.97120,208600
1996-06-25,27.12500,27.12500,26.50000,26.81250,15.82365,547200
1996-06-26,26.56250,26.75000,26.56250,26.62500,15.71300,551200
1996-06-27,26.50000,26.56250,26.43750,26.50000,15.63923,642200
1996-06-28,26.50000,26.62500,26.43750,26.62500,15.71300,367000
