Date,Open,High,Low,Close,Adj Close,Volume
1980-10-15,10.93750,11.18750,10.93750,11.18750,3.63236,77600
1980-10-16,11.18750,11.78125,10.96875,11.06250,3.59177,158400
1980-10-17,10.96875,10.96875,10.75000,10.78125,3.50046,33600
1980-10-20,10.78125,10.78125,10.65625,10.78125,3.50046,30400
1980-10-21,10.78125,10.96875,10.78125,10.87500,3.53090,36000
1980-10-22,10.87500,10.93750,10.75000,10.75000,3.49031,28000
1980-10-23,10.65625,10.65625,10.46875,10.56250,3.42943,63600
1980-10-24,10.56250,10.78125,10.25000,10.78125,3.50046,124800
1980-10-27,10.62500,10.62500,10.21875,10.34375,3.35841,63600
1980-10-28,10.34375,10.46875,10.34375,10.46875,3.39899,14800
1980-10-29,10.46875,10.62500,10.43750,10.46875,3.39899,38800
1980-10-30,10.46875,10.56250,10.21875,10.25000,3.32797,11600
1980-10-31,10.25000,10.25000,10.12500,10.25000,3.32797,50000
1980-11-03,10.25000,10.87500,10.25000,10.87500,3.53090,20000
1980-11-05,11.25000,11.75000,11.25000,11.25000,3.65265,183200
1980-11-06,11.25000,11.25000,11.15625,11.18750,3.63236,18800
1980-11-07,11.06250,11.06250,10.87500,10.96875,3.56134,35600
1980-11-10,11.03125,11.09375,11.03125,11.03125,3.58163,26400
1980-11-11,11.03125,11.03125,10.87500,11.03125,3.58163,41600
1980-11-12,11.15625,11.28125,11.15625,11.25000,3.65265,173600
1980-11-13,11.37500,11.40625,11.37500,11.40625,3.70338,230800
1980-11-14,11.40625,11.50000,11.25000,11.50000,3.73382,96400
1980-11-17,11.46875,11.46875,11.18750,11.46875,3.72368,72400
1980-11-18,11.46875,11.68750,11.40625,11.56250,3.75411,49200
1980-11-19,11.65625,11.87500,11.65625,11.75000,3.81499,119600
1980-11-20,11.75000,12.40625,11.75000,12.21875,3.96718,114000
1980-11-21,12.53125,12.84375,12.53125,12.81250,4.15996,89200
1980-11-24,12.59375,12.59375,12.18750,12.50000,4.05850,66800
1980-11-25,12.68750,13.12500,12.68750,13.09375,4.25128,191600
1980-11-26,13.09375,13.12500,12.81250,12.93750,4.20055,78000
1980-11-28,12.93750,13.00000,12.84375,13.00000,4.22084,58800
1980-12-01,13.00000,13.03125,12.71875,12.71875,4.12952,54400
1980-12-02,12.50000,12.50000,11.37500,11.68750,3.79470,103200
1980-12-03,12.00000,12.37500,12.00000,12.37500,4.01792,253600
1980-12-04,12.37500,12.40625,12.18750,12.21875,3.96718,52000
1980-12-05,12.00000,12.00000,11.59375,11.96875,3.88602,70800
1980-12-08,11.90625,11.90625,11.06250,11.09375,3.60192,112400
1980-12-09,11.09375,11.28125,11.06250,11.28125,3.66280,130000
1980-12-10,11.25000,11.25000,10.78125,11.06250,3.59177,43600
1980-12-11,11.06250,11.40625,10.84375,11.40625,3.70338,302400
1980-12-12,11.40625,11.78125,11.37500,11.78125,3.82514,84000
1980-12-15,11.87500,12.00000,11.87500,12.00000,3.89616,135600
1980-12-16,12.00000,12.00000,11.87500,11.90625,3.86572,36800
1980-12-17,12.00000,12.68750,12.00000,12.50000,4.05850,98000
1980-12-18,12.62500,13.21875,12.62500,12.71875,4.12952,82800
1980-12-19,12.71875,12.81250,12.62500,12.81250,4.15996,22800
1980-12-22,12.81250,12.93750,12.62500,12.71875,4.12952,37200
1980-12-23,12.71875,12.71875,12.50000,12.50000,4.05850,39600
1980-12-24,12.50000,13.03125,12.50000,13.03125,4.23099,55600
1980-12-26,12.93750,12.93750,12.90625,12.93750,4.20055,5200
1980-12-29,13.21875,13.53125,13.21875,13.21875,4.29186,75200
1980-12-30,13.21875,13.25000,12.84375,12.84375,4.17011,105600
1980-12-31,12.84375,12.84375,12.71875,12.71875,4.12952,103200
1981-01-02,12.71875,13.18750,12.71875,13.03125,4.23099,118000
1981-01-05,13.03125,13.09375,12.84375,12.90625,4.19040,70000
1981-01-06,12.84375,12.84375,12.31250,12.31250,3.99762,75600
1981-01-07,12.06250,12.06250,11.90625,12.00000,3.89616,280000
1981-01-08,12.00000,12.31250,11.59375,11.59375,3.76426,184400
1981-01-09,11.59375,11.78125,11.50000,11.59375,3.76426,256000
1981-01-12,11.59375,11.59375,11.15625,11.18750,3.63236,66400
1981-01-13,11.18750,11.18750,10.75000,11.18750,3.63236,111200
1981-01-14,11.18750,11.37500,11.18750,11.37500,3.69324,153200
1981-01-15,11.37500,11.59375,11.37500,11.59375,3.76426,24400
1981-01-16,11.59375,11.75000,11.56250,11.68750,3.79470,58000
1981-01-19,11.68750,11.75000,11.68750,11.75000,3.81499,34800
1981-01-20,11.75000,11.78125,11.59375,11.68750,3.79470,168800
1981-01-21,11.50000,11.50000,11.34375,11.34375,3.68309,100800
1981-01-22,11.34375,11.50000,11.28125,11.37500,3.69324,24800
1981-01-23,11.28125,11.28125,10.87500,11.03125,3.58163,52000
1981-01-26,11.03125,11.09375,10.84375,10.84375,3.52075,25200
1981-01-27,10.87500,11.25000,10.87500,10.93750,3.55119,39200
1981-01-28,11.03125,11.15625,11.03125,11.06250,3.59177,94400
1981-01-29,11.06250,11.09375,10.87500,11.06250,3.59177,20400
1981-01-30,11.06250,11.18750,10.93750,10.93750,3.55119,215200
1981-02-02,10.75000,10.75000,9.81250,9.96875,3.23666,120400
1981-02-03,10.12500,10.43750,10.12500,10.31250,3.34826,168000
1981-02-04,10.34375,10.75000,10.34375,10.68750,3.47002,333600
1981-02-05,10.87500,11.09375,10.87500,11.09375,3.60192,108800
1981-02-06,11.06250,11.06250,10.87500,10.87500,3.53090,87600
1981-02-09,10.87500,10.87500,10.34375,10.34375,3.35841,76800
1981-02-10,10.34375,10.62500,10.34375,10.62500,3.44973,38000
1981-02-11,10.62500,10.62500,10.34375,10.34375,3.35841,219200
1981-02-12,10.34375,10.53125,10.31250,10.37500,3.36856,140800
1981-02-13,10.37500,10.53125,10.25000,10.53125,3.41928,92400
1981-02-17,10.53125,11.50000,10.43750,11.25000,3.65265,348800
1981-02-18,11.25000,11.56250,11.18750,11.50000,3.73382,406800
1981-02-19,11.50000,11.50000,11.09375,11.09375,3.60192,106000
1981-02-20,11.06250,11.06250,10.46875,10.53125,3.41928,95200
1981-02-23,10.53125,10.68750,10.46875,10.68750,3.47002,209200
1981-02-24,10.62500,10.62500,10.15625,10.25000,3.32797,148800
1981-02-25,10.25000,10.34375,10.06250,10.34375,3.35841,196400
1981-02-26,10.56250,10.96875,10.56250,10.96875,3.56134,118800
1981-02-27,11.15625,11.28125,11.15625,11.25000,3.65265,125200
