Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,0.21110,0.21199,0.20400,0.20933,0.08052,3114500
1970-12-16,0.21021,0.21288,0.21021,0.21288,0.08188,1451500
1970-12-17,0.21288,0.21820,0.21021,0.21820,0.08393,3227200
1970-12-18,0.21820,0.21908,0.20755,0.20844,0.08018,10950100
1970-12-21,0.20844,0.20933,0.20046,0.20400,0.07847,1902500
1970-12-22,0.20400,0.20933,0.20223,0.20223,0.07779,1522000
1970-12-23,0.20223,0.20578,0.20223,0.20578,0.07915,563700
1970-12-24,0.20578,0.20933,0.20578,0.20578,0.07915,2874900
1970-12-28,0.20578,0.20755,0.20578,0.20755,0.07984,493200
1970-12-29,0.20755,0.20844,0.20578,0.20667,0.07949,2748000
1970-12-30,0.20933,0.21554,0.20933,0.21021,0.08086,1888400
1970-12-31,0.21110,0.21288,0.21110,0.21288,0.08188,408600
1971-01-04,0.21288,0.21288,0.20933,0.21110,0.08120,1211900
1971-01-05,0.21110,0.21554,0.21021,0.21465,0.08256,1014600
1971-01-06,0.21465,0.21908,0.21288,0.21820,0.08393,2931300
1971-01-07,0.21820,0.22174,0.21642,0.21642,0.08325,3170800
1971-01-08,0.21642,0.21908,0.21288,0.21908,0.08427,2311200
1971-01-11,0.21908,0.22352,0.21820,0.22352,0.08598,2818500
1971-01-12,0.22352,0.22795,0.22174,0.22529,0.08666,1747500
1971-01-13,0.22529,0.23416,0.22529,0.22795,0.08768,1423300
1971-01-14,0.22795,0.22973,0.22440,0.22973,0.08836,1113300
1971-01-15,0.22973,0.23948,0.22618,0.23594,0.09075,3368100
1971-01-18,0.23594,0.23771,0.23061,0.23239,0.08939,775100
1971-01-19,0.23239,0.23594,0.23150,0.23416,0.09007,1817900
1971-01-20,0.23328,0.23328,0.22707,0.23150,0.08905,563700
1971-01-21,0.23150,0.23682,0.22707,0.23328,0.08973,2015200
1971-01-22,0.23505,0.23948,0.23505,0.23594,0.09075,1381000
1971-01-25,0.23860,0.24481,0.23860,0.24037,0.09246,1550200
1971-01-26,0.24126,0.24481,0.24126,0.24481,0.09416,1197800
1971-01-27,0.24481,0.24658,0.23948,0.24303,0.09348,5763900
1971-01-28,0.24303,0.24569,0.23860,0.23860,0.09178,5327000
1971-01-29,0.23860,0.24303,0.23860,0.24037,0.09246,535500
1971-02-01,0.24037,0.24481,0.23860,0.24214,0.09314,2395700
1971-02-02,0.24214,0.24481,0.23860,0.24481,0.09416,2353400
1971-02-03,0.24569,0.25456,0.24569,0.25102,0.09655,1423300
1971-02-04,0.25102,0.25456,0.25102,0.25279,0.09724,1268300
1971-02-05,0.25279,0.25456,0.24924,0.25456,0.09792,2043400
1971-02-08,0.25456,0.25456,0.24924,0.25279,0.09724,2212500
1971-02-09,0.25279,0.26166,0.25102,0.26166,0.10065,2931300
1971-02-10,0.26166,0.26166,0.25456,0.26077,0.10030,2776200
1971-02-11,0.26077,0.26343,0.25722,0.25722,0.09894,986400
1971-02-12,0.25900,0.26521,0.25900,0.26521,0.10201,1282400
1971-02-16,0.26521,0.27230,0.25545,0.25545,0.09826,3523200
1971-02-17,0.25545,0.26166,0.25456,0.25988,0.09996,1944800
1971-02-18,0.25900,0.25900,0.25545,0.25545,0.09826,591800
1971-02-19,0.25545,0.25722,0.25368,0.25456,0.09792,1211900
1971-02-22,0.25456,0.25456,0.25013,0.25190,0.09689,2635300
1971-02-23,0.25190,0.25811,0.25190,0.25634,0.09860,845500
1971-02-24,0.25634,0.26254,0.25634,0.25811,0.09928,1761600
1971-02-25,0.25811,0.26077,0.25279,0.25456,0.09792,2113900
1971-02-26,0.25456,0.25722,0.25368,0.25368,0.09758,789100
1971-03-01,0.25368,0.25811,0.25279,0.25722,0.09894,2170200
1971-03-02,0.25722,0.25900,0.25279,0.25722,0.09894,1169700
1971-03-03,0.25634,0.25634,0.25279,0.25545,0.09826,930100
1971-03-04,0.25545,0.26521,0.25190,0.26521,0.10201,2593000
1971-03-05,0.27142,0.28561,0.27142,0.28472,0.10952,3086300
1971-03-08,0.28472,0.28561,0.27851,0.28206,0.10849,3452700
1971-03-09,0.27851,0.27851,0.27408,0.27408,0.10542,1056900
1971-03-10,0.27408,0.28295,0.27230,0.28295,0.10884,1705200
1971-03-11,0.28295,0.29270,0.28206,0.28206,0.10849,2959400
1971-03-12,0.28206,0.29625,0.28117,0.29625,0.11395,4819700
1971-03-15,0.29625,0.30512,0.29536,0.30246,0.11634,1423300
1971-03-16,0.30601,0.31842,0.30601,0.31842,0.12248,3283600
1971-03-17,0.31576,0.31576,0.30778,0.31310,0.12044,4354600
1971-03-18,0.31310,0.31576,0.30778,0.30778,0.11839,16502599
1971-03-19,0.30512,0.30512,0.29270,0.29891,0.11498,1451500
1971-03-22,0.29891,0.29891,0.29359,0.29359,0.11293,1874300
1971-03-23,0.29359,0.29359,0.28561,0.29093,0.11190,3551300
1971-03-24,0.29093,0.29270,0.28738,0.28827,0.11088,4199600
1971-03-25,0.28827,0.29448,0.27674,0.29448,0.11327,4185500
1971-03-26,0.28916,0.28916,0.28738,0.28738,0.11081,1197800
1971-03-29,0.28383,0.28383,0.27762,0.28117,0.10841,5073400
1971-03-30,0.28117,0.28117,0.27585,0.27674,0.10670,3537200
1971-03-31,0.27762,0.28295,0.27762,0.27851,0.10739,3297700
1971-04-01,0.27585,0.27585,0.27053,0.27408,0.10568,2705800
1971-04-02,0.27408,0.27762,0.27408,0.27496,0.10602,1493800
1971-04-05,0.27496,0.28028,0.26964,0.26964,0.10397,1592400
1971-04-06,0.26964,0.27674,0.26521,0.27585,0.10636,2804400
1971-04-07,0.27585,0.28649,0.27585,0.28028,0.10807,5425700
1971-04-08,0.28028,0.28649,0.28028,0.28649,0.11047,3720400
1971-04-12,0.28649,0.29448,0.28295,0.29359,0.11320,3790900
1971-04-13,0.29536,0.30601,0.29536,0.29714,0.11457,2734000
1971-04-14,0.29448,0.29448,0.28295,0.28916,0.11149,1522000
1971-04-15,0.28916,0.28916,0.28383,0.28472,0.10978,2466200
1971-04-16,0.28472,0.28561,0.28028,0.28383,0.10944,2198400
1971-04-19,0.28383,0.28827,0.28383,0.28383,0.10944,676400
1971-04-20,0.28117,0.28117,0.27408,0.27408,0.10568,2001100
1971-04-21,0.27319,0.27319,0.26964,0.27319,0.10534,775100
1971-04-22,0.27319,0.27851,0.27319,0.27851,0.10739,901900
1971-04-23,0.27851,0.28206,0.27674,0.28206,0.10876,3283600
1971-04-26,0.28117,0.28117,0.27496,0.27762,0.10705,1620600
1971-04-27,0.27762,0.28206,0.27762,0.27940,0.10773,1803800
1971-04-28,0.27940,0.29004,0.27674,0.28738,0.11081,7483200
1971-04-29,0.28561,0.28561,0.28028,0.28383,0.10944,1958800
1971-04-30,0.28206,0.28206,0.27674,0.28028,0.10807,3974100
1971-05-03,0.27851,0.27851,0.27408,0.27762,0.10705,1860200
1971-05-04,0.27762,0.28117,0.27674,0.28117,0.10841,605900
1971-05-05,0.28117,0.28383,0.28028,0.28206,0.10876,944200
1971-05-06,0.28472,0.29359,0.28472,0.28472,0.10978,2438000
1971-05-07,0.28472,0.28649,0.27762,0.28206,0.10876,2212500
1971-05-10,0.28206,0.28206,0.27674,0.27674,0.10670,1465600
1971-05-11,0.27674,0.27762,0.27142,0.27230,0.10499,1578300
1971-05-12,0.27230,0.27408,0.27053,0.27319,0.10534,958300
1971-05-13,0.27319,0.27319,0.27053,0.27230,0.10499,620000
1971-05-14,0.27230,0.27496,0.25988,0.27142,0.10465,2649400
1971-05-17,0.26875,0.26875,0.25900,0.25900,0.09986,1127400
1971-05-18,0.25900,0.26787,0.25900,0.26609,0.10260,1000500
1971-05-19,0.26875,0.27940,0.26875,0.27674,0.10670,1493800
1971-05-20,0.27674,0.28649,0.27585,0.28649,0.11047,1550200
1971-05-21,0.28561,0.28561,0.28117,0.28295,0.10910,1733400
1971-05-24,0.28295,0.28295,0.27585,0.27585,0.10636,1211900
1971-05-25,0.27585,0.28028,0.26432,0.27762,0.10705,2762100
1971-05-26,0.27762,0.28206,0.27762,0.27762,0.10705,690500
1971-05-27,0.27762,0.27940,0.27674,0.27762,0.10705,845500
1971-05-28,0.27762,0.28383,0.27762,0.27762,0.10705,1211900
1971-06-01,0.28028,0.28561,0.28028,0.28383,0.10944,775100
1971-06-02,0.28383,0.29004,0.28206,0.28561,0.11012,1916600
1971-06-03,0.28561,0.28916,0.28472,0.28738,0.11081,662300
1971-06-04,0.28827,0.29004,0.28827,0.29004,0.11183,4199600
1971-06-07,0.29004,0.29536,0.29004,0.29359,0.11320,1141500
1971-06-08,0.29448,0.29802,0.29448,0.29802,0.11491,1522000
1971-06-09,0.29891,0.30157,0.29891,0.29980,0.11560,1451500
1971-06-10,0.30157,0.30689,0.30157,0.30423,0.11731,2748000
1971-06-11,0.30423,0.30601,0.30246,0.30335,0.11696,775100
1971-06-14,0.30335,0.30512,0.30068,0.30068,0.11594,2677600
1971-06-15,0.30068,0.30512,0.29980,0.30423,0.11731,1437400
1971-06-16,0.30601,0.30867,0.30601,0.30601,0.11799,1211900
1971-06-17,0.30601,0.30778,0.30601,0.30601,0.11799,620000
1971-06-18,0.30601,0.30689,0.30246,0.30246,0.11662,3170800
1971-06-21,0.29182,0.29182,0.28028,0.28295,0.10910,3114500
1971-06-22,0.28295,0.28383,0.27940,0.28295,0.10910,2142100
1971-06-23,0.28738,0.29093,0.28738,0.29093,0.11218,1817900
1971-06-24,0.29093,0.29270,0.28916,0.29004,0.11183,732800
1971-06-25,0.29004,0.29270,0.28916,0.29004,0.11183,577800
1971-06-28,0.29004,0.29270,0.28206,0.28561,0.11012,732800
1971-06-29,0.28561,0.28738,0.28206,0.28206,0.10876,352300
1971-06-30,0.28206,0.29004,0.28206,0.28206,0.10876,2381600
1971-07-01,0.28295,0.28561,0.28295,0.28383,0.10944,775100
1971-07-02,0.28206,0.28206,0.27851,0.27940,0.10773,817300
1971-07-06,0.27940,0.28206,0.27851,0.27940,0.10773,746900
1971-07-07,0.27940,0.28295,0.27940,0.27940,0.10773,493200
1971-07-08,0.27940,0.28916,0.27940,0.28738,0.11081,1211900
1971-07-09,0.28738,0.28916,0.28206,0.28206,0.10876,930100
1971-07-12,0.28383,0.28827,0.28383,0.28827,0.11115,1268300
1971-07-13,0.28827,0.29004,0.28738,0.28738,0.11081,1183700
1971-07-14,0.28738,0.29004,0.28649,0.28827,0.11115,873700
1971-07-15,0.28827,0.29270,0.28827,0.29270,0.11286,1987000
1971-07-16,0.29270,0.29714,0.29093,0.29093,0.11218,634100
1971-07-19,0.28827,0.28827,0.28206,0.28738,0.11081,746900
1971-07-20,0.29004,0.29536,0.29004,0.29093,0.11218,972400
1971-07-21,0.29093,0.29182,0.28916,0.29093,0.11218,535500
1971-07-22,0.29093,0.29093,0.28295,0.28295,0.10910,1226000
1971-07-23,0.28295,0.28383,0.27585,0.27585,0.10636,620000
1971-07-26,0.27585,0.27762,0.27585,0.27674,0.10670,2283000
1971-07-27,0.27674,0.27762,0.27496,0.27496,0.10602,1000500
1971-07-28,0.26964,0.26964,0.26432,0.26521,0.10226,507300
1971-07-29,0.26521,0.26787,0.26077,0.26077,0.10055,1127400
1971-07-30,0.26609,0.27496,0.26609,0.27319,0.10534,1958800
1971-08-02,0.27319,0.27674,0.27142,0.27496,0.10602,1648800
1971-08-03,0.27496,0.27674,0.26432,0.26521,0.10226,2268900
1971-08-04,0.26521,0.26964,0.26343,0.26521,0.10226,887800
1971-08-05,0.26521,0.26964,0.26521,0.26875,0.10363,944200
1971-08-06,0.26875,0.27142,0.26787,0.26875,0.10363,803200
1971-08-09,0.26875,0.26964,0.26521,0.26787,0.10328,775100
1971-08-10,0.26787,0.26875,0.26698,0.26787,0.10328,2029300
1971-08-11,0.26964,0.27496,0.26964,0.27496,0.10602,803200
1971-08-12,0.27851,0.28472,0.27851,0.28295,0.10910,1183700
1971-08-13,0.28117,0.28117,0.27674,0.27940,0.10773,521400
1971-08-16,0.29625,0.32286,0.29625,0.29802,0.11491,10344100
1971-08-17,0.29802,0.29802,0.29093,0.29536,0.11389,4199600
1971-08-18,0.29359,0.29359,0.28916,0.29359,0.11320,901900
1971-08-19,0.29359,0.29714,0.29270,0.29270,0.11286,1620600
1971-08-20,0.29270,0.29536,0.28383,0.28472,0.10978,5806200
1971-08-23,0.28561,0.29359,0.28561,0.29359,0.11320,887800
1971-08-24,0.29359,0.29802,0.28827,0.29802,0.11491,1846100
1971-08-25,0.29802,0.30246,0.29359,0.29359,0.11320,1719300
1971-08-26,0.29359,0.29448,0.28916,0.29270,0.11286,1465600
1971-08-27,0.29270,0.29448,0.29004,0.29093,0.11218,338200
1971-08-30,0.29004,0.29004,0.28117,0.28117,0.10841,3255400
1971-08-31,0.27674,0.27674,0.27230,0.27496,0.10602,422700
1971-09-01,0.27496,0.27496,0.26432,0.26432,0.10192,1437400
1971-09-02,0.26432,0.26698,0.26432,0.26698,0.10294,930100
1971-09-03,0.26787,0.27851,0.26787,0.27496,0.10602,1113300
