Date,Open,High,Low,Close,Adj Close,Volume
1995-11-03,4.26471,4.60784,3.99510,4.46078,4.46078,24219800
1995-11-06,4.41176,4.55882,4.36274,4.48529,4.48529,3758100
1995-11-07,4.50980,4.50980,4.36274,4.41176,4.41176,3391500
1995-11-08,4.31372,4.46078,4.31372,4.36274,4.36274,851100
1995-11-09,4.36274,4.50980,4.36274,4.46078,4.46078,574700
1995-11-10,4.36274,4.50980,4.26471,4.26471,4.26471,1071000
1995-11-13,4.41176,4.41176,4.26471,4.36274,4.36274,492100
1995-11-14,4.26471,4.41176,4.26471,4.26471,4.26471,1056700
1995-11-15,4.26471,4.46078,4.26471,4.35049,4.35049,862900
1995-11-16,4.46078,4.46078,4.26471,4.41176,4.41176,634900
1995-11-17,4.26471,4.46078,4.26471,4.31372,4.31372,290700
1995-11-20,4.31372,4.46078,4.31372,4.31372,4.31372,269200
1995-11-21,4.46078,4.46078,4.31372,4.31372,4.31372,349800
1995-11-22,4.31372,4.46078,4.31372,4.31372,4.31372,679300
1995-11-24,4.46078,4.46078,4.36274,4.44853,4.44853,55500
1995-11-27,4.36274,4.65686,4.36274,4.50980,4.50980,551800
1995-11-28,4.55882,4.60784,4.50980,4.60784,4.60784,106000
1995-11-29,4.50980,5.04902,4.50980,5.00000,5.00000,1560000
1995-11-30,5.04902,5.09804,4.90196,4.95098,4.95098,876600
1995-12-01,4.95098,5.04902,4.90196,4.95098,4.95098,647100
1995-12-04,5.00000,5.00000,4.75490,4.77941,4.77941,398800
1995-12-05,4.85294,4.85294,4.75490,4.85294,4.85294,508400
1995-12-06,4.85294,4.90196,4.75490,4.87745,4.87745,168200
1995-12-07,4.75490,4.90196,4.75490,4.75490,4.75490,489600
1995-12-08,4.90196,4.90196,4.75490,4.80392,4.80392,735400
1995-12-11,4.80392,4.90196,4.75490,4.80392,4.80392,353400
1995-12-12,4.90196,4.90196,4.70588,4.75490,4.75490,1323400
1995-12-13,4.70588,4.75490,4.60784,4.65686,4.65686,1035800
1995-12-14,4.55882,4.65686,4.50980,4.55882,4.55882,207500
1995-12-15,4.46078,4.55882,4.46078,4.55882,4.55882,313600
1995-12-18,4.46078,4.55882,4.46078,4.46078,4.46078,75400
1995-12-19,4.55882,4.58333,4.46078,4.55882,4.55882,420200
1995-12-20,4.50980,4.65686,4.50980,4.65686,4.65686,478800
1995-12-21,4.68137,4.70588,4.55882,4.55882,4.55882,16300
1995-12-22,4.70588,4.70588,4.55882,4.70588,4.70588,16800
1995-12-26,4.55882,4.70588,4.55882,4.55882,4.55882,14700
1995-12-27,4.70588,5.24510,4.60784,5.24510,5.24510,498200
1995-12-28,5.29412,5.68628,5.29412,5.53922,5.53922,1740100
1995-12-29,5.53922,5.78431,5.44118,5.78431,5.78431,851100
1996-01-02,5.68628,5.73529,5.34314,5.34314,5.34314,309000
1996-01-03,5.44118,5.44118,5.04902,5.14706,5.14706,784800
1996-01-04,5.14706,5.14706,4.60784,4.77941,4.77941,925100
1996-01-05,4.80392,4.80392,4.63235,4.75490,4.75490,384500
1996-01-08,4.75490,4.75490,4.63235,4.63235,4.63235,27000
1996-01-09,4.80392,4.80392,4.65686,4.66912,4.66912,478300
1996-01-10,4.75490,4.75490,4.65686,4.75490,4.75490,731800
1996-01-11,4.75490,4.75490,4.65686,4.65686,4.65686,246800
1996-01-12,4.85294,4.85294,4.65686,4.65686,4.65686,70300
1996-01-15,4.85294,4.85294,4.65686,4.65686,4.65686,93800
1996-01-16,4.65686,4.85294,4.65686,4.80392,4.80392,27500
1996-01-17,4.80392,4.85294,4.65686,4.80392,4.80392,212100
1996-01-18,4.77941,4.95098,4.77941,4.95098,4.95098,118300
1996-01-19,5.04902,5.24510,4.95098,5.24510,5.24510,523200
1996-01-22,5.24510,5.49020,5.14706,5.49020,5.49020,375300
1996-01-23,5.49020,5.63726,5.49020,5.56372,5.56372,329400
1996-01-24,5.63726,5.63726,5.34314,5.53922,5.53922,329400
1996-01-25,5.34314,5.53922,5.34314,5.53922,5.53922,84600
1996-01-26,5.34314,5.49020,5.34314,5.34314,5.34314,56600
1996-01-29,5.49020,5.49020,5.34314,5.49020,5.49020,112700
1996-01-30,5.49020,5.63726,5.39216,5.49020,5.49020,184100
1996-01-31,5.63726,5.88235,5.49020,5.78431,5.78431,544600
1996-02-01,5.88235,5.93137,5.58824,5.58824,5.58824,311600
1996-02-02,5.68628,5.78431,5.34314,5.73529,5.73529,373300
1996-02-05,5.83333,5.88235,5.68628,5.73529,5.73529,217200
1996-02-06,5.88235,5.88235,5.73529,5.78431,5.78431,95300
1996-02-07,5.68628,5.88235,5.68628,5.88235,5.88235,57100
1996-02-08,5.88235,5.88235,5.73529,5.73529,5.73529,67800
1996-02-09,5.73529,5.83333,5.73529,5.78431,5.78431,144300
1996-02-12,5.83333,5.83333,5.73529,5.78431,5.78431,416600
1996-02-13,5.73529,5.88235,5.73529,5.80882,5.80882,390600
1996-02-14,5.88235,5.88235,5.78431,5.78431,5.78431,4387000
1996-02-15,5.88235,5.88235,5.68628,5.68628,5.68628,18300
1996-02-16,5.68628,5.83333,5.68628,5.73529,5.73529,241700
1996-02-20,5.83333,5.83333,5.68628,5.68628,5.68628,53000
1996-02-21,5.83333,5.83333,5.68628,5.68628,5.68628,32100
1996-02-22,5.83333,5.83333,5.68628,5.83333,5.83333,29500
1996-02-23,5.68628,5.83333,5.68628,5.71078,5.71078,298800
