Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.82639,9.93056,9.72222,9.72222,1.99718,67800
1982-01-04,9.96528,10.10417,9.79167,10.06944,2.06851,106500
1982-01-05,10.00000,10.17361,9.82639,9.86111,2.02571,240600
1982-01-06,9.82639,9.93056,9.68750,9.79167,2.01144,238900
1982-01-07,9.75694,9.79167,9.72222,9.79167,2.01144,162600
1982-01-08,9.82639,9.89583,9.75694,9.86111,2.02571,210900
1982-01-11,9.82639,9.93056,9.68750,9.68750,1.99005,218100
1982-01-12,9.65278,9.68750,9.58333,9.61806,1.97578,198100
1982-01-13,9.61806,9.65278,9.58333,9.61806,1.97578,465000
1982-01-14,9.47917,9.54861,9.37500,9.47917,1.94725,288100
1982-01-15,9.44444,9.47917,9.40972,9.40972,1.93298,408100
1982-01-18,9.34028,9.40972,9.23611,9.27083,1.90445,623400
1982-01-19,9.23611,9.37500,9.09722,9.13194,1.87592,420600
1982-01-20,9.02778,9.13194,8.92361,9.09722,1.86879,345700
1982-01-21,9.06250,9.09722,8.99306,9.02778,1.85452,339900
1982-01-22,8.99306,9.02778,8.95833,8.95833,1.84026,257700
1982-01-25,9.02778,9.09722,8.92361,8.95833,1.84026,269200
1982-01-26,8.85417,8.99306,8.71528,8.75000,1.79746,187200
1982-01-27,8.78472,8.81944,8.71528,8.78472,1.80459,236800
1982-01-28,9.20139,9.51389,8.85417,9.51389,1.95438,448600
1982-01-29,9.86111,9.96528,9.72222,9.89583,2.03284,432100
1982-02-01,9.63542,9.79167,9.42708,9.47917,1.94725,315000
1982-02-02,9.47917,9.53125,9.37500,9.53125,1.95795,206500
1982-02-03,9.63542,9.73958,9.53125,9.73958,2.00075,153400
1982-02-04,9.42708,9.63542,9.16667,9.37500,1.92585,201600
1982-02-05,9.68750,9.84375,9.47917,9.79167,2.01144,310200
1982-02-08,9.94792,10.31250,9.58333,9.84375,2.02214,374400
1982-02-09,9.84375,10.10417,9.58333,9.63542,1.97935,225600
1982-02-10,9.84375,10.00000,9.63542,9.89583,2.03284,233400
1982-02-11,9.89583,10.05208,9.68750,9.84375,2.02214,239400
1982-02-12,10.05208,10.20833,9.84375,10.10417,2.07564,180000
1982-02-16,9.94792,10.05208,9.84375,9.94792,2.04354,340600
1982-02-17,10.15625,10.26042,10.00000,10.15625,2.08634,212700
1982-02-18,10.36458,10.52083,10.20833,10.41667,2.13983,199300
1982-02-19,10.57292,10.83333,10.31250,10.62500,2.18263,434800
1982-02-22,10.57292,10.88542,10.20833,10.20833,2.09704,430200
1982-02-23,10.15625,10.36458,9.94792,10.20833,2.09704,280000
1982-02-24,10.20833,10.41667,10.00000,10.41667,2.13983,235000
1982-02-25,10.52083,10.72917,10.31250,10.41667,2.13983,208900
1982-02-26,10.31250,10.57292,10.00000,10.20833,2.09704,200200
1982-03-01,10.46875,10.62500,10.31250,10.36458,2.12914,157800
1982-03-02,10.36458,10.36458,10.31250,10.31250,2.11844,69400
1982-03-03,10.20833,10.31250,10.05208,10.10417,2.07564,171600
1982-03-04,9.84375,10.00000,9.63542,9.89583,2.03284,269400
1982-03-05,9.63542,9.84375,9.37500,9.63542,1.97935,148500
1982-03-08,9.37500,9.73958,8.95833,9.01042,1.85096,444100
1982-03-09,9.32292,9.79167,8.85417,9.58333,1.96865,366700
1982-03-10,9.53125,9.63542,9.37500,9.37500,1.92585,103000
1982-03-11,9.21875,9.37500,9.01042,9.11458,1.87235,471600
1982-03-12,8.95833,9.27083,8.64583,8.69792,1.78676,321000
1982-03-15,8.75000,8.85417,8.59375,8.80208,1.80816,185100
1982-03-16,8.95833,9.11458,8.80208,8.90625,1.82956,317700
1982-03-17,8.69792,8.95833,8.38542,8.54167,1.75466,852600
1982-03-18,8.69792,8.80208,8.54167,8.80208,1.80816,355600
1982-03-19,9.16667,9.27083,9.01042,9.06250,1.86166,191100
1982-03-22,9.32292,9.47917,9.11458,9.47917,1.94725,245400
1982-03-23,9.63542,9.73958,9.47917,9.68750,1.99005,362100
1982-03-24,10.10417,10.31250,9.89583,10.00000,2.05424,270000
1982-03-25,10.00000,10.05208,9.89583,10.00000,2.05424,157200
1982-03-26,9.84375,10.00000,9.68750,9.79167,2.01144,435000
1982-03-29,9.63542,9.68750,9.58333,9.68750,2.00283,49000
1982-03-30,9.79167,9.89583,9.63542,9.79167,2.02436,134100
1982-03-31,9.89583,9.94792,9.79167,9.84375,2.03513,149800
1982-04-01,9.79167,9.94792,9.58333,9.79167,2.02436,689800
1982-04-02,10.10417,10.41667,9.79167,10.41667,2.15358,615700
1982-04-05,10.46875,10.57292,10.31250,10.31250,2.13204,353800
1982-04-06,10.36458,10.46875,10.20833,10.36458,2.14281,213400
1982-04-07,10.46875,10.57292,10.36458,10.46875,2.16435,215400
1982-04-08,10.57292,10.62500,10.46875,10.62500,2.19665,288000
1982-04-12,10.62500,10.78125,10.46875,10.46875,2.16435,46900
1982-04-13,10.72917,10.83333,10.57292,10.62500,2.19665,186000
1982-04-14,10.52083,10.57292,10.41667,10.41667,2.15358,187300
1982-04-15,10.57292,10.72917,10.41667,10.62500,2.19665,184900
1982-04-16,10.98958,11.19792,10.72917,11.04167,2.28280,375400
1982-04-19,10.93750,11.14583,10.72917,10.72917,2.21819,133800
1982-04-20,10.67708,10.83333,10.52083,10.57292,2.18588,219700
1982-04-21,10.52083,10.57292,10.41667,10.41667,2.15358,164400
1982-04-22,10.52083,10.57292,10.46875,10.52083,2.17512,91800
1982-04-23,10.67708,10.78125,10.57292,10.67708,2.20742,123300
1982-04-26,10.83333,11.09375,10.57292,11.09375,2.29356,235500
1982-04-27,11.14583,11.19792,11.04167,11.04167,2.28280,322800
1982-04-28,11.04167,11.09375,10.93750,10.98958,2.27203,112600
1982-04-29,10.78125,10.83333,10.67708,10.78125,2.22896,110400
1982-04-30,10.78125,10.88542,10.67708,10.78125,2.22896,94200
1982-05-03,10.83333,10.93750,10.67708,10.93750,2.26126,171000
1982-05-04,10.93750,10.98958,10.83333,10.88542,2.25049,103900
1982-05-05,10.83333,10.88542,10.72917,10.78125,2.22896,318900
1982-05-06,10.88542,10.98958,10.78125,10.78125,2.22896,186000
1982-05-07,10.78125,10.83333,10.67708,10.72917,2.21819,47800
1982-05-10,10.57292,10.67708,10.46875,10.57292,2.18588,69900
1982-05-11,10.57292,10.62500,10.52083,10.62500,2.19665,68700
1982-05-12,10.57292,10.67708,10.46875,10.52083,2.17512,141700
1982-05-13,10.52083,10.62500,10.41667,10.57292,2.18588,82900
1982-05-14,10.52083,10.57292,10.41667,10.41667,2.15358,114000
1982-05-17,10.52083,10.57292,10.46875,10.57292,2.18588,55300
1982-05-18,10.41667,10.57292,10.20833,10.36458,2.14281,105900
1982-05-19,10.36458,10.41667,10.31250,10.31250,2.13204,40200
1982-05-20,10.26042,10.36458,10.10417,10.20833,2.11051,85000
1982-05-21,10.26042,10.31250,10.15625,10.31250,2.13204,256899
1982-05-24,10.20833,10.31250,10.05208,10.10417,2.08897,194500
1982-05-25,10.15625,10.20833,10.10417,10.20833,2.11051,90300
1982-05-26,10.10417,10.15625,10.00000,10.05208,2.07820,111900
1982-05-27,9.89583,10.05208,9.73958,9.89583,2.04590,328900
1982-05-28,9.79167,9.89583,9.68750,9.79167,2.02436,173100
1982-06-01,9.58333,9.73958,9.42708,9.47917,1.95976,234600
1982-06-02,9.32292,9.47917,9.16667,9.42708,1.94899,661800
1982-06-03,9.47917,9.53125,9.37500,9.47917,1.95976,122400
1982-06-04,9.37500,9.53125,9.21875,9.27083,1.91669,84300
1982-06-07,9.16667,9.32292,9.01042,9.21875,1.90592,273900
1982-06-08,9.16667,9.21875,9.11458,9.16667,1.89515,132400
1982-06-09,9.16667,9.27083,9.06250,9.16667,1.89515,208900
1982-06-10,9.21875,9.27083,9.11458,9.27083,1.91669,211200
1982-06-11,9.84375,10.05208,9.58333,10.00000,2.06744,511300
1982-06-14,9.94792,10.00000,9.84375,9.89583,2.04590,229200
1982-06-15,10.00000,10.10417,9.84375,10.10417,2.08897,102900
1982-06-16,10.00000,10.10417,9.84375,9.84375,2.03513,245800
1982-06-17,9.79167,9.84375,9.73958,9.84375,2.03513,225600
1982-06-18,9.79167,9.84375,9.73958,9.79167,2.02436,108000
1982-06-21,9.94792,10.10417,9.79167,9.94792,2.05667,124600
1982-06-22,10.10417,10.20833,9.94792,10.10417,2.08897,58900
1982-06-23,9.94792,10.10417,9.79167,10.10417,2.08897,315600
1982-06-24,10.26042,10.36458,10.10417,10.15625,2.09974,269400
1982-06-25,10.15625,10.31250,10.00000,10.15625,2.09974,89200
1982-06-28,10.20833,10.36458,10.05208,10.26042,2.12128,126900
1982-06-29,10.15625,10.20833,10.10417,10.20833,2.12344,90900
