Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,15.53750,15.57500,15.48125,15.55000,3.91839,593600
1970-12-16,15.55000,15.70000,15.53750,15.65000,3.94359,491200
1970-12-17,15.65000,15.78750,15.65000,15.65000,3.94359,564800
1970-12-18,15.65000,15.83750,15.65000,15.77500,3.97509,604800
1970-12-21,15.77500,15.91250,15.72500,15.86250,3.99714,500800
1970-12-22,15.86250,15.93750,15.76875,15.80000,3.98139,684800
1970-12-23,15.80000,15.83750,15.55000,15.62500,3.93729,1457600
1970-12-24,15.63750,15.78750,15.63750,15.75000,3.96879,635200
1970-12-28,15.80000,15.92500,15.80000,15.92500,4.01289,388800
1970-12-29,15.92500,16.02500,15.85000,16.01250,4.03494,708800
1970-12-30,16.01250,16.03750,15.95000,15.97500,4.02549,427200
1970-12-31,15.97500,15.98750,15.82500,15.88750,4.00344,524800
1971-01-04,15.83750,15.83750,15.61250,15.65000,3.94359,537600
1971-01-05,15.65000,15.91250,15.57500,15.81250,3.98454,563200
1971-01-06,15.81250,16.02500,15.80000,15.90000,4.00659,488000
1971-01-07,15.90000,15.97500,15.78750,15.81250,3.98454,553600
1971-01-08,15.81250,15.83750,15.70000,15.72500,3.96249,571200
1971-01-11,15.70000,15.70000,15.51250,15.62500,3.93729,984000
1971-01-12,15.62500,15.82500,15.61250,15.78750,3.97824,644800
1971-01-13,15.78750,15.88750,15.77500,15.78125,3.97667,899200
1971-01-14,15.78125,15.80000,15.66250,15.72500,3.96249,628800
1971-01-15,15.72500,15.75000,15.50000,15.50000,3.90580,720000
1971-01-18,15.55000,15.68750,15.55000,15.58750,3.92784,536000
1971-01-19,15.58750,15.70000,15.58750,15.63750,3.94044,633600
1971-01-20,15.63750,15.73750,15.60000,15.73750,3.96564,420800
1971-01-21,15.73750,15.80000,15.67500,15.77500,3.97509,547200
1971-01-22,15.80625,15.88750,15.80625,15.82500,3.98769,812800
1971-01-25,16.08750,16.08750,15.81250,16.08750,4.05384,1068800
1971-01-26,16.15000,16.38750,16.15000,16.30000,4.10738,972800
1971-01-27,16.30000,16.30000,15.97500,16.12500,4.06328,920000
1971-01-28,16.05000,16.05000,15.85000,15.87500,4.00029,712000
1971-01-29,15.91250,16.27500,15.91250,16.27500,4.10108,680000
1971-02-01,16.27500,16.40000,16.25000,16.36250,4.12313,612800
1971-02-02,16.36250,16.43750,16.28750,16.38750,4.12943,732800
1971-02-03,16.38750,16.46250,16.32500,16.43125,4.14046,464000
1971-02-04,16.43125,16.55000,16.35000,16.52500,4.16408,593600
1971-02-05,16.52500,16.87500,16.41250,16.82500,4.25642,784000
1971-02-08,16.82500,17.08750,16.62500,17.03750,4.31018,688000
1971-02-09,17.03750,17.06250,16.91250,16.92500,4.28172,643200
1971-02-10,16.90000,16.90000,16.71250,16.86250,4.26590,619200
1971-02-11,16.86250,16.97500,16.83750,16.93750,4.28488,553600
1971-02-12,16.93750,16.97500,16.87500,16.97500,4.29437,364800
1971-02-16,16.97500,17.17500,16.93750,17.08125,4.32124,652800
1971-02-17,17.01875,17.01875,16.78750,16.82500,4.25642,624000
1971-02-18,16.82500,16.86250,16.46250,16.46250,4.16471,785600
1971-02-19,16.46250,16.58750,16.35000,16.41250,4.15206,660800
