Date,Open,High,Low,Close,Adj Close,Volume
2005-11-16,7.80000,8.84200,7.71200,7.85000,7.10323,97759000
2005-11-17,8.06000,8.35000,6.80000,7.05000,6.37933,34308500
2005-11-18,7.24000,7.39000,6.91200,7.00000,6.33409,12810000
2005-11-21,7.05000,7.19200,6.96400,7.18000,6.49696,6404000
2005-11-22,7.09000,7.09200,6.86000,6.99000,6.32504,6533000
2005-11-23,6.94000,6.99000,6.31000,6.79000,6.14406,12421000
2005-11-25,6.75000,6.89000,6.73000,6.83000,6.18026,1316000
2005-11-28,6.78000,6.78000,6.51000,6.66000,6.02643,3155000
2005-11-29,6.66000,6.69800,6.25400,6.39400,5.78574,4477500
2005-11-30,6.42000,6.48200,6.32000,6.46000,5.84546,3894500
2005-12-01,6.46000,7.04000,6.43000,7.00000,6.33409,5688500
2005-12-02,7.00000,7.26000,6.98000,7.22000,6.53316,5120000
2005-12-05,7.23600,7.49000,7.23600,7.36200,6.66165,4592500
2005-12-06,7.36200,7.52200,7.29000,7.31600,6.62002,3202500
2005-12-07,7.33000,7.33000,6.90000,7.09000,6.41552,2473000
2005-12-08,7.14000,7.25600,7.11000,7.20000,6.51506,1823500
2005-12-09,7.20000,7.29200,7.15600,7.24000,6.55126,808000
2005-12-12,7.29000,7.30000,7.21000,7.29000,6.59650,953500
2005-12-13,7.28800,7.28800,7.10200,7.11800,6.44086,1843000
2005-12-14,7.10000,7.14000,6.96000,7.00000,6.33409,1422000
2005-12-15,6.99000,6.99000,6.73000,6.80000,6.15311,3273000
2005-12-16,6.77000,6.89800,6.70000,6.83800,6.18750,8170500
2005-12-19,6.80000,6.88000,6.77200,6.87400,6.22007,2242000
2005-12-20,6.92400,7.08200,6.88000,6.98800,6.32323,2423500
2005-12-21,6.98000,7.00000,6.91000,6.95800,6.29608,916500
2005-12-22,6.95800,6.95800,6.86000,6.94000,6.27979,1171000
2005-12-23,6.89000,6.93800,6.81200,6.85000,6.19836,985000
2005-12-27,6.90000,7.09000,6.90000,7.05000,6.37933,1214000
2005-12-28,7.05000,7.09000,7.00600,7.01600,6.34856,581000
2005-12-29,6.98000,7.24400,6.98000,7.22800,6.54040,1076500
2005-12-30,7.25000,7.27000,7.09000,7.27000,6.57840,923500
2006-01-03,7.30000,7.65000,7.20000,7.57200,6.85167,2993000
2006-01-04,7.58000,7.58000,7.27200,7.38000,6.67794,1196500
2006-01-05,7.64000,7.94800,7.64000,7.86200,7.11409,3478500
2006-01-06,7.85000,8.08000,7.82000,8.06400,7.29687,2306500
2006-01-09,8.20000,8.85800,8.18000,8.72200,7.89227,8702000
