Date,Open,High,Low,Close,Adj Close,Volume
1974-12-17,0.00000,7.37500,6.62500,7.25000,2.01646,310800
1974-12-18,0.00000,7.75000,7.50000,7.54167,2.09758,95400
1974-12-19,0.00000,8.08333,7.41667,7.91667,2.20188,143100
1974-12-20,0.00000,7.95833,7.70833,7.70833,2.14393,75300
1974-12-23,0.00000,8.00000,7.58333,8.00000,2.22505,112800
1974-12-24,0.00000,8.33333,8.04167,8.16667,2.27141,65700
1974-12-26,0.00000,8.45833,8.08333,8.16667,2.27141,40800
1974-12-27,0.00000,8.08333,7.75000,7.79167,2.16711,82500
1974-12-30,0.00000,8.08333,7.70833,8.08333,2.24823,37800
1974-12-31,0.00000,8.45833,8.20833,8.25000,2.29458,74100
1975-01-02,0.00000,8.91667,8.25000,8.58333,2.38730,119100
1975-01-03,0.00000,8.58333,8.33333,8.37500,2.32935,43800
1975-01-06,0.00000,8.70833,8.33333,8.33333,2.31776,137100
1975-01-07,0.00000,8.29167,8.16667,8.25000,2.29458,25500
1975-01-08,0.00000,8.45833,8.04167,8.08333,2.24823,95100
1975-01-09,0.00000,8.25000,7.87500,8.16667,2.27141,128699
1975-01-10,0.00000,8.75000,8.37500,8.37500,2.32935,101100
1975-01-13,0.00000,8.54167,8.25000,8.25000,2.29458,95700
1975-01-14,0.00000,8.54167,8.25000,8.54167,2.37571,145800
1975-01-15,0.00000,8.75000,8.41667,8.75000,2.43365,161700
1975-01-16,0.00000,8.95833,8.66667,8.66667,2.41047,80100
1975-01-17,0.00000,8.66667,8.25000,8.33333,2.31776,61500
1975-01-20,0.00000,8.50000,8.25000,8.45833,2.35253,51900
1975-01-21,0.00000,8.75000,8.58333,8.58333,2.38730,62400
1975-01-22,0.00000,8.45833,8.25000,8.37500,2.32935,57600
1975-01-23,0.00000,8.66667,8.41667,8.62500,2.39889,41700
1975-01-24,0.00000,8.66667,8.33333,8.58333,2.38730,89700
1975-01-27,0.00000,9.20833,8.91667,9.08333,2.52636,99000
1975-01-28,0.00000,9.33333,8.91667,9.16667,2.54954,134100
1975-01-29,0.00000,9.20833,9.00000,9.08333,2.52636,111900
1975-01-30,0.00000,9.16667,8.66667,8.75000,2.43365,71700
1975-01-31,0.00000,9.16667,8.70833,9.08333,2.52636,113100
1975-02-03,0.00000,9.75000,9.12500,9.58333,2.66543,78300
1975-02-04,0.00000,9.75000,9.16667,9.20833,2.56113,74100
1975-02-05,0.00000,9.58333,9.25000,9.50000,2.64225,126600
1975-02-06,0.00000,10.12500,9.54167,9.54167,2.65384,205800
1975-02-07,0.00000,9.33333,9.16667,9.25000,2.57272,85800
1975-02-10,0.00000,9.37500,9.25000,9.37500,2.60748,141000
1975-02-11,0.00000,9.33333,9.16667,9.16667,2.54954,66900
1975-02-12,0.00000,9.33333,9.08333,9.29167,2.58431,316800
1975-02-13,0.00000,9.58333,9.29167,9.29167,2.58431,231900
1975-02-14,0.00000,9.45833,9.25000,9.29167,2.58431,122400
1975-02-18,0.00000,9.25000,8.91667,9.04167,2.51478,67200
1975-02-19,0.00000,9.12500,8.70833,9.12500,2.53795,99000
1975-02-20,0.00000,9.29167,8.75000,9.29167,2.58431,120900
1975-02-21,0.00000,9.25000,8.91667,9.04167,2.51478,151500
