Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.32552,0.33073,0.32552,0.32552,0.20077,10924800
1980-03-18,0.32552,0.32812,0.32292,0.32292,0.19916,17068800
1980-03-19,0.33073,0.33594,0.33073,0.33073,0.20398,18508800
1980-03-20,0.33073,0.33464,0.32943,0.32943,0.20318,11174400
1980-03-21,0.32292,0.32292,0.31771,0.31771,0.19595,12172800
1980-03-24,0.31641,0.31641,0.31120,0.31120,0.19193,8966400
1980-03-25,0.31250,0.31771,0.31250,0.31250,0.19274,11347200
1980-03-26,0.31250,0.31510,0.30990,0.30990,0.19113,16262400
1980-03-27,0.30469,0.30469,0.29948,0.29948,0.18470,26918400
1980-03-28,0.31120,0.31641,0.31120,0.31120,0.19193,20102400
1980-03-31,0.32162,0.32682,0.32162,0.32162,0.19836,9004800
1980-04-01,0.32292,0.32812,0.32292,0.32292,0.19916,8179200
1980-04-02,0.32552,0.33073,0.32552,0.32552,0.20077,12556800
1980-04-03,0.32422,0.32422,0.31901,0.31901,0.19675,6988800
1980-04-07,0.31641,0.31641,0.31120,0.31120,0.19193,13478400
1980-04-08,0.31250,0.31771,0.31250,0.31250,0.19274,29184000
1980-04-09,0.31120,0.31120,0.30599,0.30599,0.18872,11558400
1980-04-10,0.30599,0.30990,0.30469,0.30469,0.18792,14784000
1980-04-11,0.30469,0.30990,0.30469,0.30469,0.18792,9523200
1980-04-14,0.30729,0.31250,0.30729,0.30729,0.18952,8025600
1980-04-15,0.30729,0.30859,0.30338,0.30338,0.18711,10598400
1980-04-16,0.29688,0.29688,0.29167,0.29167,0.17989,10752000
1980-04-17,0.29167,0.29167,0.28646,0.28646,0.17667,17702400
1980-04-18,0.29036,0.29557,0.29036,0.29036,0.17908,18739200
1980-04-21,0.29036,0.29297,0.28776,0.28776,0.17748,9043200
1980-04-22,0.30078,0.30599,0.30078,0.30078,0.18551,20428800
1980-04-23,0.31901,0.32422,0.31901,0.31901,0.19675,14822400
1980-04-24,0.32031,0.32552,0.32031,0.32031,0.19755,8832000
1980-04-25,0.32031,0.32031,0.31510,0.31510,0.19434,7104000
1980-04-28,0.31510,0.31771,0.31250,0.31250,0.19274,6931200
1980-04-29,0.31510,0.32031,0.31510,0.31510,0.19434,6297600
1980-04-30,0.31901,0.32422,0.31901,0.31901,0.19675,7065600
1980-05-01,0.32031,0.32552,0.32031,0.32031,0.19755,7008000
1980-05-02,0.32552,0.33073,0.32552,0.32552,0.20077,5510400
1980-05-05,0.32943,0.33464,0.32943,0.32943,0.20318,3513600
1980-05-06,0.32943,0.33333,0.32812,0.32812,0.20237,6988800
1980-05-07,0.32812,0.33333,0.32812,0.32812,0.20237,6393600
1980-05-08,0.32812,0.32943,0.32422,0.32422,0.19996,7468800
1980-05-09,0.32812,0.33333,0.32812,0.32812,0.20237,16684800
1980-05-12,0.32812,0.33203,0.32682,0.32682,0.20157,8582400
1980-05-13,0.33333,0.33854,0.33333,0.33333,0.20558,7372800
1980-05-14,0.33854,0.34375,0.33854,0.33854,0.20880,4742400
1980-05-15,0.34115,0.34635,0.34115,0.34115,0.21040,8102400
1980-05-16,0.34505,0.35026,0.34505,0.34505,0.21281,4838400
1980-05-19,0.34635,0.35156,0.34635,0.34635,0.21362,8640000
1980-05-20,0.34635,0.34766,0.34245,0.34245,0.21121,21811200
1980-05-21,0.33984,0.33984,0.33464,0.33464,0.20639,10540800
