Date,Open,High,Low,Close,Adj Close,Volume
1993-03-12,2.29167,2.75000,2.25000,2.64583,2.40300,28573200
1993-03-15,2.68750,2.70833,2.58333,2.61458,2.37461,6580800
1993-03-16,2.58333,2.62500,2.52083,2.55208,2.31785,3928800
1993-03-17,2.52083,2.56250,2.41667,2.45833,2.23270,3170400
1993-03-18,2.52083,2.54167,2.45833,2.54167,2.30839,735600
1993-03-19,2.47917,2.54167,2.47917,2.52083,2.28947,542400
1993-03-22,2.50000,2.54167,2.37500,2.37500,2.15702,1749600
1993-03-23,2.41667,2.54167,2.33333,2.54167,2.30839,2000400
1993-03-24,2.50000,2.54167,2.41667,2.47917,2.25163,1009200
1993-03-25,2.47917,2.47917,2.37500,2.37500,2.15702,1035599
1993-03-26,2.41667,2.41667,2.37500,2.37500,2.15702,1326000
1993-03-29,2.41667,2.45833,2.33333,2.36458,2.14756,518400
1993-03-30,2.41667,2.41667,2.33333,2.37500,2.15702,649200
1993-03-31,2.37500,2.37500,2.31250,2.31250,2.10026,1665600
1993-04-01,2.31250,2.37500,2.29167,2.31250,2.10026,316800
1993-04-02,2.31250,2.31250,2.14583,2.20833,2.00565,1820400
1993-04-05,2.22917,2.29167,2.14583,2.25000,2.04349,1450800
1993-04-06,2.33333,2.33333,2.25000,2.25000,2.04349,1084800
1993-04-07,2.20833,2.27083,2.16667,2.16667,1.96781,1216800
1993-04-08,2.14583,2.22917,2.10417,2.12500,1.92997,990000
1993-04-12,2.08333,2.12500,2.06250,2.10417,1.91104,1232400
1993-04-13,2.08333,2.12500,2.02083,2.04167,1.85428,2005200
1993-04-14,2.08333,2.12500,2.04167,2.12500,1.92997,3022800
1993-04-15,2.12500,2.12500,2.06250,2.06250,1.87320,412800
1993-04-16,2.06250,2.12500,2.06250,2.06250,1.87320,188400
1993-04-19,2.10417,2.10417,2.04167,2.04167,1.85428,628800
1993-04-20,2.04167,2.08333,2.04167,2.04167,1.85428,214800
1993-04-21,2.08333,2.08333,2.00000,2.02083,1.83536,588000
1993-04-22,2.06250,2.12500,2.02083,2.12500,1.92997,382800
1993-04-23,2.14583,2.14583,2.06250,2.14583,1.94889,118800
1993-04-26,2.14583,2.14583,2.06250,2.06250,1.87320,187200
1993-04-27,2.10417,2.29167,2.04167,2.29167,2.08134,1040400
1993-04-28,2.29167,2.29167,2.22917,2.27083,2.06241,348000
1993-04-29,2.22917,2.22917,2.18750,2.22917,2.02457,319200
1993-04-30,2.20833,2.35417,2.20833,2.29167,2.08134,1194000
1993-05-03,2.29167,2.41667,2.29167,2.41667,2.19486,499200
1993-05-04,2.41667,2.41667,2.35417,2.41667,2.19486,242400
1993-05-05,2.35417,2.62500,2.35417,2.54167,2.30839,1215600
1993-05-06,2.54167,2.58333,2.43750,2.47917,2.25163,598800
1993-05-07,2.47917,2.58333,2.47917,2.52083,2.28947,472800
1993-05-10,2.52083,2.64583,2.52083,2.58333,2.34623,349200
1993-05-11,2.62500,2.62500,2.56250,2.56250,2.32731,391200
1993-05-12,2.56250,2.60417,2.56250,2.56250,2.32731,145200
1993-05-13,2.60417,2.60417,2.54167,2.58333,2.34623,303600
1993-05-14,2.58333,2.60417,2.54167,2.56250,2.32731,204000
1993-05-17,2.60417,2.62500,2.56250,2.58333,2.34623,142800
1993-05-18,2.62500,2.62500,2.58333,2.58333,2.34623,802800
1993-05-19,2.62500,2.68750,2.62500,2.66667,2.42192,1312800
1993-05-20,2.64583,2.70833,2.64583,2.70833,2.45976,265200
1993-05-21,2.64583,2.68750,2.64583,2.64583,2.40300,223200
1993-05-24,2.66667,2.66667,2.64583,2.64583,2.40300,222000
1993-05-25,2.66667,2.66667,2.58333,2.62500,2.38408,372000
1993-05-26,2.56250,2.58333,2.50000,2.53125,2.29893,844800
1993-05-27,2.56250,2.56250,2.47917,2.47917,2.25163,200400
1993-05-28,2.47917,2.50000,2.37500,2.41667,2.19486,676800
1993-06-01,2.41667,2.41667,2.37500,2.37500,2.15702,94800
1993-06-02,2.39583,2.41667,2.37500,2.41667,2.19486,452400
1993-06-03,2.39583,2.41667,2.37500,2.41667,2.19486,670800
1993-06-04,2.37500,2.43750,2.37500,2.37500,2.15702,874800
1993-06-07,2.35417,2.41667,2.25000,2.34375,2.12864,1143600
1993-06-08,2.29167,2.32292,2.18750,2.25000,2.04349,1207200
1993-06-09,2.18750,2.25000,2.14583,2.18750,1.98673,490800
1993-06-10,2.18750,2.29167,2.18750,2.22917,2.02457,586800
1993-06-11,2.29167,2.58333,2.28125,2.54167,2.30839,2109600
1993-06-14,2.56250,2.62500,2.52083,2.56250,2.32731,949200
1993-06-15,2.60417,2.60417,2.52083,2.54167,2.30839,740400
1993-06-16,2.52083,2.56250,2.52083,2.56250,2.32731,301200
1993-06-17,2.54167,2.56250,2.52083,2.52083,2.28947,73200
1993-06-18,2.56250,2.56250,2.52083,2.52083,2.28947,67200
1993-06-21,2.56250,2.68750,2.52083,2.68750,2.44084,663600
1993-06-22,2.68750,2.68750,2.62500,2.62500,2.38408,64800
1993-06-23,2.60417,2.64583,2.60417,2.64583,2.40300,108000
1993-06-24,2.66667,2.81250,2.60417,2.79167,2.53544,1266000
1993-06-25,2.77083,2.85417,2.72917,2.72917,2.47868,997200
1993-06-28,2.72917,2.77083,2.72917,2.75000,2.49760,308400
1993-06-29,2.72917,2.75000,2.62500,2.66667,2.42192,265200
1993-06-30,2.62500,2.70833,2.62500,2.70833,2.45976,99600
1993-07-01,2.64583,2.70833,2.60417,2.60417,2.36515,388800
1993-07-02,2.64583,2.66667,2.60417,2.66667,2.42192,289200
1993-07-06,2.62500,2.66667,2.62500,2.62500,2.38408,147600
1993-07-07,2.66667,2.66667,2.62500,2.62500,2.38408,360000
