Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,8.75246,8.75246,8.62919,8.72165,1.51368,104600
1970-12-16,8.66001,8.66001,8.53674,8.56755,1.48693,192200
1970-12-17,8.56755,8.66001,8.53674,8.66001,1.50298,124900
1970-12-18,8.66001,8.75246,8.59837,8.75246,1.51902,46200
1970-12-21,8.75246,8.75246,8.59837,8.59837,1.49228,181700
1970-12-22,8.59837,8.78328,8.59837,8.72165,1.51368,146800
1970-12-23,8.78328,8.90656,8.78328,8.87574,1.54042,219800
1970-12-24,8.90656,8.99901,8.90656,8.90656,1.54577,80300
1970-12-28,8.90656,8.93738,8.75246,8.75246,1.51902,119200
1970-12-29,8.75246,8.81410,8.66001,8.69083,1.50833,58800
1970-12-30,8.69083,8.81410,8.69083,8.69083,1.50833,58800
1970-12-31,8.69083,8.69083,8.59837,8.69083,1.50833,86700
1971-01-04,8.69083,8.75246,8.35182,8.35182,1.44949,66100
1971-01-05,8.35182,8.53674,8.32101,8.53674,1.48158,100100
1971-01-06,8.53674,8.56755,8.41346,8.44428,1.46554,31600
1971-01-07,8.44428,8.53674,8.41346,8.47510,1.47088,408800
1971-01-08,8.47510,8.53674,8.44428,8.47510,1.47088,181700
1971-01-11,8.47510,8.53674,8.47510,8.50592,1.47623,41700
1971-01-12,8.50592,8.75246,8.47510,8.66001,1.50298,114300
1971-01-13,8.66001,8.75246,8.62919,8.66001,1.50298,75400
1971-01-14,8.66001,8.78328,8.62919,8.69083,1.50833,88800
1971-01-15,8.69083,8.81410,8.66001,8.72165,1.51368,84700
1971-01-18,8.72165,8.78328,8.66001,8.75246,1.51902,48600
1971-01-19,8.75246,8.75246,8.62919,8.69083,1.50833,90000
1971-01-20,8.69083,8.84492,8.69083,8.72165,1.51368,66900
1971-01-21,8.72165,8.75246,8.66001,8.69083,1.50833,67300
1971-01-22,8.69083,8.84492,8.69083,8.75246,1.51902,76600
1971-01-25,8.81410,9.21474,8.81410,9.09147,1.57786,137000
1971-01-26,9.09147,9.24556,9.06065,9.15311,1.58856,106200
1971-01-27,9.15311,9.21474,8.99901,9.15311,1.58856,124100
1971-01-28,9.15311,9.49211,9.12229,9.49211,1.64739,98100
1971-01-29,9.49211,9.55375,9.39965,9.39965,1.63134,444500
1971-02-01,9.39965,9.46129,9.33802,9.43047,1.63669,117200
1971-02-02,9.39965,9.39965,9.27638,9.36884,1.62600,55900
1971-02-03,9.36884,9.36884,9.27638,9.30720,1.61530,245700
1971-02-04,9.30720,9.43047,9.30720,9.43047,1.63669,118000
1971-02-05,9.43047,9.46129,9.24556,9.36884,1.62600,82700
1971-02-08,9.33802,9.33802,9.24556,9.33802,1.62065,100100
1971-02-09,9.33802,9.49211,9.27638,9.27638,1.60995,122000
1971-02-10,9.12229,9.12229,8.75246,9.06065,1.57251,285100
1971-02-11,8.96820,8.96820,8.81410,8.84492,1.53507,152900
1971-02-12,8.87574,8.99901,8.87574,8.87574,1.54042,67300
1971-02-16,8.62919,8.84492,8.62919,8.81410,1.54582,125300
1971-02-17,8.81410,8.87574,8.72165,8.87574,1.55663,152900
1971-02-18,8.87574,8.99901,8.81410,8.87574,1.55663,111500
1971-02-19,8.87574,8.93738,8.84492,8.87574,1.55663,85900
1971-02-22,8.87574,8.93738,8.84492,8.87574,1.55663,68900
1971-02-23,8.87574,8.96820,8.84492,8.93738,1.56744,81100
1971-02-24,8.93738,9.09147,8.90656,9.02983,1.58366,69300
1971-02-25,9.02983,9.18392,9.02983,9.06065,1.58906,95700
1971-02-26,9.06065,9.15311,9.02983,9.02983,1.58366,60400
1971-03-01,9.02983,9.15311,9.02983,9.15311,1.60528,61200
1971-03-02,9.15311,9.15311,9.09147,9.12229,1.59987,32400
1971-03-03,9.12229,9.18392,9.06065,9.06065,1.58906,53900
1971-03-04,9.06065,9.33802,9.02983,9.18392,1.61068,97700
1971-03-05,9.18392,9.21474,9.02983,9.12229,1.59987,119200
1971-03-08,9.12229,9.21474,8.96820,9.15311,1.60528,48200
1971-03-09,9.15311,9.33802,9.15311,9.33802,1.63771,75000
1971-03-10,9.33802,9.39965,9.27638,9.27638,1.62690,88400
1971-03-11,9.27638,9.30720,8.99901,9.02983,1.58366,93200
1971-03-12,9.02983,9.09147,9.02983,9.09147,1.59447,65700
1971-03-15,9.09147,9.12229,9.02983,9.02983,1.58366,100100
1971-03-16,9.02983,9.12229,9.02983,9.12229,1.59987,182100
1971-03-17,9.09147,9.09147,8.99901,8.99901,1.57825,90000
1971-03-18,8.99901,9.27638,8.99901,9.21474,1.61609,113500
1971-03-19,9.21474,9.27638,9.15311,9.15311,1.60528,76600
1971-03-22,9.15311,9.33802,9.12229,9.27638,1.62690,136200
1971-03-23,9.27638,9.30720,9.21474,9.27638,1.62690,52300
1971-03-24,9.27638,9.30720,9.18392,9.21474,1.61609,93600
1971-03-25,9.21474,9.27638,9.15311,9.21474,1.61609,75800
1971-03-26,9.21474,9.21474,8.99901,9.12229,1.59987,75400
1971-03-29,9.12229,9.12229,9.02983,9.09147,1.59447,86700
1971-03-30,9.09147,9.09147,9.02983,9.06065,1.58906,73400
1971-03-31,9.06065,9.09147,8.96820,9.09147,1.59447,121600
1971-04-01,9.09147,9.09147,8.93738,8.96820,1.57285,69300
1971-04-02,8.96820,8.96820,8.78328,8.84492,1.55123,107800
1971-04-05,8.87574,8.93738,8.87574,8.87574,1.55663,90800
1971-04-06,8.87574,8.93738,8.81410,8.81410,1.54582,159800
1971-04-07,8.75246,8.75246,8.50592,8.50592,1.49177,149600
1971-04-08,8.38264,8.38264,8.13610,8.32101,1.45934,272900
1971-04-12,8.32101,8.66001,8.32101,8.66001,1.51880,274900
1971-04-13,8.66001,8.78328,8.53674,8.78328,1.54042,239700
1971-04-14,8.78328,8.87574,8.72165,8.84492,1.55123,124500
1971-04-15,8.84492,8.90656,8.78328,8.90656,1.56204,172300
1971-04-16,8.90656,9.06065,8.87574,9.02983,1.58366,154500
1971-04-19,9.02983,9.27638,9.02983,9.21474,1.61609,186100
1971-04-20,9.21474,9.27638,9.18392,9.21474,1.61609,85100
1971-04-21,9.21474,9.30720,9.15311,9.18392,1.61068,138700
1971-04-22,9.18392,9.33802,9.15311,9.27638,1.62690,109500
1971-04-23,9.27638,9.49211,9.27638,9.36884,1.64311,144700
1971-04-26,9.36884,9.39965,9.24556,9.33802,1.63771,186100
1971-04-27,9.33802,9.64620,9.30720,9.52293,1.67014,302500
1971-04-28,9.55375,9.92357,9.55375,9.83112,1.72419,341900
1971-04-29,9.86193,10.01603,9.86193,9.86193,1.72959,226700
1971-04-30,9.86193,9.86193,9.55375,9.70784,1.70257,105000
1971-05-03,9.70784,9.80030,9.52293,9.52293,1.67014,80700
1971-05-04,9.52293,9.70784,9.52293,9.70784,1.70257,75800
1971-05-05,9.70784,9.76948,9.49211,9.70784,1.70257,90400
1971-05-06,9.70784,9.83112,9.67702,9.67702,1.69716,143500
1971-05-07,9.67702,9.70784,9.55375,9.55375,1.67554,53500
1971-05-10,9.49211,9.49211,9.30720,9.36884,1.64311,86300
1971-05-11,9.36884,9.58457,9.30720,9.49211,1.66473,119200
1971-05-12,9.49211,9.52293,9.33802,9.33802,1.63771,169100
1971-05-13,9.33802,9.61538,9.27638,9.49211,1.66473,328900
1971-05-14,9.52293,9.86193,9.52293,9.61538,1.68635,803800
1971-05-17,9.58457,9.58457,9.49211,9.58457,1.68095,97700
1971-05-18,9.58457,9.67702,9.46129,9.61538,1.70278,118000
1971-05-19,9.61538,9.70784,9.61538,9.61538,1.70278,81100
1971-05-20,9.64620,9.73866,9.64620,9.70784,1.71915,56300
1971-05-21,9.67702,9.67702,9.61538,9.61538,1.70278,62800
1971-05-24,9.61538,9.61538,9.52293,9.58457,1.69732,106200
1971-05-25,9.46129,9.46129,9.12229,9.30720,1.64820,239300
1971-05-26,9.30720,9.52293,9.30720,9.46129,1.67549,117200
1971-05-27,9.43047,9.43047,9.36884,9.36884,1.65912,49000
1971-05-28,9.36884,9.46129,9.36884,9.36884,1.65912,70900
1971-06-01,9.39965,9.58457,9.39965,9.46129,1.67549,49800
1971-06-02,9.46129,9.55375,9.46129,9.52293,1.68641,69300
1971-06-03,9.49211,9.49211,9.36884,9.39965,1.66458,186100
1971-06-04,9.39965,9.43047,9.36884,9.36884,1.65912,101800
1971-06-07,9.36884,9.36884,9.15311,9.18392,1.62637,60000
1971-06-08,9.18392,9.30720,9.09147,9.12229,1.61546,203200
1971-06-09,9.12229,9.12229,8.81410,8.93738,1.58271,68500
1971-06-10,8.93738,9.06065,8.81410,8.87574,1.57180,89200
1971-06-11,8.87574,8.99901,8.81410,8.87574,1.57180,247800
1971-06-14,8.81410,8.81410,8.69083,8.72165,1.54451,86300
