Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,21.25000,21.30000,20.27000,21.10000,16.67575,10933700
2017-05-15,21.01000,22.30000,21.01000,22.02000,17.40284,3487300
2017-05-16,22.19000,22.41000,22.05000,22.10000,17.46606,1289300
2017-05-17,22.15000,22.51000,21.67000,22.10000,17.46606,1583700
2017-05-18,22.19000,23.63000,21.98000,22.50000,17.78219,4075200
2017-05-19,22.56000,23.49000,22.32000,22.72000,17.95606,1248600
2017-05-22,22.80000,23.09000,22.52000,22.89000,18.09041,383100
2017-05-23,22.99000,23.61000,22.65000,23.45000,18.53299,704000
2017-05-24,23.54000,23.59300,23.01000,23.35000,18.45396,408800
2017-05-25,23.42000,23.82000,22.31000,22.51000,17.79009,1080700
2017-05-26,22.55000,23.24000,22.35500,23.03000,18.20106,721100
2017-05-30,23.00000,23.29000,22.59000,22.95000,18.13784,843100
2017-05-31,22.97000,23.18000,22.67000,22.93000,18.12203,484400
2017-06-01,22.91000,23.43500,22.81000,22.93000,18.12203,486400
2017-06-02,22.89000,23.10000,22.60000,22.65000,17.90074,546600
2017-06-05,22.61000,22.91000,21.92000,22.63000,17.88493,422200
2017-06-06,21.83000,22.71000,21.83000,22.29000,17.61623,1089500
2017-06-07,22.40000,22.79000,21.57000,21.76000,17.51161,733500
2017-06-08,21.75000,21.93000,21.61000,21.65000,17.42308,432600
2017-06-09,21.68000,22.82000,21.68000,22.49000,18.09908,565900
2017-06-12,22.46000,23.58000,21.89000,23.03000,18.53365,826200
2017-06-13,22.99000,24.24000,22.80000,23.49000,18.90384,927300
2017-06-14,23.57000,23.71000,22.55000,23.25000,18.71070,1988500
2017-06-15,23.08000,24.55000,22.77000,22.99000,18.50146,1510300
2017-06-16,23.00000,24.00000,23.00000,23.92000,19.24989,2465600
2017-06-19,24.06000,24.21000,23.54000,23.92000,19.24989,460200
2017-06-20,23.72000,23.72000,22.21000,22.62000,18.20370,1043700
2017-06-21,22.54000,22.74500,20.63000,20.72000,16.67465,1275400
2017-06-22,20.72000,21.07000,19.91000,21.06000,16.94827,1321900
2017-06-23,21.03000,21.10500,20.24000,20.47000,16.47346,3690400
2017-06-26,20.42000,21.05000,20.08000,20.50000,16.49761,790800
2017-06-27,20.56000,21.63000,20.42000,21.29000,17.13337,1029099
2017-06-28,21.28000,21.64000,21.14000,21.27000,17.11727,737600
2017-06-29,21.33000,21.54000,21.04000,21.43000,17.24603,796200
2017-06-30,21.54000,21.74000,21.24000,21.61000,17.39089,250800
2017-07-03,21.75000,22.40000,21.39000,22.34000,17.97837,396500
2017-07-05,22.38000,22.41000,21.76000,21.82000,17.55989,765800
2017-07-06,21.61000,21.61000,20.89500,20.97000,16.87584,1184400
2017-07-07,20.99000,21.22000,20.58000,20.67000,16.63442,953900
2017-07-10,20.63000,21.48000,20.55000,21.34000,17.17360,826900
2017-07-11,21.23000,21.80000,21.02000,21.73000,17.48746,656100
2017-07-12,21.78000,22.34000,21.73000,22.13000,17.80937,1091800
2017-07-13,22.11000,22.26000,21.86000,22.06000,17.75303,1577700
2017-07-14,22.13000,22.29000,21.99000,22.08000,17.76913,211300
2017-07-17,22.06000,23.12000,21.92300,22.97000,18.48536,1357100
2017-07-18,22.83000,23.21000,22.81000,23.04000,18.54170,962700
2017-07-19,23.03000,23.42000,23.00000,23.42000,18.84751,742400
2017-07-20,23.41000,23.62000,23.00000,23.55000,18.95212,454400
2017-07-21,23.44000,23.69000,22.82000,23.01000,18.51756,1163200
2017-07-24,22.93000,23.15000,22.71000,23.14000,18.62217,724400
2017-07-25,23.28000,23.56000,22.99000,23.45000,18.87165,1832300
2017-07-26,23.60000,23.60000,22.64000,22.82000,18.36465,781200
2017-07-27,22.81000,23.25000,22.74500,23.23000,18.69460,314200
2017-07-28,23.08000,23.22000,22.88000,23.09000,18.58194,260800
2017-07-31,23.23000,23.23000,22.91000,22.96000,18.47732,536900
2017-08-01,23.00000,23.00000,22.39000,22.50000,18.10712,998200
2017-08-02,22.50000,23.13000,22.50000,23.02000,18.52560,1444100
2017-08-03,23.83000,23.99700,22.96000,23.26000,18.71875,2650300
2017-08-04,23.46000,24.08000,23.29000,24.07000,19.37060,809600
2017-08-07,24.09000,24.34000,23.74000,24.04000,19.34646,1039099
