Date,Open,High,Low,Close,Adj Close,Volume
1973-03-13,0.00000,1.12500,1.10938,1.11328,0.17980,89600
1973-03-14,0.00000,1.11328,1.11328,1.11328,0.17980,3200
1973-03-15,0.00000,1.11328,1.10938,1.10938,0.17917,9600
1973-03-16,0.00000,1.11719,1.10938,1.11719,0.18043,9600
1973-03-19,0.00000,1.10938,1.09375,1.09375,0.17665,48000
1973-03-20,0.00000,1.08984,1.08594,1.08984,0.17602,9600
1973-03-21,0.00000,1.08594,1.08594,1.08594,0.17539,3200
1973-03-22,0.00000,1.07812,1.05469,1.05469,0.17034,22400
1973-03-23,0.00000,1.05859,1.01562,1.01562,0.16403,44800
1973-03-26,0.00000,1.02344,1.00781,1.00781,0.16277,32000
1973-03-27,0.00000,1.01562,1.00781,1.00781,0.16277,9600
1973-03-28,0.00000,1.00781,1.00781,1.00781,0.16277,16000
1973-03-29,0.00000,1.01172,1.00781,1.01172,0.16340,9600
1973-03-30,0.00000,1.00391,0.98828,0.98828,0.15961,105600
1973-04-02,0.00000,0.98828,0.98438,0.98828,0.15961,22400
1973-04-03,0.98828,0.98828,0.98828,0.98828,0.15961,0
1973-04-04,0.00000,0.97656,0.96875,0.96875,0.15646,19200
1973-04-05,0.00000,0.96094,0.94531,0.94531,0.15267,19200
1973-04-06,0.00000,0.93750,0.89062,0.89453,0.14447,54400
1973-04-09,0.00000,0.91406,0.89062,0.89844,0.14510,51200
1973-04-10,0.00000,0.96875,0.90625,0.96094,0.15520,144000
1973-04-11,0.00000,0.98047,0.96875,0.97266,0.15709,38400
1973-04-12,0.00000,0.97656,0.97266,0.97656,0.15772,12800
1973-04-13,0.00000,0.98047,0.98047,0.98047,0.15835,9600
1973-04-16,0.00000,1.00000,0.97656,1.00000,0.16151,86400
1973-04-17,0.00000,1.00000,0.99219,1.00000,0.16151,48000
1973-04-18,0.00000,0.99219,0.95312,0.96875,0.15646,89600
1973-04-19,0.00000,0.97656,0.97656,0.97656,0.15772,3200
1973-04-23,0.00000,0.98438,0.96094,0.96094,0.15520,35200
1973-04-24,0.00000,0.96875,0.96094,0.96094,0.15520,6400
1973-04-25,0.00000,0.95312,0.92188,0.92188,0.14889,54400
1973-04-26,0.00000,0.92969,0.92188,0.92188,0.14889,12800
1973-04-27,0.00000,0.93750,0.92969,0.92969,0.15015,44800
1973-04-30,0.00000,0.94531,0.92969,0.94531,0.15267,86400
1973-05-01,0.00000,0.95703,0.94531,0.94531,0.15267,22400
1973-05-02,0.00000,0.97656,0.95312,0.97656,0.15772,48000
1973-05-03,0.00000,0.96875,0.96094,0.96094,0.15520,6400
1973-05-04,0.00000,0.95312,0.94531,0.94531,0.15267,6400
1973-05-07,0.00000,0.94922,0.94531,0.94531,0.15267,16000
1973-05-08,0.00000,0.96094,0.94531,0.95312,0.15394,51200
1973-05-09,0.00000,0.96094,0.94141,0.94141,0.15204,35200
1973-05-10,0.00000,0.93750,0.93750,0.93750,0.15141,12800
1973-05-11,0.00000,0.92969,0.92969,0.92969,0.15015,3200
1973-05-14,0.00000,0.91797,0.90625,0.91797,0.14826,41600
1973-05-15,0.00000,0.93359,0.92188,0.92188,0.14889,140800
1973-05-16,0.00000,0.92188,0.90625,0.90625,0.14636,51200
1973-05-17,0.00000,0.90625,0.90234,0.90234,0.14573,9600
1973-05-18,0.00000,0.90234,0.89844,0.89844,0.14510,44800
1973-05-21,0.00000,0.86719,0.81250,0.81250,0.13122,99200
1973-05-22,0.00000,0.82812,0.78125,0.78125,0.12618,86400
1973-05-23,0.00000,0.78125,0.77734,0.77734,0.12555,19200
1973-05-24,0.00000,0.76953,0.75781,0.76562,0.12365,32000
1973-05-25,0.00000,0.77734,0.77344,0.77734,0.12555,86400
1973-05-29,0.00000,0.81250,0.78906,0.81250,0.13122,86400
1973-05-30,0.00000,0.80859,0.80469,0.80859,0.13059,19200
1973-05-31,0.00000,0.80078,0.78125,0.78125,0.12618,48000
1973-06-01,0.00000,0.77734,0.75781,0.76562,0.12365,105600
1973-06-04,0.00000,0.75781,0.73828,0.73828,0.11924,64000
1973-06-05,0.00000,0.74609,0.71484,0.72656,0.11734,377600
1973-06-06,0.00000,0.73438,0.70312,0.70703,0.11419,1139200
1973-06-07,0.00000,0.76562,0.71875,0.76562,0.12365,118400
1973-06-08,0.00000,0.78516,0.75781,0.77344,0.12492,67200
1973-06-11,0.00000,0.77344,0.75391,0.77344,0.12492,240000
1973-06-12,0.00000,0.78906,0.77344,0.78906,0.12744,54400
1973-06-13,0.00000,0.79688,0.79688,0.79688,0.12870,6400
1973-06-14,0.00000,0.81250,0.80078,0.81250,0.13122,16000
1973-06-15,0.00000,0.80469,0.79297,0.79297,0.12807,28800
1973-06-18,0.00000,0.80078,0.80078,0.80078,0.12933,3200
1973-06-19,0.00000,0.80469,0.80469,0.80469,0.12996,6400
1973-06-20,0.00000,0.78125,0.78125,0.78125,0.12618,67200
1973-06-21,0.00000,0.79688,0.79688,0.79688,0.12870,32000
1973-06-22,0.00000,0.81250,0.80469,0.81250,0.13122,19200
1973-06-25,0.00000,0.80469,0.80469,0.80469,0.12996,3200
1973-06-26,0.00000,0.80859,0.79688,0.80469,0.12996,32000
1973-06-27,0.00000,0.81250,0.81250,0.81250,0.13122,6400
1973-06-28,0.00000,0.81641,0.81250,0.81641,0.13186,22400
1973-06-29,0.81641,0.81641,0.81641,0.81641,0.13186,0
1973-07-02,0.00000,0.82031,0.80469,0.82031,0.13248,76800
1973-07-03,0.00000,0.82812,0.81250,0.82812,0.13375,35200
1973-07-05,0.00000,0.83594,0.82422,0.82422,0.13312,9600
1973-07-06,0.00000,0.83594,0.83203,0.83594,0.13501,16000
1973-07-09,0.00000,0.84375,0.84375,0.84375,0.13627,12800
1973-07-10,0.00000,0.86719,0.85156,0.86719,0.14006,54400
1973-07-11,0.00000,0.89844,0.88672,0.88672,0.14321,51200
1973-07-12,0.00000,0.89453,0.89453,0.89453,0.14447,3200
1973-07-13,0.00000,0.92969,0.89844,0.89844,0.14510,124800
1973-07-16,0.00000,0.90234,0.90234,0.90234,0.14573,9600
1973-07-17,0.00000,0.97656,0.91406,0.97656,0.15772,115200
1973-07-18,0.00000,0.98438,0.96875,0.97656,0.15772,41600
1973-07-19,0.00000,1.00000,0.98047,1.00000,0.16151,137600
1973-07-20,0.00000,1.00781,0.99219,1.00781,0.16277,48000
1973-07-23,0.00000,1.00000,1.00000,1.00000,0.16151,28800
