Date,Open,High,Low,Close,Adj Close,Volume
1995-08-25,6.72500,6.82500,6.72500,6.80000,2.96861,3541000
1995-08-28,6.77500,6.77500,6.65000,6.70000,3.04846,1418500
1995-08-29,6.75000,6.77500,6.62500,6.70000,3.04846,879000
1995-08-30,6.70000,6.72500,6.67500,6.72500,3.05984,436500
1995-08-31,6.72500,6.72500,6.65000,6.70000,3.04846,606500
1995-09-01,6.70000,6.72500,6.67500,6.72500,3.05984,217000
1995-09-05,6.70000,6.72500,6.67500,6.70000,3.04846,385500
1995-09-06,6.67500,6.70000,6.65000,6.67500,3.03709,247000
1995-09-07,6.67500,6.67500,6.60000,6.62500,3.01434,738000
1995-09-08,6.57500,6.60000,6.27500,6.27500,2.85509,946000
1995-09-11,6.30000,6.52500,6.30000,6.42500,2.92334,434000
1995-09-12,6.55000,6.67500,6.55000,6.65000,3.02571,817500
1995-09-13,6.75000,6.77500,6.65000,6.67500,3.03709,542500
1995-09-14,6.67500,6.70000,6.65000,6.70000,3.04846,154500
1995-09-15,6.67500,6.70000,6.67500,6.70000,3.04846,218500
1995-09-18,6.67500,6.72500,6.65000,6.72500,3.05984,422500
1995-09-19,6.70000,6.70000,6.65000,6.67500,3.03709,116500
1995-09-20,6.65000,6.65000,6.52500,6.55000,2.98021,124500
1995-09-21,6.60000,6.62500,6.55000,6.60000,3.00296,157000
1995-09-22,6.55000,6.55000,6.45000,6.45000,2.93471,94500
1995-09-25,6.50000,6.50000,6.42500,6.42500,2.92334,53000
1995-09-26,6.55000,6.60000,6.52500,6.52500,2.96884,266500
1995-09-27,6.50000,6.52500,6.50000,6.50000,2.95746,95000
1995-09-28,6.55000,6.62500,6.55000,6.60000,3.00296,205000
1995-09-29,6.80000,6.92500,6.80000,6.90000,3.13946,1303000
1995-10-02,7.00000,7.12500,7.00000,7.02500,3.19633,570000
1995-10-03,7.05000,7.07500,7.00000,7.05000,3.20771,165000
1995-10-04,7.02500,7.02500,6.97500,6.97500,3.17358,108500
1995-10-05,7.00000,7.02500,6.97500,7.02500,3.19633,70500
1995-10-06,7.02500,7.02500,6.95000,6.97500,3.17358,277000
1995-10-09,6.95000,7.00000,6.92500,6.92500,3.15083,77000
1995-10-10,6.92500,6.92500,6.80000,6.82500,3.10533,80000
1995-10-11,6.82500,6.90000,6.82500,6.82500,3.10533,80500
1995-10-12,6.87500,7.05000,6.87500,7.02500,3.19633,170000
1995-10-13,7.15000,7.27500,7.15000,7.25000,3.29871,201000
1995-10-16,7.30000,7.42500,7.30000,7.37500,3.35558,130000
1995-10-17,7.35000,7.35000,7.27500,7.27500,3.31008,154500
1995-10-18,7.27500,7.47500,7.27500,7.37500,3.35558,169000
1995-10-19,7.42500,7.52500,7.42500,7.52500,3.42383,130500
1995-10-20,7.57500,7.70000,7.57500,7.65000,3.48070,212500
1995-10-23,7.67500,7.67500,7.65000,7.67500,3.49208,66000
1995-10-24,7.62500,7.62500,7.55000,7.55000,3.43521,71500
1995-10-25,7.55000,7.55000,7.52500,7.52500,3.42383,284500
1995-10-26,7.52500,7.55000,7.42500,7.45000,3.38971,96000
1995-10-27,7.42500,7.45000,7.40000,7.45000,3.38971,25000
1995-10-30,7.42500,7.47500,7.42500,7.42500,3.37833,18500
1995-10-31,7.55000,7.65000,7.55000,7.65000,3.48070,208000
1995-11-01,7.62500,7.62500,7.47500,7.50000,3.41246,107000
1995-11-02,7.52500,7.65000,7.52500,7.60000,3.45796,291000
1995-11-03,7.90000,7.92500,7.90000,7.92500,3.60583,252500
1995-11-06,7.92500,8.00000,7.85000,8.00000,3.63995,235000
1995-11-07,8.00000,8.00000,7.92500,7.92500,3.60583,192000
1995-11-08,7.92500,7.95000,7.90000,7.95000,3.61720,14500
1995-11-09,7.92500,8.05000,7.92500,8.02500,3.65133,41500
1995-11-10,8.00000,8.00000,7.95000,7.95000,3.61720,11000
1995-11-13,7.92500,7.92500,7.87500,7.92500,3.60583,29000
1995-11-14,7.90000,7.90000,7.80000,7.80000,3.54895,35500
1995-11-15,7.80000,7.87500,7.80000,7.87500,3.58308,11500
1995-11-16,7.87500,8.00000,7.87500,8.00000,3.63995,31000
1995-11-17,8.00000,8.00000,8.00000,8.00000,3.63995,14500
1995-11-20,8.00000,8.10000,8.00000,8.07500,3.67408,25000
1995-11-21,8.07500,8.12500,8.07500,8.12500,3.69683,6500
1995-11-22,8.10000,8.22500,8.10000,8.22500,3.74232,21500
1995-11-24,8.22500,8.22500,8.15000,8.15000,3.70820,12000
1995-11-27,8.15000,8.15000,8.05000,8.05000,3.66270,21000
1995-11-28,8.05000,8.15000,8.05000,8.12500,3.69683,12000
1995-11-29,8.10000,8.10000,8.07500,8.07500,3.67408,6500
1995-11-30,8.10000,8.17500,8.10000,8.15000,3.70820,16000
1995-12-01,8.15000,8.15000,8.12500,8.12500,3.69683,8500
1995-12-04,8.10000,8.12500,8.10000,8.12500,3.69683,6500
1995-12-05,8.10000,8.12500,8.10000,8.12500,3.69683,3000
1995-12-06,8.10000,8.10000,8.05000,8.05000,3.66270,18000
1995-12-07,8.10000,8.20000,8.10000,8.17500,3.71958,102500
1995-12-08,8.12500,8.12500,8.10000,8.10000,3.68545,5500
1995-12-11,8.07500,8.07500,8.07500,8.07500,3.67408,2500
1995-12-12,8.05000,8.05000,8.05000,8.05000,3.66270,2000
1995-12-13,8.10000,8.10000,8.02500,8.02500,3.65133,8500
1995-12-14,8.00000,8.00000,7.97500,7.97500,3.62858,17000
1995-12-15,7.95000,7.95000,7.95000,7.95000,3.61720,8000
1995-12-18,7.90000,7.90000,7.90000,7.90000,3.59445,4000
1995-12-19,7.85000,7.85000,7.75000,7.75000,3.52620,15500
1995-12-20,7.75000,7.75000,7.67500,7.67500,3.49208,6500
1995-12-21,7.67500,7.72500,7.65000,7.65000,3.48070,7000
1995-12-22,7.65000,7.65000,7.65000,7.65000,3.48070,3000
1995-12-26,7.62500,7.62500,7.62500,7.62500,3.46933,1500
1995-12-27,7.62500,7.67500,7.62500,7.62500,3.46933,19500
1995-12-28,7.70000,7.75000,7.70000,7.75000,3.52620,28000
1995-12-29,7.72500,7.75000,7.72500,7.75000,3.52620,10500
1996-01-02,7.80000,7.85000,7.80000,7.82500,3.56033,38500
1996-01-03,7.87500,7.97500,7.87500,7.95000,3.61720,25000
1996-01-04,7.95000,7.95000,7.80000,7.80000,3.54895,19500
1996-01-05,7.80000,7.82500,7.80000,7.80000,3.54895,15500
1996-01-08,7.75000,7.75000,7.70000,7.70000,3.50345,8500
1996-01-09,7.70000,7.70000,7.60000,7.60000,3.45796,17500
1996-01-10,7.60000,7.60000,7.45000,7.45000,3.38971,14500
1996-01-11,7.45000,7.50000,7.45000,7.45000,3.38971,204000
1996-01-12,7.42500,7.42500,7.35000,7.37500,3.35558,19000
1996-01-15,7.35000,7.37500,7.35000,7.37500,3.35558,8000
1996-01-16,7.35000,7.35000,7.32500,7.32500,3.33283,7000
1996-01-17,7.35000,7.42500,7.35000,7.40000,3.36696,10000
1996-01-18,7.45000,7.50000,7.45000,7.50000,3.41246,59000
1996-01-19,7.40000,7.40000,7.40000,7.40000,3.36696,285000
1996-01-22,7.42500,7.42500,7.40000,7.40000,3.36696,2000
1996-01-23,7.35000,7.35000,7.20000,7.20000,3.27596,18000
1996-01-24,7.25000,7.30000,7.25000,7.25000,3.29871,19000
1996-01-25,7.30000,7.30000,7.15000,7.15000,3.25321,44000
1996-01-26,7.10000,7.10000,7.07500,7.10000,3.23046,23000
1996-01-29,7.15000,7.25000,7.10000,7.25000,3.29871,45000
1996-01-30,7.25000,7.25000,7.20000,7.20000,3.27596,18000
1996-01-31,7.25000,7.55000,7.25000,7.50000,3.41246,174000
1996-02-01,7.55000,7.70000,7.55000,7.70000,3.50345,23500
