Date,Open,High,Low,Close,Adj Close,Volume
1987-09-28,6.99454,7.02707,6.89694,6.92947,0.71933,353000
1987-09-29,6.92947,6.99454,6.89694,6.99454,0.72609,289600
1987-09-30,6.99454,6.99454,6.89694,6.92947,0.71933,191200
1987-10-01,6.92947,7.02707,6.89694,7.02707,0.72946,680800
1987-10-02,7.02707,7.09213,7.02707,7.09213,0.73622,110900
1987-10-05,7.09213,7.18973,7.02707,7.12467,0.73960,760300
1987-10-06,7.12467,7.12467,6.83187,6.89694,0.71596,240000
1987-10-07,6.89694,6.89694,6.60414,6.63668,0.68894,828700
1987-10-08,6.63668,6.83187,6.53908,6.83187,0.70920,280400
1987-10-09,6.83187,7.09213,6.83187,6.99454,0.72609,249300
1987-10-12,6.89694,6.89694,6.70174,6.70174,0.69569,81700
1987-10-13,6.70174,6.79934,6.60414,6.70174,0.69569,164800
1987-10-14,6.63668,6.63668,6.44148,6.47401,0.67205,245800
1987-10-15,6.47401,6.53908,6.05109,6.18122,0.64166,917400
1987-10-16,6.18122,6.27882,5.72576,5.72576,0.59438,479800
1987-10-19,5.62816,5.62816,4.48952,4.48952,0.46605,1466500
1987-10-20,4.48952,5.40043,4.35938,5.01004,0.52008,1985600
1987-10-21,5.04257,5.53056,5.04257,5.40043,0.56061,1081100
1987-10-22,5.40043,5.40043,4.81484,4.97751,0.51670,592300
1987-10-23,4.91244,4.91244,4.48952,4.61965,0.47956,807600
1987-10-26,4.45698,4.45698,4.09912,4.26179,0.44241,1093400
1987-10-27,4.42445,4.55458,4.42445,4.48952,0.46605,1003800
1987-10-28,4.48952,4.52205,4.22925,4.52205,0.46942,832900
1987-10-29,4.94497,5.14017,4.94497,4.97751,0.51670,940100
1987-10-30,5.20524,5.72576,5.20524,5.40043,0.56061,1018800
1987-11-02,5.40043,5.43296,5.20524,5.40043,0.56061,472100
1987-11-03,5.40043,5.43296,5.30283,5.40043,0.56061,474000
1987-11-04,5.40043,5.40043,5.30283,5.33537,0.55385,268900
1987-11-05,5.33537,5.49803,5.30283,5.49803,0.57074,496700
1987-11-06,5.49803,5.56310,5.40043,5.40043,0.56061,421400
1987-11-09,5.20524,5.20524,5.04257,5.07510,0.52684,615100
1987-11-10,5.07510,5.07510,4.94497,5.01004,0.52008,704900
1987-11-11,5.07510,5.49803,5.07510,5.40043,0.56061,422500
1987-11-12,5.49803,5.59563,5.49803,5.56310,0.57749,200100
1987-11-13,5.56310,5.59563,5.43296,5.59563,0.58087,150600
1987-11-16,5.59563,5.79082,5.59563,5.59563,0.58087,528300
1987-11-17,5.49803,5.49803,5.33537,5.40043,0.56061,493600
1987-11-18,5.40043,5.43296,5.30283,5.40043,0.56061,177800
1987-11-19,5.40043,5.43296,5.33537,5.40043,0.56061,184000
1987-11-20,5.40043,5.40043,5.30283,5.40043,0.56061,226600
1987-11-23,5.40043,5.40043,5.30283,5.30283,0.55048,188900
1987-11-24,5.30283,5.49803,5.30283,5.40043,0.56061,124000
1987-11-25,5.40043,5.56310,5.40043,5.56310,0.57749,126700
1987-11-27,5.56310,5.66069,5.49803,5.66069,0.58762,135900
