Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,1.13802,1.17708,1.13542,1.17448,0.40050,528000
1970-12-16,1.18229,1.21354,1.18229,1.21354,0.41382,955200
1970-12-17,1.21354,1.21354,1.19792,1.20312,0.41027,1051200
1970-12-18,1.20312,1.20833,1.17708,1.20573,0.41116,532800
1970-12-21,1.20573,1.20833,1.18750,1.19271,0.40672,580800
1970-12-22,1.19271,1.19271,1.16146,1.17708,0.40139,1075200
1970-12-23,1.17708,1.19010,1.16667,1.19010,0.40583,417600
1970-12-24,1.19271,1.20573,1.19271,1.20052,0.40938,470400
1970-12-28,1.20052,1.20573,1.19531,1.20312,0.41027,316800
1970-12-29,1.20312,1.21354,1.20052,1.20833,0.41204,374400
1970-12-30,1.20833,1.21354,1.18750,1.18750,0.40494,758400
1970-12-31,1.18750,1.19792,1.17188,1.18750,0.40494,292800
1971-01-04,1.18750,1.20312,1.17969,1.19271,0.40672,148800
1971-01-05,1.19271,1.21354,1.19010,1.20833,0.41204,403200
1971-01-06,1.20833,1.23438,1.20833,1.22917,0.41915,710400
1971-01-07,1.23438,1.27604,1.23438,1.27604,0.43513,1080000
1971-01-08,1.28125,1.31250,1.28125,1.29167,0.44046,1089600
1971-01-11,1.29688,1.34896,1.29688,1.33333,0.45467,960000
1971-01-12,1.33333,1.35417,1.31771,1.34896,0.46000,1401600
1971-01-13,1.34896,1.36458,1.33333,1.36458,0.46533,1968000
1971-01-14,1.36458,1.37500,1.34375,1.37500,0.46888,926400
1971-01-15,1.36979,1.36979,1.34896,1.35156,0.46089,436800
1971-01-18,1.34115,1.34115,1.26042,1.26562,0.43158,2131200
1971-01-19,1.26562,1.30729,1.25000,1.29948,0.44313,1924800
1971-01-20,1.30208,1.33333,1.30208,1.32292,0.45112,1555200
1971-01-21,1.32292,1.32292,1.30729,1.30990,0.44668,288000
1971-01-22,1.30990,1.31771,1.28646,1.31771,0.44934,864000
1971-01-25,1.31771,1.32031,1.30208,1.30729,0.44579,1977600
1971-01-26,1.32812,1.34115,1.32812,1.34115,0.45733,1017600
1971-01-27,1.34115,1.34375,1.32292,1.32292,0.45112,705600
1971-01-28,1.32812,1.34375,1.32812,1.32812,0.45289,1214400
1971-01-29,1.32812,1.34375,1.32292,1.34375,0.45822,955200
1971-02-01,1.34375,1.34896,1.33333,1.34896,0.46000,585600
1971-02-02,1.34896,1.36979,1.33854,1.36979,0.46710,686400
1971-02-03,1.36979,1.40104,1.36198,1.39583,0.47598,787200
1971-02-04,1.39583,1.41406,1.38802,1.39583,0.47598,724800
1971-02-05,1.39583,1.40625,1.38281,1.40625,0.47954,1176000
1971-02-08,1.40625,1.41406,1.38802,1.41146,0.48131,950400
1971-02-09,1.41146,1.42969,1.39583,1.40104,0.47776,1036800
1971-02-10,1.40104,1.48438,1.39583,1.48438,0.50618,724800
1971-02-11,1.47396,1.47396,1.44792,1.45833,0.49730,1915200
1971-02-12,1.45573,1.45573,1.43229,1.44531,0.49286,830400
1971-02-16,1.44531,1.45052,1.43229,1.44271,0.49197,969600
1971-02-17,1.43750,1.43750,1.43229,1.43750,0.49019,691200
1971-02-18,1.44010,1.44792,1.44010,1.44792,0.49374,796800
1971-02-19,1.44271,1.44271,1.40104,1.40625,0.47954,806400
1971-02-22,1.40625,1.41146,1.38542,1.40104,0.47868,532800
1971-02-23,1.40104,1.43750,1.40104,1.43750,0.49114,278400
1971-02-24,1.44792,1.45833,1.44792,1.45312,0.49648,240000
1971-02-25,1.45833,1.47656,1.45833,1.47396,0.50359,1065600
1971-02-26,1.47396,1.47396,1.45052,1.46875,0.50182,427200
1971-03-01,1.46875,1.47656,1.45833,1.47656,0.50448,187200
1971-03-02,1.47656,1.48177,1.47656,1.48177,0.50626,691200
1971-03-03,1.48177,1.48438,1.46875,1.47396,0.50359,388800
1971-03-04,1.47396,1.51823,1.47396,1.51823,0.51872,1512000
1971-03-05,1.54167,1.56250,1.54167,1.56250,0.53385,528000
1971-03-08,1.56250,1.56250,1.53646,1.56250,0.53385,811200
1971-03-09,1.56250,1.60417,1.55208,1.60417,0.54808,652800
1971-03-10,1.62500,1.67708,1.62500,1.66667,0.56944,2232000
