Date,Open,High,Low,Close,Adj Close,Volume
1999-06-25,17.50000,17.66667,15.66667,16.47917,14.24548,44833800
1999-06-28,16.31250,16.58333,15.02083,16.52083,14.28150,9166200
1999-06-29,16.31250,22.45833,15.96875,19.25000,16.64074,14730000
1999-06-30,20.29167,26.52083,19.83333,24.83333,21.46727,16852800
1999-07-01,26.31250,27.00000,23.66667,24.33333,21.03505,9501000
1999-07-02,24.56250,25.15625,22.50000,23.79167,20.56680,3912600
1999-07-06,24.00000,25.70833,22.83333,23.25000,20.09855,3632400
1999-07-07,23.10417,23.83333,21.33333,22.51042,19.45922,4234800
1999-07-08,22.91667,23.00000,21.33333,21.33333,18.44169,2370000
1999-07-09,22.00000,22.16667,20.33333,22.12500,19.12605,2935200
1999-07-12,22.33333,22.50000,21.27083,21.33333,18.44169,1416000
1999-07-13,20.95833,22.15625,20.33333,20.83333,18.00946,1843800
1999-07-14,21.23958,22.83333,20.91667,22.01042,19.02699,3486000
1999-07-15,22.12500,25.00000,22.00000,24.91667,21.53932,5128200
1999-07-16,25.77083,26.33333,23.52083,23.81250,20.58481,5008800
1999-07-19,24.70833,24.83333,22.45833,22.50000,19.45022,2044800
1999-07-20,22.10417,23.95833,21.22917,23.00000,19.88244,3841800
1999-07-21,24.08333,26.22917,23.66667,23.95833,20.71088,12091200
1999-07-22,24.80208,25.60417,22.62500,24.75000,21.39524,7816800
1999-07-23,25.33333,25.50000,23.83333,24.31250,21.01704,3629400
1999-07-26,24.15625,24.66667,23.16667,24.04167,20.78292,4404000
1999-07-27,24.75000,24.95833,24.16667,24.35417,21.05306,2255400
1999-07-28,24.18750,24.20833,23.58333,23.95833,20.71088,2297400
1999-07-29,23.00000,24.58333,22.83333,24.16667,20.89097,1638000
1999-07-30,24.47917,27.50000,24.33333,27.07292,23.40329,9073800
1999-08-02,26.66667,28.75000,26.00000,26.87500,23.23220,6874200
1999-08-03,27.39583,28.08333,25.52083,25.89583,22.38576,6499800
1999-08-04,25.62500,26.00000,24.66667,25.97917,22.45780,4508400
1999-08-05,25.61458,26.83333,24.33333,26.27604,22.71443,5100000
1999-08-06,26.08333,27.29167,25.56250,26.66667,23.05211,3399000
1999-08-09,27.00000,28.28125,26.81250,27.07292,23.40329,2832600
1999-08-10,27.12500,28.52083,26.83333,28.48958,24.62794,3091800
1999-08-11,28.83333,30.89583,28.79167,30.89583,26.70803,4552200
1999-08-12,30.87500,33.16667,30.83333,32.83333,28.38291,4590600
1999-08-13,34.16667,35.82292,33.16667,35.62500,30.79617,6362400
1999-08-16,35.39583,35.50000,33.33333,34.00000,29.39144,4176000
1999-08-17,34.64583,36.58333,33.67708,36.43229,31.49404,4975800
1999-08-18,36.00000,37.31250,34.46875,34.46875,29.79665,3699600
1999-08-19,33.83333,35.00000,33.50000,34.50000,29.82366,2773800
1999-08-20,34.90625,34.91667,33.50000,34.10417,29.48148,1428000
1999-08-23,34.00000,37.98958,33.91667,37.83333,32.70517,4897800
1999-08-24,37.17708,39.06250,36.14583,36.88542,31.88575,7678800
1999-08-25,37.50000,37.83333,35.75000,36.08333,31.19238,3115200
1999-08-26,36.15625,37.53646,35.76042,35.88542,31.02130,3348000
1999-08-27,36.37500,37.16667,35.33333,36.33333,31.40850,2197200
1999-08-30,36.33333,36.33333,34.76562,35.01042,30.26490,2007600
1999-08-31,35.08333,35.58333,33.77083,34.16667,29.53551,2745600
1999-09-01,34.39583,34.75000,29.85417,30.04167,25.96964,12541200
1999-09-02,28.25000,33.62500,28.25000,33.10417,28.61704,13288800
1999-09-03,34.08333,34.18750,31.51042,32.20833,27.84262,7052400
1999-09-07,31.93750,32.76042,31.02083,32.25000,27.87864,1929600
