Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,5.12963,5.01852,5.03704,1.12726,62400
1980-03-18,0.00000,5.11111,5.03704,5.07407,1.13555,63900
1980-03-19,0.00000,5.16667,5.11111,5.14815,1.15213,40500
1980-03-20,0.00000,5.14815,5.09259,5.11111,1.14384,18900
1980-03-21,0.00000,5.22222,5.11111,5.22222,1.16871,97200
1980-03-24,0.00000,5.18518,5.09259,5.09259,1.13970,90300
1980-03-25,0.00000,5.11111,5.05556,5.07407,1.13555,72000
1980-03-26,0.00000,5.14815,5.03704,5.11111,1.14384,31500
1980-03-27,0.00000,5.09259,4.92593,5.07407,1.13555,62100
1980-03-28,0.00000,5.07407,4.92593,5.01852,1.12312,84000
1980-03-31,0.00000,5.18518,5.07407,5.16667,1.15628,55200
1980-04-01,0.00000,5.25926,5.07407,5.11111,1.14384,126000
1980-04-02,0.00000,5.29630,5.14815,5.29630,1.18528,58500
1980-04-03,0.00000,5.55556,5.40741,5.50000,1.23087,310800
1980-04-07,0.00000,5.62963,5.48148,5.53704,1.23916,115200
1980-04-08,0.00000,5.50000,5.44444,5.44444,1.21844,217800
1980-04-09,0.00000,5.40741,5.25926,5.37037,1.20186,181200
1980-04-10,0.00000,5.51852,5.37037,5.48148,1.22673,191700
1980-04-11,0.00000,5.59259,5.46296,5.48148,1.22673,111900
1980-04-14,0.00000,5.48148,5.42593,5.46296,1.22258,18900
1980-04-15,0.00000,5.42593,5.33333,5.33333,1.19357,63300
1980-04-16,0.00000,5.42593,5.37037,5.42593,1.21430,30000
1980-04-17,0.00000,5.38889,5.31482,5.33333,1.19357,43500
1980-04-18,0.00000,5.38889,5.29630,5.29630,1.18528,27300
1980-04-21,0.00000,5.27778,5.11111,5.16667,1.15628,83700
1980-04-22,0.00000,5.33333,5.11111,5.33333,1.19357,122700
1980-04-23,0.00000,5.33333,5.20370,5.33333,1.19357,132300
1980-04-24,0.00000,5.33333,5.22222,5.29630,1.18528,209100
1980-04-25,0.00000,5.27778,5.20370,5.22222,1.16871,21600
1980-04-28,0.00000,5.37037,5.27778,5.33333,1.19357,141600
1980-04-29,0.00000,5.37037,5.31482,5.35185,1.19772,45000
1980-04-30,0.00000,5.42593,5.29630,5.40741,1.21015,84900
1980-05-01,0.00000,5.53704,5.42593,5.50000,1.23087,48600
1980-05-02,0.00000,5.59259,5.46296,5.55556,1.24330,49800
1980-05-05,0.00000,5.85185,5.62963,5.85185,1.30962,621300
1980-05-06,0.00000,5.96296,5.75926,5.75926,1.28889,143400
1980-05-07,0.00000,5.92593,5.75926,5.85185,1.30962,483600
1980-05-08,0.00000,5.90741,5.79630,5.83333,1.30547,36300
1980-05-09,0.00000,5.79630,5.72222,5.79630,1.29718,24600
1980-05-12,0.00000,5.79630,5.64815,5.77778,1.29304,27000
1980-05-13,0.00000,5.83333,5.72222,5.75926,1.28889,40500
1980-05-14,0.00000,5.85185,5.77778,5.77778,1.29304,61200
1980-05-15,0.00000,5.81482,5.72222,5.75926,1.28889,36900
1980-05-16,0.00000,5.75926,5.70370,5.74074,1.28475,11100
1980-05-19,0.00000,5.92593,5.74074,5.87037,1.31376,51300
1980-05-20,0.00000,5.87037,5.75926,5.75926,1.28889,85500
1980-05-21,0.00000,5.77778,5.68518,5.72222,1.28060,40500
1980-05-22,0.00000,5.81482,5.66667,5.77778,1.29304,143400
1980-05-23,0.00000,5.88889,5.79630,5.85185,1.30962,113400
1980-05-27,0.00000,5.85185,5.79630,5.79630,1.29718,57000
1980-05-28,0.00000,5.88889,5.81482,5.88889,1.31790,135000
1980-05-29,0.00000,5.90741,5.72222,5.81482,1.30133,108300
1980-05-30,0.00000,5.79630,5.68518,5.79630,1.29718,80100
1980-06-02,0.00000,5.87037,5.72222,5.75926,1.28889,107100
1980-06-03,0.00000,5.81482,5.74074,5.79630,1.29718,101100
1980-06-04,0.00000,5.94444,5.77778,5.94444,1.33034,143100
1980-06-05,0.00000,6.00000,5.92593,5.92593,1.32619,95700
1980-06-06,0.00000,6.22222,5.90741,6.22222,1.39250,205500
1980-06-09,0.00000,6.05556,5.88889,5.92593,1.32619,150300
1980-06-10,0.00000,6.03704,5.87037,6.01852,1.34692,110700
1980-06-11,0.00000,6.25926,5.96296,6.12963,1.37178,140400
1980-06-12,0.00000,6.11111,5.96296,6.11111,1.36764,178200
1980-06-13,0.00000,6.37037,6.11111,6.37037,1.42566,196200
1980-06-16,0.00000,6.29630,6.11111,6.14815,1.37592,298200
1980-06-17,0.00000,6.14815,6.07407,6.14815,1.37592,344100
1980-06-18,0.00000,6.14815,5.98148,6.01852,1.34692,129600
1980-06-19,0.00000,5.98148,5.75926,5.81482,1.30133,82800
1980-06-20,0.00000,5.85185,5.74074,5.77778,1.29304,207000
1980-06-23,0.00000,5.87037,5.68518,5.75926,1.28889,557400
1980-06-24,0.00000,5.92593,5.77778,5.92593,1.32619,174000
1980-06-25,0.00000,5.96296,5.87037,5.94444,1.33034,294300
1980-06-26,0.00000,5.96296,5.90741,5.92593,1.32619,791400
1980-06-27,0.00000,5.96296,5.90741,5.94444,1.33034,104400
1980-06-30,0.00000,5.96296,5.81482,5.92593,1.32619,84900
1980-07-01,0.00000,5.94444,5.87037,5.92593,1.32619,89100
1980-07-02,0.00000,5.94444,5.88889,5.94444,1.33034,89100
1980-07-03,0.00000,5.96296,5.92593,5.96296,1.33448,549900
1980-07-07,0.00000,6.00000,5.92593,5.96296,1.33448,144300
1980-07-08,0.00000,6.00000,5.90741,5.96296,1.33448,148500
1980-07-09,0.00000,6.05556,5.94444,5.94444,1.33034,89100
1980-07-10,0.00000,6.05556,5.92593,6.00000,1.34277,39000
1980-07-11,0.00000,6.05556,6.00000,6.01852,1.34692,33600
1980-07-14,0.00000,6.22222,6.00000,6.22222,1.39250,90300
1980-07-15,0.00000,6.24074,6.12963,6.14815,1.37592,289200
1980-07-16,0.00000,6.24074,6.07407,6.24074,1.39665,103800
1980-07-17,0.00000,6.27778,6.22222,6.27778,1.40494,58500
1980-07-18,0.00000,6.33333,6.25926,6.33333,1.41737,127200
1980-07-21,0.00000,6.64815,6.31482,6.64815,1.48782,816600
1980-07-22,0.00000,6.64815,6.40741,6.40741,1.43395,253800
1980-07-23,0.00000,6.37037,6.22222,6.24074,1.39665,111900
1980-07-24,0.00000,6.29630,6.25926,6.27778,1.40494,43500
1980-07-25,0.00000,6.27778,6.16667,6.20370,1.38836,182700
1980-07-28,0.00000,6.22222,6.14815,6.14815,1.37592,28800
1980-07-29,0.00000,6.20370,6.14815,6.18518,1.38421,81300
1980-07-30,0.00000,6.20370,6.14815,6.20370,1.38836,52500
1980-07-31,0.00000,6.20370,6.14815,6.20370,1.38836,125400
1980-08-01,0.00000,6.22222,6.14815,6.14815,1.37592,72900
1980-08-04,0.00000,6.12963,6.01852,6.09259,1.36349,100200
1980-08-05,0.00000,6.11111,6.01852,6.01852,1.34692,17400
1980-08-06,0.00000,6.07407,6.01852,6.05556,1.35520,41700
1980-08-07,0.00000,6.16667,6.03704,6.14815,1.37592,136800
1980-08-08,0.00000,6.22222,6.11111,6.11111,1.36764,126000
1980-08-11,0.00000,6.07407,6.01852,6.07407,1.35935,63300
1980-08-12,0.00000,6.16667,6.07407,6.09259,1.36349,84900
1980-08-13,0.00000,6.09259,6.03704,6.05556,1.35520,73200
1980-08-14,0.00000,6.07407,5.98148,6.07407,1.35935,127200
1980-08-15,0.00000,6.22222,6.11111,6.22222,1.39250,167400
1980-08-18,0.00000,6.22222,6.11111,6.14815,1.37592,148800
1980-08-19,0.00000,6.12963,6.05556,6.12963,1.37178,70200
1980-08-20,0.00000,6.11111,6.05556,6.11111,1.36764,16500
1980-08-21,0.00000,6.14815,6.05556,6.12963,1.37178,64800
1980-08-22,0.00000,6.14815,6.11111,6.14815,1.37592,45900
1980-08-25,0.00000,6.20370,6.12963,6.14815,1.37592,24300
1980-08-26,0.00000,6.25926,6.14815,6.22222,1.39250,50400
1980-08-27,0.00000,6.16667,6.09259,6.09259,1.36349,96300
1980-08-28,0.00000,6.14815,6.03704,6.03704,1.35106,113700
1980-08-29,0.00000,6.14815,6.00000,6.07407,1.35935,20700
1980-09-02,0.00000,6.18518,6.07407,6.16667,1.38007,28800
1980-09-03,0.00000,6.38889,6.22222,6.38889,1.42980,125400
1980-09-04,0.00000,6.38889,6.31482,6.31482,1.41322,45900
1980-09-05,0.00000,6.33333,6.27778,6.27778,1.40494,84000
1980-09-08,0.00000,6.33333,6.27778,6.31482,1.41322,63300
1980-09-09,0.00000,6.24074,6.16667,6.16667,1.38007,95700
1980-09-10,0.00000,6.29630,6.18518,6.22222,1.39250,151200
1980-09-11,0.00000,6.33333,6.24074,6.33333,1.41737,250200
1980-09-12,0.00000,6.37037,6.25926,6.31482,1.41322,56700
1980-09-15,0.00000,6.37037,6.33333,6.35185,1.42151,538500
1980-09-16,0.00000,6.35185,6.27778,6.31482,1.41322,197100
1980-09-17,0.00000,6.37037,6.33333,6.33333,1.41737,57000
1980-09-18,0.00000,6.38889,6.35185,6.35185,1.42151,65099
1980-09-19,0.00000,6.37037,6.31482,6.33333,1.41737,217200
1980-09-22,0.00000,6.35185,6.14815,6.31482,1.41322,126900
1980-09-23,0.00000,6.38889,6.20370,6.33333,1.41737,138900
1980-09-24,0.00000,6.33333,6.16667,6.29630,1.40908,275700
1980-09-25,0.00000,6.33333,6.20370,6.20370,1.38836,1603800
1980-09-26,0.00000,6.11111,5.90741,5.90741,1.32205,152400
1980-09-29,0.00000,5.90741,5.81482,5.81482,1.30133,120600
1980-09-30,0.00000,5.88889,5.81482,5.87037,1.31376,27300
1980-10-01,0.00000,5.85185,5.81482,5.81482,1.30133,67800
1980-10-02,0.00000,5.90741,5.81482,5.90741,1.32205,41700
1980-10-03,0.00000,6.05556,5.96296,6.01852,1.34692,83700
1980-10-06,0.00000,6.09259,6.03704,6.07407,1.35935,32400
1980-10-07,0.00000,6.16667,6.11111,6.11111,1.36764,76800
1980-10-08,0.00000,6.12963,6.07407,6.11111,1.36764,68700
