Date,Open,High,Low,Close,Adj Close,Volume
2011-02-11,31.70000,32.14000,30.75000,31.05000,20.18895,50610600
2011-02-14,31.05000,31.30000,30.70000,30.70000,19.96138,6275900
2011-02-15,30.90000,31.15000,30.73000,30.94000,20.11743,4337800
2011-02-16,31.05000,31.44000,30.66000,30.72000,19.97439,4627100
2011-02-17,30.68000,31.09000,30.51000,30.55000,19.86385,3290700
2011-02-18,30.68000,31.38000,30.40000,31.37000,20.39703,2583800
2011-02-22,31.14000,31.43000,30.71000,30.72000,19.97439,2454300
2011-02-23,30.76000,30.90000,30.25000,30.42000,19.77932,2671200
2011-02-24,30.55000,30.65000,30.30000,30.46000,19.80533,1698000
2011-02-25,30.53000,30.75000,30.30000,30.50000,19.83134,2225900
2011-02-28,30.57000,30.79000,30.42000,30.50000,19.83134,2380400
2011-03-01,30.65000,30.78000,30.23000,30.45000,19.79883,1908000
2011-03-02,30.57000,30.69000,30.26000,30.57000,19.87686,2197000
2011-03-03,30.68000,30.77000,30.53000,30.77000,20.00690,1901800
2011-03-04,30.80000,30.94000,30.66000,30.85000,20.05891,892300
2011-03-07,30.94000,31.04000,30.70000,30.90000,20.09143,1049600
2011-03-08,30.80000,31.04000,30.80000,30.97000,20.13694,827400
2011-03-09,30.90000,30.98000,30.74000,30.75000,19.99389,294100
2011-03-10,30.71000,30.71000,29.75000,30.10000,19.57126,2715200
2011-03-11,30.10000,30.48000,29.97000,30.10000,19.57126,1896900
2011-03-14,30.00000,30.22000,29.80000,29.99000,19.49974,1967700
2011-03-15,29.81000,30.20000,29.60000,29.88000,19.42821,1968400
2011-03-16,29.89000,30.16000,29.76000,30.05000,19.53874,2062199
2011-03-17,30.20000,30.41000,30.06000,30.15000,19.60376,1511400
2011-03-18,30.21000,30.50000,30.08000,30.50000,19.83134,1906600
2011-03-21,30.53000,31.00000,30.40000,30.82000,20.03941,1253000
2011-03-22,30.90000,30.98000,30.57000,30.70000,19.96138,1014700
2011-03-23,30.53000,30.67000,29.95000,30.02000,19.51924,2570500
2011-03-24,30.10000,30.25000,29.90000,30.05000,19.53874,1411600
2011-03-25,30.01000,30.09000,29.50000,29.52000,19.19414,2687100
