Date,Open,High,Low,Close,Adj Close,Volume
1997-02-04,11.00000,11.00000,10.31250,10.56250,10.56250,26677600
1997-02-05,10.62500,10.75000,10.12500,10.12500,10.12500,6762800
1997-02-06,10.18750,10.37500,10.12500,10.31250,10.31250,2238200
1997-02-07,10.25000,10.31250,10.25000,10.25000,10.25000,1405800
1997-02-10,10.25000,10.62500,10.25000,10.50000,10.50000,1666800
1997-02-11,10.50000,10.62500,10.43750,10.50000,10.50000,1444200
1997-02-12,10.50000,10.56250,10.31250,10.37500,10.37500,780000
1997-02-13,10.43750,10.43750,10.00000,10.00000,10.00000,1518600
1997-02-14,10.06250,10.12500,10.00000,10.00000,10.00000,511600
1997-02-18,10.06250,10.06250,10.00000,10.06250,10.06250,746000
1997-02-19,10.00000,10.06250,10.00000,10.00000,10.00000,1593000
1997-02-20,10.00000,10.06250,10.00000,10.00000,10.00000,614000
1997-02-21,10.00000,10.06250,10.00000,10.00000,10.00000,756400
1997-02-24,10.00000,10.06250,10.00000,10.00000,10.00000,244400
1997-02-25,10.00000,10.06250,10.00000,10.00000,10.00000,836800
1997-02-26,10.00000,10.18750,10.00000,10.12500,10.12500,2607200
1997-02-27,10.12500,10.12500,10.00000,10.00000,10.00000,2115000
1997-02-28,10.00000,10.06250,10.00000,10.06250,10.06250,188400
1997-03-03,10.06250,10.06250,10.00000,10.00000,10.00000,2307000
1997-03-04,10.00000,10.06250,9.37500,9.50000,9.50000,1624600
1997-03-05,9.50000,9.62500,9.43750,9.56250,9.56250,795800
1997-03-06,9.56250,9.68750,9.56250,9.68750,9.68750,1049000
1997-03-07,9.62500,9.81250,9.56250,9.81250,9.81250,417000
1997-03-10,9.81250,10.00000,9.75000,9.81250,9.81250,567000
1997-03-11,9.81250,9.81250,9.56250,9.62500,9.62500,438800
1997-03-12,9.68750,9.68750,9.50000,9.50000,9.50000,72200
1997-03-13,9.50000,9.50000,8.75000,8.81250,8.81250,269200
1997-03-14,8.87500,8.87500,8.37500,8.43750,8.43750,322200
1997-03-17,8.50000,8.50000,8.31250,8.43750,8.43750,445800
1997-03-18,8.43750,8.50000,8.31250,8.31250,8.31250,397200
1997-03-19,8.31250,8.43750,8.25000,8.25000,8.25000,215800
1997-03-20,8.25000,8.43750,8.25000,8.43750,8.43750,182600
1997-03-21,8.43750,8.43750,8.31250,8.31250,8.31250,65400
1997-03-24,8.25000,8.25000,7.68750,8.12500,8.12500,825200
1997-03-25,8.06250,8.06250,7.68750,7.75000,7.75000,499600
1997-03-26,7.68750,7.93750,7.68750,7.81250,7.81250,248200
1997-03-27,7.81250,7.81250,7.62500,7.62500,7.62500,692000
1997-03-31,7.62500,7.62500,7.31250,7.50000,7.50000,745800
1997-04-01,7.50000,7.50000,7.18750,7.31250,7.31250,1067800
1997-04-02,7.31250,7.31250,7.18750,7.31250,7.31250,344000
1997-04-03,7.31250,7.43750,7.18750,7.43750,7.43750,1059000
1997-04-04,7.37500,7.50000,7.25000,7.50000,7.50000,338000
1997-04-07,7.56250,8.50000,7.56250,8.00000,8.00000,750800
1997-04-08,7.68750,7.81250,7.56250,7.62500,7.62500,201000
1997-04-09,7.68750,7.68750,7.59375,7.62500,7.62500,219400
1997-04-10,7.62500,7.68750,7.56250,7.62500,7.62500,74600
1997-04-11,7.62500,7.62500,7.50000,7.50000,7.50000,301000
