Date,Open,High,Low,Close,Adj Close,Volume
1992-05-19,1.75000,1.75000,1.65625,1.75000,1.21370,18095200
1992-05-20,1.76562,1.85938,1.75000,1.84375,1.27871,3993600
1992-05-21,1.84375,1.85938,1.79688,1.84375,1.27871,1164800
1992-05-22,1.84375,1.90625,1.84375,1.90625,1.32206,729600
1992-05-26,1.90625,1.90625,1.85938,1.87500,1.30039,668800
1992-05-27,1.87500,1.92188,1.84375,1.87500,1.30039,673600
1992-05-28,1.87500,1.90625,1.87500,1.90625,1.32206,544800
1992-05-29,1.89062,1.98438,1.89062,1.95312,1.35457,292800
1992-06-01,1.96875,2.06250,1.95312,2.00000,1.38708,1489600
1992-06-02,2.00000,2.03125,1.98438,2.01562,1.39792,1423200
1992-06-03,2.00000,2.01562,1.95312,1.96875,1.36541,1146400
1992-06-04,1.96875,1.98438,1.95312,1.96875,1.36541,408800
1992-06-05,1.98438,1.98438,1.96875,1.98438,1.37624,491200
1992-06-08,1.98438,1.98438,1.93750,1.96875,1.36541,701600
1992-06-09,1.98438,1.98438,1.87500,1.92188,1.33290,880000
1992-06-10,1.90625,1.92188,1.89062,1.92188,1.33290,448800
1992-06-11,1.93750,1.96875,1.92188,1.93750,1.34373,208800
1992-06-12,1.96875,2.00000,1.95312,1.96875,1.36541,518400
1992-06-15,1.93750,2.01562,1.93750,1.98438,1.37624,380000
1992-06-16,2.00000,2.00000,1.90625,1.92188,1.33290,216000
1992-06-17,1.95312,1.96875,1.92188,1.93750,1.34373,816800
1992-06-18,1.95312,1.95312,1.92188,1.92188,1.33290,220800
1992-06-19,1.90625,1.92188,1.90625,1.92188,1.33290,192800
1992-06-22,1.93750,1.95312,1.89062,1.93750,1.34373,954400
1992-06-23,1.96875,2.00000,1.95312,1.96875,1.36541,1403200
1992-06-24,1.96875,2.00000,1.93750,2.00000,1.38708,1368800
1992-06-25,2.00000,2.03125,1.98438,2.00000,1.38708,462400
1992-06-26,1.98438,2.03125,1.98438,2.03125,1.40875,803200
1992-06-29,2.04688,2.15625,2.04688,2.12500,1.47377,295200
1992-06-30,2.09375,2.28125,2.09375,2.28125,1.58214,545600
1992-07-01,2.31250,2.39062,2.17188,2.37500,1.64716,2180000
1992-07-02,2.37500,2.39062,2.29688,2.31250,1.60381,1099200
1992-07-06,2.32812,2.35938,2.32812,2.35938,1.63632,1457600
1992-07-07,2.34375,2.35938,2.34375,2.34375,1.62548,692800
1992-07-08,2.31250,2.32812,2.20312,2.26562,1.57130,1060800
1992-07-09,2.31250,2.40625,2.31250,2.37500,1.64716,1344000
1992-07-10,2.37500,2.46875,2.37500,2.46875,1.71218,881600
1992-07-13,2.46875,2.46875,2.39062,2.43750,1.69050,387200
1992-07-14,2.43750,2.43750,2.34375,2.37500,1.64716,321600
1992-07-15,2.37500,2.37500,2.29688,2.34375,1.62548,313600
1992-07-16,2.35938,2.35938,2.29688,2.35938,1.63632,717600
1992-07-17,2.35938,2.35938,2.34375,2.34375,1.62548,39200
1992-07-20,2.34375,2.34375,2.28125,2.28125,1.58214,44800
1992-07-21,2.28125,2.29688,2.28125,2.28125,1.58214,304000
1992-07-22,2.28125,2.29688,2.25000,2.25000,1.56046,506400
1992-07-23,2.25000,2.28125,2.21875,2.25000,1.56046,584000
1992-07-24,2.25000,2.28125,2.21875,2.23438,1.54963,446400
1992-07-27,2.26562,2.31250,2.26562,2.28125,1.58214,310400
1992-07-28,2.29688,2.31250,2.21875,2.29688,1.59298,960800
1992-07-29,2.29688,2.39062,2.29688,2.37500,1.64716,1070400
1992-07-30,2.35938,2.37500,2.34375,2.37500,1.64716,618400
1992-07-31,2.37500,2.42188,2.37500,2.42188,1.67967,500000
1992-08-03,2.42188,2.53125,2.42188,2.50000,1.73385,260000
1992-08-04,2.51562,2.62500,2.51562,2.59375,1.79887,676000
1992-08-05,2.59375,2.70312,2.57812,2.70312,1.87472,204800
1992-08-06,2.67188,2.70312,2.62500,2.65625,1.84222,551200
1992-08-07,2.62500,2.73438,2.62500,2.71875,1.88556,625600
1992-08-10,2.71875,2.71875,2.53125,2.62500,1.82054,549600
1992-08-11,2.65625,2.81250,2.62500,2.81250,1.95058,171200
1992-08-12,2.81250,2.81250,2.65625,2.68750,1.86389,411200
1992-08-13,2.70312,2.71875,2.65625,2.65625,1.84222,424000
1992-08-14,2.67188,2.67188,2.59375,2.64062,1.83138,640800
1992-08-17,2.62500,2.70312,2.62500,2.70312,1.87472,397600
1992-08-18,2.73438,2.73438,2.70312,2.71875,1.88556,68000
1992-08-19,2.68750,2.71875,2.68750,2.70312,1.87472,105600
1992-08-20,2.75000,2.75000,2.71875,2.73438,1.89640,431200
1992-08-21,2.73438,2.78125,2.71875,2.71875,1.88556,260000
1992-08-24,2.68750,2.68750,2.64062,2.64062,1.83138,38400
1992-08-25,2.64062,2.64062,2.53125,2.59375,1.79887,288000
1992-08-26,2.60938,2.67188,2.57812,2.67188,1.85305,264800
1992-08-27,2.70312,2.75000,2.68750,2.68750,1.86389,188800
1992-08-28,2.67188,2.71875,2.67188,2.70312,1.87472,24800
1992-08-31,2.73438,2.78125,2.71875,2.71875,1.88556,241600
1992-09-01,2.70312,2.90625,2.70312,2.87500,1.99393,284000
1992-09-02,2.87500,2.96875,2.84375,2.96875,2.05895,565600
1992-09-03,3.00000,3.12500,2.96875,2.98438,2.06978,1440800
1992-09-04,3.00000,3.00000,2.90625,2.92188,2.02644,197600
1992-09-08,2.96875,3.00000,2.95312,3.00000,2.08062,85600
1992-09-09,3.00000,3.00000,2.96875,3.00000,2.08062,700800
1992-09-10,3.03125,3.15625,3.03125,3.06250,2.12397,200800
1992-09-11,3.04688,3.04688,3.00000,3.03125,2.10229,575200
1992-09-14,3.06250,3.06250,3.01562,3.03125,2.10229,142400
1992-09-15,3.06250,3.06250,3.01562,3.03125,2.10229,444800
1992-09-16,3.03125,3.09375,3.03125,3.06250,2.12397,76800
1992-09-17,3.09375,3.12500,3.04688,3.12500,2.16731,80800
1992-09-18,3.12500,3.12500,3.07812,3.09375,2.14564,47200
1992-09-21,3.09375,3.09375,3.06250,3.06250,2.12397,600800
1992-09-22,3.06250,3.10938,3.06250,3.07812,2.13480,109600
1992-09-23,3.07812,3.09375,3.06250,3.09375,2.14564,76000
1992-09-24,3.10938,3.12500,3.10938,3.12500,2.16731,112800
1992-09-25,3.12500,3.12500,3.06250,3.06250,2.12397,386400
1992-09-28,3.04688,3.04688,2.78125,2.81250,1.95058,349600
1992-09-29,2.81250,2.84375,2.59375,2.81250,1.95058,803200
1992-09-30,2.84375,2.87500,2.81250,2.84375,1.97225,522400
1992-10-01,2.81250,2.93750,2.68750,2.93750,2.03727,768800
1992-10-02,2.96875,3.01562,2.93750,2.95312,2.04811,233600
1992-10-05,2.92188,2.92188,2.65625,2.76562,1.91807,255200
1992-10-06,2.78125,2.90625,2.78125,2.90625,2.01560,384000
1992-10-07,2.93750,2.98438,2.93750,2.93750,2.03727,584800
1992-10-08,2.96875,3.00000,2.90625,3.00000,2.08062,282400
1992-10-09,3.00000,3.03125,2.96875,2.96875,2.05895,295200
1992-10-12,3.00000,3.06250,3.00000,3.03125,2.10229,20800
1992-10-13,3.00000,3.09375,3.00000,3.07812,2.13480,68000
1992-10-14,3.09375,3.09375,3.00000,3.00000,2.08062,34400
1992-10-15,3.00000,3.03125,2.96875,3.01562,2.09146,27200
1992-10-16,3.04688,3.07812,3.01562,3.04688,2.11313,43200
1992-10-19,3.01562,3.12500,3.00000,3.12500,2.16731,359200
1992-10-20,3.15625,3.25000,3.15625,3.18750,2.21066,157600
1992-10-21,3.21875,3.21875,3.18750,3.18750,2.21066,38400
1992-10-22,3.20312,3.25000,3.18750,3.25000,2.25400,76000
1992-10-23,3.28125,3.34375,3.17188,3.17188,2.19982,208800
1992-10-26,3.20312,3.28125,3.20312,3.28125,2.27568,61600
1992-10-27,3.28125,3.37500,3.28125,3.37500,2.34070,157600
1992-10-28,3.37500,3.39062,3.35938,3.35938,2.32986,608800
1992-10-29,3.45312,3.46875,3.32812,3.32812,2.30819,230400
1992-10-30,3.34375,3.34375,3.18750,3.21875,2.23233,205600
1992-11-02,3.25000,3.31250,3.25000,3.31250,2.29735,19200
1992-11-03,3.31250,3.40625,3.31250,3.40625,2.36237,151200
1992-11-04,3.43750,3.43750,3.37500,3.37500,2.34070,160000
1992-11-05,3.43750,3.59375,3.39062,3.57812,2.48157,596800
1992-11-06,3.57812,3.78125,3.57812,3.73438,2.58994,1281600
1992-11-09,3.70312,4.00000,3.70312,3.96875,2.75249,2169600
1992-11-10,3.93750,3.96875,3.87500,3.93750,2.73081,1035200
1992-11-11,3.84375,3.90625,3.81250,3.81250,2.64412,318400
1992-11-12,3.82812,3.82812,3.59375,3.68750,2.55743,988800
1992-11-13,3.71875,3.84375,3.70312,3.81250,2.64412,171200
1992-11-16,3.84375,4.00000,3.81250,3.84375,2.66580,603200
1992-11-17,3.84375,3.84375,3.81250,3.81250,2.64412,68000
1992-11-18,3.82812,3.84375,3.79688,3.82812,2.65496,221600
1992-11-19,3.85938,3.98438,3.85938,3.95312,2.74165,85600
1992-11-20,3.95312,4.00000,3.93750,3.93750,2.73081,199200
1992-11-23,3.95312,3.95312,3.81250,3.81250,2.64412,87200
1992-11-24,3.84375,3.84375,3.56250,3.68750,2.55743,452800
1992-11-25,3.71875,3.78125,3.68750,3.73438,2.58994,320800
1992-11-27,3.75000,3.78125,3.73438,3.73438,2.58994,48000
1992-11-30,3.75000,3.79688,3.70312,3.73438,2.58994,105600
1992-12-01,3.73438,3.73438,3.65625,3.65625,2.53576,46400
1992-12-02,3.67188,3.67188,3.46875,3.50000,2.42739,376000
1992-12-03,3.53125,3.56250,3.43750,3.45312,2.39488,162400
1992-12-04,3.43750,3.56250,3.42188,3.53125,2.44906,752800
1992-12-07,3.62500,3.68750,3.62500,3.64062,2.52492,193600
1992-12-08,3.65625,3.73438,3.62500,3.71875,2.57910,148000
1992-12-09,3.73438,3.75000,3.68750,3.75000,2.60078,300000
1992-12-10,3.78125,3.78125,3.71875,3.73438,2.58994,80000
1992-12-11,3.71875,3.78125,3.70312,3.78125,2.62245,171200
1992-12-14,3.79688,3.84375,3.75000,3.84375,2.66580,128000
1992-12-15,3.84375,3.85938,3.81250,3.85938,2.67663,62400
1992-12-16,3.85938,3.85938,3.75000,3.76562,2.61161,55200
1992-12-17,3.76562,3.76562,3.75000,3.75000,2.60078,8000
