Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.68333,0.67222,0.67222,0.17141,1044000
1980-03-18,0.00000,0.67361,0.65694,0.67361,0.17177,853200
1980-03-19,0.00000,0.69167,0.67917,0.68889,0.17566,1872000
1980-03-20,0.00000,0.69167,0.68472,0.68611,0.17495,720000
1980-03-21,0.00000,0.68611,0.67778,0.68056,0.17354,1170000
1980-03-24,0.00000,0.67778,0.65556,0.65833,0.16787,3373200
1980-03-25,0.00000,0.65833,0.64444,0.64861,0.16539,2466000
1980-03-26,0.00000,0.64583,0.63611,0.63611,0.16220,1368000
1980-03-27,0.00000,0.63194,0.58750,0.59583,0.15193,2437200
1980-03-28,0.00000,0.62222,0.60139,0.62222,0.15866,720000
1980-03-31,0.00000,0.63333,0.62361,0.63194,0.16114,468000
1980-04-01,0.00000,0.65417,0.63472,0.65417,0.16681,882000
1980-04-02,0.00000,0.69722,0.65694,0.68750,0.17531,1998000
1980-04-03,0.00000,0.68750,0.67778,0.67778,0.17283,450000
1980-04-07,0.00000,0.68056,0.67222,0.67778,0.17283,1656000
1980-04-08,0.00000,0.68194,0.67778,0.68194,0.17389,493200
1980-04-09,0.00000,0.69444,0.68333,0.69444,0.17708,313200
1980-04-10,0.00000,0.70694,0.70139,0.70694,0.18027,288000
1980-04-11,0.00000,0.70972,0.70833,0.70833,0.18062,396000
1980-04-14,0.00000,0.70556,0.70139,0.70278,0.17920,216000
1980-04-15,0.00000,0.70556,0.70278,0.70278,0.17920,223200
1980-04-16,0.00000,0.71111,0.70278,0.70833,0.18062,954000
1980-04-17,0.00000,0.70556,0.70417,0.70556,0.17991,1429200
1980-04-18,0.00000,0.70694,0.70417,0.70694,0.18027,727200
1980-04-21,0.00000,0.71250,0.70417,0.70417,0.17956,882000
1980-04-22,0.00000,0.72361,0.71111,0.72222,0.18416,2959200
1980-04-23,0.00000,0.73472,0.72500,0.72500,0.18487,648000
1980-04-24,0.00000,0.76528,0.72639,0.76389,0.19479,1843200
1980-04-25,0.00000,0.75833,0.74444,0.75000,0.19124,889200
1980-04-28,0.00000,0.74722,0.72917,0.73056,0.18629,961200
1980-04-29,0.00000,0.73333,0.72639,0.73194,0.18664,205200
1980-04-30,0.00000,0.72778,0.72361,0.72639,0.18522,907200
1980-05-01,0.00000,0.73056,0.72222,0.72222,0.18416,835200
1980-05-02,0.00000,0.72500,0.72222,0.72222,0.18416,540000
1980-05-05,0.00000,0.72639,0.72361,0.72639,0.18522,126000
1980-05-06,0.00000,0.76111,0.73194,0.75833,0.19337,3517200
1980-05-07,0.00000,0.80000,0.75833,0.79167,0.20187,5814000
1980-05-08,0.00000,0.83611,0.80000,0.81111,0.20683,4309200
1980-05-09,0.00000,0.81389,0.78611,0.78611,0.20045,2124000
1980-05-12,0.00000,0.80556,0.78056,0.80139,0.20435,1159200
1980-05-13,0.00000,0.80833,0.75556,0.76111,0.19408,2149200
1980-05-14,0.00000,0.77778,0.75278,0.76806,0.19585,5652000
1980-05-15,0.00000,0.79444,0.76944,0.77500,0.19762,2257200
1980-05-16,0.00000,0.77917,0.77222,0.77917,0.19868,691200
1980-05-19,0.00000,0.78333,0.77222,0.77778,0.19833,1483200
1980-05-20,0.00000,0.77778,0.76944,0.77778,0.19833,2304000
1980-05-21,0.00000,0.77500,0.76111,0.76667,0.19550,1681200
1980-05-22,0.00000,0.77222,0.76806,0.77083,0.19656,612000
1980-05-23,0.00000,0.78889,0.76944,0.78472,0.20010,1512000
1980-05-27,0.00000,0.78889,0.78194,0.78194,0.19939,1224000
1980-05-28,0.00000,0.79444,0.78472,0.79444,0.20258,1321200
1980-05-29,0.00000,0.79444,0.78056,0.78056,0.19904,2592000
1980-05-30,0.00000,0.78611,0.78056,0.78611,0.20045,828000
1980-06-02,0.00000,0.79028,0.78611,0.79028,0.20152,702000
1980-06-03,0.00000,0.81111,0.79028,0.80278,0.20470,1825200
1980-06-04,0.00000,0.80972,0.80000,0.80139,0.20435,2113200
1980-06-05,0.00000,0.80833,0.80000,0.80000,0.20400,918000
1980-06-06,0.00000,0.80139,0.79583,0.79583,0.20293,2041200
1980-06-09,0.00000,0.79583,0.79583,0.79583,0.20293,385200
1980-06-10,0.00000,0.80000,0.79583,0.80000,0.20400,612000
1980-06-11,0.00000,0.80556,0.80000,0.80139,0.20435,277200
1980-06-12,0.00000,0.80556,0.79722,0.79861,0.20364,637200
1980-06-13,0.00000,0.80139,0.80000,0.80000,0.20400,97200
1980-06-16,0.00000,0.80972,0.79722,0.80833,0.20612,583200
1980-06-17,0.00000,0.81389,0.80417,0.81389,0.20754,1123200
1980-06-18,0.00000,0.83056,0.81250,0.83056,0.21179,907200
1980-06-19,0.00000,0.84028,0.82361,0.82361,0.21002,925200
1980-06-20,0.00000,0.81944,0.81667,0.81806,0.20860,3049200
1980-06-23,0.00000,0.81944,0.81667,0.81806,0.20860,612000
1980-06-24,0.00000,0.81528,0.81111,0.81111,0.20683,648000
1980-06-25,0.00000,0.82778,0.81389,0.82500,0.21037,1224000
