Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.50000,0.49479,0.49479,0.04313,156000
1980-03-18,0.00000,0.49479,0.48438,0.48438,0.04222,43200
1980-03-19,0.00000,0.48438,0.47917,0.47917,0.04177,72000
1980-03-20,0.00000,0.47396,0.46875,0.47396,0.04131,16800
1980-03-21,0.00000,0.47396,0.47396,0.47396,0.04131,12000
1980-03-24,0.00000,0.47917,0.45833,0.45833,0.03995,21600
1980-03-25,0.00000,0.45833,0.45833,0.45833,0.03995,81600
1980-03-26,0.00000,0.45833,0.45833,0.45833,0.03995,204000
1980-03-27,0.00000,0.45833,0.45833,0.45833,0.03995,38400
1980-03-28,0.00000,0.46354,0.45312,0.45312,0.03950,43200
1980-03-31,0.00000,0.46354,0.45312,0.45312,0.03950,33600
1980-04-01,0.00000,0.45312,0.45312,0.45312,0.03950,7200
1980-04-02,0.00000,0.45833,0.44792,0.44792,0.03904,14400
1980-04-03,0.00000,0.44792,0.44792,0.44792,0.03904,4800
1980-04-07,0.00000,0.44271,0.43750,0.43750,0.03814,43200
1980-04-08,0.00000,0.43750,0.43229,0.43750,0.03814,21600
1980-04-09,0.00000,0.42708,0.41667,0.41667,0.03632,52800
1980-04-10,0.00000,0.42188,0.41667,0.42188,0.03677,115200
1980-04-11,0.00000,0.41667,0.41667,0.41667,0.03632,12000
1980-04-14,0.41667,0.41667,0.41667,0.41667,0.03632,0
1980-04-15,0.00000,0.41667,0.41667,0.41667,0.03632,7200
1980-04-16,0.00000,0.42708,0.41667,0.41667,0.03632,24000
1980-04-17,0.00000,0.45312,0.42708,0.45312,0.03950,134400
1980-04-18,0.00000,0.45833,0.45833,0.45833,0.03995,2400
1980-04-21,0.00000,0.45833,0.44271,0.44271,0.03859,31200
1980-04-22,0.00000,0.46875,0.44792,0.46875,0.04086,182400
1980-04-23,0.46875,0.46875,0.46875,0.46875,0.04086,0
1980-04-24,0.00000,0.46354,0.45833,0.46354,0.04041,38400
1980-04-25,0.00000,0.45833,0.45833,0.45833,0.03995,26400
1980-04-28,0.00000,0.46354,0.45833,0.45833,0.03995,26400
1980-04-29,0.00000,0.45312,0.45312,0.45312,0.03950,12000
1980-04-30,0.00000,0.46875,0.45833,0.46875,0.04086,33600
1980-05-01,0.00000,0.49479,0.47917,0.48958,0.04268,19200
1980-05-02,0.00000,0.50000,0.49479,0.49479,0.04313,4800
1980-05-05,0.49479,0.49479,0.49479,0.49479,0.04313,0
1980-05-06,0.00000,0.50000,0.50000,0.50000,0.04358,33600
1980-05-07,0.00000,0.51562,0.51042,0.51562,0.04495,36000
1980-05-08,0.00000,0.50521,0.50000,0.50521,0.04404,273600
1980-05-09,0.00000,0.50521,0.48958,0.48958,0.04268,240000
1980-05-12,0.48958,0.48958,0.48958,0.48958,0.04268,0
1980-05-13,0.00000,0.48438,0.47917,0.47917,0.04177,7200
1980-05-14,0.00000,0.48438,0.48438,0.48438,0.04222,7200
1980-05-15,0.00000,0.47917,0.47917,0.47917,0.04177,7200
1980-05-16,0.00000,0.47396,0.46875,0.46875,0.04086,28800
1980-05-19,0.00000,0.46875,0.46354,0.46354,0.04041,31200
1980-05-20,0.00000,0.47396,0.46354,0.47396,0.04131,19200
1980-05-21,0.00000,0.47917,0.47396,0.47396,0.04131,36000
1980-05-22,0.00000,0.46875,0.46354,0.46875,0.04086,127200
1980-05-23,0.00000,0.46354,0.46354,0.46354,0.04041,57600
1980-05-27,0.00000,0.46354,0.44792,0.44792,0.03904,300000
1980-05-28,0.00000,0.46875,0.45833,0.46875,0.04086,50400
1980-05-29,0.00000,0.47917,0.47396,0.47396,0.04131,33600
1980-05-30,0.00000,0.48958,0.46875,0.48958,0.04268,38400
1980-06-02,0.00000,0.48958,0.47396,0.47396,0.04131,21600
1980-06-03,0.00000,0.46875,0.46354,0.46354,0.04041,28800
1980-06-04,0.00000,0.46354,0.45833,0.46354,0.04041,28800
1980-06-05,0.00000,0.46354,0.46354,0.46354,0.04041,26400
1980-06-06,0.00000,0.47917,0.47396,0.47396,0.04131,50400
1980-06-09,0.00000,0.47396,0.46354,0.46354,0.04041,28800
1980-06-10,0.00000,0.47917,0.45833,0.45833,0.03995,57600
1980-06-11,0.00000,0.46354,0.45312,0.46354,0.04041,9600
1980-06-12,0.00000,0.45833,0.45833,0.45833,0.03995,2400
1980-06-13,0.00000,0.45833,0.45833,0.45833,0.03995,2400
1980-06-16,0.00000,0.46875,0.46354,0.46354,0.04041,16800
1980-06-17,0.00000,0.47917,0.45833,0.47917,0.04177,110400
1980-06-18,0.00000,0.47396,0.46875,0.46875,0.04086,43200
1980-06-19,0.00000,0.46875,0.45833,0.45833,0.03995,112800
1980-06-20,0.00000,0.45833,0.45312,0.45833,0.03995,12000
1980-06-23,0.00000,0.46875,0.46354,0.46354,0.04041,19200
1980-06-24,0.00000,0.46354,0.41146,0.42188,0.03677,120000
1980-06-25,0.00000,0.44792,0.42188,0.44792,0.03904,132000
1980-06-26,0.00000,0.44271,0.43229,0.43229,0.03768,48000
1980-06-27,0.00000,0.44271,0.43750,0.44271,0.03859,4800
1980-06-30,0.00000,0.43750,0.43229,0.43750,0.03814,57600
1980-07-01,0.00000,0.43750,0.42188,0.43750,0.03814,55200
1980-07-02,0.00000,0.43750,0.43229,0.43750,0.03814,55200
1980-07-03,0.00000,0.44271,0.43750,0.43750,0.03814,21600
1980-07-07,0.00000,0.43750,0.43229,0.43750,0.03814,7200
1980-07-08,0.00000,0.44792,0.44271,0.44792,0.03904,19200
