Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,4.07031,4.02344,4.04688,0.93731,456000
1972-06-02,4.05469,4.09375,4.05469,4.09375,0.94816,640000
1972-06-05,4.08594,4.08594,4.02344,4.03906,0.93550,464000
1972-06-06,4.03906,4.03906,4.00000,4.00000,0.92645,796800
1972-06-07,4.00000,4.05469,3.99219,4.04688,0.93731,584000
1972-06-08,4.04688,4.06250,3.99219,4.00000,0.92645,726400
1972-06-09,4.00781,4.05469,4.00781,4.04688,0.93731,296000
1972-06-12,4.04688,4.07812,4.01562,4.03906,0.93550,473600
1972-06-13,4.04688,4.09375,4.04688,4.07812,0.94454,478400
1972-06-14,4.09375,4.17969,4.09375,4.16406,0.96445,795200
1972-06-15,4.18750,4.23438,4.18750,4.18750,0.96988,836800
1972-06-16,4.18750,4.19531,4.12500,4.14062,0.95902,267200
1972-06-19,4.14062,4.16406,4.06250,4.10938,0.95178,1001600
1972-06-20,4.12500,4.16406,4.12500,4.16406,0.96445,345600
1972-06-21,4.16406,4.17969,4.11719,4.12500,0.95540,556800
1972-06-22,4.12500,4.16406,4.10938,4.15625,0.96264,321600
1972-06-23,4.15625,4.17969,4.15625,4.17188,0.96626,212800
1972-06-26,4.17188,4.21875,4.13281,4.21875,0.97711,278400
1972-06-27,4.21875,4.24219,4.17188,4.19531,0.97169,268800
1972-06-28,4.17969,4.17969,4.10938,4.12500,0.95540,433600
1972-06-29,4.12500,4.14844,4.10156,4.10156,0.94997,313600
1972-06-30,4.10938,4.17188,4.10938,4.15625,0.96264,404800
1972-07-03,4.15625,4.21094,4.14844,4.20312,0.97350,240000
1972-07-05,4.23438,4.28125,4.23438,4.25000,0.98435,734400
1972-07-06,4.30469,4.35156,4.30469,4.32812,1.00245,809600
1972-07-07,4.33594,4.42969,4.33594,4.42969,1.02597,595200
1972-07-10,4.42969,4.43750,4.37500,4.38281,1.01511,316800
1972-07-11,4.38281,4.42969,4.38281,4.39844,1.01873,232000
1972-07-12,4.40625,4.47656,4.40625,4.43750,1.02778,1132800
1972-07-13,4.43750,4.48438,4.39062,4.43750,1.02778,790400
1972-07-14,4.44531,4.53125,4.44531,4.51562,1.04587,950400
1972-07-17,4.51562,4.51562,4.43750,4.43750,1.02778,187200
1972-07-18,4.41406,4.41406,4.39062,4.40625,1.02054,385600
1972-07-19,4.40625,4.51562,4.40625,4.45312,1.03140,636800
1972-07-20,4.45312,4.50000,4.45312,4.50000,1.04226,326400
1972-07-21,4.51562,4.57031,4.51562,4.57031,1.05854,340800
1972-07-24,4.57031,4.70312,4.56250,4.64844,1.07664,811200
1972-07-25,4.64844,4.69531,4.60938,4.60938,1.06759,312000
1972-07-26,4.68750,4.74219,4.68750,4.72656,1.09473,816000
1972-07-27,4.72656,4.75781,4.68750,4.72656,1.09473,422400
1972-07-28,4.72656,4.73438,4.71875,4.71875,1.09292,208000
1972-07-31,4.70312,4.70312,4.65625,4.66406,1.08026,174400
1972-08-01,4.66406,4.71875,4.65625,4.71875,1.09292,368000
1972-08-02,4.71875,4.73438,4.68750,4.70312,1.08930,384000
1972-08-03,4.70312,4.71875,4.65625,4.71875,1.09292,355200
1972-08-04,4.71875,4.71875,4.68750,4.68750,1.08568,193600
