Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,0.94581,0.95859,0.94581,0.95859,0.34691,165200
1977-01-04,0.95859,0.97137,0.90746,0.95859,0.34691,179800
1977-01-05,0.95859,0.98415,0.95859,0.98415,0.35616,189600
1977-01-06,0.98415,1.03528,0.98415,1.03528,0.37466,384200
1977-01-07,1.03528,1.04806,1.02250,1.04806,0.37929,345200
1977-01-10,1.04806,1.06084,1.03528,1.04806,0.37929,311000
1977-01-11,1.04806,1.04806,1.02250,1.02250,0.37004,155400
1977-01-12,1.00971,1.00971,0.98415,0.99693,0.36078,198400
1977-01-13,0.99693,0.99693,0.97137,0.98415,0.35616,155400
1977-01-14,0.98415,0.99693,0.98415,0.98415,0.35616,116200
1977-01-17,0.99693,1.03528,0.99693,1.00971,0.36541,222000
1977-01-18,1.02250,1.03528,1.02250,1.03528,0.37466,112400
1977-01-19,1.03528,1.04806,1.02250,1.02250,0.37004,149600
1977-01-20,1.02250,1.03528,1.00971,1.00971,0.36541,179800
1977-01-21,1.00971,1.02250,0.99693,0.99693,0.36078,185800
1977-01-24,1.03528,1.08640,1.03528,1.08640,0.39316,850800
1977-01-25,1.08640,1.12474,1.07362,1.08640,0.39316,502600
1977-01-26,1.08640,1.08640,1.06084,1.07362,0.38854,263000
1977-01-27,1.07362,1.08640,1.04806,1.07362,0.38854,258000
1977-01-28,1.07362,1.08640,1.04806,1.07362,0.38854,122200
1977-01-31,1.06084,1.06084,1.03528,1.04806,0.37929,114400
1977-02-01,1.04806,1.04806,1.03528,1.04806,0.37929,81000
1977-02-02,1.03528,1.03528,1.00971,1.00971,0.36541,112400
1977-02-03,1.00971,1.02250,0.98415,1.02250,0.37004,153400
1977-02-04,1.02250,1.03528,1.02250,1.02250,0.37004,121200
1977-02-07,1.03528,1.06084,1.03528,1.03528,0.37466,82000
1977-02-08,1.03528,1.03528,1.02250,1.02250,0.37004,115400
1977-02-09,1.02250,1.04806,1.02250,1.02250,0.37004,283600
1977-02-10,1.02250,1.02250,0.99693,1.00971,0.36541,74200
1977-02-11,1.00971,1.00971,0.97137,0.97137,0.35153,152400
1977-02-14,0.95859,0.95859,0.94581,0.94581,0.34228,143600
1977-02-15,0.95859,0.98415,0.95859,0.98415,0.35616,175000
1977-02-16,0.98415,0.99693,0.97137,0.98415,0.35616,225800
1977-02-17,0.98415,1.03528,0.98415,1.02250,0.37004,1001400
1977-02-18,1.02250,1.06084,1.02250,1.03528,0.37466,472200
1977-02-22,1.04806,1.06084,1.04806,1.04806,0.37929,275600
1977-02-23,1.04806,1.06084,1.03528,1.03528,0.37466,81000
1977-02-24,1.03528,1.03528,1.02250,1.02250,0.37004,228800
1977-02-25,1.02250,1.02250,1.00971,1.00971,0.36541,355000
1977-02-28,1.00971,1.02250,1.00971,1.02250,0.37004,86000
1977-03-01,1.02250,1.06084,1.02250,1.04806,0.37929,293400
1977-03-02,1.04806,1.04806,1.02250,1.02250,0.37004,243400
1977-03-03,1.02250,1.02250,1.00971,1.00971,0.36541,52800
1977-03-04,1.00971,1.02250,1.00971,1.02250,0.37004,45800
1977-03-07,1.00971,1.00971,0.98415,0.98415,0.35616,65400
1977-03-08,0.98415,0.99693,0.98415,0.98415,0.35616,59600
1977-03-09,0.98415,0.99693,0.98415,0.98415,0.35616,68400
1977-03-10,0.98415,1.02250,0.98415,1.00971,0.36541,203400
1977-03-11,1.00971,1.02250,1.00971,1.00971,0.36541,158400
1977-03-14,1.02250,1.06084,1.02250,1.04806,0.37929,328600
1977-03-15,1.04806,1.04806,1.03528,1.03528,0.37466,112400
1977-03-16,1.03528,1.03528,1.02250,1.03528,0.37466,149600
1977-03-17,1.03528,1.03528,1.02250,1.02250,0.37004,59600
1977-03-18,1.03528,1.03528,1.02250,1.02250,0.37004,59600
1977-03-21,1.02250,1.02250,1.00971,1.00971,0.36541,139800
1977-03-22,1.00971,1.00971,0.98415,0.98415,0.35616,105600
1977-03-23,0.98415,0.98415,0.97137,0.97137,0.35153,85000
1977-03-24,0.97137,0.98415,0.94581,0.94581,0.34228,177800
1977-03-25,0.94581,0.95859,0.94581,0.94581,0.34228,71200
1977-03-28,0.94581,0.95859,0.94581,0.94581,0.34228,103600
1977-03-29,0.94581,0.95859,0.94581,0.95859,0.34691,164200
1977-03-30,0.95859,0.97137,0.95859,0.97137,0.35153,133800
1977-03-31,0.97137,0.97137,0.94581,0.94581,0.34228,84000
