Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.47656,0.46484,0.46484,0.29435,217600
1980-03-18,0.00000,0.46875,0.45312,0.45312,0.28693,272000
1980-03-19,0.00000,0.45703,0.44922,0.45312,0.28693,777600
1980-03-20,0.00000,0.46094,0.45312,0.45312,0.28693,2105600
1980-03-21,0.00000,0.45703,0.44531,0.44531,0.28198,348800
1980-03-24,0.00000,0.43750,0.42188,0.42188,0.26714,252800
1980-03-25,0.00000,0.42969,0.42578,0.42969,0.27209,252800
1980-03-26,0.00000,0.43359,0.42578,0.42969,0.27209,396800
1980-03-27,0.00000,0.42969,0.42578,0.42578,0.26961,112000
1980-03-28,0.00000,0.42969,0.41797,0.41797,0.26467,1651200
1980-03-31,0.00000,0.43359,0.41797,0.42969,0.27209,134400
1980-04-01,0.00000,0.44531,0.43750,0.44531,0.28198,134400
1980-04-02,0.00000,0.46484,0.45312,0.46094,0.29188,102400
1980-04-03,0.00000,0.46875,0.46484,0.46875,0.29682,608000
1980-04-07,0.00000,0.47656,0.46875,0.47656,0.30177,89600
1980-04-08,0.00000,0.46875,0.46484,0.46875,0.29682,156800
1980-04-09,0.00000,0.48438,0.46875,0.47266,0.29930,755200
1980-04-10,0.00000,0.49219,0.47656,0.49219,0.31166,195200
1980-04-11,0.00000,0.50000,0.49219,0.49609,0.31414,464000
1980-04-14,0.00000,0.49609,0.49219,0.49219,0.31166,124800
1980-04-15,0.00000,0.49219,0.48828,0.48828,0.30919,73600
1980-04-16,0.00000,0.48828,0.48047,0.48438,0.30672,233600
1980-04-17,0.00000,0.46875,0.46875,0.46875,0.29682,131200
1980-04-18,0.00000,0.46875,0.46094,0.46094,0.29188,134400
1980-04-21,0.00000,0.45312,0.43750,0.43750,0.27704,204800
1980-04-22,0.00000,0.44922,0.44141,0.44141,0.27951,67200
1980-04-23,0.00000,0.44531,0.44141,0.44531,0.28198,80000
1980-04-24,0.00000,0.44531,0.44141,0.44531,0.28198,153600
1980-04-25,0.00000,0.45312,0.44922,0.44922,0.28446,310400
1980-04-28,0.00000,0.46875,0.46094,0.46484,0.29435,137600
1980-04-29,0.00000,0.46875,0.46484,0.46484,0.29435,640000
1980-04-30,0.00000,0.47266,0.46484,0.46875,0.29682,422400
1980-05-01,0.00000,0.48047,0.47266,0.47656,0.30177,163200
1980-05-02,0.00000,0.51562,0.48438,0.51562,0.32651,531200
1980-05-05,0.00000,0.50781,0.50391,0.50781,0.32156,169600
1980-05-06,0.00000,0.50391,0.50000,0.50000,0.31661,182400
1980-05-07,0.00000,0.51562,0.49609,0.51172,0.32403,499200
1980-05-08,0.00000,0.51172,0.50391,0.50391,0.31908,80000
1980-05-09,0.00000,0.51953,0.51172,0.51562,0.32651,710400
1980-05-12,0.00000,0.51562,0.50391,0.50391,0.31908,473600
1980-05-13,0.00000,0.51172,0.50391,0.51172,0.32403,67200
