Date,Open,High,Low,Close,Adj Close,Volume
1984-05-04,2.22222,2.25000,2.22222,2.22222,1.99486,2578800
1984-05-07,2.22222,2.25000,2.19444,2.19444,1.96992,102600
1984-05-08,2.19444,2.22222,2.19444,2.19444,1.96992,137100
1984-05-09,2.19444,2.22222,2.19444,2.19444,1.96992,741600
1984-05-10,2.19444,2.19444,2.13889,2.13889,1.92005,303600
1984-05-11,2.13889,2.16667,2.11111,2.11111,1.89512,228000
1984-05-14,2.11111,2.19444,2.11111,2.11111,1.89512,49800
1984-05-15,2.16667,2.22222,2.16667,2.16667,1.94499,43500
1984-05-16,2.16667,2.22222,2.16667,2.16667,1.94499,35100
1984-05-17,2.16667,2.19444,2.16667,2.16667,1.94499,65099
1984-05-18,1.94444,1.94444,1.88889,1.88889,1.69563,384600
1984-05-21,1.88889,1.94444,1.88889,1.88889,1.69563,225300
1984-05-22,1.88889,1.94444,1.88889,1.88889,1.69563,12000
1984-05-23,1.91667,1.94444,1.91667,1.91667,1.72057,14700
1984-05-24,1.91667,1.94444,1.91667,1.91667,1.72057,23400
1984-05-25,1.91667,1.94444,1.91667,1.91667,1.72057,158400
1984-05-29,1.91667,1.97222,1.91667,1.91667,1.72057,19200
1984-05-30,1.91667,1.94444,1.91667,1.91667,1.72057,33300
1984-05-31,1.91667,1.94444,1.91667,1.91667,1.72057,300
1984-06-01,1.97222,2.02778,1.97222,1.97222,1.77044,102900
1984-06-04,2.00000,2.05556,2.00000,2.00000,1.79537,7200
1984-06-05,2.02778,2.05556,2.02778,2.02778,1.82031,103500
1984-06-06,2.02778,2.05556,2.02778,2.02778,1.82031,148800
1984-06-07,2.08333,2.13889,2.08333,2.08333,1.87018,41400
1984-06-08,2.08333,2.13889,2.08333,2.08333,1.87018,117300
1984-06-11,2.08333,2.16667,2.08333,2.08333,1.87018,120000
1984-06-12,2.11111,2.16667,2.11111,2.11111,1.89512,126300
1984-06-13,2.11111,2.19444,2.11111,2.11111,1.89512,72900
1984-06-14,2.11111,2.22222,2.11111,2.11111,1.89512,10200
1984-06-15,2.11111,2.22222,2.11111,2.11111,1.89512,1200
1984-06-18,2.11111,2.22222,2.11111,2.11111,1.89512,4500
1984-06-19,2.13889,2.22222,2.13889,2.13889,1.92005,5700
1984-06-20,2.13889,2.19444,2.13889,2.13889,1.92005,20700
1984-06-21,2.13889,2.19444,2.13889,2.13889,1.92005,10800
