Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,22.25000,22.25000,21.70000,22.00000,10.34678,5244400
2010-04-29,22.00000,23.25000,21.90000,23.00000,10.81709,8773600
2010-04-30,22.95000,23.00000,22.25000,22.30000,10.48788,1644400
2010-05-03,22.75000,22.95000,22.65000,22.80000,10.72303,3302700
2010-05-04,22.80000,22.80000,21.50000,21.50000,10.11163,2276500
2010-05-05,22.00000,22.00000,20.00000,20.59000,9.68365,6999200
2010-05-06,20.50000,20.55000,18.45000,19.45000,9.14750,8029400
2010-05-07,19.50000,19.55000,17.90000,18.60000,8.74774,3881500
2010-05-10,19.75000,19.85000,18.70000,19.01000,8.94056,3861100
2010-05-11,18.75000,19.28000,18.75000,18.90000,8.88883,2626900
2010-05-12,19.20000,20.04000,19.20000,19.80000,9.31211,5714300
2010-05-13,19.85000,20.10000,19.60000,19.65000,9.24156,2475900
2010-05-14,19.30000,19.40000,18.75000,18.75000,8.81828,3133400
2010-05-17,19.00000,19.20000,18.70000,18.85000,8.86531,10117000
2010-05-18,19.05000,19.32000,18.25000,18.79000,8.83710,6219800
2010-05-19,18.90000,18.93000,17.55000,17.70000,8.32446,6227700
2010-05-20,17.14000,17.14000,16.20000,16.90000,7.94821,10248400
2010-05-21,16.35000,17.12000,16.25000,16.55000,7.78360,4560800
2010-05-24,16.70000,17.15000,16.68000,16.90000,7.94821,1761300
2010-05-25,16.79000,16.79000,16.20000,16.57000,7.79301,4649600
2010-05-26,16.99000,17.40000,16.80000,17.15000,8.06579,2079300
2010-05-27,17.65000,18.00000,17.65000,17.90000,8.41852,3156100
2010-05-28,17.90000,17.90000,16.25000,17.77000,8.35738,222200
2010-06-01,17.65000,17.80000,17.20000,17.50000,8.23040,900800
2010-06-02,17.61000,17.66000,17.22000,17.33000,8.15044,829900
2010-06-03,17.45000,17.50000,17.15000,17.33000,8.15044,2173600
2010-06-04,17.05000,17.10000,16.75000,17.05000,8.01876,3147200
2010-06-07,17.15000,17.20000,16.74000,16.89000,7.94351,2826800
2010-06-08,17.03000,17.03000,16.50000,16.75000,7.87767,2037700
2010-06-09,16.79000,17.10000,16.70000,16.79000,7.89648,1410200
2010-06-10,16.97000,17.07000,16.85000,16.97000,7.98113,1401000
2010-06-11,16.94000,17.19000,16.94000,17.14000,8.06109,452500
2010-06-14,17.19000,17.58000,17.19000,17.49000,8.22570,1008500
2010-06-15,17.48000,18.00000,17.35000,17.97000,8.45144,1974300
2010-06-16,17.93000,17.97000,17.63000,17.64000,8.29624,1041500
2010-06-17,17.68000,17.75000,17.14000,17.30000,8.13633,1090600
2010-06-18,17.33000,17.35000,17.15000,17.21000,8.09401,1373700
2010-06-21,17.45000,17.53000,17.09000,17.10000,8.04227,514100
2010-06-22,17.09000,17.10000,16.80000,16.84000,7.91999,1502900
2010-06-23,16.90000,16.95000,16.60000,16.65000,7.83063,1125700
2010-06-24,16.69000,16.92000,16.35000,16.80000,7.90118,2151600
2010-06-25,16.90000,16.92000,16.70000,16.82000,7.91059,612000
2010-06-28,16.87000,16.87000,16.70000,16.87000,7.93410,355800
2010-06-29,16.74000,16.74000,16.25000,16.25000,7.64251,2561000
2010-06-30,16.27000,16.50000,16.15000,16.15000,7.59548,1534100
2010-07-01,16.24000,16.30000,15.40000,15.55000,7.31329,4006100
2010-07-02,15.58000,15.69000,15.40000,15.48000,7.28037,231700
2010-07-06,15.50000,15.59000,14.90000,15.06000,7.08285,833700
2010-07-07,15.05000,15.15000,14.86000,15.00000,7.05462,2137200
2010-07-08,14.95000,15.15000,14.95000,15.05000,7.07814,2422200
2010-07-09,15.10000,16.02000,15.00000,15.80000,7.43087,1478700
2010-07-12,15.82000,16.02000,15.80000,15.82000,7.44028,786100
2010-07-13,15.83000,16.50000,15.83000,16.40000,7.71306,1647300
2010-07-14,16.40000,16.45000,16.25000,16.40000,7.71306,1537200
2010-07-15,16.43000,16.43000,16.00000,16.37000,7.69895,905900
2010-07-16,16.30000,16.30000,16.00000,16.20000,7.61900,624700
2010-07-19,16.18000,16.70000,16.11000,16.45000,7.73657,497300
2010-07-20,16.44000,16.44000,16.15000,16.19000,7.61429,1244700
2010-07-21,16.19000,16.30000,16.19000,16.24000,7.63781,1801200
2010-07-22,16.26000,16.59000,16.26000,16.55000,7.78360,1126300
2010-07-23,16.55000,16.79000,16.52000,16.78000,7.89177,1415100
2010-07-26,17.00000,17.70000,17.00000,17.65000,8.30094,3400400
2010-07-27,17.92000,18.34000,17.25000,18.23000,8.57372,5778800
2010-07-28,18.22000,18.22000,17.82000,17.93000,8.43263,2440000
2010-07-29,18.10000,18.15000,17.84000,17.94000,8.43733,1598500
2010-07-30,17.92000,18.07000,17.68000,18.00000,8.46555,2023100
