Date,Open,High,Low,Close,Adj Close,Volume
1992-02-05,9.12500,9.12500,8.25000,8.62500,5.31864,11325800
1992-02-06,8.62500,8.62500,8.37500,8.43750,5.20302,5696400
1992-02-07,8.43750,8.43750,7.81250,7.81250,4.81761,1698000
1992-02-10,7.87500,7.87500,7.50000,7.56250,4.66345,1104400
1992-02-11,7.56250,7.68750,7.56250,7.68750,4.74053,656200
1992-02-12,7.68750,8.00000,7.62500,7.93750,4.89470,629600
1992-02-13,8.00000,8.18750,7.93750,8.00000,4.93324,808200
1992-02-14,8.00000,8.00000,7.81250,7.81250,4.81761,418000
1992-02-18,7.87500,7.87500,7.75000,7.81250,4.81761,687200
1992-02-19,7.81250,8.00000,7.81250,8.00000,4.93324,638000
1992-02-20,8.00000,8.00000,7.81250,7.81250,4.81761,139000
1992-02-21,7.93750,7.93750,7.87500,7.93750,4.89470,410600
1992-02-24,7.93750,8.00000,7.87500,7.93750,4.89470,353800
1992-02-25,7.93750,7.93750,7.62500,7.68750,4.74053,590400
1992-02-26,7.75000,7.81250,7.56250,7.62500,4.70199,155200
1992-02-27,7.62500,7.87500,7.62500,7.68750,4.74053,438000
1992-02-28,7.87500,7.87500,7.75000,7.75000,4.77907,266600
1992-03-02,7.62500,7.93750,7.62500,7.81250,4.81761,83800
1992-03-03,7.75000,7.87500,7.75000,7.87500,4.85616,177400
1992-03-04,7.87500,7.87500,7.75000,7.75000,4.77907,247800
1992-03-05,7.81250,7.87500,7.68750,7.68750,4.74053,131200
1992-03-06,7.68750,7.81250,7.68750,7.81250,4.81761,453400
1992-03-09,7.75000,7.81250,7.75000,7.81250,4.81761,114000
1992-03-10,7.75000,7.81250,7.75000,7.75000,4.77907,57800
1992-03-11,7.75000,7.81250,7.68750,7.68750,4.74053,104200
1992-03-12,7.75000,7.75000,7.68750,7.68750,4.74053,70800
1992-03-13,7.68750,7.75000,7.68750,7.68750,4.74053,124800
1992-03-16,7.75000,7.75000,7.62500,7.75000,4.77907,34600
1992-03-17,7.68750,7.75000,7.68750,7.68750,4.74053,206200
1992-03-18,7.68750,7.68750,7.56250,7.68750,4.74053,53000
1992-03-19,7.68750,7.68750,7.50000,7.56250,4.66345,155600
1992-03-20,7.50000,7.50000,7.12500,7.25000,4.47075,218800
1992-03-23,7.12500,7.18750,6.87500,7.00000,4.31658,131600
1992-03-24,7.00000,7.06250,6.75000,7.00000,4.31658,231200
1992-03-25,7.00000,7.93750,7.00000,7.87500,4.85616,662000
1992-03-26,7.81250,7.93750,7.62500,7.62500,4.70199,162600
1992-03-27,7.62500,7.62500,7.31250,7.31250,4.50929,120600
1992-03-30,7.37500,7.37500,7.18750,7.18750,4.43220,96200
1992-03-31,7.12500,7.18750,7.06250,7.12500,4.39366,96400
1992-04-01,7.06250,7.25000,7.06250,7.06250,4.35512,503600
1992-04-02,7.12500,7.56250,7.12500,7.50000,4.62491,1363800
1992-04-03,7.43750,7.50000,7.31250,7.31250,4.50929,308600
1992-04-06,7.43750,7.43750,7.00000,7.12500,4.39366,440600
1992-04-07,7.18750,7.31250,6.87500,6.93750,4.27804,134200
1992-04-08,6.81250,6.87500,6.43750,6.75000,4.16242,136600
1992-04-09,7.00000,7.00000,6.50000,6.50000,4.00826,181200
1992-04-10,6.56250,6.75000,6.50000,6.75000,4.16242,166600
1992-04-13,6.81250,7.00000,6.62500,6.93750,4.27804,146800
1992-04-14,7.06250,7.06250,6.87500,7.00000,4.31658,161400
1992-04-15,7.00000,7.31250,6.93750,7.12500,4.39366,160600
1992-04-16,7.06250,7.12500,6.87500,6.93750,4.27804,113200
1992-04-20,6.93750,6.93750,6.68750,6.68750,4.12388,79200
1992-04-21,6.62500,6.68750,6.43750,6.50000,4.00826,123400
1992-04-22,6.50000,6.50000,6.31250,6.50000,4.00826,142600
1992-04-23,6.50000,6.50000,5.87500,6.00000,3.69993,322800
1992-04-24,5.93750,6.00000,5.62500,5.81250,3.58430,321000
1992-04-27,5.75000,6.00000,5.75000,5.87500,3.62284,247200
1992-04-28,5.87500,5.87500,5.75000,5.81250,3.58430,581600
1992-04-29,5.75000,6.25000,5.68750,6.25000,3.85409,517600
1992-04-30,6.37500,6.75000,6.37500,6.68750,4.12388,710800
1992-05-01,6.93750,6.93750,6.68750,6.68750,4.12388,199200
1992-05-04,6.75000,6.81250,6.68750,6.81250,4.20096,170400
1992-05-05,6.81250,6.81250,6.62500,6.68750,4.12388,70000
1992-05-06,6.68750,6.93750,6.68750,6.81250,4.20096,285400
1992-05-07,6.87500,6.87500,6.75000,6.81250,4.20096,125000
1992-05-08,6.75000,6.75000,6.43750,6.50000,4.00826,66000
1992-05-11,6.43750,6.87500,6.43750,6.87500,4.23950,251800
1992-05-12,6.87500,6.87500,6.62500,6.62500,4.08534,500200
1992-05-13,6.68750,6.93750,6.43750,6.43750,3.96971,646200
1992-05-14,6.43750,6.43750,6.31250,6.37500,3.93117,223000
1992-05-15,6.25000,6.37500,6.06250,6.18750,3.81555,643000
1992-05-18,6.25000,6.25000,6.06250,6.18750,3.81555,320000
1992-05-19,6.25000,6.31250,6.12500,6.18750,3.81555,576000
1992-05-20,6.06250,6.12500,5.81250,6.00000,3.69993,2278800
1992-05-21,5.81250,6.00000,5.81250,5.93750,3.66139,17965200
1992-05-22,6.06250,6.31250,6.06250,6.31250,3.89263,8355600
1992-05-26,6.31250,6.31250,6.00000,6.12500,3.77701,3493000
1992-05-27,6.18750,6.31250,6.12500,6.25000,3.85409,3022800
1992-05-28,6.18750,6.31250,6.18750,6.25000,3.85409,2718400
1992-05-29,6.31250,6.43750,6.25000,6.43750,3.96971,2424200
1992-06-01,6.37500,6.43750,6.25000,6.37500,3.93117,3283200
1992-06-02,6.31250,6.37500,6.25000,6.37500,3.93117,2747600
1992-06-03,6.37500,6.37500,6.25000,6.31250,3.89263,1503000
1992-06-04,6.25000,6.37500,6.25000,6.25000,3.85409,1942800
1992-06-05,6.31250,6.31250,6.25000,6.25000,3.85409,1634400
1992-06-08,6.25000,6.31250,6.25000,6.31250,3.89263,973600
