Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.03000,4.60500,4.02000,4.60000,4.27306,395343000
2006-05-26,4.63000,4.67400,4.41100,4.49300,4.17367,103044000
2006-05-30,4.49700,4.49800,4.28500,4.40000,4.08728,49898000
2006-05-31,4.43500,4.53600,4.43500,4.49400,4.17460,30002000
2006-06-01,4.49300,4.81000,4.49000,4.75100,4.41333,62344000
2006-06-02,4.85000,4.87000,4.67900,4.69900,4.36503,37253000
2006-06-05,4.70500,4.92500,4.70000,4.91500,4.56568,37188000
2006-06-06,4.99800,5.06300,4.78000,4.83000,4.48672,49045000
2006-06-07,4.83300,4.84000,4.67500,4.76000,4.42169,25013000
2006-06-08,4.76000,4.77200,4.55000,4.77200,4.43284,34439000
2006-06-09,4.88000,4.88000,4.76800,4.77800,4.43841,13372000
2006-06-12,4.80000,4.82500,4.63000,4.69500,4.36131,14546000
2006-06-13,4.62000,4.73500,4.53000,4.55000,4.22662,16716000
2006-06-14,4.49000,4.54500,4.44400,4.51200,4.19132,15971000
2006-06-15,4.54000,4.61200,4.51300,4.59500,4.26842,16500000
2006-06-16,4.55000,4.60000,4.50000,4.50200,4.18203,12280000
2006-06-19,4.54500,4.54500,4.41000,4.43400,4.11886,11509000
2006-06-20,4.47400,4.50000,4.34700,4.40200,4.08914,23792000
2006-06-21,4.40200,4.58800,4.40000,4.53000,4.20804,18063000
2006-06-22,4.64000,4.69500,4.58800,4.66000,4.32880,13038000
2006-06-23,4.69900,4.79300,4.68700,4.69500,4.36131,11612000
2006-06-26,4.69500,4.75000,4.64300,4.75000,4.41240,8565000
2006-06-27,4.75000,4.80300,4.72500,4.73100,4.39475,9826000
2006-06-28,4.68500,4.74000,4.65000,4.69600,4.36224,8756000
2006-06-29,4.69500,4.80900,4.69500,4.80000,4.45885,14470000
2006-06-30,4.76500,4.80000,4.66000,4.80000,4.45885,25964000
2006-07-03,4.79000,4.80000,4.68100,4.73000,4.39383,7029000
2006-07-05,4.74000,4.78400,4.67100,4.76000,4.42169,13266000
2006-07-06,4.72500,4.73500,4.67900,4.68000,4.34738,8097000
2006-07-07,4.67500,4.68500,4.57500,4.61200,4.28421,8380000
2006-07-10,4.62000,4.65700,4.61200,4.64900,4.31858,4978000
2006-07-11,4.64900,4.64900,4.53000,4.63500,4.30558,8079000
2006-07-12,4.64000,4.64000,4.55400,4.55500,4.23126,7672000
2006-07-13,4.51800,4.51800,4.43000,4.47200,4.15416,16625000
2006-07-14,4.46200,4.46800,4.39000,4.39500,4.08263,9663000
2006-07-17,4.39100,4.41700,4.37500,4.39900,4.08635,6458000
2006-07-18,4.39900,4.41000,4.36700,4.39000,4.07799,12483000
2006-07-19,4.39100,4.54500,4.38000,4.52800,4.20618,15840000
2006-07-20,4.54000,4.57800,4.51000,4.55500,4.23126,8829000
2006-07-21,4.55500,4.55500,4.47700,4.52800,4.20618,8510000
2006-07-24,4.54500,4.55300,4.49900,4.50000,4.18017,5017000
2006-07-25,4.52000,4.64000,4.51600,4.60800,4.28050,6900000
2006-07-26,4.61400,4.78500,4.58000,4.66800,4.33623,10338000
2006-07-27,4.69000,4.71700,4.65200,4.65200,4.32137,6009000
2006-07-28,4.65100,4.68000,4.62600,4.63000,4.30093,4339000
2006-07-31,4.63000,4.64100,4.58600,4.58700,4.26099,4616000
2006-08-01,4.59200,4.59200,4.47000,4.50000,4.18017,7390000
2006-08-02,4.79900,5.00500,4.73100,5.00200,4.64649,53372000
2006-08-03,4.91300,5.02400,4.86500,4.99900,4.64371,21689000
2006-08-04,5.03000,5.15000,4.99900,5.00500,4.64928,14216000
2006-08-07,5.05000,5.13000,5.02500,5.11000,4.74682,6918000
2006-08-08,5.11000,5.26700,5.10500,5.25700,4.88337,14073000
2006-08-09,5.30000,5.45000,5.20000,5.28500,4.90938,15043000
2006-08-10,5.22000,5.39100,5.21000,5.35600,4.97533,8725000
2006-08-11,5.35000,5.44500,5.32500,5.36800,4.98648,9078000
2006-08-14,5.37500,5.45400,5.35200,5.42300,5.03757,6314000
2006-08-15,5.47000,5.49300,5.42600,5.44900,5.06172,8553000
2006-08-16,5.46500,5.54300,5.41600,5.42700,5.04129,15344000
