Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,0.36420,0.36626,0.36214,0.36523,0.00545,2048000
1970-12-16,0.36523,0.36626,0.36317,0.36626,0.00547,1529600
1970-12-17,0.36626,0.37654,0.36523,0.37551,0.00561,2112800
1970-12-18,0.37654,0.38169,0.37654,0.37963,0.00567,2429600
1970-12-21,0.37963,0.38169,0.37449,0.37449,0.00559,1869600
1970-12-22,0.37449,0.37860,0.36317,0.36626,0.00547,2121600
1970-12-23,0.36626,0.37346,0.36214,0.37346,0.00558,1707200
1970-12-24,0.37346,0.37551,0.36728,0.37551,0.00561,760800
1970-12-28,0.37551,0.37757,0.36831,0.37037,0.00553,907200
1970-12-29,0.37037,0.37860,0.36934,0.37860,0.00565,1944000
1970-12-30,0.37860,0.38272,0.37860,0.38169,0.00570,784800
1970-12-31,0.38169,0.38169,0.37654,0.38169,0.00570,2938400
1971-01-04,0.37860,0.37860,0.36728,0.36728,0.00548,6787200
1971-01-05,0.36831,0.37449,0.36831,0.37243,0.00556,1627200
1971-01-06,0.37243,0.37346,0.37037,0.37037,0.00553,1318400
1971-01-07,0.37037,0.37140,0.36934,0.36934,0.00551,1392800
1971-01-08,0.36934,0.37140,0.36420,0.36523,0.00545,1344000
1971-01-11,0.36523,0.36831,0.36420,0.36831,0.00550,1464800
1971-01-12,0.37037,0.37757,0.37037,0.37449,0.00559,994400
1971-01-13,0.37449,0.38066,0.37449,0.37551,0.00561,1318400
1971-01-14,0.37551,0.37860,0.37449,0.37860,0.00565,1538400
1971-01-15,0.37860,0.38272,0.37449,0.38066,0.00568,3456800
1971-01-18,0.38066,0.39403,0.38066,0.39300,0.00587,3506400
1971-01-19,0.39300,0.39712,0.39095,0.39403,0.00588,1804800
1971-01-20,0.39403,0.39918,0.39198,0.39609,0.00591,1707200
1971-01-21,0.39609,0.40226,0.39095,0.40226,0.00600,4454400
1971-01-22,0.40844,0.41564,0.40844,0.41049,0.00613,4008000
1971-01-25,0.41049,0.41770,0.40741,0.41152,0.00614,3434400
1971-01-26,0.41152,0.41667,0.41152,0.41564,0.00620,2948000
1971-01-27,0.41152,0.41152,0.40741,0.40741,0.00608,2769600
1971-01-28,0.40741,0.41049,0.40535,0.40844,0.00610,1999200
1971-01-29,0.40946,0.41975,0.40946,0.41975,0.00627,2404800
1971-02-01,0.41975,0.41975,0.41564,0.41975,0.00627,2340000
1971-02-02,0.41975,0.42181,0.41667,0.42181,0.00630,1879200
1971-02-03,0.42181,0.42387,0.41872,0.42387,0.00633,1587200
1971-02-04,0.42387,0.42696,0.42284,0.42593,0.00636,1124000
1971-02-05,0.42593,0.44239,0.42490,0.44239,0.00660,2355200
1971-02-08,0.44239,0.44342,0.43518,0.44342,0.00662,1804800
1971-02-09,0.44342,0.44444,0.43827,0.43827,0.00654,2753600
1971-02-10,0.43827,0.44239,0.42181,0.44033,0.00657,2988000
1971-02-11,0.44033,0.44342,0.43724,0.43930,0.00656,1869600
1971-02-12,0.43930,0.44239,0.43827,0.44239,0.00660,1894400
1971-02-16,0.44239,0.44342,0.43930,0.44033,0.00657,2776800
1971-02-17,0.44033,0.44753,0.44033,0.44753,0.00668,777600
1971-02-18,0.44753,0.45062,0.44444,0.44547,0.00665,540800
1971-02-19,0.44547,0.44547,0.43827,0.44342,0.00662,1529600
1971-02-22,0.44136,0.44136,0.43621,0.43621,0.00651,777600
1971-02-23,0.43621,0.44342,0.42490,0.44342,0.00662,2988000
1971-02-24,0.44547,0.45370,0.44547,0.45062,0.00673,1879200
1971-02-25,0.45062,0.45268,0.44856,0.45062,0.00673,1004000
1971-02-26,0.45062,0.45988,0.44959,0.45679,0.00682,3579200
1971-03-01,0.45679,0.47531,0.45268,0.47531,0.00710,7532000
1971-03-02,0.47531,0.47942,0.47119,0.47942,0.00716,2549600
1971-03-03,0.47942,0.48148,0.47634,0.47737,0.00713,2776800
1971-03-04,0.47737,0.48765,0.46914,0.48457,0.00723,5815200
1971-03-05,0.48560,0.49177,0.48560,0.48868,0.00730,3408800
1971-03-08,0.49074,0.50412,0.49074,0.50206,0.00750,4623200
1971-03-09,0.50617,0.52984,0.50617,0.51955,0.00776,3871200
1971-03-10,0.51955,0.53086,0.51955,0.51955,0.00776,4056800
1971-03-11,0.51955,0.52469,0.50206,0.50412,0.00753,4688000
1971-03-12,0.50412,0.50412,0.49897,0.50412,0.00753,2549600
1971-03-15,0.50412,0.52366,0.50309,0.52160,0.00779,1238400
1971-03-16,0.52160,0.52881,0.52058,0.52469,0.00783,3628800
1971-03-17,0.52469,0.52881,0.52160,0.52881,0.00789,1652000
1971-03-18,0.52881,0.53086,0.52469,0.52572,0.00785,436800
1971-03-19,0.52572,0.53704,0.52469,0.53704,0.00802,2235200
1971-03-22,0.53704,0.54115,0.53292,0.53704,0.00802,687200
1971-03-23,0.53704,0.54218,0.53189,0.54218,0.00809,1221600
1971-03-24,0.53910,0.53910,0.52881,0.52881,0.00789,2242400
1971-03-25,0.52881,0.53601,0.52675,0.53292,0.00796,5393600
1971-03-26,0.53292,0.54321,0.53292,0.54321,0.00811,955200
1971-03-29,0.54527,0.55967,0.54527,0.55556,0.00829,1432800
1971-03-30,0.55556,0.57407,0.55350,0.55967,0.00836,2948000
1971-03-31,0.55967,0.56790,0.55556,0.56379,0.00842,2452800
1971-04-01,0.56379,0.56482,0.55658,0.56379,0.00842,5037600
1971-04-02,0.56379,0.57510,0.56379,0.57510,0.00859,4212000
1971-04-05,0.57510,0.58025,0.57202,0.57716,0.00862,5393600
1971-04-06,0.57716,0.57819,0.56790,0.56790,0.00848,3060800
1971-04-07,0.56790,0.58642,0.56687,0.57819,0.00863,6657600
1971-04-08,0.57819,0.58333,0.57613,0.58333,0.00871,3482400
1971-04-12,0.58436,0.59362,0.58436,0.59054,0.00882,1432800
1971-04-13,0.59054,0.60288,0.59054,0.60288,0.00900,2040800
1971-04-14,0.60082,0.60082,0.59671,0.59979,0.00895,2452800
1971-04-15,0.59979,0.60288,0.59054,0.59156,0.00883,2016000
1971-04-16,0.59156,0.59259,0.58539,0.59259,0.00885,777600
1971-04-19,0.59259,0.60802,0.59259,0.60597,0.00905,1140800
1971-04-20,0.60597,0.61111,0.59876,0.59979,0.00895,3644000
1971-04-21,0.59979,0.60494,0.59465,0.60391,0.00902,3888000
1971-04-22,0.60082,0.60082,0.59671,0.59671,0.00891,540800
1971-04-23,0.59671,0.59979,0.59465,0.59671,0.00891,631200
1971-04-26,0.59671,0.61317,0.59568,0.61317,0.00915,1068800
1971-04-27,0.61317,0.61934,0.60700,0.61728,0.00922,3093600
1971-04-28,0.61728,0.63580,0.61728,0.63169,0.00943,2793600
1971-04-29,0.63169,0.63786,0.62140,0.62243,0.00929,2728800
1971-04-30,0.62140,0.62140,0.61317,0.61728,0.00922,4299200
1971-05-03,0.61728,0.61728,0.60905,0.61728,0.00922,3060800
1971-05-04,0.61728,0.61728,0.61317,0.61728,0.00922,3214400
1971-05-05,0.61523,0.61523,0.60905,0.61111,0.00912,1659200
1971-05-06,0.61420,0.62346,0.61420,0.62346,0.00931,1124000
1971-05-07,0.62346,0.62346,0.61831,0.62140,0.00928,1246400
1971-05-10,0.61934,0.61934,0.60391,0.61008,0.00911,1562400
1971-05-11,0.61008,0.61626,0.61008,0.61420,0.00917,1044000
1971-05-12,0.61420,0.62449,0.61111,0.62140,0.00928,1707200
1971-05-13,0.62551,0.64198,0.62551,0.63992,0.00955,2721600
1971-05-14,0.64609,0.66461,0.64609,0.65741,0.00981,3304800
1971-05-17,0.65741,0.65741,0.63374,0.63580,0.00949,1027200
1971-05-18,0.63580,0.63889,0.62346,0.63580,0.00949,2873600
1971-05-19,0.63580,0.63992,0.63374,0.63992,0.00955,1756800
1971-05-20,0.63992,0.64198,0.63580,0.63889,0.00954,777600
1971-05-21,0.63889,0.63992,0.63477,0.63683,0.00951,929600
1971-05-24,0.63683,0.63992,0.63683,0.63786,0.00952,363200
1971-05-25,0.63786,0.64095,0.63477,0.64095,0.00957,518400
1971-05-26,0.64095,0.64198,0.63889,0.64198,0.00958,1221600
1971-05-27,0.64198,0.64609,0.63992,0.64609,0.00964,1505600
1971-05-28,0.64609,0.65021,0.64403,0.65021,0.00971,881600
1971-06-01,0.65021,0.65844,0.65021,0.65844,0.00983,1238400
1971-06-02,0.66667,0.68724,0.66667,0.68724,0.01026,3279200
1971-06-03,0.68724,0.71193,0.68313,0.71193,0.01063,2825600
1971-06-04,0.70679,0.70679,0.68107,0.68518,0.01023,4519200
1971-06-07,0.68518,0.68930,0.68518,0.68724,0.01026,655200
1971-06-08,0.68724,0.69444,0.67901,0.67901,0.01014,2582400
1971-06-09,0.67798,0.67798,0.66872,0.67490,0.01008,2624000
1971-06-10,0.67490,0.68621,0.67284,0.68621,0.01024,1286400
1971-06-11,0.68210,0.68210,0.67284,0.68210,0.01018,1918400
1971-06-14,0.68518,0.68518,0.67438,0.68518,0.01023,4244000
1971-06-15,0.68518,0.70833,0.68056,0.70833,0.01057,1166400
1971-06-16,0.70988,0.74074,0.70988,0.72531,0.01083,3401600
1971-06-17,0.72531,0.73148,0.71914,0.72222,0.01078,2121600
1971-06-18,0.72222,0.72222,0.66667,0.68364,0.01021,8294400
1971-06-21,0.67901,0.67901,0.64198,0.64969,0.00970,3449600
1971-06-22,0.64969,0.68827,0.64198,0.66204,0.00988,5847200
1971-06-23,0.66358,0.67901,0.66358,0.67438,0.01007,2704800
