Date,Open,High,Low,Close,Adj Close,Volume
1993-03-19,0.66941,0.71331,0.63649,0.65295,0.39278,45022000
1993-03-22,0.63649,0.64198,0.62003,0.62551,0.37628,6799900
1993-03-23,0.62551,0.63649,0.62003,0.62551,0.37628,4150500
1993-03-24,0.63649,0.64198,0.62003,0.63649,0.38288,1831500
1993-03-25,0.64746,0.66941,0.64198,0.66392,0.39938,2125000
1993-03-26,0.66941,0.70782,0.66392,0.68587,0.41259,4157200
1993-03-29,0.69684,0.69684,0.68587,0.69136,0.41589,3681400
1993-03-30,0.69136,0.70782,0.68038,0.70233,0.42249,1904400
1993-03-31,0.71331,0.71331,0.69136,0.70782,0.42579,1660500
1993-04-01,0.69684,0.71331,0.69136,0.70233,0.42249,710700
1993-04-02,0.71331,0.71331,0.69136,0.71331,0.42909,951900
1993-04-05,0.71331,0.71331,0.69136,0.70782,0.42579,220600
1993-04-06,0.70233,0.70782,0.69136,0.69136,0.41589,437400
1993-04-07,0.70782,0.70782,0.69136,0.70782,0.42579,683200
1993-04-08,0.70782,0.71331,0.69136,0.71331,0.42909,473800
1993-04-12,0.71331,0.71331,0.69684,0.69684,0.41919,93100
1993-04-13,0.71331,0.74623,0.70233,0.72428,0.43569,1011300
1993-04-14,0.72428,0.78464,0.72428,0.75172,0.45220,3093400
1993-04-15,0.75720,0.75720,0.71331,0.72428,0.43569,1772100
1993-04-16,0.73525,0.74074,0.72428,0.73525,0.44229,1031500
1993-04-19,0.73525,0.73525,0.70782,0.71331,0.42909,835600
1993-04-20,0.71331,0.71331,0.69136,0.71331,0.42909,1179900
1993-04-21,0.70233,0.75720,0.69136,0.74074,0.44559,1582800
1993-04-22,0.74623,0.80110,0.73525,0.77915,0.46870,1491700
1993-04-23,0.80110,0.82304,0.77915,0.82304,0.49510,933700
1993-04-26,0.81207,0.84499,0.79012,0.82853,0.49840,1760500
1993-04-27,0.82853,0.86694,0.81756,0.86694,0.52151,1458000
1993-04-28,0.86694,0.93278,0.86694,0.92181,0.55452,3950100
1993-04-29,0.92181,0.93278,0.83402,0.87792,0.52811,4106800
1993-04-30,0.89986,0.93278,0.87792,0.93278,0.56112,2608200
1993-05-03,0.92181,0.94376,0.92181,0.94376,0.56772,897300
1993-05-04,0.93278,0.94376,0.89986,0.89986,0.54131,806100
1993-05-05,0.89986,0.93278,0.89986,0.91084,0.54792,512200
1993-05-06,0.93278,0.93278,0.91084,0.93278,0.56112,77100
1993-05-07,0.93278,0.98765,0.93278,0.97668,0.58752,947700
1993-05-10,0.97668,1.03155,0.97668,1.03155,0.62053,2949700
1993-05-11,1.03155,1.03155,0.99863,1.03155,0.62053,1423500
1993-05-12,1.03155,1.03155,1.00960,1.03155,0.62053,926700
1993-05-13,1.03155,1.03155,0.97668,0.97668,0.58752,1286700
1993-05-14,0.97668,1.00960,0.97668,0.98765,0.59412,1163700
1993-05-17,0.98765,1.03155,0.98765,1.02058,0.61393,297900
1993-05-18,1.03155,1.06447,1.03155,1.06447,0.64034,965800
1993-05-19,1.06447,1.06447,1.04252,1.04252,0.62713,1004400
1993-05-20,1.07545,1.07545,1.04252,1.05350,0.63373,492000
1993-05-21,1.07545,1.07545,1.04252,1.07545,0.64694,184200
1993-05-24,1.06447,1.06447,0.98765,1.00412,0.60403,794700
1993-05-25,0.99863,1.00960,0.99863,1.00960,0.60733,585100
1993-05-26,0.99863,1.03155,0.99863,1.03155,0.62053,202500
1993-05-27,1.01509,1.03155,0.99863,1.02058,0.61393,801900
1993-05-28,0.99863,1.02058,0.99863,1.02058,0.61393,111300
1993-06-01,0.99863,1.02058,0.99863,0.99863,0.60073,218700
1993-06-02,1.02058,1.02058,0.99863,0.99863,0.60073,65700
1993-06-03,0.99863,1.02058,0.99863,0.99863,0.60073,209400
1993-06-04,0.99863,1.02058,0.92181,0.94376,0.56772,1357600
1993-06-07,0.94376,0.96571,0.93278,0.96571,0.58092,1177300
1993-06-08,0.94376,0.94376,0.85597,0.88889,0.53471,2519200
1993-06-09,0.92181,0.94376,0.88889,0.92181,0.55452,1134100
1993-06-10,0.92181,0.95473,0.92181,0.94376,0.56772,202500
1993-06-11,0.97668,1.03155,0.96571,1.03155,0.62053,671500
1993-06-14,1.03155,1.07545,1.00960,1.06447,0.64034,3587500
1993-06-15,1.07545,1.08642,1.05350,1.07545,0.64694,1057000
1993-06-16,1.08642,1.17421,1.07545,1.16324,0.69975,2473800
1993-06-17,1.15226,1.16324,1.14129,1.16324,0.69975,2917900
1993-06-18,1.14129,1.16324,1.14129,1.15775,0.69645,441600
1993-06-21,1.18518,1.25103,1.15226,1.22908,0.73936,958600
1993-06-22,1.25103,1.33882,1.20713,1.21811,0.73275,2223400
1993-06-23,1.27298,1.27298,1.24006,1.27298,0.76576,2177700
1993-06-24,1.27298,1.34979,1.22908,1.31687,0.79217,810900
1993-06-25,1.33882,1.33882,1.30590,1.30590,0.78556,1394100
1993-06-28,1.31139,1.32785,1.30590,1.30590,0.78556,382600
1993-06-29,1.32785,1.32785,1.27298,1.27298,0.76576,348300
1993-06-30,1.25103,1.28395,1.25103,1.28395,0.77236,104500
1993-07-01,1.25103,1.27298,1.25103,1.25103,0.75256,124800
1993-07-02,1.28395,1.28395,1.24006,1.27298,0.76576,760600
1993-07-06,1.24006,1.27298,1.24006,1.24006,0.74596,163900
1993-07-07,1.27298,1.27298,1.22908,1.22908,0.73936,373500
1993-07-08,1.22908,1.26200,1.22908,1.26200,0.75916,446400
1993-07-09,1.26200,1.26200,1.22908,1.25103,0.75256,432600
1993-07-12,1.27298,1.27298,1.22908,1.26200,0.75916,692500
1993-07-13,1.26200,1.26200,1.22908,1.22908,0.73936,817300
1993-07-14,1.30590,1.36077,1.26749,1.32785,0.79877,11782300
1993-07-15,1.32785,1.33882,1.27298,1.29492,0.77896,2544300
1993-07-16,1.27298,1.29492,1.19616,1.20713,0.72615,2788300
1993-07-19,1.20713,1.22908,1.17421,1.17421,0.70635,906400
1993-07-20,1.20713,1.20713,1.16324,1.16324,0.69975,7733700
1993-07-21,1.16324,1.20713,1.16324,1.20713,0.72615,314100
1993-07-22,1.20713,1.22908,1.17421,1.22908,0.73936,2471400
1993-07-23,1.22908,1.22908,1.20713,1.20713,0.72615,7686100
1993-07-26,1.20713,1.25103,1.20713,1.25103,0.75256,1965600
1993-07-27,1.25103,1.25103,1.21811,1.25103,0.75256,2434900
1993-07-28,1.25103,1.25103,1.21811,1.21811,0.73275,18100
1993-07-29,1.21811,1.26200,1.21811,1.22908,0.73936,4638100
1993-07-30,1.25103,1.27298,1.22908,1.25103,0.75256,701500
1993-08-02,1.22908,1.28395,1.22908,1.28395,0.77236,2270800
1993-08-03,1.24006,1.28395,1.24006,1.24006,0.74596,163900
1993-08-04,1.28395,1.28395,1.24006,1.28395,0.77236,60900
1993-08-05,1.28395,1.29492,1.25103,1.28395,0.77236,437400
1993-08-06,1.26200,1.34979,1.26200,1.34979,0.81197,710700
1993-08-09,1.34979,1.34979,1.30590,1.31687,0.79217,548700
1993-08-10,1.31687,1.36077,1.31687,1.34431,0.80867,1131900
1993-08-11,1.36077,1.37174,1.29492,1.29492,0.77896,1685700
1993-08-12,1.31687,1.50343,1.31687,1.47051,0.88459,8321500
1993-08-13,1.53635,1.65706,1.50343,1.59671,0.96050,3649200
1993-08-16,1.60220,1.63512,1.56927,1.62414,0.97700,1482400
1993-08-17,1.62414,1.63512,1.58025,1.62414,0.97700,0
1993-08-18,1.63512,1.68999,1.62414,1.68999,1.01661,6574500
1993-08-19,1.74486,1.74486,1.68999,1.70645,1.02652,3294000
1993-08-20,1.68999,1.73388,1.66804,1.70096,1.02322,3924600
1993-08-23,1.71193,1.71193,1.66804,1.68999,1.01661,1239300
1993-08-24,1.66804,1.85460,1.66804,1.83265,1.10243,3009100
1993-08-25,1.87654,2.08505,1.85460,1.94239,1.16845,12196800
1993-08-26,1.97531,2.05213,1.92044,2.04115,1.22786,3323200
1993-08-27,2.04115,2.10700,2.00823,2.08505,1.25426,2831100
1993-08-30,2.08505,2.10700,2.00823,2.10700,1.26747,2173000
1993-08-31,2.08505,2.10700,2.01920,2.04115,1.22786,2097900
1993-09-01,2.00823,2.03018,1.83265,1.99726,1.20145,5745100
1993-09-02,1.99726,2.09602,1.97531,2.07407,1.24766,11365200
1993-09-03,2.10700,2.21674,2.09602,2.17284,1.30708,6499000
1993-09-07,2.19479,2.29355,2.18381,2.24966,1.35328,3781500
1993-09-08,2.17284,2.20576,2.10700,2.15089,1.29387,3717900
1993-09-09,2.12894,2.15089,2.05213,2.10700,1.26747,3567300
1993-09-10,2.09602,2.12894,2.09602,2.11248,1.27077,3286800
1993-09-13,2.12894,2.15089,2.08505,2.09602,1.26086,1628200
1993-09-14,2.15089,2.15089,1.97531,2.10700,1.26747,2202400
1993-09-15,2.10700,2.12894,1.96434,2.10700,1.26747,4436100
1993-09-16,2.12894,2.17284,2.06310,2.06310,1.24106,1970200
1993-09-17,2.06310,2.08505,2.01920,2.07407,1.24766,1856200
1993-09-20,2.10700,2.17284,2.06310,2.10700,1.26747,2004900
1993-09-21,2.15089,2.17284,2.04115,2.12894,1.28067,3564900
1993-09-22,2.17284,2.17284,2.10700,2.13992,1.28727,2264100
1993-09-23,2.17284,2.17284,2.06310,2.15089,1.29387,1988500
1993-09-24,2.10700,2.17284,2.10700,2.12894,1.28067,1612800
1993-09-27,2.10700,2.17284,2.08505,2.08505,1.25426,3817900
1993-09-28,2.08505,2.12894,2.01920,2.06310,1.24106,1988500
1993-09-29,2.06310,2.26063,2.01920,2.23868,1.34668,12080400
1993-09-30,2.34842,2.34842,2.19479,2.28258,1.37309,5016700
1993-10-01,2.28258,2.39232,2.21674,2.39232,1.43910,5592300
1993-10-04,2.39232,2.43621,2.28258,2.28258,1.37309,1642200
1993-10-05,2.32648,2.32648,2.12894,2.28258,1.37309,2595300
1993-10-06,2.28258,2.32648,2.26063,2.28258,1.37309,3184600
1993-10-07,2.32648,2.32648,2.26063,2.30453,1.38629,1836000
1993-10-08,2.26063,2.45816,2.26063,2.43621,1.46551,4521700
