Date,Open,High,Low,Close,Adj Close,Volume
1973-05-02,0.00000,0.35156,0.35156,0.35156,0.17349,947200
1973-05-03,0.00000,0.35938,0.35156,0.35156,0.17349,1497600
1973-05-04,0.00000,0.38477,0.37695,0.37695,0.18602,2316800
1973-05-07,0.00000,0.37891,0.37109,0.37109,0.18313,793600
1973-05-08,0.00000,0.38281,0.37500,0.37500,0.18506,1331200
1973-05-09,0.00000,0.37891,0.37109,0.37109,0.18313,1049600
1973-05-10,0.00000,0.37500,0.36719,0.36719,0.18120,1292800
1973-05-11,0.00000,0.35352,0.34570,0.34570,0.17060,1100800
1973-05-14,0.00000,0.33203,0.32422,0.32422,0.16000,2355200
1973-05-15,0.00000,0.34766,0.33984,0.33984,0.16771,1395200
1973-05-16,0.00000,0.36328,0.35547,0.35547,0.17542,1344000
1973-05-17,0.00000,0.35547,0.34766,0.34766,0.17157,2726400
1973-05-18,0.00000,0.33594,0.32812,0.32812,0.16193,1459200
1973-05-21,0.00000,0.33203,0.32422,0.32422,0.16000,1766400
1973-05-22,0.00000,0.34375,0.33594,0.33594,0.16578,1702400
1973-05-23,0.00000,0.34375,0.33594,0.33594,0.16578,1472000
1973-05-24,0.00000,0.35938,0.35156,0.35156,0.17349,1216000
1973-05-25,0.00000,0.37500,0.36719,0.36719,0.18120,2009600
1973-05-29,0.00000,0.37500,0.36719,0.36719,0.18120,844800
1973-05-30,0.00000,0.35742,0.34961,0.34961,0.17253,1766400
1973-05-31,0.00000,0.35938,0.35156,0.35156,0.17349,1331200
1973-06-01,0.00000,0.35547,0.34766,0.34766,0.17157,1024000
1973-06-04,0.00000,0.33398,0.32617,0.32617,0.16096,1676800
1973-06-05,0.00000,0.35742,0.34961,0.34961,0.17253,2265600
1973-06-06,0.00000,0.35938,0.35156,0.35156,0.17349,3340800
1973-06-07,0.00000,0.36914,0.36133,0.36133,0.17831,1254400
1973-06-08,0.00000,0.37891,0.37109,0.37109,0.18313,1497600
1973-06-11,0.00000,0.36719,0.35938,0.35938,0.17735,729600
1973-06-12,0.00000,0.38281,0.37500,0.37500,0.18506,793600
1973-06-13,0.00000,0.38477,0.37695,0.37695,0.18602,755200
1973-06-14,0.00000,0.39062,0.38281,0.38281,0.18892,1280000
1973-06-15,0.00000,0.39062,0.38281,0.38281,0.18892,3020800
1973-06-18,0.00000,0.38281,0.37500,0.37500,0.18506,896000
1973-06-19,0.00000,0.37109,0.36328,0.36328,0.17928,2534400
1973-06-20,0.00000,0.36914,0.36133,0.36133,0.17831,819200
1973-06-21,0.00000,0.35938,0.35156,0.35156,0.17349,1536000
1973-06-22,0.00000,0.36719,0.35938,0.35938,0.17735,1612800
1973-06-25,0.00000,0.36133,0.35352,0.35352,0.17446,627200
1973-06-26,0.00000,0.36719,0.35938,0.35938,0.17735,1702400
1973-06-27,0.00000,0.37109,0.36328,0.36328,0.17928,294400
1973-06-28,0.00000,0.37500,0.36719,0.36719,0.18120,204800
1973-06-29,0.00000,0.37305,0.36523,0.36523,0.18024,832000
1973-07-02,0.00000,0.33984,0.33203,0.33203,0.16386,1792000
1973-07-03,0.00000,0.35547,0.34766,0.34766,0.17157,1408000
1973-07-05,0.00000,0.36914,0.36133,0.36133,0.17831,1241600
1973-07-06,0.00000,0.36914,0.36133,0.36133,0.17831,742400
1973-07-09,0.00000,0.37695,0.36914,0.36914,0.18217,1523200
1973-07-10,0.00000,0.38281,0.37500,0.37500,0.18506,2112000
1973-07-11,0.00000,0.38477,0.37695,0.37695,0.18602,1395200
1973-07-12,0.00000,0.38672,0.37891,0.37891,0.18699,320000
1973-07-13,0.00000,0.38281,0.37500,0.37500,0.18506,716800
1973-07-16,0.00000,0.38281,0.37500,0.37500,0.18506,652800
1973-07-17,0.00000,0.38477,0.37695,0.37695,0.18602,844800
1973-07-18,0.00000,0.39062,0.38281,0.38281,0.18892,1152000
1973-07-19,0.00000,0.39453,0.38672,0.38672,0.19084,716800
1973-07-20,0.00000,0.39062,0.38281,0.38281,0.18892,550400
1973-07-23,0.00000,0.38281,0.37500,0.37500,0.18506,2508800
1973-07-24,0.00000,0.38672,0.37891,0.37891,0.18699,1305600
1973-07-25,0.00000,0.39258,0.38477,0.38477,0.18988,1395200
1973-07-26,0.00000,0.39453,0.38672,0.38672,0.19084,409600
1973-07-27,0.00000,0.42383,0.41602,0.41602,0.20530,972800
1973-07-30,0.00000,0.43359,0.42578,0.42578,0.21012,1024000
1973-07-31,0.00000,0.42188,0.41406,0.41406,0.20434,908800
1973-08-01,0.00000,0.42188,0.41406,0.41406,0.20434,857600
1973-08-02,0.00000,0.42969,0.42188,0.42188,0.20819,691200
1973-08-03,0.00000,0.43750,0.42969,0.42969,0.21205,729600
1973-08-06,0.00000,0.44922,0.44141,0.44141,0.21783,716800
1973-08-07,0.00000,0.44141,0.43359,0.43359,0.21398,1945600
1973-08-08,0.00000,0.41797,0.41016,0.41016,0.20241,1574400
1973-08-09,0.00000,0.39453,0.38672,0.38672,0.19084,1548800
1973-08-10,0.00000,0.38281,0.37500,0.37500,0.18506,3084800
1973-08-13,0.00000,0.37891,0.36719,0.36719,0.18120,2457600
1973-08-14,0.00000,0.37500,0.36719,0.36719,0.18120,1177600
1973-08-15,0.00000,0.38281,0.37500,0.37500,0.18506,2022400
1973-08-16,0.00000,0.38477,0.37695,0.37695,0.18602,1113600
1973-08-17,0.00000,0.39062,0.38281,0.38281,0.18892,153600
1973-08-20,0.00000,0.38867,0.38086,0.38086,0.18795,486400
1973-08-21,0.00000,0.39062,0.38281,0.38281,0.18892,832000
1973-08-22,0.00000,0.41016,0.40234,0.40234,0.19855,1971200
1973-08-23,0.00000,0.42188,0.41406,0.41406,0.20434,1561600
1973-08-24,0.00000,0.41797,0.41016,0.41016,0.20241,1152000
1973-08-27,0.00000,0.41602,0.40820,0.40820,0.20144,332800
1973-08-28,0.00000,0.44141,0.43359,0.43359,0.21398,1971200
1973-08-29,0.00000,0.44727,0.43945,0.43945,0.21687,1190400
1973-08-30,0.00000,0.45312,0.44531,0.44531,0.21976,1203200
1973-08-31,0.00000,0.45703,0.44922,0.44922,0.22169,294400
1973-09-04,0.00000,0.46680,0.45898,0.45898,0.22651,1753600
1973-09-05,0.00000,0.48438,0.47656,0.47656,0.23518,1446400
1973-09-06,0.00000,0.47852,0.47070,0.47070,0.23229,2227200
1973-09-07,0.00000,0.47266,0.46484,0.46484,0.22940,985600
1973-09-10,0.00000,0.44727,0.43945,0.43945,0.21687,3904000
1973-09-11,0.00000,0.44922,0.44141,0.44141,0.21783,3276800
1973-09-12,0.00000,0.44141,0.43359,0.43359,0.21398,1203200
1973-09-13,0.00000,0.46484,0.45703,0.45703,0.22554,1420800
1973-09-14,0.00000,0.47266,0.46484,0.46484,0.22940,1062400
1973-09-17,0.00000,0.45703,0.44922,0.44922,0.22169,947200
1973-09-18,0.00000,0.45312,0.44531,0.44531,0.21976,1292800
1973-09-19,0.00000,0.46875,0.46094,0.46094,0.22747,1011200
1973-09-20,0.00000,0.48047,0.47266,0.47266,0.23325,678400
1973-09-21,0.00000,0.48242,0.47461,0.47461,0.23422,1113600
1973-09-24,0.00000,0.47070,0.46289,0.46289,0.22843,844800
1973-09-25,0.00000,0.46289,0.45508,0.45508,0.22458,640000
1973-09-26,0.00000,0.46094,0.45312,0.45312,0.22361,755200
1973-09-27,0.00000,0.46094,0.45312,0.45312,0.22361,640000
1973-09-28,0.00000,0.47461,0.46680,0.46680,0.23036,742400
1973-10-01,0.00000,0.48047,0.47266,0.47266,0.23325,947200
1973-10-02,0.00000,0.49609,0.48828,0.48828,0.24096,716800
1973-10-03,0.00000,0.49414,0.48633,0.48633,0.24000,1497600
1973-10-04,0.00000,0.47852,0.47070,0.47070,0.23229,1600000
1973-10-05,0.00000,0.47852,0.47070,0.47070,0.23229,2201600
1973-10-08,0.00000,0.47266,0.46484,0.46484,0.22940,320000
1973-10-09,0.00000,0.47266,0.46484,0.46484,0.22940,870400
1973-10-10,0.00000,0.46289,0.45508,0.45508,0.22458,627200
1973-10-11,0.00000,0.45312,0.44531,0.44531,0.21976,1753600
1973-10-12,0.00000,0.45117,0.44336,0.44336,0.21880,1139200
1973-10-15,0.00000,0.42969,0.42188,0.42188,0.20819,2444800
1973-10-16,0.00000,0.44336,0.43555,0.43555,0.21494,1625600
1973-10-17,0.00000,0.44531,0.43750,0.43750,0.21590,832000
1973-10-18,0.00000,0.45703,0.44922,0.44922,0.22169,844800
1973-10-19,0.00000,0.46094,0.45312,0.45312,0.22361,768000
1973-10-22,0.00000,0.46289,0.45508,0.45508,0.22458,358400
1973-10-23,0.00000,0.46680,0.45898,0.45898,0.22651,537600
1973-10-24,0.00000,0.47070,0.46289,0.46289,0.22843,1164800
1973-10-25,0.00000,0.47656,0.46875,0.46875,0.23132,1075200
1973-10-26,0.00000,0.47656,0.46875,0.46875,0.23132,614400
1973-10-29,0.00000,0.47070,0.46289,0.46289,0.22843,768000
1973-10-30,0.00000,0.46875,0.46094,0.46094,0.22747,409600
1973-10-31,0.00000,0.46875,0.46094,0.46094,0.22747,320000
1973-11-01,0.00000,0.47266,0.46484,0.46484,0.22940,320000
1973-11-02,0.00000,0.46680,0.45898,0.45898,0.22651,576000
1973-11-05,0.00000,0.46094,0.45312,0.45312,0.22361,1984000
1973-11-06,0.00000,0.45703,0.44922,0.44922,0.22169,371200
1973-11-07,0.00000,0.48047,0.47266,0.47266,0.23325,1868800
1973-11-08,0.00000,0.48242,0.47461,0.47461,0.23422,576000
1973-11-09,0.00000,0.46484,0.45703,0.45703,0.22554,704000
1973-11-12,0.00000,0.46094,0.45312,0.45312,0.22361,1472000
1973-11-13,0.00000,0.45898,0.45117,0.45117,0.22265,2086400
1973-11-14,0.00000,0.45703,0.44922,0.44922,0.22169,1228800
1973-11-15,0.00000,0.45898,0.45117,0.45117,0.22265,1433600
1973-11-16,0.00000,0.45117,0.44336,0.44336,0.21880,985600
1973-11-19,0.00000,0.41602,0.40820,0.40820,0.20144,1932800
1973-11-20,0.00000,0.42578,0.41797,0.41797,0.20626,1497600
1973-11-21,0.00000,0.45312,0.44531,0.44531,0.21976,1728000
1973-11-23,0.00000,0.45117,0.44336,0.44336,0.21880,307200
1973-11-26,0.00000,0.42578,0.41797,0.41797,0.20626,1958400
1973-11-27,0.00000,0.41406,0.40625,0.40625,0.20048,1638400
1973-11-28,0.00000,0.43750,0.42969,0.42969,0.21205,2304000
1973-11-29,0.00000,0.44531,0.43750,0.43750,0.21590,601600
1973-11-30,0.00000,0.43750,0.42969,0.42969,0.21205,1062400
1973-12-03,0.00000,0.42969,0.42188,0.42188,0.20819,409600
1973-12-04,0.00000,0.42773,0.41992,0.41992,0.20723,985600
1973-12-05,0.00000,0.41016,0.40234,0.40234,0.19855,1113600
1973-12-06,0.00000,0.41016,0.40234,0.40234,0.19855,3545600
1973-12-07,0.00000,0.41211,0.40430,0.40430,0.19952,3276800
1973-12-10,0.00000,0.40234,0.39453,0.39453,0.19470,1753600
1973-12-11,0.00000,0.39648,0.38867,0.38867,0.19181,1881600
1973-12-12,0.00000,0.37500,0.36719,0.36719,0.18120,2419200
1973-12-13,0.00000,0.37500,0.36719,0.36719,0.18120,1024000
1973-12-14,0.00000,0.39844,0.39062,0.39062,0.19277,1587200
1973-12-17,0.00000,0.40039,0.39258,0.39258,0.19373,1984000
1973-12-18,0.00000,0.40039,0.39258,0.39258,0.19373,2752000
1973-12-19,0.00000,0.39844,0.39062,0.39062,0.19277,1305600
1973-12-20,0.00000,0.39844,0.39062,0.39062,0.19277,576000
1973-12-21,0.00000,0.39453,0.38672,0.38672,0.19084,3609600
1973-12-24,0.00000,0.39062,0.38281,0.38281,0.18892,524800
1973-12-26,0.00000,0.39258,0.38477,0.38477,0.18988,2508800
1973-12-27,0.00000,0.37109,0.36328,0.36328,0.17928,2675200
1973-12-28,0.00000,0.38477,0.37695,0.37695,0.18602,1689600
1973-12-31,0.00000,0.39062,0.38281,0.38281,0.18892,1651200
1974-01-02,0.00000,0.39648,0.38867,0.38867,0.19181,3494400
1974-01-03,0.00000,0.40234,0.39453,0.39453,0.19470,1331200
1974-01-04,0.00000,0.38672,0.37891,0.37891,0.18699,1766400
1974-01-07,0.00000,0.37891,0.37109,0.37109,0.18313,4300800
1974-01-08,0.00000,0.36133,0.35352,0.35352,0.17446,1779200
1974-01-09,0.00000,0.35156,0.34375,0.34375,0.16964,1894400
1974-01-10,0.00000,0.36328,0.35547,0.35547,0.17542,870400
1974-01-11,0.00000,0.37109,0.36328,0.36328,0.17928,665600
1974-01-14,0.00000,0.37109,0.36328,0.36328,0.17928,563200
1974-01-15,0.00000,0.37500,0.36719,0.36719,0.18120,230400
1974-01-16,0.00000,0.38281,0.37500,0.37500,0.18506,371200
1974-01-17,0.00000,0.40039,0.39258,0.39258,0.19373,1164800
1974-01-18,0.00000,0.39453,0.38672,0.38672,0.19084,972800
1974-01-21,0.00000,0.39844,0.39062,0.39062,0.19277,550400
1974-01-22,0.00000,0.39453,0.38672,0.38672,0.19084,460800
1974-01-23,0.00000,0.39453,0.38672,0.38672,0.19084,396800
1974-01-24,0.00000,0.39453,0.38672,0.38672,0.19084,256000
1974-01-25,0.00000,0.37891,0.37109,0.37109,0.18313,486400
1974-01-28,0.00000,0.36719,0.35938,0.35938,0.17735,665600
1974-01-29,0.00000,0.37891,0.37109,0.37109,0.18313,857600
1974-01-30,0.00000,0.37695,0.36914,0.36914,0.18217,1126400
1974-01-31,0.00000,0.37695,0.36914,0.36914,0.18217,550400
1974-02-01,0.00000,0.37305,0.36523,0.36523,0.18024,204800
1974-02-04,0.00000,0.37305,0.36523,0.36523,0.18024,1062400
1974-02-05,0.00000,0.36328,0.35547,0.35547,0.17542,1011200
1974-02-06,0.00000,0.35547,0.34766,0.34766,0.17157,2048000
1974-02-07,0.00000,0.35547,0.34766,0.34766,0.17157,1203200
