Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.93750,2.93750,2.93750,2.93750,0.64720,164400
1973-02-22,2.95833,2.95833,2.95833,2.95833,0.65180,188400
1973-02-23,2.95833,2.95833,2.95833,2.95833,0.65180,222000
1973-02-26,2.89583,2.89583,2.89583,2.89583,0.63802,61200
1973-02-27,2.79167,2.79167,2.79167,2.79167,0.61508,368400
1973-02-28,2.77083,2.77083,2.77083,2.77083,0.61048,414000
1973-03-01,2.62500,2.62500,2.62500,2.62500,0.57835,444000
1973-03-02,2.66667,2.66667,2.66667,2.66667,0.58753,109200
1973-03-05,2.80208,2.80208,2.80208,2.80208,0.61737,135600
1973-03-06,2.89583,2.89583,2.89583,2.89583,0.63802,202800
1973-03-07,2.86458,2.86458,2.86458,2.86458,0.63114,184800
1973-03-08,2.90625,2.90625,2.90625,2.90625,0.64032,64800
1973-03-09,2.80208,2.80208,2.80208,2.80208,0.61737,290400
1973-03-12,2.79167,2.79167,2.79167,2.79167,0.61508,312000
1973-03-13,2.77083,2.77083,2.77083,2.77083,0.61048,50400
1973-03-14,2.76042,2.76042,2.76042,2.76042,0.60819,73200
1973-03-15,2.66667,2.66667,2.66667,2.66667,0.58753,147600
1973-03-16,2.65625,2.65625,2.65625,2.65625,0.58524,73200
1973-03-19,2.67708,2.67708,2.67708,2.67708,0.58983,109200
1973-03-20,2.62500,2.62500,2.62500,2.62500,0.57835,169200
1973-03-21,2.62500,2.62500,2.62500,2.62500,0.57835,168000
1973-03-22,2.59375,2.59375,2.59375,2.59375,0.57147,108000
1973-03-23,2.58333,2.58333,2.58333,2.58333,0.56917,231600
1973-03-26,2.68750,2.68750,2.68750,2.68750,0.59212,80400
1973-03-27,2.71875,2.71875,2.71875,2.71875,0.59901,1088400
1973-03-28,2.76042,2.76042,2.76042,2.76042,0.60819,162000
1973-03-29,2.79167,2.79167,2.79167,2.79167,0.61508,124800
1973-03-30,2.79167,2.79167,2.79167,2.79167,0.61508,150000
1973-04-02,2.73958,2.73958,2.73958,2.73958,0.60360,97200
1973-04-03,2.71875,2.71875,2.71875,2.71875,0.59901,60000
1973-04-04,2.73958,2.73958,2.73958,2.73958,0.60360,54000
1973-04-05,2.73958,2.73958,2.73958,2.73958,0.60360,106800
1973-04-06,2.75000,2.75000,2.75000,2.75000,0.60589,97200
1973-04-09,2.73958,2.73958,2.73958,2.73958,0.60360,116400
1973-04-10,2.69792,2.69792,2.69792,2.69792,0.59442,322800
1973-04-11,2.85417,2.85417,2.85417,2.85417,0.62884,346800
1973-04-12,2.90625,2.90625,2.90625,2.90625,0.64032,164400
1973-04-13,2.90625,2.90625,2.90625,2.90625,0.64032,183600
1973-04-16,2.89583,2.89583,2.89583,2.89583,0.63802,69600
1973-04-17,2.93750,2.93750,2.93750,2.93750,0.64720,213600
1973-04-18,2.93750,2.93750,2.93750,2.93750,0.64720,52800
1973-04-19,3.10417,3.10417,3.10417,3.10417,0.68393,348000
1973-04-23,3.02083,3.02083,3.02083,3.02083,0.66557,175200
1973-04-24,2.88542,2.88542,2.88542,2.88542,0.63573,327600
1973-04-25,2.83333,2.83333,2.83333,2.83333,0.62426,164400
1973-04-26,2.89583,2.89583,2.89583,2.89583,0.63802,489600
1973-04-27,2.83333,2.83333,2.83333,2.83333,0.62426,118800
1973-04-30,2.90625,2.90625,2.90625,2.90625,0.64032,44400
1973-05-01,2.87500,2.87500,2.87500,2.87500,0.63344,44400
1973-05-02,2.84375,2.84375,2.84375,2.84375,0.62655,90000
1973-05-03,0.00000,2.89583,2.77083,2.87500,0.63344,256800
1973-05-04,0.00000,2.89583,2.83333,2.83333,0.62426,84000
1973-05-07,0.00000,2.87500,2.81250,2.85417,0.62884,145200
1973-05-08,0.00000,2.88542,2.83333,2.87500,0.63344,158400
1973-05-09,0.00000,2.89583,2.77083,2.79167,0.61508,141600
1973-05-10,0.00000,2.85417,2.76042,2.83333,0.62426,88800
1973-05-11,0.00000,2.95833,2.83333,2.95833,0.65180,103200
1973-05-14,0.00000,2.94792,2.85417,2.85417,0.62884,33600
1973-05-15,0.00000,2.84375,2.76042,2.83333,0.62426,106800
1973-05-16,0.00000,2.89583,2.84375,2.84375,0.62655,22800
1973-05-17,0.00000,2.90625,2.87500,2.89583,0.63802,48000
1973-05-18,0.00000,2.93750,2.80208,2.80208,0.61737,117600
1973-05-21,0.00000,2.81250,2.76042,2.79167,0.61508,57600
1973-05-22,0.00000,2.89583,2.83333,2.83333,0.62426,55200
1973-05-23,0.00000,2.89583,2.83333,2.87500,0.63344,39600
1973-05-24,0.00000,2.93750,2.87500,2.93750,0.64720,189600
1973-05-25,0.00000,3.12500,2.97917,3.11458,0.68622,250800
1973-05-29,0.00000,3.20833,3.10417,3.16667,0.69770,150000
1973-05-30,0.00000,3.12500,2.97917,2.97917,0.65639,328800
1973-05-31,0.00000,3.00000,2.95833,3.00000,0.66098,602400
1973-06-01,0.00000,3.02083,2.94792,2.94792,0.64950,262800
1973-06-04,0.00000,2.92708,2.83333,2.83333,0.62426,51600
1973-06-05,0.00000,2.91667,2.83333,2.87500,0.63344,68400
1973-06-06,0.00000,2.93750,2.88542,2.89583,0.63802,102000
1973-06-07,0.00000,2.91667,2.87500,2.91667,0.64262,13200
1973-06-08,0.00000,2.97917,2.93750,2.95833,0.65180,274800
1973-06-11,0.00000,2.98958,2.95833,2.98958,0.65868,259200
1973-06-12,0.00000,3.02083,2.91667,3.02083,0.66557,174000
1973-06-13,0.00000,3.02083,2.95833,2.95833,0.65180,40800
1973-06-14,0.00000,2.97917,2.95833,2.97917,0.65639,27600
1973-06-15,0.00000,2.93750,2.89583,2.91667,0.64262,52800
1973-06-18,0.00000,2.91667,2.89583,2.89583,0.63802,14400
1973-06-19,0.00000,2.90625,2.80208,2.82292,0.62196,42000
1973-06-20,0.00000,2.85417,2.78125,2.79167,0.61508,49200
1973-06-21,0.00000,2.84375,2.77083,2.77083,0.61048,128400
1973-06-22,0.00000,2.83333,2.79167,2.79167,0.61508,168000
