Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,6.03125,6.06250,6.00000,6.03125,1.32623,244800
1970-12-16,6.03125,6.06250,5.99219,6.03906,1.32795,185600
1970-12-17,6.03906,6.05469,6.02344,6.03906,1.32795,110400
1970-12-18,6.03906,6.06250,6.03125,6.06250,1.33310,184000
1970-12-21,6.06250,6.06250,5.93750,5.93750,1.30561,376000
1970-12-22,5.93750,6.00000,5.93750,5.98438,1.31592,348800
1970-12-23,5.98438,6.00000,5.95312,5.95312,1.30905,192000
1970-12-24,5.95312,5.99219,5.92188,5.96875,1.31248,259200
1970-12-28,5.96875,6.00000,5.94531,5.99219,1.31764,110400
1970-12-29,6.00781,6.08594,6.00781,6.08594,1.33825,224000
1970-12-30,6.08594,6.15625,6.08594,6.15625,1.35372,368000
1970-12-31,6.15625,6.18750,6.12500,6.18750,1.36059,160000
1971-01-04,6.14062,6.14062,6.05469,6.05469,1.33138,166400
1971-01-05,6.05469,6.10156,5.94531,6.10156,1.34169,160000
1971-01-06,6.10156,6.14062,6.07812,6.09375,1.33997,129600
1971-01-07,6.09375,6.12500,6.07812,6.07812,1.33654,179200
1971-01-08,6.07812,6.12500,6.03906,6.05469,1.33138,184000
1971-01-11,6.03906,6.03906,5.95312,5.99219,1.31764,278400
1971-01-12,5.99219,6.00000,5.99219,6.00000,1.31936,472000
1971-01-13,6.00000,6.03906,6.00000,6.00781,1.32107,467200
1971-01-14,6.00781,6.01562,5.98438,6.01562,1.32279,979200
1971-01-15,6.01562,6.03125,5.98438,6.02344,1.32451,304000
1971-01-18,6.02344,6.03906,6.00000,6.00000,1.31936,152000
1971-01-19,6.00000,6.02344,5.99219,6.02344,1.32451,196800
1971-01-20,6.02344,6.04688,6.00781,6.03125,1.32623,316800
1971-01-21,6.03125,6.07031,6.02344,6.06250,1.33310,315200
1971-01-22,6.06250,6.12500,6.06250,6.11719,1.34513,323200
1971-01-25,6.11719,6.15625,6.11719,6.15625,1.35372,219200
1971-01-26,6.15625,6.18750,6.13281,6.17188,1.35715,1094400
1971-01-27,6.17188,6.18750,6.08594,6.14844,1.35200,564800
1971-01-28,6.14844,6.17969,6.12500,6.13281,1.34856,329600
1971-01-29,6.14844,6.18750,6.14844,6.18750,1.36059,188800
1971-02-01,6.21094,6.25000,6.21094,6.22656,1.36918,568000
1971-02-02,6.22656,6.24219,6.18750,6.19531,1.36230,416000
1971-02-03,6.19531,6.36719,6.19531,6.36719,1.40010,416000
1971-02-04,6.36719,6.39062,6.27344,6.31250,1.38807,331200
1971-02-05,6.31250,6.32812,6.27344,6.27344,1.37948,480000
1971-02-08,6.27344,6.34375,6.25000,6.34375,1.39495,387200
1971-02-09,6.34375,6.37500,6.32031,6.35156,1.39666,316800
1971-02-10,6.35156,6.37500,6.28906,6.35938,1.39838,484800
1971-02-11,6.35938,6.40625,6.31250,6.40625,1.41513,219200
1971-02-12,6.40625,6.46875,6.39844,6.46875,1.42893,96000
