Date,Open,High,Low,Close,Adj Close,Volume
2013-06-17,43.20000,50.00000,43.20000,45.00000,45.00000,236700
2013-06-18,44.50000,45.00000,43.50000,44.00000,44.00000,1082600
2013-06-19,44.00000,44.05000,43.00000,43.10000,43.10000,540800
2013-06-20,43.00000,43.50000,42.00000,42.94000,42.94000,1013600
2013-06-21,43.29000,43.50000,42.04000,43.50000,43.50000,913700
2013-06-24,44.00000,44.00000,42.96000,43.50000,43.50000,272100
2013-06-25,43.50000,44.38000,42.71000,44.00000,44.00000,224300
2013-06-26,43.50000,45.47000,43.31000,44.10000,44.10000,1422800
2013-06-27,44.85000,45.50000,44.22000,44.95000,44.95000,612700
2013-06-28,45.49000,46.65000,44.10000,45.43000,45.43000,7775700
2013-07-01,45.94000,46.43000,43.75000,44.00000,44.00000,5787000
2013-07-02,43.66000,45.26000,41.85000,42.26000,42.26000,6730400
2013-07-03,42.00000,43.10000,41.20000,43.10000,43.10000,5069300
2013-07-05,42.26000,44.32000,42.26000,44.23000,44.23000,1754500
2013-07-08,43.25000,44.27000,41.50000,43.01000,43.01000,4796400
2013-07-09,42.50000,43.51000,42.10000,43.27000,43.27000,4196300
2013-07-10,42.81000,42.83000,41.18000,42.12000,42.12000,5929100
2013-07-11,42.15000,42.57000,42.04000,42.40000,42.40000,2292300
2013-07-12,42.00000,42.44000,41.66000,41.96000,41.96000,1226900
2013-07-15,41.82000,42.03000,41.31000,41.87000,41.87000,1182200
2013-07-16,41.87000,41.87000,41.00000,41.51000,41.51000,1452700
2013-07-17,41.50000,42.05000,41.35000,41.93000,41.93000,687000
2013-07-18,41.93000,43.48000,41.53000,43.09000,43.09000,1417300
2013-07-19,43.39000,44.32000,42.85000,43.48000,43.48000,1329900
2013-07-22,43.20000,43.74000,43.01000,43.51000,43.51000,1226400
2013-07-23,43.30000,44.50000,43.23000,44.00000,44.00000,735000
2013-07-24,43.97000,44.40000,43.50000,43.98000,43.98000,889100
2013-07-25,43.67000,44.65000,43.67000,44.38000,44.38000,862000
2013-07-26,44.16000,45.56000,43.78000,45.05000,45.05000,740200
2013-07-29,45.35000,46.66000,45.00000,46.20000,46.20000,1976100
2013-07-30,46.07000,47.23000,45.73000,47.16000,47.16000,1033599
2013-07-31,47.25000,47.68000,45.63000,45.89000,45.89000,1145400
2013-08-01,46.26000,48.26000,46.08000,46.22000,46.22000,974400
2013-08-02,46.47000,46.56000,44.92000,45.83000,45.83000,539600
2013-08-05,45.51000,46.00000,45.00000,45.14000,45.14000,388700
2013-08-06,45.10000,45.20000,43.83000,44.36000,44.36000,821300
2013-08-07,44.04000,44.86000,44.02000,44.78000,44.78000,373900
2013-08-08,44.85000,46.05000,44.83000,45.92000,45.92000,947000
2013-08-09,45.00000,45.77000,44.51000,45.36000,45.36000,914800
2013-08-12,44.55000,45.57000,44.32000,45.32000,45.32000,538300
2013-08-13,45.13000,45.28000,44.21000,44.66000,44.66000,1236500
2013-08-14,44.51000,44.60000,44.00000,44.11000,44.11000,547600
2013-08-15,43.85000,44.52000,42.79000,42.89000,42.89000,734600
2013-08-16,42.75000,42.83000,42.16000,42.69000,42.69000,486600
2013-08-19,42.58000,43.55000,42.50000,42.82000,42.82000,343500
2013-08-20,42.98000,43.25000,42.70000,43.00000,43.00000,313700
2013-08-21,42.74000,43.25000,42.02000,42.50000,42.50000,335600
2013-08-22,42.35000,42.57000,42.02000,42.50000,42.50000,457400
2013-08-23,42.43000,42.96000,42.12000,42.33000,42.33000,268200
2013-08-26,42.26000,43.15000,42.21000,42.66000,42.66000,286400
2013-08-27,42.51000,42.74000,42.06000,42.64000,42.64000,320700
2013-08-28,43.11000,44.69000,42.40000,43.98000,43.98000,643700
2013-08-29,44.00000,44.23000,43.45000,44.07000,44.07000,240300
2013-08-30,41.89000,44.17000,41.89000,43.65000,43.65000,452100
2013-09-03,43.75000,44.87000,43.09000,44.62000,44.62000,692500
2013-09-04,44.38000,45.78000,44.26000,45.02000,45.02000,552400
2013-09-05,44.90000,46.57000,44.71000,46.10000,46.10000,840700
2013-09-06,45.97000,48.06000,45.62000,46.84000,46.84000,1195400
2013-09-09,46.76000,47.06000,44.73000,46.58000,46.58000,970700
2013-09-10,45.98000,46.61000,45.37000,45.40000,45.40000,667600
2013-09-11,45.09000,45.27000,44.39000,44.90000,44.90000,577900
2013-09-12,44.74000,45.05000,44.05000,44.46000,44.46000,593600
2013-09-13,44.36000,44.50000,43.50000,43.60000,43.60000,565100
2013-09-16,43.79000,43.99000,43.02000,43.26000,43.26000,705700
2013-09-17,43.20000,43.75000,43.02000,43.34000,43.34000,482300
2013-09-18,43.22000,43.59000,42.55000,43.10000,43.10000,570800
2013-09-19,43.28000,43.42000,42.52000,42.68000,42.68000,681700
2013-09-20,43.00000,43.67000,42.58000,43.05000,43.05000,1633600
2013-09-23,43.05000,43.43000,42.37000,42.58000,42.58000,388500
2013-09-24,42.55000,42.96000,42.25000,42.31000,42.31000,449400
2013-09-25,42.41000,43.70000,42.08000,43.60000,43.60000,588200
2013-09-26,43.55000,44.72000,43.37000,44.17000,44.17000,481700
2013-09-27,43.94000,44.23000,43.02000,43.57000,43.57000,687800
2013-09-30,43.28000,44.11000,43.05000,44.09000,44.09000,489600
2013-10-01,44.35000,44.86000,43.71000,43.89000,43.89000,561600
2013-10-02,44.00000,45.23000,43.91000,44.92000,44.92000,1190200
2013-10-03,44.91000,45.20000,44.00000,44.29000,44.29000,2475000
2013-10-04,44.43000,44.73000,44.14000,44.50000,44.50000,305600
2013-10-07,44.33000,44.80000,43.76000,43.97000,43.97000,370000
2013-10-08,43.98000,43.98000,43.21000,43.44000,43.44000,355200
2013-10-09,43.01000,43.75000,42.74000,43.52000,43.52000,563600
2013-10-10,43.75000,44.00000,43.29000,43.52000,43.52000,310500
2013-10-11,43.38000,43.83000,43.13000,43.73000,43.73000,572700
2013-10-14,43.71000,44.35000,43.71000,44.28000,44.28000,1013400
