Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,0.49609,0.50000,0.48698,0.50000,0.01347,4972800
1970-12-16,0.50000,0.50260,0.49219,0.49740,0.01340,1468800
1970-12-17,0.49740,0.50260,0.49479,0.50130,0.01351,2275200
1970-12-18,0.50130,0.50521,0.50000,0.50130,0.01351,2505600
1970-12-21,0.50130,0.50260,0.49740,0.50260,0.01354,3129600
1970-12-22,0.50260,0.50781,0.49740,0.50000,0.01347,3456000
1970-12-23,0.50000,0.50260,0.49219,0.50000,0.01347,3120000
1970-12-24,0.50000,0.50781,0.50000,0.50651,0.01365,3888000
1970-12-28,0.50651,0.50912,0.50521,0.50781,0.01368,595200
1970-12-29,0.50781,0.52344,0.50781,0.51953,0.01400,3955200
1970-12-30,0.51953,0.52344,0.51432,0.51693,0.01393,2476800
1970-12-31,0.51693,0.52083,0.51042,0.51562,0.01390,2294400
1971-01-04,0.51562,0.51823,0.50912,0.51042,0.01376,1843200
1971-01-05,0.51042,0.51432,0.50781,0.51042,0.01376,2092800
1971-01-06,0.51042,0.51172,0.50521,0.51042,0.01376,2908800
1971-01-07,0.51042,0.51042,0.50651,0.50651,0.01365,1257600
1971-01-08,0.50651,0.50781,0.50130,0.50130,0.01351,1065600
1971-01-11,0.50130,0.50391,0.49609,0.50260,0.01354,1478400
1971-01-12,0.50260,0.50391,0.49740,0.50260,0.01354,1353600
1971-01-13,0.50260,0.50521,0.49479,0.49479,0.01333,1948800
1971-01-14,0.49479,0.49479,0.48698,0.49088,0.01323,3139200
1971-01-15,0.49088,0.49479,0.48958,0.49479,0.01333,2361600
1971-01-18,0.49479,0.49740,0.49219,0.49609,0.01337,2505600
1971-01-19,0.49740,0.51172,0.49740,0.51172,0.01379,3532800
1971-01-20,0.51172,0.51302,0.50781,0.51302,0.01382,2380800
1971-01-21,0.51302,0.52083,0.51302,0.52083,0.01404,5164800
1971-01-22,0.52083,0.53385,0.51953,0.52865,0.01425,6441600
1971-01-25,0.52865,0.53255,0.52344,0.53125,0.01432,1276800
1971-01-26,0.53385,0.55469,0.53385,0.55469,0.01495,4694400
1971-01-27,0.55208,0.55208,0.53646,0.54427,0.01467,6086400
1971-01-28,0.54427,0.54427,0.53516,0.53906,0.01453,2390400
1971-01-29,0.53906,0.54557,0.53646,0.54557,0.01470,3532800
1971-02-01,0.54948,0.55859,0.54948,0.55729,0.01502,6614400
1971-02-02,0.55990,0.57292,0.55990,0.56771,0.01530,9225600
1971-02-03,0.56771,0.57031,0.56380,0.57031,0.01537,3705600
1971-02-04,0.57031,0.57682,0.57031,0.57031,0.01537,5836800
1971-02-05,0.56641,0.56641,0.55729,0.55859,0.01505,2812800
1971-02-08,0.55859,0.56510,0.55599,0.56510,0.01523,3158400
1971-02-09,0.56510,0.57422,0.56510,0.57292,0.01544,4492800
1971-02-10,0.57162,0.57162,0.56380,0.57162,0.01540,1344000
1971-02-11,0.57162,0.57422,0.56641,0.56901,0.01533,1651200
1971-02-12,0.56901,0.57162,0.56771,0.57031,0.01537,1852800
1971-02-16,0.57031,0.57292,0.56641,0.56641,0.01526,1814400
1971-02-17,0.56641,0.56771,0.56380,0.56641,0.01526,2448000
1971-02-18,0.56641,0.57162,0.56380,0.56641,0.01526,1411200
1971-02-19,0.56641,0.56901,0.56380,0.56641,0.01526,2361600
1971-02-22,0.56510,0.56510,0.55469,0.55729,0.01502,2736000
1971-02-23,0.55729,0.56380,0.55469,0.55990,0.01509,5779200
1971-02-24,0.55990,0.56380,0.55469,0.56120,0.01512,4204800
1971-02-25,0.56120,0.56120,0.55599,0.55599,0.01498,1104000
1971-02-26,0.55599,0.55859,0.55338,0.55469,0.01495,3187200
1971-03-01,0.55469,0.56250,0.55338,0.55990,0.01509,2092800
1971-03-02,0.55990,0.56250,0.55469,0.56250,0.01516,585600
1971-03-03,0.56250,0.56641,0.56250,0.56250,0.01516,1804800
1971-03-04,0.56250,0.56771,0.55859,0.56771,0.01530,3091200
1971-03-05,0.56771,0.57552,0.56510,0.57552,0.01551,7324800
