Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,1.29340,1.29861,1.28819,1.29167,0.29572,1022400
1970-12-16,1.29167,1.29340,1.28472,1.28993,0.29532,849600
1970-12-17,1.28993,1.30208,1.28819,1.30208,0.29810,676800
1970-12-18,1.30208,1.31771,1.28819,1.29167,0.29572,1382400
1970-12-21,1.29167,1.29688,1.28472,1.29167,0.29572,727200
1970-12-22,1.29167,1.29861,1.28125,1.28993,0.29532,1418400
1970-12-23,1.28993,1.29688,1.28819,1.29167,0.29572,1173600
1970-12-24,1.29167,1.30208,1.29167,1.29340,0.29612,748800
1970-12-28,1.29340,1.30556,1.29340,1.30382,0.29850,1166400
1970-12-29,1.31250,1.32812,1.31250,1.32292,0.30287,676800
1970-12-30,1.32292,1.35243,1.32292,1.35243,0.30963,871200
1970-12-31,1.35243,1.37500,1.35069,1.37500,0.31480,950400
1971-01-04,1.34722,1.34722,1.31597,1.31944,0.30208,1267200
1971-01-05,1.31944,1.32465,1.31597,1.31944,0.30208,424800
1971-01-06,1.31944,1.32118,1.31597,1.31944,0.30208,1029599
1971-01-07,1.31944,1.32465,1.31250,1.32118,0.30248,698400
1971-01-08,1.32118,1.32118,1.31076,1.31944,0.30208,1476000
1971-01-11,1.31944,1.32118,1.31250,1.32118,0.30248,633600
1971-01-12,1.32118,1.32986,1.32118,1.32986,0.30446,1166400
1971-01-13,1.32986,1.33333,1.32639,1.32986,0.30446,1000800
1971-01-14,1.32986,1.33681,1.32292,1.33681,0.30605,482400
1971-01-15,1.33854,1.36111,1.33854,1.35243,0.30963,1188000
1971-01-18,1.35243,1.35764,1.33507,1.33507,0.30565,4118399
1971-01-19,1.33507,1.34722,1.32465,1.34028,0.30685,712800
1971-01-20,1.34028,1.35069,1.33854,1.35069,0.30923,432000
1971-01-21,1.35069,1.36458,1.34896,1.36111,0.31162,1188000
1971-01-22,1.36458,1.37326,1.36458,1.36806,0.31321,1288800
1971-01-25,1.36806,1.37326,1.35069,1.35764,0.31082,1504800
1971-01-26,1.35764,1.36111,1.34722,1.35764,0.31082,3765600
1971-01-27,1.34722,1.34722,1.32292,1.33681,0.30605,1411200
1971-01-28,1.33681,1.35069,1.32986,1.33333,0.30526,756000
1971-01-29,1.33160,1.33160,1.31250,1.32292,0.30287,1411200
1971-02-01,1.32292,1.33333,1.31597,1.31944,0.30208,2304000
1971-02-02,1.32639,1.34375,1.32639,1.34028,0.30685,820800
