Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.08854,0.10156,0.08854,0.09722,0.06189,1031788800
1986-03-14,0.09722,0.10243,0.09722,0.10069,0.06410,308160000
1986-03-17,0.10069,0.10330,0.10069,0.10243,0.06521,133171200
1986-03-18,0.10243,0.10330,0.09896,0.09983,0.06355,67766400
1986-03-19,0.09983,0.10069,0.09722,0.09809,0.06245,47894400
1986-03-20,0.09809,0.09809,0.09462,0.09549,0.06079,58435200
1986-03-21,0.09549,0.09722,0.09115,0.09288,0.05913,59990400
1986-03-24,0.09288,0.09288,0.08941,0.09028,0.05747,65289600
1986-03-25,0.09028,0.09201,0.08941,0.09201,0.05858,32083200
1986-03-26,0.09201,0.09549,0.09115,0.09462,0.06024,22752000
1986-03-27,0.09462,0.09635,0.09462,0.09635,0.06134,16848000
1986-03-31,0.09635,0.09635,0.09375,0.09549,0.06079,12873600
1986-04-01,0.09549,0.09549,0.09462,0.09462,0.06024,11088000
1986-04-02,0.09462,0.09722,0.09462,0.09549,0.06079,27014400
1986-04-03,0.09635,0.09896,0.09635,0.09635,0.06134,23040000
1986-04-04,0.09635,0.09722,0.09635,0.09635,0.06134,26582400
1986-04-07,0.09635,0.09722,0.09288,0.09462,0.06024,16560000
1986-04-08,0.09462,0.09722,0.09462,0.09549,0.06079,10252800
1986-04-09,0.09549,0.09809,0.09549,0.09722,0.06189,12153600
1986-04-10,0.09722,0.09896,0.09549,0.09809,0.06245,13881600
1986-04-11,0.09896,0.10156,0.09896,0.09983,0.06355,17222400
1986-04-14,0.09983,0.10156,0.09983,0.10069,0.06410,12153600
1986-04-15,0.10069,0.10069,0.09722,0.10069,0.06410,9302400
1986-04-16,0.10069,0.10504,0.09983,0.10417,0.06631,31910400
1986-04-17,0.10417,0.10504,0.10417,0.10504,0.06687,22003200
1986-04-18,0.10504,0.10504,0.10069,0.10156,0.06466,21628800
1986-04-21,0.10156,0.10243,0.09896,0.10156,0.06466,22924800
1986-04-22,0.10156,0.10156,0.09983,0.09983,0.06355,15552000
1986-04-23,0.09983,0.10069,0.09896,0.10026,0.06383,15609600
1986-04-24,0.10026,0.11198,0.09983,0.11024,0.07018,62352000
1986-04-25,0.11111,0.12196,0.11111,0.11719,0.07460,85795200
1986-04-28,0.11719,0.11892,0.11632,0.11806,0.07516,28886400
1986-04-29,0.11806,0.11806,0.11372,0.11458,0.07294,30326400
1986-04-30,0.11458,0.11545,0.10938,0.11198,0.07129,30902400
1986-05-01,0.11198,0.11198,0.10851,0.11024,0.07018,54345600
1986-05-02,0.11024,0.11198,0.10938,0.11024,0.07018,20246400
1986-05-05,0.11024,0.11024,0.10938,0.10938,0.06963,3254400
1986-05-06,0.11024,0.11198,0.11024,0.11024,0.07018,9734400
1986-05-07,0.11024,0.11111,0.10851,0.11024,0.07018,5155200
1986-05-08,0.11024,0.11111,0.10938,0.11111,0.07074,3542400
1986-05-09,0.11111,0.11111,0.11024,0.11024,0.07018,6076800
1986-05-12,0.11024,0.11372,0.11024,0.11111,0.07074,10483200
1986-05-13,0.11111,0.11285,0.11111,0.11198,0.07129,3830400
1986-05-14,0.11198,0.11198,0.11111,0.11111,0.07074,9302400
1986-05-15,0.11111,0.11285,0.11111,0.11111,0.07074,3801600
1986-05-16,0.11111,0.11458,0.11111,0.11198,0.07129,11952000
1986-05-19,0.11198,0.11198,0.10938,0.11024,0.07018,11001600
1986-05-20,0.11024,0.11024,0.10851,0.10938,0.06963,61977600
1986-05-21,0.10938,0.11024,0.10764,0.10764,0.06852,8092800
1986-05-22,0.10764,0.10851,0.10764,0.10764,0.06852,4406400
1986-05-23,0.10764,0.10938,0.10764,0.10764,0.06852,4089600
1986-05-27,0.10764,0.11111,0.10764,0.11111,0.07074,13881600
1986-05-28,0.11111,0.11458,0.11111,0.11458,0.07294,15523200
1986-05-29,0.11458,0.11892,0.11372,0.11719,0.07460,45676800
1986-05-30,0.11806,0.12326,0.11806,0.12153,0.07737,27072000
1986-06-02,0.12153,0.12153,0.11806,0.11806,0.07516,19728000
1986-06-03,0.11806,0.11806,0.11632,0.11806,0.07516,5011200
