Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,5.59037,5.71600,5.59037,5.60293,2.96329,227800
1977-01-04,5.57781,5.57781,5.47731,5.47731,2.89684,164100
1977-01-05,5.48987,5.60293,5.48987,5.50243,2.91013,193000
1977-01-06,5.50243,5.52756,5.46474,5.46474,2.89020,139200
1977-01-07,5.46474,5.50243,5.38937,5.38937,2.85034,119300
1977-01-10,5.38937,5.40193,5.28887,5.32656,2.81712,235700
1977-01-11,5.30143,5.30143,5.18837,5.18837,2.74403,201900
1977-01-12,5.17580,5.17580,5.06274,5.12555,2.71081,184000
1977-01-13,5.17580,5.20093,5.17580,5.17580,2.73738,241700
1977-01-14,5.17580,5.25118,5.13812,5.23862,2.77061,761100
1977-01-17,5.23862,5.26374,5.22605,5.25118,2.77725,672600
1977-01-18,5.25118,5.27630,5.25118,5.26374,2.78390,222800
1977-01-19,5.26374,5.35168,5.26374,5.35168,2.83040,94500
1977-01-20,5.37681,5.43962,5.37681,5.37681,2.84369,176100
1977-01-21,5.37681,5.41449,5.36424,5.38937,2.85034,1066600
1977-01-24,5.38937,5.42706,5.35168,5.37681,2.84369,511400
1977-01-25,5.37681,5.37681,5.22605,5.22605,2.76396,317400
1977-01-26,5.22605,5.27630,5.20093,5.22605,2.76396,117400
1977-01-27,5.15068,5.15068,5.02505,5.05018,2.67094,254700
1977-01-28,5.07530,5.15068,5.07530,5.12555,2.71081,112400
1977-01-31,5.12555,5.12555,4.98736,5.05018,2.67094,202900
1977-02-01,5.05018,5.10043,5.03762,5.07530,2.68423,81500
1977-02-02,5.07530,5.11299,5.01249,5.01249,2.65101,538200
1977-02-03,5.01249,5.02505,4.98736,4.98736,2.63772,126300
1977-02-04,4.98736,4.98736,4.79892,4.82405,2.55135,359100
1977-02-07,4.82405,4.82405,4.64817,4.64817,2.45833,299400
1977-02-08,4.64817,4.74867,4.64817,4.71099,2.49155,422800
1977-02-09,4.71099,4.71099,4.62305,4.62305,2.44504,14900
1977-02-10,4.62305,4.64817,4.58536,4.58536,2.42511,269600
1977-02-11,4.58536,4.62305,4.58536,4.62305,2.44504,292500
1977-02-14,4.62305,4.67330,4.58536,4.67330,2.47162,306400
1977-02-15,4.67330,4.68586,4.64817,4.64817,2.45833,502400
1977-02-16,4.64817,4.69842,4.64817,4.67330,2.47162,328300
1977-02-17,4.64817,4.64817,4.58536,4.59792,2.43176,142200
1977-02-18,4.57280,4.57280,4.37180,4.50998,2.38524,305400
1977-02-22,4.50998,4.52255,4.47230,4.49742,2.37860,133300
1977-02-23,4.49742,4.49742,4.45973,4.47230,2.36531,69600
1977-02-24,4.45973,4.45973,4.38436,4.39692,2.32545,154200
1977-02-25,4.39692,4.44717,4.37180,4.44717,2.35202,309400
1977-02-28,4.43461,4.43461,4.42205,4.43461,2.34538,140200
1977-03-01,4.43461,4.56024,4.43461,4.56024,2.41182,340200
1977-03-02,4.56024,4.59792,4.54767,4.56024,2.41182,327300
1977-03-03,4.57280,4.74867,4.57280,4.72355,2.49820,267600
1977-03-04,4.72355,4.73611,4.68586,4.73611,2.50484,217800
1977-03-07,4.74867,4.79892,4.74867,4.79892,2.53806,143200
1977-03-08,4.79892,4.79892,4.72355,4.73611,2.50484,295500
1977-03-09,4.69842,4.69842,4.62305,4.63561,2.45169,114400
1977-03-10,4.63561,4.67330,4.56024,4.67330,2.47162,264600
1977-03-11,4.67330,4.69842,4.66074,4.66074,2.46498,92500
1977-03-14,4.67330,4.79892,4.67330,4.77380,2.52477,175100
1977-03-15,4.79892,4.87430,4.79892,4.83661,2.55799,298500
1977-03-16,4.83661,4.88686,4.83661,4.87430,2.57792,240700
1977-03-17,4.87430,4.94968,4.86174,4.92455,2.60450,266600
1977-03-18,4.92455,4.97480,4.92455,4.92455,2.60450,200900
1977-03-21,4.92455,4.93711,4.84918,4.86174,2.57128,324300
1977-03-22,4.86174,4.87430,4.79892,4.87430,2.58917,175100
1977-03-23,4.87430,4.87430,4.69842,4.71099,2.50242,193000
1977-03-24,4.71099,4.77380,4.62305,4.64817,2.46905,309400
1977-03-25,4.64817,4.64817,4.59792,4.62305,2.45571,163100
1977-03-28,4.61048,4.61048,4.57280,4.58536,2.43569,188000
1977-03-29,4.58536,4.64817,4.58536,4.58536,2.43569,239700
1977-03-30,4.58536,4.66074,4.58536,4.58536,2.43569,210900
1977-03-31,4.58536,4.64817,4.58536,4.62305,2.45571,67600
1977-04-01,4.62305,4.67330,4.59792,4.67330,2.48240,163100
