Date,Open,High,Low,Close,Adj Close,Volume
1984-06-01,0.00000,1.42500,1.41250,1.41250,1.38519,7340000
1984-06-04,0.00000,1.42500,1.41250,1.41250,1.38519,4066800
1984-06-05,0.00000,1.41250,1.40000,1.40000,1.37293,2088800
1984-06-06,0.00000,1.50000,1.47500,1.47500,1.44648,1894000
1984-06-07,0.00000,1.65000,1.63750,1.63750,1.60584,2078000
1984-06-08,0.00000,1.76250,1.73750,1.73750,1.70390,2226800
1984-06-11,0.00000,1.65000,1.62500,1.62500,1.59358,1218800
1984-06-12,0.00000,1.62500,1.61250,1.61250,1.58132,670000
1984-06-13,0.00000,1.70000,1.68750,1.68750,1.65487,1338800
1984-06-14,0.00000,1.66250,1.63750,1.63750,1.60584,680000
1984-06-15,0.00000,1.70000,1.68750,1.68750,1.65487,704000
1984-06-18,0.00000,1.75000,1.73750,1.73750,1.70390,480000
1984-06-19,0.00000,1.87500,1.86250,1.86250,1.82648,1580800
1984-06-20,0.00000,2.07500,2.06250,2.06250,2.02262,2272800
1984-06-21,0.00000,2.06250,2.03750,2.03750,1.99810,2038800
1984-06-22,0.00000,2.27500,2.26250,2.26250,2.21875,1198800
1984-06-25,0.00000,2.25000,2.23750,2.23750,2.19423,1578800
1984-06-26,0.00000,2.31250,2.30000,2.30000,2.25552,1040000
1984-06-27,0.00000,2.25000,2.23750,2.23750,2.19423,1046000
1984-06-28,0.00000,2.36250,2.35000,2.35000,2.30456,562800
1984-06-29,0.00000,2.56250,2.53750,2.53750,2.48843,1018800
1984-07-02,0.00000,2.50000,2.47500,2.47500,2.42714,940000
1984-07-03,0.00000,2.55000,2.52500,2.52500,2.47617,338800
1984-07-05,0.00000,2.66250,2.65000,2.65000,2.59876,1428000
1984-07-06,0.00000,2.63750,2.62500,2.62500,2.57424,728000
1984-07-09,0.00000,2.60000,2.57500,2.57500,2.52521,962800
1984-07-10,0.00000,2.52500,2.51250,2.51250,2.46392,1938000
1984-07-11,0.00000,2.41250,2.40000,2.40000,2.35359,980000
1984-07-12,0.00000,2.33750,2.33750,2.33750,2.29230,1020800
1984-07-13,0.00000,2.37500,2.36250,2.36250,2.31682,222800
1984-07-16,0.00000,2.28750,2.26250,2.26250,2.21875,472800
1984-07-17,0.00000,2.35000,2.33750,2.33750,2.29230,350000
1984-07-18,0.00000,2.35000,2.32500,2.32500,2.28004,150000
1984-07-19,0.00000,2.10000,2.08750,2.08750,2.04713,760800
1984-07-20,0.00000,1.93750,1.90000,1.90000,1.86326,722800
1984-07-23,0.00000,1.97500,1.96250,1.96250,1.92455,580000
1984-07-24,0.00000,1.95000,1.92500,1.92500,1.88778,320800
1984-07-25,0.00000,2.08750,2.06250,2.06250,2.02262,648800
1984-07-26,0.00000,2.16250,2.15000,2.15000,2.10843,674000
1984-07-27,0.00000,2.13750,2.12500,2.12500,2.08391,330000
1984-07-30,0.00000,2.13750,2.11250,2.11250,2.07165,156000
1984-07-31,0.00000,2.11250,2.08750,2.08750,2.04713,242000
1984-08-01,0.00000,2.36250,2.35000,2.35000,2.30456,842800
1984-08-02,0.00000,2.48750,2.47500,2.47500,2.42714,756000
1984-08-03,0.00000,2.35000,2.33750,2.33750,2.29230,1030000
1984-08-06,0.00000,2.31250,2.28750,2.28750,2.24327,1028000
1984-08-07,0.00000,2.37500,2.22500,2.37500,2.32908,628000
1984-08-08,0.00000,2.43750,2.35000,2.35000,2.30456,662000
1984-08-09,0.00000,2.57500,2.33750,2.56250,2.51295,798000
1984-08-10,0.00000,2.73750,2.58750,2.67500,2.62327,1352000
1984-08-13,0.00000,2.67500,2.58750,2.65000,2.59876,800800
1984-08-14,0.00000,2.67500,2.55000,2.57500,2.52521,402800
1984-08-15,0.00000,2.60000,2.56250,2.57500,2.52521,220000
1984-08-16,0.00000,2.82500,2.57500,2.77500,2.72134,1096000
1984-08-17,0.00000,2.78750,2.67500,2.70000,2.64779,438800
1984-08-20,0.00000,2.80000,2.67500,2.77500,2.72134,350000
1984-08-21,0.00000,3.05000,2.81250,3.02500,2.96651,1270800
1984-08-22,0.00000,3.15000,3.07500,3.12500,3.06457,2068000
1984-08-23,0.00000,3.35000,3.12500,3.30000,3.23619,2024800
1984-08-24,0.00000,3.46250,3.30000,3.40000,3.33425,1916000
1984-08-27,0.00000,3.41250,3.26250,3.26250,3.19941,956000
1984-08-28,0.00000,3.31250,3.15000,3.28750,3.22393,1344800
1984-08-29,0.00000,3.32500,3.15000,3.21250,3.15038,1546000
1984-08-30,0.00000,3.21250,3.02500,3.08750,3.02780,1008000
1984-08-31,0.00000,3.12500,3.05000,3.12500,3.06457,384000
1984-09-04,0.00000,3.41250,3.13750,3.38750,3.32200,1132000
1984-09-05,0.00000,3.48750,3.30000,3.48750,3.42006,1808000
1984-09-06,0.00000,3.76250,3.48750,3.70000,3.62845,3008800
1984-09-07,0.00000,3.82500,3.71250,3.75000,3.67749,2190800
1984-09-10,0.00000,3.76250,3.58750,3.66250,3.59168,1856000
1984-09-11,0.00000,3.78750,3.67500,3.75000,3.67749,1120800
1984-09-12,0.00000,3.76250,3.66250,3.73750,3.66523,1148000
1984-09-13,0.00000,3.81250,3.72500,3.76250,3.68974,734800
1984-09-14,0.00000,4.05000,3.77500,4.00000,3.92265,2282000
1984-09-17,0.00000,4.05000,3.92500,4.03750,3.95943,842000
1984-09-18,0.00000,4.03750,3.97500,4.00000,3.92265,778000
1984-09-19,0.00000,4.01250,3.75000,3.76250,3.68974,1218800
1984-09-20,0.00000,3.88750,3.70000,3.78750,3.71426,2044800
1984-09-21,0.00000,3.87500,3.77500,3.82500,3.75104,622000
1984-09-24,0.00000,3.82500,3.62500,3.65000,3.57942,1534800
1984-09-25,0.00000,3.63750,3.42500,3.56250,3.49361,2800000
1984-09-26,0.00000,3.58750,2.75000,2.78750,2.73360,9404800
1984-09-27,0.00000,2.80000,2.55000,2.68750,2.63553,3114000
1984-09-28,0.00000,2.75000,2.63750,2.66250,2.61102,1056000
1984-10-01,0.00000,2.98750,2.65000,2.75000,2.69682,1712800
1984-10-02,0.00000,2.90000,2.46250,2.48750,2.43940,2352000
1984-10-03,0.00000,2.65000,2.45000,2.53750,2.48843,2132800
1984-10-04,0.00000,2.63750,2.55000,2.61250,2.56198,522799
1984-10-05,0.00000,2.82500,2.61250,2.75000,2.69682,1566800
1984-10-08,0.00000,2.80000,2.70000,2.77500,2.72134,842000
1984-10-09,0.00000,2.86250,2.55000,2.65000,2.59876,3884800
1984-10-10,0.00000,2.65000,2.47500,2.65000,2.59876,1454000
1984-10-11,0.00000,2.70000,2.50000,2.55000,2.50069,1130800
1984-10-12,0.00000,2.62500,2.56250,2.60000,2.54972,380000
1984-10-15,0.00000,2.70000,2.57500,2.67500,2.62327,556000
1984-10-16,0.00000,2.72500,2.66250,2.70000,2.64779,310000
1984-10-17,0.00000,2.70000,2.65000,2.70000,2.64779,332800
1984-10-18,0.00000,2.87500,2.67500,2.86250,2.80715,418800
1984-10-19,0.00000,3.01250,2.91250,2.92500,2.86844,886000
1984-10-22,0.00000,3.01250,2.90000,2.98750,2.92973,298000
1984-10-23,0.00000,3.03750,2.96250,3.01250,2.95425,586800
1984-10-24,0.00000,3.03750,2.97500,3.00000,2.94199,252000
1984-10-25,0.00000,3.00000,2.78750,2.83750,2.78263,1202000
1984-10-26,0.00000,2.80000,2.67500,2.70000,2.64779,522799
1984-10-29,0.00000,2.72500,2.67500,2.70000,2.64779,282800
1984-10-30,0.00000,2.73750,2.67500,2.67500,2.62327,502800
1984-10-31,0.00000,2.72500,2.65000,2.68750,2.63553,560000
1984-11-01,0.00000,2.68750,2.52500,2.58750,2.53746,532000
1984-11-02,0.00000,2.61250,2.50000,2.53750,2.48843,758000
1984-11-05,0.00000,2.61250,2.48750,2.57500,2.52521,368800
1984-11-06,0.00000,2.72500,2.62500,2.68750,2.63553,1222800
1984-11-07,0.00000,2.68750,2.62500,2.65000,2.59876,494000
1984-11-08,0.00000,2.66250,2.62500,2.66250,2.61102,334000
1984-11-09,0.00000,2.70000,2.65000,2.67500,2.62327,1236000
1984-11-12,0.00000,2.67500,2.63750,2.67500,2.62327,80800
1984-11-13,0.00000,2.67500,2.46250,2.50000,2.45166,1024800
1984-11-14,0.00000,2.57500,2.47500,2.56250,2.51295,524000
1984-11-15,0.00000,2.61250,2.53750,2.60000,2.54972,316800
1984-11-16,0.00000,2.60000,2.50000,2.51250,2.46392,374000
1984-11-19,0.00000,2.51250,2.43750,2.46250,2.41488,764000
1984-11-20,0.00000,2.50000,2.43750,2.48750,2.43940,400000
1984-11-21,0.00000,2.55000,2.46250,2.55000,2.50069,250800
1984-11-23,0.00000,2.65000,2.56250,2.62500,2.57424,456000
1984-11-26,0.00000,2.63750,2.60000,2.63750,2.58650,180800
1984-11-27,0.00000,2.76250,2.62500,2.75000,2.69682,602000
1984-11-28,0.00000,2.88750,2.77500,2.80000,2.74586,804000
1984-11-29,0.00000,2.78750,2.67500,2.67500,2.62327,664800
1984-11-30,0.00000,2.80000,2.68750,2.80000,2.74586,864000
1984-12-03,0.00000,2.83750,2.70000,2.72500,2.67231,620000
1984-12-04,0.00000,2.77500,2.72500,2.75000,2.69682,154000
1984-12-05,0.00000,2.77500,2.73750,2.77500,2.72134,174800
1984-12-06,0.00000,2.95000,2.76250,2.93750,2.88070,1382800
1984-12-07,0.00000,2.96250,2.87500,2.87500,2.81941,296000
1984-12-10,0.00000,2.87500,2.76250,2.83750,2.78263,976800
1984-12-11,0.00000,2.85000,2.81250,2.83750,2.78263,280800
1984-12-12,0.00000,2.83750,2.78750,2.82500,2.77037,680000
1984-12-13,0.00000,2.82500,2.72500,2.75000,2.69682,1026800
1984-12-14,0.00000,2.76250,2.72500,2.72500,2.67231,996000
1984-12-17,0.00000,2.77500,2.72500,2.75000,2.69682,906800
1984-12-18,0.00000,2.78750,2.65000,2.66250,2.61102,2354000
1984-12-19,0.00000,2.83750,2.70000,2.76250,2.70908,5254800
1984-12-20,0.00000,2.75000,2.63750,2.66250,2.61102,1514800
1984-12-21,0.00000,2.72500,2.66250,2.71250,2.66005,5658000
1984-12-24,0.00000,2.78750,2.70000,2.78750,2.73360,800000
1984-12-26,0.00000,2.83750,2.80000,2.83750,2.78263,704800
1984-12-27,0.00000,2.82500,2.78750,2.81250,2.75812,2618000
1984-12-28,0.00000,2.81250,2.71250,2.75000,2.69682,1834800
1984-12-31,0.00000,2.76250,2.70000,2.72500,2.67231,806800
1985-01-02,0.00000,2.76250,2.70000,2.71250,2.66005,1174000
1985-01-03,0.00000,2.71250,2.63750,2.65000,2.59876,632000
1985-01-04,0.00000,2.65000,2.51250,2.55000,2.50069,632000
1985-01-07,0.00000,2.51250,2.42500,2.45000,2.40262,2348000
1985-01-08,0.00000,2.42500,2.25000,2.26250,2.21875,1680000
1985-01-09,0.00000,2.25000,2.00000,2.16250,2.12068,4254800
1985-01-10,0.00000,2.25000,2.15000,2.20000,2.15746,1154800
1985-01-11,0.00000,2.22500,2.15000,2.18750,2.14520,1274800
1985-01-14,0.00000,2.42500,2.16250,2.40000,2.35359,1504800
1985-01-15,0.00000,2.57500,2.42500,2.45000,2.40262,2464800
1985-01-16,0.00000,2.48750,2.35000,2.38750,2.34133,882000
1985-01-17,0.00000,2.38750,2.30000,2.30000,2.25552,594000
1985-01-18,0.00000,2.35000,2.22500,2.32500,2.28004,818800
1985-01-21,0.00000,2.46250,2.32500,2.46250,2.41488,1092800
1985-01-22,0.00000,2.56250,2.48750,2.53750,2.48843,1702800
1985-01-23,0.00000,2.55000,2.48750,2.50000,2.45166,698000
1985-01-24,0.00000,2.52500,2.43750,2.43750,2.39037,1048800
1985-01-25,0.00000,2.46250,2.42500,2.46250,2.41488,266800
1985-01-28,0.00000,2.47500,2.45000,2.45000,2.40262,274000
1985-01-29,0.00000,2.45000,2.35000,2.37500,2.32908,404800
1985-01-30,0.00000,2.56250,2.40000,2.42500,2.37811,6518000
1985-01-31,0.00000,2.45000,2.40000,2.40000,2.35359,750800
1985-02-01,0.00000,2.40000,2.33750,2.36250,2.31682,640800
1985-02-04,0.00000,2.36250,2.26250,2.36250,2.31682,1336800
1985-02-05,0.00000,2.45000,2.36250,2.40000,2.35359,1456000
1985-02-06,0.00000,2.45000,2.38750,2.38750,2.34133,1280000
1985-02-07,0.00000,2.40000,2.33750,2.37500,2.32908,1022000
1985-02-08,0.00000,2.38750,2.35000,2.35000,2.30456,1616800
1985-02-11,0.00000,2.36250,2.26250,2.27500,2.23101,1810000
1985-02-12,0.00000,2.28750,2.13750,2.21250,2.16972,1732000
1985-02-13,0.00000,2.22500,2.10000,2.16250,2.12068,2044800
1985-02-14,0.00000,2.16250,1.65000,1.67500,1.64261,6032800
1985-02-15,0.00000,1.76250,1.66250,1.70000,1.66713,3566000
1985-02-19,0.00000,1.71250,1.42500,1.48750,1.45874,2844800
1985-02-20,0.00000,1.56250,1.48750,1.52500,1.49551,3374800
1985-02-21,0.00000,1.53750,1.51250,1.53750,1.50777,1002800
1985-02-22,0.00000,1.53750,1.52500,1.52500,1.49551,252800
1985-02-25,0.00000,1.52500,1.17500,1.23750,1.21357,3868000
1985-02-26,0.00000,1.20000,1.01250,1.08750,1.06647,6270800
1985-02-27,0.00000,1.07500,1.00000,1.03750,1.01744,2348800
1985-02-28,0.00000,1.18750,1.02500,1.16250,1.14002,3072000
1985-03-01,0.00000,1.33750,1.17500,1.30000,1.27486,3756000
1985-03-04,0.00000,1.32500,1.20000,1.26250,1.23809,1640800
1985-03-05,0.00000,1.30000,1.23750,1.25000,1.22583,1116000
1985-03-06,0.00000,1.25000,1.12500,1.17500,1.15228,1364800
1985-03-07,0.00000,1.17500,1.13750,1.16250,1.14002,340800
