Date,Open,High,Low,Close,Adj Close,Volume
2014-04-17,15.00000,17.38000,15.00000,16.99000,12.23167,951100
2014-04-21,16.97000,17.37000,16.33000,16.82000,12.10928,444300
2014-04-22,16.63000,17.00000,16.63000,16.80000,12.09488,576700
2014-04-23,16.81000,16.85000,16.71000,16.78000,12.08049,1608900
2014-04-24,16.85000,16.86000,16.45000,16.63000,11.97249,368900
2014-04-25,16.90000,16.92000,16.32000,16.89000,12.15968,1086500
2014-04-28,16.93000,16.93000,16.38000,16.67000,12.00129,1187900
2014-04-29,16.62000,16.88000,16.45000,16.68000,12.00849,648500
2014-04-30,16.70000,16.70000,16.36000,16.55000,11.91490,26746200
2014-05-01,16.12000,17.36000,16.12000,17.00000,12.23887,3650100
2014-05-02,17.01000,17.30000,16.87000,16.95000,12.20287,2995000
2014-05-05,16.93000,17.26000,16.53000,16.81000,12.10208,3978400
2014-05-06,16.69000,16.80000,16.25000,16.34000,11.76372,14309200
2014-05-07,16.36000,16.61000,16.26000,16.60000,11.95090,5692900
2014-05-08,16.50000,16.64000,16.35000,16.45000,11.84291,5668200
2014-05-09,16.30000,16.51000,16.03000,16.28000,11.72052,2797000
2014-05-12,16.28000,16.55000,15.77500,15.95000,11.48294,6980100
2014-05-13,15.78000,16.13000,15.78000,15.85000,11.41095,8292000
2014-05-14,15.77000,16.04000,15.50000,15.74000,11.33175,4577500
2014-05-15,15.66000,16.00000,15.59000,15.74000,11.33175,4919000
2014-05-16,15.66000,15.95000,15.66000,15.86000,11.41815,2786900
2014-05-19,15.76000,16.04000,15.66400,16.02000,11.53334,4532400
2014-05-20,16.10000,16.16500,15.82000,15.94000,11.47574,9754800
2014-05-21,15.93000,16.13000,15.82000,15.93000,11.46854,1743600
2014-05-22,15.84000,16.04000,15.80000,15.97000,11.49734,2128900
2014-05-23,16.00000,16.13000,15.97000,16.07000,11.56933,2826400
2014-05-27,16.09000,16.34000,15.79000,15.98000,11.50454,1726900
2014-05-28,16.02000,16.05000,15.66500,15.68000,11.28856,4219100
2014-05-29,15.73000,15.82000,15.53000,15.68000,11.28856,3463400
2014-05-30,15.63000,15.91000,15.63000,15.80000,11.37495,5261300
2014-06-02,15.84000,15.94000,15.79000,15.81000,11.38215,2986800
2014-06-03,16.60000,16.60000,15.74000,15.83000,11.39655,3483500
2014-06-04,15.60000,15.96000,15.58000,15.89000,11.54918,3231500
2014-06-05,16.03000,16.68000,15.90000,16.67000,12.11610,4582400
2014-06-06,16.76000,16.95000,16.61000,16.67000,12.11610,1622700
2014-06-09,16.61000,16.81000,16.37000,16.81000,12.21786,3169300
2014-06-10,16.72000,17.00000,16.70000,16.80000,12.21059,3441800
2014-06-11,16.73000,16.97000,16.73000,16.88000,12.26873,1857100
2014-06-12,16.81000,17.00000,16.68000,16.74000,12.16698,2336400
2014-06-13,16.72000,16.86000,16.55000,16.67000,12.11610,1485600
2014-06-16,16.66000,16.89000,16.60000,16.78000,12.19605,804900
2014-06-17,16.69000,16.96000,16.64000,16.84000,12.23966,1268800
2014-06-18,16.76000,17.12000,16.69000,17.06000,12.39956,2268100
2014-06-19,17.01000,17.32000,16.72500,17.19000,12.49405,3754000
2014-06-20,17.28000,17.53000,17.15000,17.46000,12.69029,3907900
2014-06-23,17.45000,17.77000,17.45000,17.68000,12.85019,4460000
