Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,3.41377,3.32983,3.32983,2.31085,405600
1980-03-18,0.00000,3.69359,3.60964,3.60964,2.50504,672400
1980-03-19,0.00000,3.69359,3.60964,3.60964,2.50504,274800
1980-03-20,0.00000,3.69359,3.60964,3.60964,2.50504,212400
1980-03-21,0.00000,3.63762,3.55368,3.55368,2.46620,259600
1980-03-24,0.00000,3.46974,3.38579,3.38579,2.34968,315200
1980-03-25,0.00000,3.44175,3.35781,3.35781,2.33027,298400
1980-03-26,0.00000,3.52570,3.44175,3.44175,2.38852,476800
1980-03-27,0.00000,3.32983,3.24588,3.24588,2.25259,604800
1980-03-28,0.00000,3.44175,3.35781,3.35781,2.33027,747600
1980-03-31,0.00000,3.60964,3.52570,3.52570,2.44678,343600
1980-04-01,0.00000,3.74955,3.66561,3.66561,2.54387,712800
1980-04-02,0.00000,3.74955,3.66561,3.66561,2.54387,231200
1980-04-03,0.00000,3.72157,3.63762,3.63762,2.52445,402000
1980-04-07,0.00000,3.58166,3.49772,3.49772,2.42736,232800
1980-04-08,0.00000,3.60964,3.52570,3.52570,2.44678,541200
1980-04-09,0.00000,3.66561,3.58166,3.58166,2.48562,447600
1980-04-10,0.00000,3.72157,3.63762,3.63762,2.52445,379600
1980-04-11,0.00000,3.72157,3.63762,3.63762,2.52445,426800
1980-04-14,0.00000,3.69359,3.60964,3.60964,2.50504,195600
1980-04-15,0.00000,3.72157,3.63762,3.63762,2.52445,292800
1980-04-16,0.00000,3.69359,3.60964,3.60964,2.50504,471600
1980-04-17,0.00000,3.63762,3.55368,3.55368,2.46620,235600
1980-04-18,0.00000,3.66561,3.58166,3.58166,2.48562,166800
1980-04-21,0.00000,3.58166,3.49772,3.49772,2.42736,120400
1980-04-22,0.00000,3.80552,3.72157,3.72157,2.58271,487600
1980-04-23,0.00000,3.80552,3.72157,3.72157,2.58271,388400
1980-04-24,0.00000,3.86148,3.77753,3.77753,2.62155,234800
1980-04-25,0.00000,3.83350,3.74955,3.74955,2.60213,270400
1980-04-28,0.00000,3.91744,3.83350,3.83350,2.66039,230400
1980-04-29,0.00000,4.00139,3.91744,3.91744,2.71864,349200
1980-04-30,0.00000,3.97341,3.88946,3.88946,2.69922,425200
