Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00000,2.27344,2.25781,2.26562,0.37002,92800
1973-02-22,0.00000,2.30469,2.26562,2.29688,0.37512,35200
1973-02-23,0.00000,2.32812,2.28125,2.32812,0.38022,92800
1973-02-26,0.00000,2.39062,2.32031,2.32031,0.37895,284800
1973-02-27,0.00000,2.35156,2.31250,2.34375,0.38278,280000
1973-02-28,0.00000,2.37500,2.32812,2.37500,0.38788,113600
1973-03-01,0.00000,2.39062,2.37500,2.39062,0.39043,144000
1973-03-02,0.00000,2.39844,2.36719,2.39062,0.39043,124800
1973-03-05,0.00000,2.41406,2.39062,2.39844,0.39171,129600
1973-03-06,0.00000,2.42969,2.39844,2.41406,0.39426,132800
1973-03-07,0.00000,2.44531,2.42188,2.43750,0.39809,169600
1973-03-08,0.00000,2.42969,2.42188,2.42188,0.39553,92800
1973-03-09,0.00000,2.43750,2.41406,2.41406,0.39426,211200
1973-03-12,0.00000,2.43750,2.41406,2.42188,0.39553,89600
1973-03-13,0.00000,2.49219,2.43750,2.49219,0.40702,176000
1973-03-14,0.00000,2.50000,2.43750,2.43750,0.39809,176000
1973-03-15,0.00000,2.44531,2.39062,2.39062,0.39043,115200
1973-03-16,0.00000,2.39062,2.28125,2.29688,0.37512,438400
1973-03-19,0.00000,2.28125,2.25000,2.27344,0.37129,312000
1973-03-20,0.00000,2.28906,2.25781,2.28125,0.37257,870400
1973-03-21,0.00000,2.28125,2.25781,2.25781,0.36874,270400
1973-03-22,0.00000,2.25000,2.22656,2.23438,0.36491,158400
1973-03-23,0.00000,2.23438,2.19531,2.21094,0.36108,761600
1973-03-26,0.00000,2.18750,2.13281,2.14844,0.35088,257600
1973-03-27,0.00000,2.18750,2.12500,2.18750,0.35726,273600
1973-03-28,0.00000,2.23438,2.15625,2.15625,0.35215,473600
1973-03-29,0.00000,2.15625,2.10156,2.14844,0.35088,108800
1973-03-30,0.00000,2.14844,2.13281,2.13281,0.34832,75200
1973-04-02,0.00000,2.14062,2.07812,2.11719,0.34577,166400
1973-04-03,0.00000,2.12500,2.07812,2.07812,0.33939,126400
1973-04-04,0.00000,2.21875,2.07812,2.18750,0.35726,750400
1973-04-05,0.00000,2.21094,2.16406,2.18750,0.35726,150400
1973-04-06,0.00000,2.21875,2.18750,2.20312,0.35981,145600
1973-04-09,0.00000,2.21875,2.18750,2.20312,0.35981,99200
1973-04-10,0.00000,2.30469,2.20312,2.30469,0.37640,200000
1973-04-11,0.00000,2.35938,2.31250,2.35156,0.38405,409600
1973-04-12,0.00000,2.39844,2.35938,2.35938,0.38533,305600
1973-04-13,0.00000,2.37500,2.34375,2.34375,0.38278,140800
1973-04-16,0.00000,2.42188,2.34375,2.42188,0.39553,78400
1973-04-17,0.00000,2.42188,2.37500,2.37500,0.38788,270400
1973-04-18,0.00000,2.40625,2.37500,2.40625,0.39298,945600
1973-04-19,0.00000,2.43750,2.39844,2.40625,0.39298,176000
1973-04-23,0.00000,2.42969,2.40625,2.40625,0.39298,545600
1973-04-24,0.00000,2.42188,2.38281,2.38281,0.38915,592000
1973-04-25,0.00000,2.38281,2.36719,2.36719,0.38660,72000
1973-04-26,0.00000,2.38281,2.34375,2.34375,0.38278,1670400
1973-04-27,0.00000,2.37500,2.35156,2.37500,0.38788,371200
1973-04-30,0.00000,2.40625,2.37500,2.39062,0.39043,105600
1973-05-01,0.00000,2.40625,2.35938,2.35938,0.38533,489600
1973-05-02,0.00000,2.41406,2.35938,2.37500,0.38788,300800
1973-05-03,0.00000,2.42969,2.39062,2.41406,0.39426,243200
1973-05-04,0.00000,2.46094,2.42969,2.42969,0.39681,363200
1973-05-07,0.00000,2.43750,2.39062,2.39062,0.39043,1014400
1973-05-08,0.00000,2.42969,2.40625,2.41406,0.39426,121600
1973-05-09,0.00000,2.45312,2.42188,2.42188,0.39553,308800
1973-05-10,0.00000,2.45312,2.41406,2.43750,0.39809,67200
1973-05-11,0.00000,2.42969,2.39844,2.41406,0.39426,91200
1973-05-14,0.00000,2.39844,2.32031,2.35156,0.38405,321600
1973-05-15,0.00000,2.36719,2.32812,2.35938,0.38533,148800
1973-05-16,0.00000,2.42188,2.40625,2.42188,0.39553,203200
1973-05-17,0.00000,2.42188,2.39844,2.39844,0.39171,57600
1973-05-18,0.00000,2.39062,2.37500,2.37500,0.38788,104000
1973-05-21,0.00000,2.37500,2.35156,2.36719,0.38660,148800
1973-05-22,0.00000,2.33594,2.29688,2.32031,0.37895,281600
1973-05-23,0.00000,2.34375,2.30469,2.30469,0.37640,96000
1973-05-24,0.00000,2.36719,2.31250,2.35156,0.38405,136000
1973-05-25,0.00000,2.40625,2.35156,2.39062,0.39043,225600
1973-05-29,0.00000,2.40625,2.38281,2.40625,0.39298,91200
1973-05-30,0.00000,2.45312,2.40625,2.40625,0.39298,150400
1973-05-31,0.00000,2.42188,2.37500,2.40625,0.39298,241600
1973-06-01,0.00000,2.42188,2.38281,2.38281,0.38915,164800
1973-06-04,0.00000,2.38281,2.34375,2.35938,0.38533,72000
1973-06-05,0.00000,2.39062,2.35938,2.39062,0.39043,81600
1973-06-06,0.00000,2.42188,2.39062,2.39062,0.39043,420800
1973-06-07,0.00000,2.42188,2.39844,2.42188,0.39553,107200
1973-06-08,0.00000,2.42188,2.39062,2.39062,0.39043,204800
1973-06-11,0.00000,2.41406,2.39062,2.39844,0.39171,254400
1973-06-12,0.00000,2.42188,2.39062,2.40625,0.39298,344000
1973-06-13,0.00000,2.42969,2.39844,2.39844,0.39171,212800
1973-06-14,0.00000,2.42188,2.40625,2.40625,0.39298,78400
1973-06-15,0.00000,2.39062,2.35938,2.36719,0.38660,803200
1973-06-18,0.00000,2.37500,2.32812,2.32812,0.38022,65600
1973-06-19,0.00000,2.33594,2.30469,2.33594,0.38150,236800
1973-06-20,0.00000,2.35938,2.32812,2.32812,0.38022,128000
1973-06-21,0.00000,2.33594,2.28125,2.28906,0.37384,166400
1973-06-22,0.00000,2.35938,2.28906,2.31250,0.37767,696000
1973-06-25,0.00000,2.32031,2.25781,2.28906,0.37384,169600
1973-06-26,0.00000,2.29688,2.27344,2.28906,0.37384,28800
